,mse,rmse,mae,mape
CDNS,2.8453981124020076,1.6868307894990557,1.499542549775963,1.28213590032651
XRAY,0.04049861282582647,0.20124267148352626,0.16639367628185486,0.17213145024633555
V,0.11872743028778857,0.34456846966573795,0.2961353560409447,0.298151599378624
WHR,0.34525048396328906,0.5875801936444838,0.4357987450258442,0.4651524772903671
EL,0.027526969459102973,0.16591253556950714,0.15104717750142005,0.15474346103695122
SBUX,0.1275949106516858,0.35720429819878396,0.29647120983394626,0.3192567363177271
INCY,4.966502228940888,2.2285650605133536,1.851059618504207,1.748354042765796
PSA,0.08847976856612304,0.2974554900588037,0.26568773372355725,0.25519266269398194
HUM,0.24281448577202758,0.49276209855469566,0.419508359270272,0.3723717196507551
UDR,0.2709595410034932,0.5205377421508388,0.4654951647445327,0.3992535950398745
HON,0.02433525878200856,0.15599762428321964,0.1269251400741765,0.12267958200472104
AON,0.029209011900623326,0.17090644195179808,0.1350452832688524,0.12913806173502376
TGT,0.018004350028232353,0.1341802892687013,0.10757438797353482,0.11306071112066395
VNO,0.14494721062457788,0.3807193331373886,0.346280591517948,0.2941442864964547
ALL,0.30096574513285246,0.5486034498003567,0.4915532342945868,0.43523856430909763
MSFT,0.40655241489583,0.6376146288282837,0.5437598463117209,0.49144695890105183
VRSK,0.006334283374402227,0.07958821127781568,0.06792125932206533,0.0756359671610576
A,0.07146919237731943,0.2673372259475276,0.2261684227663591,0.2280009109762803
COO,0.183169143947808,0.42798264444695416,0.36113059226488015,0.341776000827514
BKNG,0.028078868664121896,0.16756750479768415,0.13200847323622697,0.1340117785411171
EXPD,0.23801817030956657,0.48787105910226586,0.42302128781192017,0.4621169018972565
CBOE,0.2538351463112435,0.5038205497111481,0.437058852461148,0.42656177002431833
VRSN,0.058792960693422526,0.24247259781967637,0.22480868560188225,0.24731002691823345
GE,1.0482169710926057,1.0238246779076023,0.9278126751415994,0.9835783902054747
EQIX,0.0615370249274886,0.24806657357953046,0.20087011690455464,0.1685872943597804
C,0.03684618279983993,0.1919535954334795,0.15287064168993814,0.16059527498080037
LEN,0.23928963013629248,0.4891723930643393,0.37733561421959905,0.37748800420130457
WELL,0.6181034482545691,0.7861955534436512,0.6404747765809222,0.658889011051124
WAT,0.17486223280346772,0.41816531755212283,0.3808953741407663,0.378689780427153
AMCR,0.037277793897877574,0.19307458118011697,0.1614374582804195,0.17189161443907253
FIS,0.4686613241527991,0.6845884341360137,0.6122911346529676,0.5800765503092307
NVR,0.008377681154817412,0.0915296736300169,0.06859380494986443,0.06287170122410637
WM,0.2528250901402973,0.5028171537848498,0.4506810733783416,0.4375651998329058
XYL,0.1598152023748813,0.3997689362305197,0.33392559083932405,0.31204023758987637
STE,0.10730828336891911,0.32757943062548833,0.24620599146902664,0.22920737705347546
LYV,0.046596154389596973,0.21586142404236328,0.19027197283236694,0.15929528712173766
LOW,0.01871732168801148,0.13681126301592086,0.11026590908297079,0.10905665200561414
BR,0.15691943036528053,0.39613057236885985,0.35971875749690435,0.3427257950402279
EFX,1.2860234215888742,1.1340297269423205,1.0592771912008152,0.9985411840177959
NOV,1.0486134373866276,1.0240182798107793,0.9740771398827105,0.9926535805187058
CE,0.02388717231947394,0.15455475508528987,0.1308301218579173,0.12877059222163614
DVN,0.02172111668178351,0.14738085588631758,0.11860033596945055,0.11871424809124309
XOM,0.11674303078660808,0.3416767928709939,0.2789711201030712,0.2883246596808071
ADM,0.062381278728988895,0.24976244459283484,0.22240697499753337,0.20485702677024226
PVH,0.18338282503258743,0.4282322092423542,0.3813927304386053,0.4316592249977539
CTAS,0.16996461569494523,0.4122676505559771,0.30198299966407266,0.2847274840745858
ULTA,0.45321705108050825,0.6732139712457758,0.5867573756531493,0.7287973616846141
FTI,2.3140440778058395,1.5211982375107589,1.3566596650767393,1.4781831240790986
NWS,0.023969362294824118,0.15482041950215777,0.12121555593260422,0.13108319349403266
SCHW,0.18305598930034753,0.4278504286550938,0.37313310301568586,0.3494991110863262
IFF,0.1487548074621206,0.38568744789287684,0.3554419208267948,0.3209055564996978
PHM,0.15988923869864755,0.39986152440394607,0.3509480377369232,0.3668124744562452
CPRT,0.07859588748856694,0.28034958086033757,0.2418960545168866,0.2577638845271647
KMB,0.09369645840146301,0.3060987722965628,0.2530618857342094,0.24334928992460284
MCO,0.05204208448086519,0.22812734268575785,0.19359902473714066,0.17473282831023193
TTWO,0.633209333329934,0.7957445151114357,0.7224280047954542,0.5775525969267037
APD,0.3913239376733578,0.6255589002431009,0.563048818425299,0.48842529638103793
ZION,1.0930986371850766,1.0455135758014225,0.9652785548798217,0.9922262022432565
TJX,0.009958388071371194,0.09979172346127305,0.08451374330424874,0.08917952157447613
GM,0.1990846082760063,0.4461889826923187,0.40441929686964806,0.48931069288683887
KR,0.09280232801757679,0.3046347452566381,0.2595977888573117,0.21325871511284036
CMA,0.08664937119117451,0.29436265250736976,0.24322489192989347,0.23997779522020668
KMI,0.04725040560686715,0.21737158417527153,0.1867006059627828,0.1760622368550203
NTAP,0.47784121912229865,0.6912606014538212,0.6123545523163303,0.6429238644614603
SRE,0.0018619514228116233,0.043150335141359256,0.0364107451784057,0.03214688208547442
FDX,0.17358435389340887,0.4166345567681693,0.37435879843627895,0.35088974341009
BXP,0.09936951102413384,0.3152292991207097,0.2794478896217533,0.23993265608220793
GS,6.755076540720496,2.599053008447595,2.0317302415920424,2.065726624422081
UNP,0.3531949925486142,0.5943021054553098,0.5271092324008311,0.42239975619604475
AMT,0.20790411068282716,0.45596503230272734,0.40352904775039117,0.3478495445626303
HCA,0.037466017338167394,0.19356140456756196,0.1431345240158562,0.10331711548716359
IP,0.5115271111366991,0.7152112353261092,0.6563261383447908,0.6460715536385936
PNW,0.6209836338230652,0.7880251479636073,0.7066436989435958,0.6844671396825821
HPQ,1.4784191191255052,1.2159025944233794,1.1019597931614864,0.9128682513748533
MRK,0.04011044627667477,0.20027592535468353,0.1597502538766163,0.13965511052913604
VTR,0.05629912344761709,0.237274363232982,0.1964175751581798,0.1993508487290873
REG,0.08176267688129263,0.28594173686485963,0.24620852754692749,0.2228168165307777
MHK,0.07919286123112335,0.2814122620482685,0.2541071014306417,0.2714099316090623
AMZN,0.12331765700843508,0.3511661387554829,0.29433496127335357,0.35965179415256315
TT,0.042183053056078126,0.2053851334836047,0.17337965462207924,0.1757913170182415
MCHP,0.3340125096155812,0.5779381537981215,0.4238948476032927,0.40028642687292126
ODFL,0.10389942857515383,0.322334342841643,0.2760002217451131,0.22329851467312975
CDW,0.21068522891291278,0.4590046066358297,0.4147650953017868,0.31318107791687405
URI,0.07152103704832545,0.2674341732993849,0.2098292865872204,0.15669533055064733
AEE,0.003751158838235374,0.06124670471327722,0.047949064966821046,0.042159227889510265
WST,0.2738269196907834,0.5232847405483781,0.405777513401034,0.4529665046548894
ZTS,0.22022706715225757,0.4692835679546617,0.3803538865643261,0.3424571553425551
PWR,0.2670064341991152,0.5167266532695165,0.3996123028577126,0.37148431627098105
TYL,0.1545132538492972,0.3930817393994501,0.3355685402303296,0.3810982667965365
DVA,0.0036645961854524177,0.060535908231828965,0.04766685314338253,0.04203962154338793
OKE,0.05368568771819976,0.2317017214398714,0.14302358044564414,0.13533523724946464
STX,0.24750264914913314,0.4974963810412425,0.40871108008200296,0.39761678985950893
LHX,0.05546037870311705,0.23550027325486705,0.19821466256702533,0.19469015158275582
AME,0.08180657732130647,0.28601849122269435,0.23720435797813338,0.2408595652834585
MO,0.11685051248577555,0.34183404231553,0.2942567958036779,0.2548437023112873
QCOM,0.04391427887628748,0.20955734030638842,0.16405410259294048,0.16062727492306664
WFC,0.011344409172381926,0.1065101364771538,0.09262941776880605,0.08215848076311344
FRT,0.2552129695148289,0.5051860741497423,0.46186186441727,0.4007013699681632
AIZ,0.22747644726553404,0.4769449100950067,0.3945399572735384,0.39293333400109737
PPG,0.048853177218727256,0.22102754855159404,0.18266004190034504,0.1706072360318982
LH,0.40529372885651277,0.6366268364250072,0.5636050402715813,0.6018603905484395
MPC,0.42834827647983753,0.6544832132910955,0.5533559130500717,0.5704706531444427
RCL,0.12528168030546846,0.35395152253588125,0.2649941722141607,0.2149261360414334
PLD,0.16465943201485536,0.4057824934800112,0.3657506789861319,0.3582653981781246
ADSK,0.09812057981548541,0.31324204669150885,0.23663909127455268,0.22363749751739914
LLY,0.3094049607929583,0.5562418186301334,0.5040660745147417,0.40361694910668683
TRV,0.023690861153726848,0.15391835872866774,0.11748185000887432,0.1164716221744827
MU,0.4274074182610838,0.653764038672275,0.5510849680058076,0.4341674110454094
TXN,0.1352120283343496,0.3677118822316592,0.3006427365863749,0.2785906211469389
FTNT,0.3556336603193782,0.5963502832391196,0.4881346179804492,0.4379991135451182
DGX,0.45650614132374645,0.6756523820158902,0.5244477676725072,0.5717410970668952
IT,2.3685410526960715,1.539006514832238,1.3214550241142045,1.2438836057881528
AMD,0.017516936633476206,0.1323515645297637,0.10492703860275357,0.13359074987625086
NRG,0.01628542870703604,0.12761437500154926,0.10633979129054778,0.10151847403227371
JNPR,0.27350297871690693,0.5229751224646416,0.43695500995688674,0.4113939030382175
BKR,0.04085765695669268,0.202132770615486,0.16271582769973778,0.1537114523572537
ABT,0.17269210769159662,0.41556239927548383,0.3582822603194066,0.33109496534423416
HAS,0.1285987651264674,0.3586066997791137,0.25515924976253374,0.26045276157136715
