,mse,rmse,mae,mape
CDNS,0.02205777589671574,0.1485186045474295,0.1298500355422114,0.10984855570708063
XRAY,0.05899267714853931,0.24288408171088388,0.22595304492887866,0.2315775324430781
V,0.006119466820732665,0.0782270210396169,0.06616693270113332,0.06615153105522885
WHR,0.025579005151998183,0.1599343776428263,0.14198732628735208,0.15022036143405065
EL,0.004048409543758809,0.06362711327538606,0.05400670056941139,0.056336983017814146
SBUX,0.0076568802899862135,0.08750360158294179,0.07155001761464984,0.07508719046491481
INCY,0.2073901497651245,0.4554010866973469,0.40686100767657735,0.38795595765364627
PSA,0.1984495933373468,0.44547681571249786,0.39839192836924064,0.38282403614543387
HUM,0.007489146574593814,0.08653985541121394,0.06982527629201415,0.06130658754915522
UDR,0.015499047595854168,0.12449517097403484,0.10370151114087851,0.08873119170059855
HON,0.014124499372771604,0.11884653706680563,0.0985644036181169,0.09409045735792677
AON,0.038330799847257326,0.1957825320279042,0.16994253773234216,0.16231022722287086
TGT,0.012885474047566358,0.11351420196418754,0.075159679787844,0.07481181345938778
VNO,0.02414024262539982,0.15537130566935395,0.14042679725467253,0.11778731270718318
ALL,0.008009419280685335,0.08949535898964446,0.067134442419569,0.0577175547993401
MSFT,0.04463700104848914,0.21127470517903732,0.19982600637920914,0.17595222771067848
VRSK,0.001927178092861556,0.04389963659145205,0.03642997336842689,0.04041355575023702
A,0.015568061557958394,0.12477203836580691,0.10607741747938314,0.10715289919546343
COO,0.17976015242197757,0.4239813114065024,0.36077972707125827,0.315842349940889
BKNG,0.009002768907720608,0.09488292210783039,0.07294369906619945,0.07375892570783199
EXPD,0.02167461582526033,0.14722301391175338,0.12046946244731543,0.12745992004683368
CBOE,0.04141367008495198,0.20350348912230468,0.16359129680399737,0.15050336470577744
VRSN,0.05364674263023328,0.23161766476293055,0.21688474506959735,0.2404233892927835
GE,0.09767249042545298,0.3125259836004888,0.28227077242040066,0.29893907574233297
EQIX,0.061779308344428865,0.24855443738631758,0.21914197083156017,0.18389928099280026
C,0.0047461611181212095,0.06889238795484745,0.05763422678840323,0.05980728723591514
LEN,0.05765155202105168,0.2401073760238358,0.202366758231588,0.19665576404571847
WELL,0.38546824731695006,0.6208608920820751,0.5422086322917004,0.5128801271135036
WAT,0.08418029033926257,0.2901383985949853,0.2648095469268331,0.26259386356708597
AMCR,0.04136796104683367,0.20339115282340495,0.16470006623097364,0.16791812022502645
FIS,0.08130435273894408,0.28513918134648575,0.2501477947472596,0.2344396382978914
NVR,0.006750237210969623,0.08215982723308042,0.0661093081188417,0.05890878825970146
WM,0.4876347377010428,0.6983084831942419,0.5909919909590722,0.5666610076423825
XYL,0.09161489216211172,0.3026795205528642,0.2514893328035026,0.2350144321272114
STE,0.02120825015852726,0.1456305261905184,0.11334392429203208,0.09404417848506026
LYV,0.06589254644658138,0.2566954351884376,0.23283287813124479,0.19355683056628406
LOW,0.023602192561078345,0.15363005097010918,0.09618055419339208,0.08507175238464758
BR,0.032263033649640976,0.17961913497631865,0.1662288821200714,0.15978304346316388
EFX,0.0017731717676075843,0.04210904614934402,0.034152497090917375,0.032312576616273646
NOV,0.01303458279448455,0.11416909737089345,0.08851166711605281,0.08510002393786723
CE,0.005180731967429206,0.07197730175151891,0.060678429567381,0.058503630282241696
DVN,0.06631038831254932,0.25750803543297307,0.22612279161195023,0.21068079606124757
XOM,0.14990591424933924,0.3871768513862099,0.33881183407528387,0.35044014615635516
ADM,0.038060031819551886,0.19508980449924052,0.18008517084837503,0.16672868667217708
PVH,0.08112441909220716,0.28482348760628423,0.2590062825645668,0.29334783653293084
CTAS,0.012619449431611017,0.1123363228506747,0.07484761901276121,0.061775073721527116
ULTA,1.3056181373009512,1.1426364851959485,0.956834993329874,1.1718480124606763
FTI,0.07188181980915888,0.2681078510770598,0.23817151735257308,0.25237469917931515
NWS,0.002436864719587257,0.04936460999124025,0.03739762716673971,0.040407369762014624
SCHW,0.023600306740487017,0.1536239133093771,0.13026973799028116,0.12188419130115706
IFF,0.041281194240007396,0.20317774051309703,0.18545693139423822,0.16501718827132228
PHM,0.07065989580196758,0.26581929162866935,0.229362695058513,0.24040867441116498
CPRT,0.44746427849425857,0.6689277079731849,0.5851665803671802,0.6202146472500982
KMB,0.011760705091483813,0.1084467846064779,0.09476482695187786,0.09021505494856574
MCO,0.005312460839085924,0.0728866300434169,0.05961718287488298,0.050677305254489415
TTWO,0.21275935184201955,0.4612584436539016,0.40453323895684873,0.3176744148171036
APD,0.037830487285393115,0.1945006099872006,0.1680527657745073,0.14250161818018406
ZION,0.05134626766258666,0.22659714839906228,0.1915851543195353,0.1994334720964586
TJX,0.00776532007964522,0.08812105355501158,0.06921619838192823,0.07736764554659864
