,mse,rmse,mae,mape
TSN,0.0616791029209661,0.24835277916900003,0.231742318495264,0.1974604758223842
ORLY,0.023802350624213153,0.154280104434153,0.1295900841249128,0.1109832328654838
SYY,0.05180460527770643,0.22760625052424732,0.20617152274111747,0.22030923251049692
PNR,1.481221355185019,1.2170543764290152,1.0490494264981862,1.1864609490727014
SJM,0.001303386644173842,0.03610244651230498,0.031043490768291725,0.034955020513641105
HON,0.294107142552715,0.5423164597840591,0.471212074978374,0.45406467351310636
XRAY,0.0368295650640253,0.19191030473641926,0.17828614218817987,0.1842029782825882
UPS,0.19072555865750732,0.4367213741706574,0.39744030977835837,0.4113469746537884
CHRW,0.009616117020663756,0.09806180204678963,0.0818082932543092,0.0776879713604154
WU,0.07262809202312764,0.2694959963025938,0.2464950436256197,0.2830104751563783
LVS,0.20427360666982713,0.4519663778090436,0.3705557120108947,0.44985626013759966
TSLA,0.36202826314097347,0.6016878452661093,0.4825682818673746,0.3896361099967804
SNPS,0.5318969086749239,0.7293126275301449,0.6446556733170206,0.6524508737430768
PFG,0.0383405977685391,0.19580755288941,0.18475658114031904,0.18951359189512806
DVN,0.035618132144464694,0.1887276666110846,0.12471769822738715,0.13198180323372674
ANSS,0.1496823464100371,0.3868880282588712,0.3555482308230198,0.4032854588826937
KMX,1.3309247010359193,1.1536570985504833,0.9790819835132305,0.9949081139121108
GOOG,0.16003323066844208,0.4000415361789849,0.33468927395806597,0.3393436399817579
CE,0.054566453414000134,0.23359463481424425,0.2017694731088294,0.19387519845713455
MSI,0.19726481747662306,0.4441450410357219,0.3899880317664345,0.4118844069986558
NTAP,0.005756951203628183,0.0758745754757691,0.06678670609983509,0.07270574617682679
YUM,0.04846647224199575,0.22015102144209042,0.18434982181021575,0.19676638693355808
ECL,0.006177523741726408,0.07859722477114829,0.06377858639059436,0.06345980172473466
GD,0.1225426120756831,0.35006086910090806,0.2983063910644369,0.22764493414531106
AAPL,0.062774402952673,0.25054820484823476,0.20063897989219037,0.16234140797895155
ESS,0.589446765450468,0.767754365308637,0.6855830894404562,0.5981517604150378
POOL,0.15414186096137425,0.3926090434024339,0.3438237833993043,0.347419762916036
IP,0.2726438094717364,0.522153051769054,0.470151059852591,0.4654150963267075
CRM,0.18243397068929698,0.4271228988116851,0.36538367429847163,0.3691127524817117
ALGN,0.03384997885973077,0.1839836374782572,0.16733228518328702,0.1857192521476387
WAT,0.0876410740550215,0.2960423517928161,0.24530933398082128,0.2475270973488655
LYV,0.35317660670006173,0.5942866368176738,0.5036889089245428,0.42091932817361416
CHTR,0.0053188242169011895,0.07293026955182046,0.061748652681943926,0.058827530133733964
PEG,0.06440614576561947,0.25378365937471126,0.23126489842136552,0.20442755599587042
MDLZ,0.02695001626725037,0.16416460113937587,0.139899678774937,0.13776648879678688
ADSK,0.43469213030154563,0.6593118611867571,0.5753549408693995,0.5251041755732481
OXY,0.1550037451503848,0.3937051500176049,0.32843618490099263,0.35457814026706824
AXP,0.5102785638901374,0.7143378499632631,0.62087826281422,0.6237663046174075
MAR,0.12536637165012307,0.35407113925046624,0.312699344259515,0.23162207746449903
AJG,0.006025303584290798,0.07762282901499273,0.06946267813134156,0.07247162437786665
JPM,0.16896174837642197,0.41104956924490504,0.36515536441646856,0.3638236613254821
BLK,0.5037655114560933,0.7097644055995576,0.634313635814107,0.6220492546513928
NVDA,0.008390824351051793,0.09160144295289127,0.0732461385989634,0.06363457414544645
DFS,0.04857698077931323,0.22040186201417,0.19150988292445884,0.1722572905879012
VLO,0.21079676624117027,0.459126089697776,0.37156585437370676,0.3708992129682995
MU,1.047463734999494,1.0234567577575,0.8939905025313462,0.6650093027935926
SNA,0.13509978678070866,0.36755922894236875,0.3287356408609547,0.2920040972862134
ROST,0.1559172864150937,0.39486363014981984,0.3629818653964981,0.4018945192161762
AES,0.013417243412028428,0.11583282527862483,0.0990080681337486,0.10458112859881584
AFL,0.05474666508193801,0.23398005274368586,0.2106244594908712,0.23390289537821485
STT,0.10076657024151842,0.3174375060409819,0.2937425767952451,0.30449801998214776
AWK,0.06092260817888125,0.24682505581662745,0.21487168629554643,0.1900957550478145
NOV,0.031487538157814056,0.17744728275691926,0.14565496648413753,0.14353152895716204
PSA,0.02983127573741589,0.17271732900151013,0.15804623550011015,0.15622374373651124
RTX,0.20338005822731842,0.45097678235948957,0.3813273965036267,0.39354653567942827
DUK,0.00754840540365252,0.08688155962948939,0.06517474504139037,0.0615294015877311
DAL,0.5971414314037532,0.7727492681353721,0.6935756683142427,0.516278479658588
NSC,0.10851383994379524,0.329414389400031,0.291977904728162,0.25900236079056166
CBRE,0.14393268201022802,0.3793846096117079,0.32836922994536627,0.2825769983435805
MOS,0.2680716440639456,0.517756355889472,0.43614409502370927,0.46510466857453825
