,mse,rmse,mae,mape
AAL,0.04243383188490322,0.20599473751749878,0.18043760800436734,0.12310128057432668
REGN,0.2224195121746706,0.47161373196151807,0.40063323456632055,0.3559296506190437
BKR,0.050327342759054414,0.2243375643066814,0.1443270134848659,0.14459122622110743
DHI,1.3887564368656842,1.1784551060034847,1.0156241411616955,0.9908971773489978
DXCM,0.16418992494995716,0.40520355989299645,0.3541410852910047,0.30578184815898685
MCO,0.3676615032335911,0.6063509736395177,0.5323962822741868,0.45975708088083506
SJM,0.009575351232675784,0.09785372365258148,0.09075250959972413,0.10247300809603464
CCI,0.016329285540865726,0.12778609290867973,0.1046981786414373,0.1019477033687419
IFF,0.10317317535679195,0.32120581463726955,0.25413988844897567,0.22985687367497065
EXR,0.05096805619546245,0.22576105996265708,0.20205479783251487,0.18221022147100494
MKC,0.06152337183337473,0.24803905304079585,0.2183587901917144,0.21842320482027922
WAB,0.32297846350613835,0.5683119420759504,0.4926256216656795,0.4543324727863449
YUM,0.21238489017529985,0.4608523518170433,0.3907745950058438,0.41491853549691005
PEG,0.008791537455901874,0.09376319883569392,0.07651307964854503,0.06765954282027073
SWK,0.03910491498491354,0.19774962701586452,0.16914280250022473,0.17425956535299306
VTRS,0.059825499097362164,0.24459251643777283,0.19972593573211114,0.17525293726219715
GIS,0.005565286024739091,0.07460084466505115,0.061033015393842927,0.06113432591523527
TXN,0.14847272997318575,0.3853215929236068,0.3381069838524158,0.3079441080819834
AMZN,0.01986020025326461,0.14092622273113195,0.12026036165441784,0.15024214189614488
LIN,0.3871808921842377,0.6222386135432594,0.5365857923074039,0.5410008901795581
PWR,0.6604045175696923,0.8126527656814393,0.6806126655441215,0.6512355700765192
XRX,1.5794565833216956,1.2567643308598855,1.1040641633426034,1.0474440586522262
CAG,0.43388938923390624,0.6587028079748152,0.5991924546599928,0.6191333995316204
ATO,0.011858453707186375,0.10889652752584159,0.09155841392150156,0.08570248664589353
TGT,0.006106884548458735,0.07814655813571532,0.07218442778073941,0.07907910547854737
D,0.00571146507778798,0.07557423554220036,0.06351847514096201,0.061269917935482456
ES,0.010053754301271705,0.10026841128327359,0.08212935227281723,0.0772174413179182
INTU,0.00479592682182941,0.06925263043256487,0.05485519503087481,0.05106304959389995
LUMN,0.005993885523459981,0.07742018808721651,0.06450612713219604,0.06190280795830052
JKHY,0.06088475620344024,0.24674836616164297,0.22018615830948704,0.2236574044687014
FRT,0.037023566598394654,0.19241508932096427,0.1760920489834071,0.15531553963982883
SBUX,0.15332359144711605,0.3915655646850423,0.3589098539688612,0.3857304863433169
DTE,0.021110877700388487,0.14529582822775225,0.12835011028265098,0.11508280411851061
EMR,0.3993307828350427,0.6319262479396173,0.5571350622556095,0.609495344920188
NOV,0.08700142836966723,0.2949600453784669,0.23820550639132573,0.25077758884558454
PGR,0.4350595831072969,0.6595904662040658,0.595904592912274,0.6670006563034964
NI,0.3101667592067163,0.5569261703374302,0.4793752921168729,0.4003726706469927
CI,0.31206842127177414,0.5586308452563054,0.49784415373220975,0.47491626900885786
RJF,0.41358599601417284,0.6431065199593088,0.569054998133863,0.5594463674683655
CE,0.08438015943898199,0.29048263190590584,0.24870935327929256,0.239361709704733
TDG,0.013019681336166765,0.11410381823658122,0.09715779339744189,0.08668905510265289
BIO,0.01811091891068774,0.1345768141645794,0.11563595781125902,0.12216863339235946
FCX,1.0942495994273655,1.046063860109585,0.9176747352843289,1.1260092550898095
