,mse,rmse,mae,mape
AAL,0.044681398821862804,0.2113797502644537,0.1858677624617999,0.12630270520153575
REGN,0.21633928692303722,0.4651228729304088,0.39511471581787716,0.35099503789844927
BKR,0.05342325951630847,0.23113472157230827,0.14754864754907074,0.14798834704491892
DHI,1.5843459319211637,1.2587080407787834,1.0843618021772932,1.0577333407218021
DXCM,0.167430024017658,0.4091821403942968,0.35740350809719995,0.3085194734108305
MCO,0.3516699649003609,0.5930176767182922,0.520993533470545,0.449977966121598
SJM,0.00422238865193752,0.06497990960241111,0.05693025649652831,0.06484254557193843
CCI,0.016068970460775957,0.12676344291938413,0.1036063444695039,0.10086712935756349
IFF,0.06109108657440605,0.24716611129846675,0.18953848282772323,0.17156616946255066
EXR,0.023726927797265287,0.15403547577511256,0.13944635863349347,0.12612417698376585
MKC,0.05334082808628199,0.23095633372194405,0.20329302771280833,0.20344201271327694
WAB,0.24823068093781553,0.49822753932095676,0.4319948518453403,0.3986685914315624
YUM,0.23715087673872845,0.4869813926000956,0.41677877556696336,0.4421989439505372
PEG,0.009471125719101142,0.0973197087906717,0.08033296360386745,0.07097099853941785
SWK,0.010140489585722199,0.1006999979430099,0.08544238667255118,0.0888079888705677
VTRS,0.04652678730081499,0.21570068915238771,0.17669532138355862,0.15519022900871585
GIS,0.008047122839897069,0.0897057570053175,0.0742656441360951,0.07423974060644713
TXN,0.12327459842250325,0.3511048254047547,0.3083522213274418,0.2810396931807705
AMZN,0.012808482700625446,0.11317456737547286,0.08589034199821984,0.10710595748293308
LIN,0.396582903185503,0.6297482855756759,0.5431390326536232,0.5476019045322618
PWR,0.778310186807523,0.8822188995977829,0.7408973222615072,0.7083561768103945
XRX,1.5392263726651847,1.2406556221067895,1.0909618150956581,1.035225970805663
CAG,0.4185212403562031,0.6469321760093582,0.588451388841253,0.6080841859830124
ATO,0.01694169634128137,0.13016027174710942,0.10895389436709624,0.10164453313043953
TGT,0.008308799280485838,0.09115261532444277,0.0843366584799478,0.09349415170126903
D,0.010106679310463412,0.1005319815305727,0.08250673550288574,0.07940558410236784
ES,0.01369896708208014,0.11704258661735112,0.09727068414821524,0.09118614757188796
INTU,0.003637452018505168,0.06031129262837241,0.04653164035461551,0.04432190054580929
LUMN,0.005994571134006603,0.07742461581439461,0.06448228222727986,0.06187181793783863
JKHY,0.054259269509172474,0.2329361919263996,0.20837198531916432,0.21175542134823863
FRT,0.028876611643433532,0.1699311967928006,0.15587559396944226,0.13756343510037905
SBUX,0.07003623408784543,0.2646435982370354,0.24657363061022952,0.26585460222038493
DTE,0.016987315671140292,0.13033539684652168,0.11535666057439567,0.10345741459116187
EMR,0.48485093492715076,0.6963123831493669,0.6138181569437031,0.6714108873051631
NOV,0.045461684547604554,0.21321745835555905,0.16535994167891774,0.17612918223698767
