,mse,rmse,mae,mape
AAL,0.04625668180236195,0.2150736659899625,0.1895572872606762,0.12848991882156544
REGN,0.21761722113419776,0.4664946099733605,0.39643868808309546,0.352217379771796
BKR,0.07723807349777304,0.2779173861020088,0.17655582586636814,0.17696897734808623
DHI,1.6754538768349723,1.294393246596633,1.1163451277509766,1.0888460029280296
DXCM,0.16899587890327464,0.4110910834635977,0.3590029313971274,0.3098563717607097
MCO,0.7185970924434126,0.8477010631368894,0.7433491710094162,0.6415149057068847
SJM,0.008011740754415858,0.08950832784951274,0.08222733785195421,0.09301566456995983
CCI,0.027157279112817876,0.1647946574158819,0.13795521404268923,0.13460482171704838
IFF,0.09423182015479524,0.3069720185208991,0.24250716461646382,0.2193927660879999
EXR,0.01560814221695666,0.12493255067017826,0.11319387522146387,0.10254618900217603
MKC,0.056915473526145496,0.238569640830818,0.20994850116342212,0.21006215853483837
WAB,0.5577136422727949,0.746802277897433,0.6489527069064824,0.5980964740427803
YUM,0.1876691572850801,0.4332079838658102,0.3680414730174166,0.3908486885510224
PEG,0.011709083304572276,0.10820851770804495,0.0911182249063444,0.08039039848819295
SWK,0.01257952752448846,0.11215849287721577,0.09530004009991375,0.0988626705617365
VTRS,0.04304006187935876,0.20746098881321942,0.17016049506329448,0.1494957072960265
GIS,0.0056743173221925555,0.07532806463856984,0.061286570193948474,0.06137807125106716
TXN,0.12400946529833992,0.3521497767972314,0.3088423838905229,0.2814645945002316
AMZN,0.011973241044539505,0.10942230597341433,0.08049725765784388,0.10039747511651724
LIN,0.3959741348450573,0.6292647573518299,0.5429596541389697,0.547414593112752
PWR,0.8005713602121087,0.8947465340598468,0.7517099215625402,0.7186009004116967
XRX,1.5945904431614857,1.2627709385163588,1.1103001002193746,1.0535193503183609
CAG,0.3614400588845047,0.6011988513665879,0.5483319290318397,0.5670173397962299
ATO,0.031686730111075756,0.1780076686861433,0.15100573234029255,0.1403755922186254
TGT,0.005710691104106298,0.07556911475005049,0.06889610709105333,0.07514635090781104
D,0.009553619532860054,0.09774261881523358,0.08035699356879021,0.07734993797209039
ES,0.012354044887163402,0.11114875117230694,0.09217500417625415,0.08648858106633375
INTU,0.004603642680593549,0.06785014871460157,0.05360556988703294,0.04987456844422557
LUMN,0.010089157526884843,0.10044479840631292,0.08622024997869952,0.08127027383646056
JKHY,0.05529917095678588,0.23515775759431345,0.21050966992686124,0.21392331484727792
FRT,0.04038729123913364,0.20096589571152026,0.18345632618993937,0.16172774197309903
SBUX,0.12694698705123697,0.3562962068998728,0.32770012984943564,0.35242094338490226
DTE,0.017805370577134005,0.13343676621206768,0.11800739176166299,0.10582743772634336
EMR,0.42933571309329915,0.6552371426386779,0.5784945606929236,0.6327519190275624
NOV,0.04701341741858059,0.2168257766470135,0.16880930094221103,0.17967849510500994
PGR,0.45575923121538653,0.6750994232077128,0.6098118345708989,0.6825274291132598
NI,0.3261911685552727,0.5711314809702515,0.4919325638265953,0.4108935448396556
CI,0.2741981603272519,0.5236393418444149,0.4663557295019163,0.44496042340042463
RJF,0.4101224022327141,0.6404079966964139,0.5657295107785139,0.5560872209775402
CE,0.11208203784032002,0.3347865556445181,0.28735009867620465,0.2768870954364054
TDG,0.03384060926327167,0.18395817259168365,0.1532757745783137,0.13588656038697383
BIO,0.019659713081146127,0.14021309882156563,0.12005204817207674,0.12687468530455087
FCX,1.3947875656154247,1.1810112470317227,1.0349435261026023,1.26871387111308
BK,0.16532176196654247,0.40659778893464543,0.36948952439114957,0.344758047299137
APTV,0.0731062214399994,0.2703816218606572,0.21327473986832435,0.18836274410578163
TRV,0.0820103086938611,0.28637442046010514,0.2674294847815003,0.2595834852780977
RTX,0.5296891187906003,0.7277974435174943,0.6215749185333591,0.6404841804507876
MHK,0.26200246213084916,0.5118617607624633,0.45770252154667146,0.4869544764781117
KMX,2.1000408745280352,1.4491517776023446,1.2373935054797884,1.2598198320443807
UNM,0.28755966880803685,0.5362459033018685,0.4675103536724969,0.4797645822218471
TDY,0.17301548057845803,0.4159512959211187,0.36038339985649004,0.3433367504763754
UAL,0.34101390721200076,0.5839639605420875,0.5104151461171617,0.4046110552733026
AMT,0.05385934929797799,0.2320761713273855,0.2050710205026049,0.17746691588040822
NOW,0.3070463053873653,0.5541175916602588,0.47897443742386464,0.4625325693791928
SPGI,0.7110642744386629,0.8432462715237246,0.7411742203692809,0.6938495981662351
QCOM,0.011049412711200801,0.10511618672307706,0.07653993924425223,0.07647846675960092
GWW,0.0022271278702550123,0.04719245564976474,0.03761928771247169,0.041205484956492545
UHS,0.0778991930587118,0.27910426915171294,0.22168300185933287,0.1783139842040777
CMA,0.30517929764622886,0.5524303554713742,0.4720871487062997,0.47083025783723065
NWS,0.17079019775988427,0.4132677071341097,0.3579210556468159,0.40670155094913873
WYNN,0.5430185967137836,0.7368979554278758,0.5938542259907095,0.628947372454647
CAT,0.4628205424739403,0.680309152131544,0.5638270290757248,0.5110510618227547
HUM,0.10761803608872526,0.32805188017861636,0.2859754066394481,0.23744670540480256
VZ,0.0947570787437032,0.3078263775957207,0.2751396657652386,0.2877550590355998
JCI,1.0647904432300097,1.031886836445746,0.890663516992413,0.8494838970158963
COO,0.040024687752287444,0.2000617098604514,0.17843646666838148,0.16178888933047583
GLW,0.09619328147522169,0.31015041749967337,0.27874535508726217,0.23960359900053346
ED,0.007808606904900336,0.08836632223251309,0.0627521183323267,0.06095997256517235
KMI,0.7665947701497023,0.8755539790039802,0.7872853204626924,0.7750300576197177
AKAM,0.6250790533366765,0.790619411181307,0.6512824039998524,0.5790372086509669
PH,0.7541233079694978,0.8684027337413776,0.772035378214885,0.824398645839356
TEL,0.24837229201907599,0.49836963392553923,0.4210964994919463,0.3825659335378819
