,mse,rmse,mae,mape
AAL,0.04448607031441867,0.2109172119918587,0.1854281303967306,0.1260293079902699
REGN,0.2269477872519981,0.4763903727532685,0.40511543707495146,0.36003772062467654
BKR,0.06450323765331396,0.25397487602775587,0.15944192099767862,0.1603092152744435
DHI,1.774303193117932,1.332029726814658,1.1488374311981249,1.1204445384731827
DXCM,0.16554348426898488,0.40687035314579617,0.3554869637328295,0.30687880629131414
MCO,0.8227478014043139,0.9070544644090088,0.795116253767123,0.6861094387654062
SJM,0.009529681258732561,0.09762008634872518,0.09030293203615146,0.10199742582063301
CCI,0.019468826689355945,0.1395307374357204,0.11505047428523983,0.11209646125307042
IFF,0.09367457281341718,0.30606302098328897,0.2412718098162152,0.2182583721049997
EXR,0.01733674100834001,0.13166905865973225,0.1183223966756227,0.10700790115663486
MKC,0.048699024883111154,0.22067855555787733,0.19402420715924962,0.19422720314150327
WAB,0.5129405438006771,0.7161986762070125,0.6215565930376361,0.5728245402651814
YUM,0.24174612381670968,0.4916768489737031,0.4165732659049633,0.44221612042664626
PEG,0.009073822847774568,0.09525661576906125,0.07789843861639033,0.06887042185725785
SWK,0.017555853813994403,0.13249850495003482,0.1123372034482497,0.11618192655079855
VTRS,0.07476528053273879,0.2734324057838405,0.2218432906235605,0.19447577624988482
GIS,0.009382198940120736,0.0968617516882734,0.08075134358951074,0.0806509758046815
TXN,0.14242833585355438,0.37739678834557455,0.33110778616510045,0.30161026355613124
AMZN,0.01857617072358645,0.13629442660500263,0.11676188027406158,0.14580067997894994
LIN,0.3778190472034076,0.6146698684687639,0.5299715380499849,0.5343398523792917
PWR,0.7503634444451602,0.8662352131177538,0.7270247704592915,0.6952058303987799
XRX,1.5233826566227233,1.2342538866143884,1.0845892857696418,1.0290408860398772
CAG,0.3516563587054368,0.5930062046095612,0.5409045600418333,0.559384672574736
ATO,0.005808525202431483,0.07621368120246838,0.06316982314278545,0.0595360943308651
TGT,0.005184511182879746,0.07200354979360217,0.05908388651458216,0.06321748896352676
D,0.012261987815551408,0.11073386029373043,0.09010079999075245,0.08666002998797655
ES,0.009953433704333253,0.09976689683624149,0.08084489225243785,0.07602444970564207
INTU,0.0042409097823532535,0.065122267945406,0.052260863611438446,0.05102253862204479
LUMN,0.004635938416247496,0.06808772588541562,0.056109413259786294,0.0543455097072364
JKHY,0.06845092890392095,0.2616312842607339,0.2334070260661637,0.2370002637398243
FRT,0.026210615337177424,0.16189692812767456,0.14860157321714712,0.13116595951155094
SBUX,0.1356070354617636,0.36824860551231364,0.33817588970303103,0.3635829869359092
DTE,0.015461724189989113,0.12434518161146861,0.11004814143968866,0.09869231831093914
EMR,0.4143613050414316,0.6437090220289223,0.5675447634488527,0.6208631807599246
NOV,0.06043107530738554,0.24582732823546194,0.1952124452081912,0.20675332610568686
PGR,0.43237892946700873,0.6575552672338719,0.5940622491892906,0.664939076481281
NI,0.33010276114253817,0.5745456997859597,0.49468380220709696,0.41316264106717626
CI,0.3184036930582706,0.5642727116016427,0.5030885851312178,0.47990417072489944
RJF,0.25007592232103415,0.5000759165577104,0.4433557217133951,0.43637492871880273
CE,0.09860090495728864,0.3140078103444063,0.26890926386497843,0.25896169832714644
