,mse,rmse,mae,mape
ALB,0.5586669829491968,0.747440287213097,0.6664896889952638,0.7341388626945298
VRSK,0.013903600487790798,0.11791352970626737,0.11060754815512501,0.12351412162329926
WMB,0.5589223735434986,0.7476111111691015,0.6247285402796685,0.48197245772063596
AME,0.032798830678184725,0.18110447448416267,0.1572685432410034,0.16132954552955253
WELL,0.10420672635676387,0.3228106664234685,0.28531262160640086,0.283339046428936
LNC,0.05379755019959095,0.23194298911497832,0.21308055748820856,0.2127955662307094
XRX,0.2968443962872242,0.544834283325879,0.49522229789569977,0.47427816885703555
DFS,0.038606617638883484,0.19648566776964543,0.1702921318347561,0.1532381484011944
MCD,0.06472122778413303,0.2544036709328956,0.21508502624788672,0.22364964965438183
SYY,0.052451661418795745,0.22902327702396486,0.20768704985463218,0.2219452892224418
RMD,0.009231687061315804,0.09608166870592852,0.08131285814611999,0.09046291351239624
RJF,0.20790443340000586,0.45596538618628263,0.40307267280145354,0.3967520288563643
LVS,0.16678724643482556,0.40839594321543593,0.332750548841954,0.40466406329740856
ED,0.0016939728782299416,0.041157901771469614,0.03375140365096058,0.0338487545786152
MKTX,0.24996601953704892,0.4999660183822986,0.4597954906045548,0.5488103849006228
K,0.011359612161598353,0.10658148132578357,0.08340156433532846,0.0841927903843548
BMY,0.3204572167338062,0.5660894070143039,0.5050542599773888,0.5202213089794944
EW,0.013393795840215113,0.11573156803662134,0.07737254078602501,0.057982148533530085
HPQ,0.049780164724302994,0.22311468962016598,0.18713024531088646,0.1506148156677985
MU,1.2348939888405288,1.1112578408454667,0.9709196657658749,0.722579009828497
TJX,0.1690854389861173,0.41119999876716595,0.37468205760343654,0.4036847039653543
RL,0.05724431269117652,0.23925783726176353,0.2281199550105525,0.25166463871997863
VRTX,0.09425189256822128,0.3070047109870161,0.2722572402782308,0.2462983008382307
MET,0.49806184039145623,0.7057349646938688,0.6241063888788004,0.6331278355188841
EFX,0.1690149661726528,0.41111429818561745,0.3628958109554569,0.33593135250769096
BEN,0.540357379110826,0.7350900483007684,0.652412379909292,0.6799215475527931
CE,0.03628672828386129,0.190490756426293,0.16444548028247805,0.15775869479536553
MKC,0.056967535604836944,0.2386787288487119,0.20999937103387084,0.21010908864872196
DLTR,0.018319669882055883,0.13535017503518745,0.12346427542051681,0.13522568515478087
ISRG,0.3321435194181881,0.5763189389723264,0.494541773908639,0.44213610439111384
MHK,0.3194262713416352,0.5651780881648149,0.5030007596968925,0.5347793566220405
EXPD,0.1840085083290962,0.428962129248138,0.3836932722216428,0.4216955693473543
MTD,0.003436763625280965,0.058623916836739634,0.04458367946134204,0.043102487370250256
PNC,0.1431149903645887,0.3783054194227049,0.31714513509001435,0.28820897382862337
LUMN,0.008875562219448482,0.09421020231083511,0.07938808522515947,0.07484092436720156
BXP,0.006976521475245251,0.08352557377980262,0.07600558764823408,0.06845865142164782
PNR,1.3894828920929414,1.1787632892540136,1.01563864348227,1.1487839202690573
MDLZ,0.02520698939850307,0.15876709167363076,0.13490604394847655,0.13291498934818768
KR,0.14286491205991653,0.37797475055870666,0.31863559577727774,0.26356502119219966
WBA,0.009458446592761875,0.09725454535784883,0.08817112345194737,0.0797636694213356
CHD,0.0067220606372797925,0.08198817376475581,0.0714177184532544,0.06909751048226669
FITB,0.15597292619909944,0.3949340782954789,0.33025995396924207,0.342246453251263
ANSS,0.04698209599340302,0.21675353744149833,0.20386496246524516,0.23212278486250937
LDOS,1.5080222823418714,1.2280155871738239,1.08434812298489,1.386251414211595
CBOE,0.03277387914595978,0.1810355742553374,0.1589071673974431,0.16049269662230706
TGT,0.00543641182788139,0.0737320271515804,0.055230518861098324,0.05825151747335788
MCO,0.35754148266046315,0.5979477256921906,0.531176765051826,0.46023800822627214
LRCX,0.1795695486706477,0.4237564733082525,0.3907532412910576,0.3159174207272737
GRMN,0.034256619863563015,0.1850854393612934,0.16788343708683084,0.14794368330787505
PM,0.06375147066284607,0.25249053578866293,0.2288490866721695,0.24734172324299297
BA,0.10013827268446338,0.3164463188037797,0.2837660280819068,0.3117401103078612
MOS,0.7372147275703407,0.8586120937713029,0.7344562018310654,0.7815593917308773
GM,0.13946471176750316,0.37344974463440617,0.3423038243280272,0.4231675704332236
IFF,0.01703806010905807,0.1305299203595025,0.0939463458166084,0.08554081608768438
ULTA,3.1722402167012955,1.7810783858947072,1.5299003473067265,1.88953534204061
META,1.0238603849447534,1.0118598642819832,0.8752999698089082,0.7118586640613573
NKE,0.04823022147310939,0.21961380073462913,0.20644770658667186,0.20483321613727318
PH,1.0618528494092,1.0304624444438526,0.9092759541743206,0.970859638378033
CLX,0.0030282262760020595,0.05502932196567626,0.050190307938869444,0.053153167733402486
KLAC,0.2271914556943859,0.4766460486507634,0.4165039951802583,0.38493256243348445
MSCI,0.1406364847708145,0.3750153127151137,0.33172782592750694,0.32574141456153044
LIN,0.3336264951829755,0.5776040990011891,0.4997728403275215,0.5038642978689012
DHR,0.043640811527525816,0.20890383320448147,0.18819273845940457,0.18714716293729863
BKNG,0.058925894414464976,0.24274656416613805,0.2202854263261858,0.21970572354901732
OMC,0.6222046505965462,0.7887994996173274,0.6910305847153247,0.7145880241076383
APD,0.22872907986862423,0.4782562909869814,0.4220181637723696,0.36860663456658094
FTNT,0.15420029538683735,0.3926834544347869,0.3286031878151013,0.2841622784823465
EA,0.03822246698054737,0.1955056699447547,0.1495304927106456,0.11073398867828954
NI,0.22874785838277287,0.4782759228549696,0.41236538637974174,0.3445761910158452
REGN,0.2007871596449485,0.44809280249179245,0.38043836913974793,0.3378310660698238
DOV,0.7177051603210958,0.8471748109576298,0.7276816149264465,0.7217727451469381
BIIB,0.1254809696024777,0.35423293127895056,0.32237609026560854,0.2931158282085552
HRL,0.0009616651328961431,0.03101072609430716,0.02325870376487348,0.021737860992809777
