,mse,rmse,mae,mape
AAL,0.12252281485231856,0.350032591128767,0.3241751093475416,0.21578087244204797
REGN,0.4040161166323338,0.6356226212402559,0.5475522172973181,0.48940852851480343
BKR,0.10180616701089752,0.3190707868340465,0.29001868572453554,0.25765116776553765
DHI,0.006944564741279994,0.08333405511122086,0.07052670090402872,0.0681106161689743
DXCM,0.09594184419666188,0.30974480495508216,0.27410376964655153,0.2417613073095088
MCO,0.014096315330227278,0.118727904597981,0.09845248008535955,0.08395299569049594
SJM,0.00293810286764003,0.05420426982849257,0.048040324341220915,0.054222013791609
CCI,0.0026057731338619845,0.05104677398094795,0.03955703905432973,0.03876716959983252
IFF,0.0842921362763484,0.2903310804518669,0.26153906939300203,0.23575868578073758
EXR,0.4011762864614182,0.6333847854672688,0.5679139543769818,0.5126068282255472
MKC,0.28143277519818494,0.5305023800118006,0.45561879915241843,0.4516086359472923
WAB,0.03723952505660087,0.19297545195335306,0.1739807849392218,0.15970261176130007
YUM,0.004426098673086928,0.06652893109833441,0.05479773971220303,0.058410055471249105
PEG,0.14781782082849504,0.3844708322207226,0.3432426904119289,0.3032972364137155
SWK,0.05191614012658582,0.22785113589048842,0.18851617912267088,0.19135550588075945
VTRS,0.01113934505130425,0.10554309570646604,0.08391424472909445,0.0745886318779856
GIS,0.0399061234634235,0.19976517079667191,0.17353303272049866,0.17084433469078034
TXN,0.016726563129773393,0.1293312148314296,0.11486422061790204,0.10649313483573175
AMZN,0.2130099922659858,0.4615300556475015,0.4150586313835789,0.5213910950594283
LIN,0.000878109375716812,0.02963291034840844,0.023914865951639656,0.024240147775062084
PWR,0.015974867520252636,0.12639172251477798,0.08265565366950832,0.08221209287489072
XRX,0.05670948716524649,0.2381375383370847,0.22188066887848648,0.21533049184851805
CAG,0.048938974776301956,0.22122155133779792,0.21022356821666713,0.2211511702318401
ATO,0.13158388907917082,0.36274493666923985,0.32057300154329804,0.295143303998822
TGT,0.015700613696739,0.12530208975407792,0.08571934524062659,0.08749295755014998
D,0.06774951361277086,0.2602873673707021,0.2346510773983042,0.22438659279257545
ES,0.017483824430902697,0.13222641351448167,0.11191808017442267,0.1023355020511671
INTU,0.02896224547285889,0.17018297644846528,0.1549395214424807,0.14396519397226018
LUMN,0.04738641311181003,0.21768420501223792,0.18472169395204927,0.16184007377553067
JKHY,0.03669995677000008,0.19157232777726557,0.1744030014604394,0.1775764686260973
FRT,0.08073390025468179,0.28413711523608065,0.25301894543219944,0.22220837761877116
SBUX,0.05686364940401647,0.23846100185149033,0.18815725461243335,0.1985567644636701
DTE,0.28777930513868594,0.5364506548963156,0.473006627559437,0.42473071551171737
EMR,0.024464255958467292,0.15641053659669893,0.13567628536412701,0.1475931437934515
NOV,0.024644468266054445,0.15698556706288144,0.12682565409167004,0.12475170023249288
PGR,0.005087701907096881,0.0713281284424096,0.05972321209349387,0.0676365130046745
NI,0.08131729693998847,0.28516187848306174,0.2558148977390384,0.21485965979708038
CI,0.0920540425390846,0.3034040911706442,0.28290025248022627,0.27462075244588974
RJF,0.05395411424149908,0.2322802493573207,0.20591983089273141,0.20334659166932928
CE,0.010341964739398737,0.10169545092775162,0.0877083220546485,0.0844977148924413
TDG,0.15133464747238554,0.3890175413427851,0.3534462198090738,0.310549438575928
BIO,0.0021808720766549345,0.046699808100836286,0.0372424994454418,0.03752432581300831
FCX,0.017192368668602975,0.13111967307998817,0.10105883899217505,0.13039053818872282
BK,0.007670739535690617,0.08758275821011015,0.07347494560633921,0.06793270704346632
APTV,0.06320154777435956,0.25139918013859863,0.2332466329021871,0.2050291259673863
TRV,0.08731439801019578,0.29549009799009474,0.24130423849710722,0.22728094012299632
RTX,0.02653095838457666,0.16288326612815898,0.13222971148783053,0.13745221284637302
MHK,0.07285265954703375,0.26991231825730694,0.24377700634357685,0.2605897539678015
KMX,0.014096725560352984,0.11872963219160154,0.08841139029833565,0.08878136058058071
UNM,0.07828928455263132,0.2798022239951486,0.24971112918151717,0.2567539604971779
TDY,0.07955655643878451,0.28205771827550563,0.2515221690388205,0.23811019171940379
UAL,0.016432439019418727,0.12818907527328033,0.11184734938143218,0.09562528651339688
AMT,0.043547712572136514,0.2086808869353792,0.17440112471672464,0.14812501163517308
NOW,0.053964322311516745,0.23230222192548383,0.201353278258678,0.18382975877606997
SPGI,0.0036449171431506017,0.06037314919027002,0.04837249205166716,0.04727036388269437
QCOM,0.03905169267228979,0.19761501125240916,0.1574577350392029,0.15618452325119075
GWW,0.0018544383940089354,0.04306319070864275,0.03645936152379125,0.040448147843626936
UHS,0.014532222218409977,0.12054966701907549,0.09862443232813903,0.0839317605070544
CMA,0.011653233233141954,0.10795014234887305,0.08334869367587054,0.08415226264180341
NWS,0.0021411588953474214,0.04627265818328812,0.03795069861041789,0.04175998151088112
WYNN,0.37602414490366365,0.61320807635228,0.4909553991801561,0.5211103960320057
CAT,0.04099276587693908,0.2024667031315003,0.13878528827822545,0.12786163483839894
HUM,0.0033838316589792643,0.058170711350122445,0.050202550191877256,0.04481251430724298
VZ,0.02433008493187794,0.15598104029617813,0.128192300736815,0.13286107991003776
JCI,0.006701394054699901,0.08186204282022225,0.062147568125958064,0.060033291822557934
COO,0.18752400683635295,0.4330404217118224,0.3672736256513272,0.32139458962595113
GLW,0.010499736982167216,0.10246822425594784,0.08365540823198052,0.07399436956019802
ED,0.06262441601300878,0.2502487083143663,0.2016414375997902,0.1986609623853493
KMI,0.4375270316313185,0.6614582614430925,0.5612415765792844,0.5430450094819721
AKAM,0.27266774241444275,0.5221759688212804,0.47977758098074774,0.4259891526413779
PH,0.06015371304899083,0.24526253902500242,0.21831956808197234,0.23468596639251235
TEL,0.014068202498883475,0.11860945366573221,0.10540230676802657,0.09431587409198659
HRL,0.007445733820008361,0.08628866565203312,0.07636632514053267,0.07136055986712547
XRAY,0.05167525555085715,0.22732192052430217,0.2129566144262557,0.21957930744667312
UNH,0.005359275107781101,0.07320707006690748,0.061851967739372654,0.05733015119263532
KO,0.0018299635993769944,0.0427780738156476,0.035760575481616236,0.03659594795842294
ESS,0.22648451379643858,0.47590389134408073,0.4223737848769306,0.36792592229025173
PCAR,0.013238077306801179,0.11505684380688173,0.09218858856324727,0.08725862490484136
ETR,0.18172800865784652,0.4262956821947022,0.36802608318494034,0.3211796892360364
HCA,0.05099830336105876,0.22582803935972778,0.16839993292409178,0.12163278453700001
DVA,0.002379810778319161,0.048783304298900876,0.037883056682355934,0.03347116630778827
AAPL,0.010722564168961132,0.10354981491514667,0.0906928607174862,0.08659301024297705
K,0.0016263312827526268,0.04032779789118948,0.03575800322597589,0.03572001152525251
AVY,0.05851611964909071,0.2419010534269967,0.20860897067045983,0.21967216905217193
FANG,0.09431578412926672,0.30710874967878515,0.2509389759742597,0.1872718065353442
FE,0.0770828201019075,0.2776379298689347,0.22515668047078427,0.24672459654291634
ZBH,0.02286505838116262,0.15121196507275017,0.13260147120541896,0.12091911539161714
PRU,0.06316721585210656,0.25133088917223556,0.22932703615217392,0.24593666431089686
NFLX,0.033933918125703066,0.18421161235303019,0.13513434678197817,0.1395455141548675
MLM,0.06396094981162803,0.2529050213254534,0.18330892922531106,0.15644312644847871
HSY,0.008204348112056229,0.09057785663205013,0.07757891034526318,0.08174720236581216
CBRE,0.0037899026686185836,0.06156218537883937,0.04718770713328257,0.041749040572544194
SRE,0.12013716642587574,0.3466080876521431,0.3075920718110588,0.27203182482110216
ABT,0.005156719840797176,0.07181030455858808,0.05935953631564499,0.05441456530032394
AVB,0.014180511763930375,0.11908195398098897,0.10097493782000841,0.09082273499802056
GE,0.05052404289293102,0.2247755389114461,0.2073843801122247,0.22391320293795908
LOW,0.02647687627049692,0.1627171664898849,0.10532357094289155,0.09519972195019567
SEE,0.18056936740748736,0.4249345448507186,0.3883571566922774,0.37970022602333875
CHD,0.11356739635004279,0.3369976206889936,0.2842713820010714,0.26726092121701667
DE,0.27363962534483777,0.5231057496767147,0.4533493226925515,0.47563724911095034
ACN,0.0018502481117930545,0.043014510479523704,0.032493365721308703,0.03277057924249341
KMB,0.10891948739953052,0.33002952504212485,0.28840286363654893,0.2826925582200954
FTI,0.08847509558341318,0.2974476350274333,0.2622070238100432,0.27845152366388815
NTAP,0.007417610264116839,0.08612554942708255,0.07553108710600934,0.08208774854895465
LNT,0.11582508994353181,0.3403308536461715,0.297483926340906,0.2678343958404631
ALK,0.25562086504416554,0.5055896211792381,0.4563041374457635,0.3634776401333809
CL,0.002915750420894016,0.05399768903290229,0.04449046771686812,0.04399879062469108
AON,0.0928992768718501,0.3047938268270046,0.27903143573847666,0.26865106603554595
PFG,0.046945234738061684,0.21666849041349248,0.1735017725559624,0.17132067684936114
HAS,0.02308456150171222,0.15193604411630646,0.13409867020781696,0.13669611665852963
MAA,0.139573841838804,0.37359582684875375,0.3383551611128827,0.3196455652970918
INCY,0.1537697623158696,0.39213487770902195,0.35354285274567393,0.3390017240405427
HON,0.01221884643152688,0.11053889103626326,0.09378925600037108,0.090799730068453
MET,0.019884264186590807,0.1410115746546744,0.1258622650665758,0.12913708456852935
PM,0.00661229358588676,0.08131601063681593,0.07052003013471536,0.07592096216812035
VFC,0.03175244145273308,0.17819214756193125,0.163601061105131,0.15769988695045561
TSCO,0.01711429653583774,0.1308216210564513,0.10810707873179033,0.13088163880847323
LKQ,0.01249374724377823,0.11177543220125892,0.09994398752459151,0.12457125501770502
TJX,0.023621988627222555,0.15369446518083388,0.10543881325713259,0.10779291058930311
LEG,0.0892148287589404,0.2986885146083465,0.2511087668921855,0.21480466760081207
UDR,0.052628229814231896,0.22940843448799325,0.20017482374450557,0.1748875797075391
ICE,0.12397710710284364,0.3521038300030882,0.3236254042637738,0.36406658185623986
ROST,0.06335376722782568,0.25170174259989875,0.18235550946331608,0.18712682164827757
DUK,0.051726045157077426,0.22743360604158178,0.18895452356265816,0.1808815867363556
GM,0.20191602040494316,0.4493506652993218,0.40748733376241963,0.5041112116331463
JNPR,0.0718225618199965,0.2679973168149198,0.21799068755825332,0.21792981104700446
TSN,0.07968826336737996,0.2822910968616969,0.2242163280794188,0.19434813191213374
HES,0.028535232351320532,0.16892374715036526,0.13298771733047227,0.12047901245298868
STZ,0.012527226487911339,0.11192509320036922,0.09405440945492041,0.07691965312700866
MAS,0.003231336170810215,0.05684484295703714,0.04698277629174493,0.04862625985730152
EQR,0.0756307651917098,0.27501048196697847,0.23843910879154206,0.2026250510408455
VNO,0.023865492916237473,0.15448460413982187,0.1383051955467125,0.11836461175986528
MDLZ,0.015354949534593397,0.12391509001971228,0.1051628309212428,0.1040986041383784
CBOE,0.09916806767369957,0.3149096182616523,0.26313535808046407,0.2508343515215684
AFL,0.007799147119870036,0.08831278004836013,0.08228974823553382,0.09110469596043184
PSA,0.20677584318049022,0.4547261188677095,0.40339026919519005,0.39831814522373254
GOOG,0.06853879915181157,0.2617991580425949,0.21818794576121442,0.22158977430532126
CPB,0.004495739285779194,0.06705027431546566,0.05034809207470554,0.050327792945346866
TTWO,0.2861954785543584,0.5349724091524332,0.4694046084653045,0.3689211390612046
CPRT,0.30720683276714505,0.5542624222939393,0.48410828903069086,0.5134993540936883
WRB,0.021562845043838017,0.1468429264344661,0.11913131143818925,0.11090408600217241
EIX,0.22902469177252752,0.4785652429633054,0.4259509145153378,0.3612904464098638
TT,0.020916094494422617,0.14462397620872763,0.1267369392262507,0.13032197870767345
BAC,0.011367689958057424,0.1066193695256984,0.09016519876484602,0.08534772450163122
TPR,0.19336677573672859,0.43973489256224435,0.400845875123716,0.6149673747639728
ARE,0.23943674075094024,0.4893227368015309,0.4434682376031738,0.378060630463739
KLAC,0.038173276744070964,0.19537982686058192,0.1609146172698371,0.1441926758541729
PNR,0.10705422802709665,0.3271914241343997,0.2688226058894671,0.3068346047468478
NEM,0.29530144771555944,0.5434164588191633,0.48684809125292355,0.6012843067944208
LHX,0.08598885950378697,0.29323857096873696,0.23819922610667102,0.23846854977619458
WU,0.12315207075375809,0.35093029329734143,0.29250515883830003,0.33004704802364293
BMY,0.005316750562779567,0.07291605147551235,0.06597329040208198,0.06915333049813832
MO,0.004440368296986903,0.06663608854807508,0.057566728908260534,0.055066906837673874
TYL,0.01478667774193509,0.12160048413528249,0.10453183848314926,0.12282697641224137
GD,0.06899563936922215,0.2626702102812996,0.2343196627546966,0.17946375215714275
VRTX,0.12762536680939943,0.3572469269418555,0.28208479982185214,0.2173923030537608
AAP,0.045120845278202974,0.2124166784369885,0.18360312804297668,0.1512750234449989
CCL,0.0032105416334703638,0.0566616416411523,0.04404321868849,0.045388732502131726
DPZ,0.01714951112760699,0.13095614200031624,0.08489798846617014,0.06961648802891791
GRMN,0.051322640196038286,0.22654500699869393,0.2078832741175442,0.18413401631232135
WFC,0.0582509234894121,0.24135228088711344,0.21818861826340663,0.1929794966658545
IVZ,0.07688199498149849,0.2772760266981235,0.2569111596021194,0.24764373565097111
BIIB,0.033160926526369025,0.18210141824370568,0.15664410529858006,0.14462413269675206
BR,0.004813132150389825,0.06937674070169213,0.060385569389278436,0.06074798747084017
BSX,0.0053147989085619695,0.07290266736246329,0.06514366635272631,0.06173247768745327
PEP,0.038576489080271385,0.19640898421475375,0.1589335735491968,0.14796325587889805
AMD,0.024676424064818767,0.1570873135069117,0.11546958218583915,0.15240173985543443
BA,0.032901562895638156,0.18138787968229342,0.16679603453124223,0.18322130363705003
LLY,0.09773880224416674,0.3126320556887389,0.28234599860312,0.22823795336842553
CB,0.004317632291562426,0.06570869266362273,0.060923438374069355,0.06166967308954757
KR,0.269738507486714,0.5193635600296906,0.43777632896279434,0.36170174913937875
AEE,0.07563618206030306,0.2750203302672424,0.24695322889030208,0.22380515864665598
CHTR,0.038882381020352526,0.19718615828792985,0.16246094507996503,0.14608721253503235
ULTA,0.87134407239589,0.9334581256788598,0.7691137142702025,0.9367713377487179
