,mse,rmse,mae,mape
AAL,0.13702464475141288,0.37016840053064076,0.3444240457461592,0.22932641683543958
REGN,0.41866255895068555,0.6470413889008071,0.5578816696915596,0.49881093969953477
BKR,0.11515178826918257,0.3393402249500972,0.3098068258755271,0.2761280463259374
DHI,0.009307771042251028,0.0964767901738601,0.07355280121965378,0.07380845199344312
DXCM,0.09617392931786486,0.31011921791121694,0.2744229810424379,0.24204249407907752
MCO,0.01570798479149218,0.12533149959803472,0.10276916583093765,0.08741198730021343
SJM,0.002904014773601625,0.0538889114160012,0.04775272099676463,0.05389425571979708
CCI,0.003340283427450496,0.05779518515802589,0.04444218394551553,0.04342436044827591
IFF,0.10098283377713183,0.31777796301369265,0.28630669887040433,0.2581880400489715
EXR,0.3660306798963839,0.6050046941110324,0.5413767537271071,0.4884286873958194
MKC,0.23879424633877677,0.4886657818374198,0.4195364321679329,0.41579615004012577
WAB,1.4633836894048304,1.2097039676734265,1.063785382960606,0.9773275642462904
YUM,0.004505247787011549,0.0671211426229586,0.05513574000883441,0.058756287589217686
PEG,0.11360044083651266,0.33704664489727926,0.3015546444397163,0.26638149371494246
SWK,0.056490139276983646,0.2376765433882436,0.19631187545057466,0.19925103707971115
VTRS,0.010740491622942699,0.10363634315693843,0.08197101744707448,0.07290272027672538
GIS,0.002550867284597803,0.050506111358901935,0.04194972425234355,0.042513630881996
TXN,0.016364473697480224,0.12792370264138003,0.11381395752355282,0.10557253546557334
AMZN,0.1550334218537949,0.39374283720951025,0.35538838593136496,0.4464103672839842
LIN,0.0006810213633300652,0.02609638602048309,0.020904231712380553,0.020889053718384724
PWR,0.01716515384623274,0.1310158534156563,0.08659436628335679,0.08614183746414597
XRX,0.057757502439666736,0.24032790607764787,0.22378368294425274,0.21714010895840008
CAG,0.04778281337990969,0.2185928026717936,0.20782300902164016,0.2186634754113194
ATO,0.10652516064856274,0.32638192451262177,0.28797380376923765,0.26496522415841706
TGT,0.011827827853619433,0.10875581756218576,0.07574322194999632,0.07789725897558122
D,0.046576347596096225,0.21581554067327086,0.19517424502274833,0.18660195934325394
ES,0.013811833710766072,0.11752375806944769,0.09910447404051041,0.09056617398073734
INTU,0.0030856857886226224,0.05554894948261958,0.04703879897425128,0.04544739299716876
LUMN,0.04596385314295804,0.21439182153934427,0.1821170797790225,0.1596463169322755
JKHY,0.009286895966554323,0.09636854241169326,0.08633387542977884,0.08857361497672946
FRT,0.09152936638940426,0.302538206495319,0.26952012540361003,0.23672794576501874
SBUX,0.12879326397241336,0.3588777841722908,0.2924744257474645,0.30973944462830266
DTE,0.1262263919354442,0.35528353738309376,0.3142881766438372,0.28218597982395965
EMR,0.005206595972495195,0.07215674585577703,0.06264910613188161,0.06889432317559782
NOV,0.042617012596548945,0.2064388834414412,0.170746151789345,0.16953452988382509
PGR,0.005580404778376086,0.07470210692059553,0.06160821861688476,0.06943355932812884
NI,0.12213812217975062,0.34948264932575784,0.31416137920640025,0.26392536846132586
CI,0.08120021128552196,0.28495650770867115,0.26613049851328785,0.2587121238205291
RJF,0.043776848554042576,0.20922917710979647,0.18597089374735956,0.18383278660219368
CE,0.010120591936477059,0.10060115275918591,0.08700614811613029,0.08389415137207536
TDG,0.02059938758965635,0.1435248674956934,0.11785744701207498,0.10484267915781272
BIO,0.00787600530623671,0.08874686082468895,0.08174006440935226,0.08403142474692127
FCX,0.01323225354150206,0.11503153281384222,0.08898923380332101,0.11399445571005715
BK,0.006238451429586986,0.07898386816044771,0.0687957203673701,0.06745554044074763
APTV,0.06768511074540919,0.2601636230248364,0.24094209100562142,0.21180399122188495
TRV,0.05790405046556841,0.24063260474334813,0.1947132972044695,0.18315765262596995
RTX,0.014886697100142917,0.12201105318840141,0.0963276981528012,0.10048648767374843
MHK,0.07290891084755341,0.27001650106531155,0.2440023704985467,0.260840037650737
KMX,0.01364478103358839,0.1168108772057996,0.08704547279923339,0.087556157645887
UNM,0.12097956218651446,0.34782116408653807,0.31044455698394763,0.31901111868278215
TDY,0.06705234278688083,0.25894467128496934,0.22994784251937597,0.21755648595074903
UAL,0.015683696238031095,0.12523456486941253,0.10839354797472531,0.0925118244684105
AMT,0.039062851332114325,0.19764324256628235,0.16433718124909513,0.13945232920017694
NOW,0.05882576815194094,0.2425402402735285,0.2100834468129455,0.1918343744061283
SPGI,0.0019568343791860846,0.04423612075200632,0.03539124166701023,0.03457721858111495
QCOM,0.019973479128262927,0.14132755969117605,0.1048672280881491,0.104607567959528
GWW,0.016354261918415335,0.12788378285934202,0.10898754733759825,0.11878091589275468
UHS,0.015797046414349616,0.12568630161775632,0.103171797077301,0.08728469575720511
CMA,0.006336517909830576,0.0796022481455805,0.06860827139776501,0.06668369735266406
NWS,0.004672696085493658,0.06835712168818739,0.05369258701289791,0.05837850995034521
WYNN,0.4353894969714363,0.6598405087378588,0.5291059983351909,0.5612964340526505
CAT,0.05399598302317434,0.2323703574537302,0.16770236826657664,0.15388453507375632
HUM,0.003365565677697664,0.0580134956514229,0.05018168311823599,0.04476580991825172
VZ,0.02294980195864379,0.15149192044014687,0.12409806431583482,0.12860776134399005
JCI,0.00568097884755186,0.07537226842514334,0.05765621537862758,0.05563513935523435
COO,0.196210728479823,0.442956802047133,0.3761879064309457,0.3293118707364153
GLW,0.014483046876625988,0.12034553118677066,0.09121569109044796,0.08098638805642781
ED,0.10733637573502036,0.32762230652844804,0.2713468248570273,0.26836455940072174
KMI,0.39542256088126326,0.6288263360270968,0.5325756460972794,0.515037286257444
AKAM,0.2771611227696202,0.5264609413523668,0.4841353515507182,0.42993924329968036
PH,0.04497343694091048,0.21206941538305443,0.1871885792981013,0.20156903088642453
TEL,0.011034750792663386,0.10504642208406427,0.0934187688844636,0.08369181220250245
HRL,0.007910487441330551,0.0889409210730952,0.07935530424815135,0.07417091845546372
XRAY,0.04912200352572276,0.2216348427610667,0.207972479175442,0.21453608311251812
UNH,0.004952240643567165,0.07037215815624219,0.05998510029047829,0.05541048722997451
KO,0.0020325790773831273,0.04508413332185867,0.0374255541396991,0.038571315914693184
ESS,0.18127481273919024,0.4257637992351983,0.37672168150019675,0.32790566082024936
PCAR,0.01982645086434147,0.14080643047936933,0.12356884462965251,0.11243116134381087
ETR,0.18538477650028715,0.43056332461124364,0.3715416988772933,0.3242240935355499
HCA,0.049787287630826446,0.22313065148210015,0.16570349741303342,0.1195350016260758
DVA,0.002196426236339931,0.04686604566570484,0.036953367053153954,0.032716118833557385
AAPL,0.01086574550078938,0.10423888670160182,0.09156210098490075,0.08731705835265653
K,0.001573491204397922,0.03966725607346596,0.033316568574182644,0.03375911379663715
AVY,0.05019429067975334,0.22404082369013317,0.19336684971762488,0.20367722797056348
FANG,0.12204322597298385,0.34934685625175427,0.2961028185288044,0.2226325630237979
FE,0.10238511423700518,0.31997674014997585,0.2620718413462548,0.2876367428645964
ZBH,0.024004336486332926,0.15493332916558958,0.1362869260964381,0.12427415865338699
PRU,0.03539724344862425,0.1881415516270243,0.17233037728678008,0.1852649972934066
NFLX,0.03302476214079635,0.18172716401461933,0.1341710098756856,0.13824434017152767
MLM,0.027688903853943268,0.16639983129181132,0.11863162571740749,0.10190472915537693
HSY,0.0077270284783620725,0.08790351800901983,0.07527056290367988,0.0793141333550381
CBRE,0.004006730956565855,0.06329874372028133,0.04862153356388689,0.04305189169980327
SRE,0.1072877197367453,0.3275480418759137,0.29052112445227085,0.2569130258895226
ABT,0.013866220634905325,0.11775491766760879,0.09893051363729867,0.09014383563146151
AVB,0.035362383968936394,0.18804888717813886,0.16204686374780183,0.14582644098202574
GE,0.11065467564579404,0.3326479755624466,0.304284031651263,0.32836657173849176
LOW,0.029847576543012636,0.17276451181597635,0.11256422300567871,0.1017281063604959
SEE,0.18164914725083717,0.4262031760215275,0.39009571925535563,0.3814704438345613
CHD,0.026720567269997046,0.16346426909265843,0.13408707905891992,0.12554388013459333
DE,0.055281215364561063,0.23511957673609626,0.19939095918252794,0.20987588708432214
ACN,0.0020382662411660727,0.04514716204996802,0.03465028417101663,0.034718222833660585
KMB,0.04781499867251126,0.21866640956605854,0.19082689181764018,0.18688959723575763
FTI,0.09324479133177956,0.305360101080314,0.2696701785005693,0.28654612083769615
NTAP,0.007433431535129309,0.08621735054575332,0.07553739150094604,0.08206369962418088
LNT,0.11459134342884608,0.33851343168158937,0.2947516310025399,0.26520846417419425
ALK,0.15323994555438858,0.39145874055178354,0.35382578455243957,0.28165127061895384
CL,0.0034006494177803927,0.05831508739409033,0.04820082675770855,0.04768215398807518
AON,0.029397659071798768,0.1714574555736751,0.1505393176964742,0.14520274093765026
PFG,0.008768247093871128,0.09363891869234249,0.08246344550246418,0.08361934783728746
HAS,0.018579469455536273,0.1363065275602613,0.12018227892264918,0.12268684272608922
MAA,0.016217998405226208,0.12734990539936106,0.117136725630352,0.11053850629985981
INCY,0.1519685128627067,0.3898313902993276,0.3514146249569217,0.33697382886944743
HON,0.011955068558265888,0.1093392361335394,0.09271629924390966,0.08976336952241482
MET,0.008257633171853573,0.09087152013614372,0.07842887578877658,0.08118037864583916
PM,0.007574965960231974,0.08703428037406855,0.07500591615197603,0.08063723932215616
VFC,0.019378321919263954,0.13920604124557223,0.12866658441046971,0.12475850802100238
TSCO,0.01646150820938968,0.12830240921116673,0.105355241124753,0.12762573515787246
LKQ,0.012160631680634505,0.11027525416263843,0.08548851854001024,0.10417313072335496
TJX,0.005655652311772862,0.07520407111169489,0.06323495439396379,0.0696437392397313
LEG,0.08825949717659008,0.29708499991852516,0.24900859596694483,0.21287156366566704
UDR,0.001505375577085539,0.03879916979892146,0.03254772576303256,0.029296642102696637
