,mse,rmse,mae,mape
AAL,0.13879505604867098,0.3725520850145265,0.34679639201864393,0.2308942063363142
REGN,0.41892435447719933,0.6472436592792542,0.5578748039929253,0.4987610313510911
BKR,0.12582569628693235,0.35471917947431647,0.3248751836365796,0.29017477151753296
DHI,0.00692642067980641,0.08322512048538236,0.07023760271481277,0.0678755285291856
DXCM,0.09619583805913408,0.31015453899489215,0.2744558562227921,0.24206939005382824
MCO,0.01412041541726995,0.11882935419024186,0.09760568835584009,0.0830800879384906
SJM,0.0029245540148927452,0.054079145841005524,0.047915466061925746,0.0540775764399102
CCI,0.0022296477088266584,0.047219145574932404,0.037517467158145905,0.03696938876179035
IFF,0.09773219899549147,0.3126214947752177,0.2819883748036637,0.2543085834248756
EXR,0.37531300922113453,0.6126279533461843,0.549121704295405,0.49558977906015605
MKC,0.00829286149941298,0.09106514975232281,0.0754651702941271,0.07455310304049398
WAB,0.062301177822433565,0.24960203889879098,0.22503814791745555,0.20661842524314714
YUM,0.005919855300269264,0.0769405959183399,0.06281691171838896,0.06711571828456572
PEG,0.12489694582177932,0.3534076199260272,0.31661297915987985,0.27978302396256083
SWK,0.055761135214798196,0.2361379580135269,0.1950550038316283,0.19797359004668008
VTRS,0.009142345360666014,0.09561561253616489,0.07369568644130806,0.06569038501293999
GIS,0.0025739648256479894,0.05073425692417294,0.04227525847228919,0.04284524833708075
TXN,0.016342154921094636,0.12783643815866677,0.11374367147707945,0.10551054380838765
AMZN,0.13235237720677673,0.363802662451468,0.3285080408304158,0.41270873554808407
LIN,0.0006784121748537644,0.02604634666999893,0.02132324011212766,0.021566771243046144
PWR,0.019530396776082877,0.13975119597371208,0.09422030126730528,0.09355705138727251
XRX,0.05769466835705167,0.24019714477289622,0.223668970948306,0.2170316259148909
CAG,0.046078130651877276,0.21465817164011547,0.2042602022431138,0.21503010883096088
ATO,0.12071031850386904,0.34743390523072015,0.30592568310386975,0.2814432017783514
TGT,0.03387471671349571,0.1840508536070825,0.1304140021193531,0.1334535315737148
D,0.04410203826366971,0.21000485295266325,0.1896703210804497,0.18130071285504154
ES,0.01358974553341107,0.11657506394341403,0.0978614519309957,0.08938632679178919
INTU,0.0018404450863885075,0.04290040893031799,0.03504654542274417,0.03388873458154592
LUMN,0.04625094501294347,0.21506032877530776,0.18267175330386978,0.16012418391555278
JKHY,0.021050708923340267,0.14508862437606976,0.1321546177981354,0.1349850941126415
FRT,0.09246566234336828,0.30408167051528817,0.27116656606923495,0.2382169507535439
SBUX,0.1794304754503906,0.4235923458354631,0.3503806970618454,0.3716243039463213
DTE,0.06949816792041034,0.2636250517693839,0.23326744354580908,0.20933365779069352
EMR,0.00486010351634986,0.06971444266685246,0.06028440492488579,0.0663030235236263
NOV,0.043707971736669626,0.2090645157282068,0.17304415575091867,0.17189632717343317
PGR,0.004926422650932926,0.07018847947443317,0.06007062456198819,0.068453182491084
NI,0.09639804454522112,0.31048034486134723,0.2797289383715432,0.23511756267975603
CI,0.08908806498976128,0.2984762385680999,0.2782572471002244,0.2701756979801089
