,mse,rmse,mae,mape
ALB,0.519788586126332,0.7209636510437486,0.6437721475120646,0.7088949973323666
VRSK,0.013361765947347653,0.11559310510297599,0.10835323685174418,0.12101935697828586
WMB,0.5290957296192748,0.7273896683479046,0.6065570812557477,0.46817450493812124
AME,0.0679885302954026,0.26074610312601526,0.22716605801476925,0.232672963204293
WELL,0.09757983381239824,0.312377710172154,0.27620359218506824,0.2743048051398684
LNC,0.02960841898351282,0.1720709707751799,0.15892922457260072,0.1595502878202175
XRX,0.26264986414012,0.512493769854932,0.4665010436854267,0.4470527693429135
DFS,0.04610853222471171,0.21472897388268708,0.18648007790806856,0.16774809624278905
MCD,0.07905202777209765,0.2811619244707534,0.23860316107111462,0.24797668910434215
SYY,0.028162664172492677,0.1678173536094902,0.15356348938513203,0.16436515836010973
RMD,0.00831741446688013,0.09119986001568275,0.07737056313485736,0.08616052872651243
RJF,0.5158109103883859,0.7181997705293325,0.6320479623265319,0.6208250645594254
LVS,0.21501869592921807,0.4637010846754815,0.38067892772650797,0.4619658923685733
ED,0.004059345984568802,0.0637129969831023,0.05612760045889732,0.05827319330969886
MKTX,0.29223304234755243,0.5405858325442431,0.495925555464343,0.5911936591816271
K,0.013451470591153328,0.11598047504279903,0.09064597518629318,0.09147315804800449
BMY,0.3535084307457089,0.5945657497247121,0.5301477696308872,0.5458304863254035
EW,0.10669897531936334,0.326648090947067,0.251424702018646,0.1877055256284484
HPQ,0.04641591291812678,0.21544352605294684,0.18049096111959428,0.14531771075306366
MU,1.1497843961448746,1.0722799989484437,0.9367056675571117,0.6969569463937956
TJX,0.21413828177453598,0.4627507771733463,0.4202401806627484,0.45216722143018995
RL,0.04750536587578899,0.21795725699271634,0.2084279831151973,0.23033269238748288
VRTX,0.09291918910432072,0.30482649016173236,0.2703059762113769,0.2446645619469816
MET,0.42982535805561767,0.6556106756723976,0.5803992167867484,0.5889278165699452
EFX,0.14591986107857657,0.38199458252516694,0.3372942323397966,0.312317612716017
BEN,0.6059198237847879,0.7784085198562436,0.6902799527155459,0.719291488148231
CE,0.05075753324896951,0.2252943258250627,0.19459722183074854,0.18692398599167007
MKC,0.05066005304869308,0.22507788218457422,0.19802239815007808,0.1982031807280134
DLTR,0.019261169984329186,0.13878461724675825,0.12709611224721895,0.1389845127242696
ISRG,0.30360971162644934,0.5510079052304507,0.4725804783350231,0.4227581596988032
MHK,0.3244230313863489,0.5695814528110522,0.5068600758441671,0.5388605809437497
EXPD,0.1795373892626358,0.4237185259846869,0.37905984185204983,0.4166381509301433
MTD,0.004458008136020329,0.06676831685777565,0.04759551042319769,0.045108460012641016
PNC,0.16393489122412352,0.4048887393150414,0.3402864292861094,0.30920466842622524
LUMN,0.01195195390299546,0.10932499212437867,0.09449828131894288,0.08823254194893733
BXP,0.006836894700155704,0.08268551687058444,0.07517071400711119,0.06770976201681403
PNR,1.3291601635995645,1.152892086710445,0.993357341824756,1.1236093173329331
MDLZ,0.02795949157517043,0.16721091942564764,0.1426356895440222,0.14041891674852963
KR,0.12310889411178469,0.35086877049943427,0.295743616554886,0.2447646067011642
WBA,0.010031581123765707,0.10015778114438093,0.08994022458845424,0.08228160192317148
CHD,0.01104177953065239,0.10507987214805883,0.09328990812623855,0.0897823714055243
FITB,0.27678907925397855,0.5261074788044535,0.4449499051792559,0.46038484337656455
ANSS,0.05597450559817419,0.23658931843634487,0.2218110074809118,0.2523733811855661
LDOS,0.8850499920967938,0.9407709562357852,0.8316688406478335,1.0646109557775163
CBOE,0.042321517498366885,0.20572194218985704,0.18127304482675838,0.18226750636050315
TGT,0.005765957800801571,0.07593390415882467,0.06940735417556645,0.0757391946080147
MCO,0.3115529740326393,0.5581693058854449,0.49617905295676035,0.43004986160932906
LRCX,0.1785779233911466,0.42258481206870957,0.3896360063654149,0.31501425876074907
GRMN,0.018396229550461017,0.13563270088905927,0.11656353720851748,0.10224389378016652
PM,0.10075733647435399,0.3174229614794021,0.285900850660729,0.3086805022639097
BA,0.11323585967684704,0.336505363518692,0.30134182291516853,0.33100026220046125
MOS,0.8760410573359289,0.9359706498261198,0.8017580623001713,0.8529752538217773
GM,0.15569897017101988,0.3945870881960279,0.36105327997732695,0.446361867942082
IFF,0.021938838575673344,0.1481176511279913,0.10974285237529609,0.09978077561149122
ULTA,3.1770386313743004,1.782424930081012,1.5312736759731214,1.891308347071189
