,mse,rmse,mae,mape
CDNS,0.016757811220706284,0.12945196491635916,0.10616166253570387,0.09110611909621691
XRAY,0.0073882629079865475,0.08595500513633018,0.06006245990687686,0.058904082321580016
V,0.3344843465801223,0.5783462168806176,0.508610966655,0.5046562107745012
WHR,0.4833458174826355,0.6952307656329915,0.6297128772623218,0.6366285568190121
EL,0.16416380546916914,0.4051713285379028,0.3608436950968165,0.36665293272730926
SBUX,0.038435152273640784,0.19604885175292608,0.1844019045179635,0.1976918241896517
INCY,1.0343122785975436,1.0170114446738265,0.8584647485603718,0.8035537475359374
PSA,0.02962340075226897,0.17211449896004977,0.15609204651517491,0.15010809946080925
HUM,0.011316295328114793,0.10637807729092866,0.08981598416247145,0.07586522015768653
UDR,0.0053100506859322105,0.07287009459258448,0.06118229912342592,0.052544539340736565
HON,0.42234622023419305,0.6498816971066296,0.5613087104066052,0.5338457820870739
AON,0.01578883006335366,0.12565361142185155,0.10932631757424945,0.10524994137336639
TGT,0.06927297500325764,0.2631975968797163,0.24294671150998312,0.2589097158883227
VNO,0.002153090369429647,0.04640140482172546,0.03819407661719671,0.03281723390074704
ALL,0.00794600358585301,0.08914035890578975,0.07597710602460073,0.06887340025099799
MSFT,0.06362087301743911,0.2522317843124437,0.22822112158228694,0.19828174370132248
VRSK,0.013118376947738852,0.11453548335663866,0.10697692513854458,0.11960552604701184
A,0.4119948400279427,0.6418682419530839,0.5574264304447195,0.5615045502760435
COO,0.003605216360238133,0.060043453933281796,0.05039459929911448,0.04659952456457812
BKNG,0.23016867738525584,0.4797589784311033,0.4301095440298978,0.4321493319744793
EXPD,0.1964945801674976,0.4432770918595925,0.3977754940826961,0.43130244254749095
CBOE,0.08362213980463552,0.28917492941926265,0.24940645896928226,0.24245199593623626
VRSN,0.006768829184099337,0.0822728945892834,0.06864977363797976,0.07828059776860653
GE,0.4013197825147279,0.6334980524948186,0.5639354107044565,0.5968426278320699
EQIX,0.049352237803720916,0.22215363558519793,0.19074666932894202,0.1629560620038374
C,0.02265566456051557,0.15051798749822418,0.11100913896822023,0.1132758468222554
LEN,0.9453279079734414,0.9722797477955825,0.8535120807533694,0.8231891283783186
WELL,0.07582452262278133,0.27536252944578593,0.23998056391148337,0.22701490537043367
WAT,0.1908406993132227,0.4368531782111957,0.36096591533849853,0.3633582344363962
AMCR,1.0333218116183218,1.0165243782705469,0.8796362525741541,0.905343689542578
FIS,0.16066190300875205,0.400826524831818,0.3534572114621221,0.33124502517067206
NVR,0.10981588992153578,0.3313848064132328,0.28055834647429895,0.2493913474020866
WM,0.002915427955805869,0.05399470303470396,0.045037510475682975,0.04578805901198511
XYL,0.11737564640687649,0.3426012936444877,0.27894904310907653,0.26095846964523933
STE,0.009982618500826055,0.09991305470671015,0.08307467603735764,0.07518861175507917
LYV,0.18742009263942513,0.43292042298721034,0.3706547345085604,0.31132494309140035
LOW,0.07652932684031792,0.27663934434624066,0.25518792974088333,0.2564056403452385
BR,0.017191825327489557,0.13111760113535315,0.10592650278019669,0.09869820349715215
EFX,0.15457583546446962,0.3931613351595877,0.34788592455228934,0.3194223582224814
NOV,0.13155566295562615,0.3627060282868568,0.29967517186162484,0.3089983268673511
CE,0.007768046436161045,0.0881365215796553,0.07450896625263913,0.07393046104709894
DVN,0.05226096889296954,0.22860658103600068,0.16168620930795036,0.1672835250225703
XOM,0.3879866699730277,0.6228857599696976,0.5374919183087157,0.5556445753245924
ADM,0.343917099851231,0.5864444558960643,0.5328943580457509,0.4862294761829975
PVH,0.42066386181726867,0.6485860481210405,0.5726882165779772,0.6479638086713102
CTAS,0.0073696913973590105,0.08584690674310293,0.06377402669959022,0.055261962375122355
ULTA,1.0550912389288511,1.0271763426641265,0.8643363038522812,1.0591567593461537
FTI,0.03603259517179758,0.18982253599559135,0.16179686737805377,0.16958366089898794
NWS,0.04960799397921268,0.22272852080327,0.19051093152177476,0.21747152198839984
SCHW,0.024782696512754335,0.157425209266986,0.1287300451435195,0.12018019613940543
IFF,0.09628014071933667,0.3102904135150435,0.24627191416600122,0.21979546653499146
PHM,3.028984799885752,1.7403978855094464,1.528077103048101,1.5887098759327292
CPRT,0.16266420402310258,0.40331650601370456,0.3544180377589188,0.3762103184810764
KMB,0.003027256084605042,0.055020506037340676,0.043419583702917326,0.042578766059411056
MCO,0.15931720397076307,0.399145592448123,0.35062527679177724,0.30047231309102845
TTWO,0.42120778631333755,0.6490052282634845,0.557875325953029,0.4360490371187208
APD,0.34496872467082007,0.5873403822919211,0.5135554822065825,0.4389342505520289
ZION,0.3520332712447823,0.5933239176409311,0.5058115300791274,0.5248702037592161
TJX,0.19998233966154996,0.4471938502054226,0.401518246045099,0.42902058250126107
GM,0.08891952715145905,0.2981937745015128,0.2768506040693896,0.33544849452300207
KR,0.12206149748072614,0.34937300622790846,0.29507327685967,0.24101739880468895
CMA,0.051024536399503856,0.22588611378193182,0.18670019911651317,0.18532754327340153
KMI,0.28690743540616365,0.5356374103870674,0.4877903145244823,0.46343249913623163
NTAP,0.03447008388806582,0.18566120727838065,0.1701311274865414,0.18457808859849492
SRE,0.013937511414640943,0.11805723787485858,0.10170456587954593,0.08841342589143497
FDX,0.07402710103944357,0.2720792183159963,0.25734024835171515,0.24464596064737543
BXP,0.011254516550465067,0.10608730626453415,0.08816050990446316,0.07661608888502305
GS,0.005602460906589122,0.0748495885532387,0.06223275179821035,0.06591437310053316
UNP,0.033470617036971996,0.18294976643049315,0.15054147117460054,0.11739608800468775
AMT,0.05777287631398507,0.24035988915371273,0.21325826696371591,0.1830850487681458
HCA,0.046562187404377155,0.2157827319420559,0.1661030450947682,0.12153277066960434
IP,0.20233600252528167,0.4498177436754598,0.4039355647265576,0.39251505417028587
PNW,0.023742974215586677,0.15408755373354033,0.11996933505674211,0.11308989466783598
HPQ,0.002514120669231584,0.0501410078601496,0.03910997965298085,0.0314152195052942
MRK,0.04161835164896256,0.2040057637640725,0.15619938330551486,0.13107881503983873
VTR,0.002972491965651795,0.054520564612371675,0.04806246736990277,0.04710564869719399
REG,0.02329573678436355,0.15262940995877416,0.12649693343841137,0.11377499088213341
MHK,0.396114807278971,0.6293765226626833,0.5597675541252938,0.5948331935601259
AMZN,0.04512678809584706,0.2124306665616974,0.17151423883399866,0.2137928032025758
TT,0.7813224071192497,0.883924435186204,0.7819439398364815,0.7900475919360112
MCHP,0.8996836763548085,0.9485165661994568,0.806342602927986,0.7755755076772383
ODFL,0.014393791108404433,0.11997412682909775,0.09150665353409963,0.06997773354882642
CDW,0.018375283735237176,0.13555546368640836,0.11715701022898359,0.08809420003904604
URI,0.25377373104196554,0.503759596476301,0.4154652907165052,0.3080496130372313
AEE,0.005391698567256344,0.07342818646307658,0.05800312430637109,0.05019398087393982
WST,0.011641346489599498,0.10789507166501859,0.07957227357203836,0.08393892400678038
ZTS,0.07853589979658597,0.28024257313367995,0.2652588692611132,0.25814111724437994
PWR,0.17724578240098612,0.4210056797728341,0.33445292039138746,0.3233962452314436
TYL,0.05680201617133359,0.23833173555222056,0.21736642422386665,0.25602250152202694
