,mse,rmse,mae,mape
CDNS,0.34314669648554635,0.5857872450690151,0.48439760430013207,0.40737425114907483
XRAY,0.04227664832645588,0.20561286031388185,0.19060981811463348,0.19586804963958418
V,0.3317746795575314,0.5759988537814389,0.5102169131412841,0.5066707023250396
WHR,0.12735497135965165,0.3568682829275413,0.33460918382720334,0.3433898797036054
EL,0.21584175175403628,0.46458772234534595,0.41154523574665114,0.4177264599412502
SBUX,0.14399540716767004,0.37946726758400395,0.34796780511292047,0.37049141070608727
INCY,1.1319158145155672,1.0639153230006453,0.8923257520302543,0.8338249030262361
PSA,0.021433344100058392,0.1464013118112621,0.1332972653333868,0.12820177521235535
HUM,0.2006614425542219,0.4479525003325932,0.384465704285599,0.31495291399154524
UDR,0.06866098720012741,0.2620324163154769,0.22846434872200846,0.19389984078193315
HON,0.5681994112349841,0.753790031265328,0.6492474122510171,0.617311112112211
AON,0.008790350062030456,0.09375686674601737,0.08048330865271032,0.07808573946352249
TGT,0.006448141668064139,0.08030032171831031,0.07381626176880071,0.07936927129726364
VNO,0.002881823548456607,0.053682618681064796,0.04601946206266738,0.039221319539999126
ALL,0.10022084907150816,0.3165767664745917,0.2813818470582561,0.24807919473206608
MSFT,0.009187690749280261,0.09585244258379784,0.08795365351225196,0.07795444763602688
VRSK,0.0033343615080484593,0.05774393048666205,0.04754030080935991,0.052870758750305835
A,0.4258096124167621,0.6525408894596277,0.5635660798534993,0.5676399793634893
COO,0.08888376370661108,0.29813380168409465,0.26662225090133546,0.2401248217742097
BKNG,0.030172713384058514,0.17370294581284024,0.16078074625961453,0.15953340166309976
EXPD,0.03878166028995701,0.19693059764789475,0.18178374176826131,0.19904717408241573
CBOE,0.12970103690766796,0.3601403016987518,0.3113575315478398,0.30122190699157025
VRSN,0.008792401106085358,0.09376780420850943,0.07551840605290781,0.08689675525678968
GE,0.4001453519759257,0.6325704324230826,0.5636168794186143,0.5964983574513669
EQIX,0.020589260173659606,0.14348958210845694,0.12026934325524581,0.10433060630288292
C,0.11198193468855358,0.33463701930383255,0.30281137574542655,0.31820845275423315
LEN,0.7284578930365463,0.8534974475864273,0.7544026630636466,0.7282146965569675
WELL,0.130201888359392,0.3608349877151494,0.3168292038488721,0.2999361661781025
WAT,0.20651575907483308,0.4544400500339215,0.3738654175437638,0.37630586632815766
AMCR,1.2340666329244958,1.1108855174699577,0.9614451074604581,0.9896170130853164
FIS,0.34527473623919724,0.587600830699887,0.5114671193818667,0.4782222879566488
NVR,0.6919633403418156,0.831843338821569,0.7121349615188106,0.6316849156765645
WM,0.02051041657115491,0.14321458225737668,0.13844090878311713,0.13747895180535416
XYL,0.06910968926017383,0.26288721775729956,0.20964135511253512,0.19630354511111175
STE,0.23536467705516548,0.48514397559401423,0.43765836345822406,0.3773890045256214
LYV,0.08986613485325098,0.2997768083979329,0.2574842775067003,0.2175230121305774
LOW,0.06965690369074803,0.26392594357271515,0.2438708645431831,0.24551943249519484
BR,0.004420938913004488,0.0664901414722851,0.05350590412811614,0.053267520795905965
EFX,0.09922747992325064,0.31500393636151697,0.28034644893626776,0.25789252034484056
NOV,0.04538839156273052,0.21304551523730914,0.16567135953239912,0.17362263877844566
CE,0.06624215353935642,0.257375510760749,0.22059669227761164,0.20918044706443212
DVN,0.06750492175699392,0.2598170928884278,0.17932267997442716,0.18613836677024959
XOM,0.5601397366157433,0.7484248369848127,0.6469797499817505,0.6683364462162353
ADM,0.19971360812224828,0.44689328493752095,0.41205593766489595,0.37799003670348097
PVH,0.6315815336187572,0.7947210413841811,0.6939996234870238,0.7851214541339294
CTAS,0.05263930893404907,0.22943258036741224,0.2120872628215923,0.1922081019523032
ULTA,0.8617811320285211,0.9283216748673496,0.7839963523430499,0.9610632903823109
