,mse,rmse,mae,mape
CDNS,0.03264259761991929,0.18067262554111316,0.15433381958869488,0.129723793994212
XRAY,0.03682281403252792,0.19189271490217633,0.18092177786257074,0.18654729572261675
V,0.02696611195726854,0.16421361684485405,0.1281148978652369,0.12206621227688826
WHR,0.015883852182635612,0.1260311556030318,0.11031181325633867,0.11792564638000061
EL,0.00270605186502872,0.052019725730041294,0.0422703279528462,0.04402032544484833
SBUX,0.09037551129527176,0.3006252006989297,0.23890642262394338,0.2496173678739225
INCY,0.09118685700376049,0.3019716162220557,0.24737331913356303,0.24420266668096322
PSA,0.2635411902065017,0.5133626303174995,0.4556998501936904,0.43767283564120824
HUM,0.07326789146157385,0.27068042312212726,0.23035326795506786,0.18580895633444636
UDR,0.02056914628231323,0.14341947664914004,0.12236581055182955,0.10362749237706596
HON,0.005980961498384245,0.0773366762822417,0.06608883948659532,0.06347185874751292
AON,0.011828435171861515,0.10875860964476107,0.09449703142861014,0.0911359768543896
TGT,0.06639735966015793,0.2576768512306799,0.19309954331230444,0.19466058736673267
VNO,0.0651215171578621,0.2551891791551164,0.22577229457163284,0.1887744059035409
ALL,0.05806122524218375,0.2409589700388507,0.19469657618501426,0.16764486211399734
MSFT,0.0035276634846504126,0.05939413678681097,0.050525892422150505,0.04717171775532241
VRSK,0.009381927820096343,0.09686035215761062,0.07659483644884081,0.0842592003619244
A,0.0029606369862858056,0.054411735740424655,0.042811149857603155,0.04338017537116097
COO,0.3625079774857828,0.6020863538445153,0.5150681107817705,0.45179468165632725
BKNG,0.010040248951513186,0.10020104266679657,0.0798314889171828,0.07751686636806883
EXPD,0.043602622761734086,0.20881241045908666,0.16986710157892568,0.18012020967064826
CBOE,0.09559185598206942,0.3091793265761303,0.25707589718108903,0.2390222517082021
VRSN,0.015702102731633475,0.12530803139317717,0.10841856799630978,0.12311706213030407
GE,0.04592750275503134,0.21430702917783948,0.19940913631889726,0.21141400116146103
EQIX,0.10113747210575814,0.3180211818507663,0.27728046368462594,0.2321078501638075
C,0.023879449769588567,0.15452976984901184,0.11822737738880672,0.12088591941979858
LEN,0.08601110372313621,0.29327649705207576,0.2531134872194666,0.24121674009200722
WELL,0.6397718989334716,0.7998574241284954,0.6988530582861235,0.6613879157111076
WAT,0.1218515043129673,0.34907234825028366,0.3149852282751462,0.3128464716693184
AMCR,0.1114171294194853,0.3337920451710695,0.27514268165376315,0.28135954009625097
FIS,0.0020596553841758865,0.04538342631595687,0.036892892792792,0.035980285219992664
NVR,0.02139808382310881,0.14628083887887985,0.13414196851915886,0.11879107540693683
WM,0.978607366812768,0.9892458576171892,0.8433972794983743,0.8097774312197051
XYL,0.01690440811081452,0.13001695316694095,0.10870921147350525,0.10205898022182767
STE,0.0697299384783257,0.2640642695980009,0.213477934078095,0.17750567740183026
LYV,0.09362644779789697,0.3059843914285449,0.2748178093008338,0.22811757540586877
LOW,0.05133811921602714,0.22657916765675334,0.15575025116762536,0.14035340499185614
BR,0.0033618398921978574,0.05798137539070505,0.04659028188447612,0.046728128087697274
EFX,0.05842556035589022,0.24171379843916693,0.20261209363472107,0.1835600562034493
NOV,0.05432066361812665,0.23306793777378873,0.19180728818444268,0.1878664731836757
CE,0.019268896873081916,0.13881245215427152,0.11863082331436874,0.11255587654403902
DVN,0.11111862903008235,0.33334461002104465,0.2965024480176964,0.2795764334909246
XOM,0.07804194953294097,0.27935989249164056,0.2467569660837356,0.2554831396241161
ADM,0.021680542565307503,0.14724314097881608,0.13649311311549103,0.12832250183842128
PVH,0.0766338187958234,0.2768281394580822,0.2564678155812753,0.28997411908049187
CTAS,0.08486008208449314,0.291307538667459,0.22688935156207726,0.19096590274586983
ULTA,0.6856635136803514,0.8280480141153358,0.6770914473819785,0.822227742569038
FTI,0.11150396150077153,0.3339220889680279,0.2958036204564337,0.3152221847764619
NWS,0.048823371570740126,0.22096011307641053,0.19362981329386075,0.2164505577738828
SCHW,0.017246237210392156,0.1313249298891576,0.1115540200456065,0.10523729823226487
IFF,0.11601434661374142,0.34060878822153345,0.3051403431052302,0.27144163173400115
PHM,0.012464900778726027,0.11164632004112822,0.09301976202640817,0.09541533335553415
CPRT,0.14014699324079158,0.3743621151249036,0.32802932539433055,0.3479993334476831
KMB,0.06794038961352816,0.2606537734496245,0.22533897338690903,0.21492325027417733
MCO,0.01612475131920375,0.12698327180854865,0.10346292313564592,0.08723843645265796
TTWO,0.28373994026810245,0.532672451200644,0.46542397622171444,0.3652836261035086
APD,0.0513905074658571,0.22669474512184243,0.19174480872290584,0.16193276367899068
ZION,0.032501545232824176,0.18028184942701297,0.1550658007636013,0.16139389607514817
TJX,0.006051700597770993,0.07779267701892636,0.06794982477238458,0.07338981314310501
GM,0.18598290756967378,0.43125735653977404,0.3936942334595934,0.47718777290840786
KR,0.38138828705003647,0.6175664231886611,0.5208888660870306,0.42414339302134607
CMA,0.021770904437193032,0.1475496676959763,0.13245616377717803,0.12884422303159138
KMI,2.035444678645628,1.4266901130398388,1.233358363063652,1.1508215825577646
NTAP,0.011663043205613038,0.10799557030551317,0.09085104748221647,0.0957475768127141
SRE,0.09823601894376532,0.31342625758504233,0.27528806983603943,0.23798941623353118
FDX,0.011314827878147058,0.10637117973467747,0.09222305184921419,0.0917766715359905
BXP,0.3079656783132756,0.554946554465631,0.5023560765083331,0.4328297808381633
GS,0.11190810361642112,0.33452668595557683,0.2696729616416783,0.26213089069214307
UNP,0.011656797859977683,0.107966651610475,0.0843912746613666,0.06461097466564249
AMT,0.06801709245373365,0.26080086743286274,0.21957305636416155,0.1843783713344783
HCA,0.05960205542198113,0.24413532194662274,0.1831197307574045,0.13253157522660444
IP,0.017854125121126083,0.13361932914487365,0.10557905093168984,0.09997220571665087
PNW,0.12248259363491841,0.34997513288077825,0.29165581906257215,0.27856182549111624
HPQ,0.15277743480467715,0.3908675412523751,0.34596719917358065,0.2772583434812542
MRK,0.00804198340766526,0.08967710637428741,0.08135290895296259,0.06951087756738543
VTR,0.38744015217156746,0.6224469071106125,0.5531425317556583,0.5403006455441487
REG,0.2781234830572293,0.527374139541587,0.4581913923114852,0.41474091566350296
MHK,0.06731543911249019,0.25945219041759926,0.2361192431351056,0.2526436855524227
AMZN,0.24825544808148806,0.49825239395459814,0.45197123074758205,0.5667604896349078
TT,0.024871370884809757,0.1577065974676068,0.13944448305537752,0.14216788778070485
MCHP,0.05070131761214435,0.22516953082543018,0.18222648754434412,0.1770974858458611
ODFL,0.05024124497309962,0.22414558878795635,0.1843973519846091,0.14227083483470027
CDW,0.07842480500298007,0.28004429114513313,0.24216860736680423,0.17975541881088716
URI,0.3705683717391338,0.6087432724385,0.554548152490381,0.4107260601517824
AEE,0.0902337421688323,0.30038931766764326,0.26737822085150575,0.23409029793033403
WST,0.009872044500153417,0.09935816272533131,0.08789005061782619,0.09846403655797424
ZTS,0.02706079640939227,0.16450166081043763,0.11819383694267155,0.10450008662310503
PWR,0.01204314723171801,0.10974127405729354,0.07525308325686463,0.07415598584926437
TYL,0.02608056058531746,0.1614947695292868,0.1278448050095102,0.13865522899257704
DVA,0.0025040250173748143,0.05004023398601184,0.04211025710084732,0.03731766329224635
OKE,0.03604683279875968,0.18986003475918695,0.11365411925357093,0.1088155984530266
STX,0.041766436095679094,0.20436838330739687,0.18951724577234066,0.18455525893776067
LHX,0.0801790957150668,0.28315913496665934,0.23354734144467784,0.2299147465271879
AME,0.0026763969173158667,0.05173390491076298,0.04327120039927146,0.04437195987150329
MO,0.012255227524000226,0.11070333113326006,0.089540992591584,0.07603087568616236
QCOM,0.023885622313015154,0.15454974057893192,0.1210894548600934,0.1186011267644358
WFC,0.04509097261759072,0.2123463506104843,0.18931316054539374,0.16413254177817546
FRT,0.10986451716722138,0.33145816805024036,0.29289818493490954,0.25129742643557246
AIZ,0.12668492455287914,0.35592825759256475,0.31550760024832575,0.31369788822298916
PPG,0.004641493741907639,0.06812850902454595,0.051257048264480444,0.046393263066814946
LH,0.13322718101852957,0.3650029876843881,0.31227222955236716,0.32404058009016956
MPC,0.3122325523473151,0.5587777307188567,0.4910810447264852,0.5062860754895645
RCL,0.2110106296077113,0.4593589333056573,0.39725550778116375,0.2964344772599337
PLD,0.14151342471687176,0.3761827012461787,0.3383354141483965,0.3283141969121422
ADSK,0.0688563002524412,0.2624048403754039,0.2288976995153419,0.21103123826422593
LLY,0.148138329956013,0.3848874250427169,0.34455496093448235,0.2721384965152261
TRV,0.03875670764326646,0.19686723354399652,0.15542321897284483,0.14294628297923312
MU,0.11862484486181364,0.3444195767691111,0.29985738884523766,0.23455286259702998
TXN,0.0106327844310347,0.10311539376366023,0.09124393182373586,0.08398047692598469
FTNT,0.4433020882965565,0.6658093483096768,0.5958202689030369,0.5167245768772629
DGX,0.2693798808713697,0.5190181893453926,0.434729398727025,0.4405808855652671
IT,0.18650567401775567,0.4318630269168173,0.38823568488285454,0.3685001070992251
AMD,0.029264082076677723,0.17106747813853376,0.11841505377042762,0.1602779372537737
NRG,0.01535641985251493,0.1239210226414991,0.09669916824514015,0.08665702199142837
JNPR,0.048927688335090445,0.2211960405050019,0.1811254915330393,0.17954508104016953
BKR,0.09375543636719588,0.30619509526965955,0.275521522275738,0.24205822917090244
ABT,0.024171266372374954,0.15547111105403136,0.12976921981599288,0.11600932956497659
HAS,0.007107387766288305,0.08430532466154379,0.07251014420130696,0.07301366794044728
PNC,0.014505287398551866,0.12043789851434583,0.11014731984834432,0.09826923751624526
L,0.002028809444701989,0.045042307275515864,0.039853733705120124,0.04523068493078686
TXT,0.0952375902895372,0.30860588181293175,0.26126916389358074,0.24749365097148424
ROP,0.1256604224290308,0.35448613855696925,0.32007619609354887,0.30045711037775963
BAX,0.0032326375385070875,0.056856288469324896,0.04759618586812369,0.04430370825151747
TROW,0.007966275121719579,0.08925399218925492,0.07380326213010761,0.07446645982579529
RJF,0.04464005275820072,0.21128192719255642,0.18847852435019224,0.18525808228076213
ZBH,0.01584959587700438,0.12589517813246218,0.11126559279775049,0.10154297687608525
TMO,0.004619493440560337,0.06796685545587891,0.0527429365952667,0.04871587745080339
FITB,0.015320609938114061,0.12377645146841972,0.10432363335997448,0.10626246555033321
COF,0.014345423748922979,0.11977238308108835,0.10716524011799992,0.10296594380300947
SYY,0.06321383101713304,0.2514236087107435,0.22927445267368257,0.2394419817944379
NCLH,0.015694037038378916,0.1252758437943202,0.11097525055174488,0.11598980375980103
RTX,0.011239958046793359,0.1060186683881351,0.0854054727902352,0.08766285875981629
COST,0.17812045647181904,0.42204319266138984,0.3385684648058263,0.33090399395160836
CSX,0.0052425122575005525,0.0724051949621058,0.06309544725477477,0.05975787278173544
VFC,0.01250848706657903,0.11184134775019045,0.10292836270940327,0.09971242431244344
BIIB,0.374008528728032,0.6115623669978656,0.5581182791207092,0.5090468872338564
T,0.16079828310937846,0.400996612341524,0.34877796911134606,0.34615015074024524
MCK,0.11215456190909008,0.3348948520193914,0.29314516607282937,0.25028644447640414
EOG,0.3035289927122554,0.5509346537587334,0.5033262867962829,0.4620407059282923
CCL,0.22135096765051956,0.4704795082153096,0.4091826002651857,0.40712498865083285
UPS,0.005596467391314468,0.07480954077732645,0.06533394128250247,0.06847491699516595
TAP,0.027084278590594514,0.16457301902375893,0.1348764521863688,0.10427728050273374
MKTX,0.011791487949247873,0.10858861795440566,0.09035119944811582,0.11015969664488348
PCAR,0.014132393025047504,0.11887974186146058,0.10177717664702167,0.09147300937038295
HII,0.053369870841115434,0.2310192001568602,0.19328285682638752,0.17205619784895562
WRB,0.057737704896589276,0.24028671394105267,0.18784155614259035,0.1707556563451175
JNJ,0.6060151283830923,0.778469735046323,0.6801012421944386,0.6175450325656808
ED,0.28855571431074406,0.5371738213192673,0.454508462826342,0.4324947518169589
NVDA,0.0453865696085521,0.21304123922037277,0.1918626265089994,0.1600282302058903
UAL,0.10330113538072934,0.3214049398822758,0.27000480495859863,0.210753536166754
MS,0.033723959081823025,0.18364084262990907,0.14568741976866878,0.13301180224221434
MTD,0.16927016322549598,0.4114245535034291,0.34721916998564656,0.3320300821097909
HIG,0.02414635095297983,0.15539096161932917,0.14695234355744474,0.14702561085868984
KEY,0.004979982083085318,0.0705689881115304,0.06124072283880993,0.05949746821959548
MAR,0.06118075783417509,0.2473474435569834,0.2094880302931165,0.15065387501094563
TDY,0.18624519903717224,0.4315613502587694,0.38178571778656945,0.3616051776925281
SYK,0.09592207894304282,0.30971289760525444,0.274958186136305,0.24119289653503442
DPZ,0.019947273254231727,0.1412348160130204,0.09469000324966505,0.07748021843929606
VLO,0.324784941668056,0.5698990627015068,0.4747962676492704,0.46504604538683253
CI,0.07305121417016379,0.27027988117905444,0.25330010284556737,0.2472010013284559
ARE,0.25317610772890375,0.5031660836432675,0.45338935341771314,0.3746031560098918
VMC,0.0036262698876969265,0.06021851781384964,0.04782312442588755,0.044481447232239006
MAA,0.16361849053468533,0.4044978251297346,0.36566419087342245,0.3346733718390184
CTSH,0.13407973565982798,0.36616899876945885,0.32237391588609954,0.33550571999262885
DFS,0.001759933819214901,0.041951565158107045,0.032575973978370025,0.030303286123975936
AZO,0.059971302953999155,0.24489038967260263,0.2063319216553093,0.18332845704680853
RSG,0.1692793912672628,0.41143576809419813,0.3508077233893302,0.31641336488755506
PSX,0.09583857290098269,0.30957805623296797,0.24763503497542647,0.241200702828803
ATO,0.03250591876451146,0.18029397872505742,0.15288093202994388,0.1359249189270499
TDG,0.31600886192538974,0.5621466551758444,0.49841338041676975,0.39490036645929133
DD,0.008614491858468768,0.0928142869307779,0.0771149218828814,0.06811788608530259
