,mse,rmse,mae,mape
CDNS,0.02830031121929233,0.16822696341339674,0.14505278790797035,0.12218879873331495
XRAY,0.04799334132379237,0.21907382619517185,0.20609157059650693,0.2118327633103309
V,0.010409910774447294,0.10202897027044473,0.07320519399807654,0.06876156453341101
WHR,0.015832075952609184,0.12582557749761844,0.10951254630802999,0.11713981011134053
EL,0.002609436611702083,0.051082644916860785,0.041012784505220654,0.043186773250532856
SBUX,0.16474169578085787,0.40588384518339465,0.33328134881914223,0.3494833189814873
INCY,0.17311780384175895,0.41607427683258547,0.3747117644863146,0.358640261981891
PSA,0.24644064322846285,0.49642788321010217,0.44184685198577495,0.42444460157060043
HUM,0.05115647151254552,0.22617796425059963,0.1934396859281218,0.1564443982495976
UDR,0.04872526142537706,0.22073799270940436,0.19216484818768015,0.16452820260782453
HON,0.010981804440706518,0.10479410499024512,0.08936013054874128,0.08549998777246468
AON,0.025198924517976607,0.15874169117776404,0.14017369704546698,0.13434961874514706
TGT,0.04663953456353352,0.21596188220038628,0.15813374988426657,0.1587037599545237
VNO,0.01563840400770983,0.12505360453705375,0.10987266290881235,0.09176649602859145
ALL,0.03251828020671433,0.18032825681715645,0.14408163584565062,0.12392684429996649
MSFT,0.0340172145684102,0.18443756279134194,0.17742497955152067,0.15763515620493762
VRSK,0.006777591028883964,0.08232612604078954,0.06421886161876986,0.07058414255031423
A,0.006739859804696017,0.0820966491685015,0.06808918863349368,0.06898975302571306
COO,0.22175210109181787,0.470905618029577,0.3997525381459908,0.34979831592526356
BKNG,0.005629545378293818,0.07503029640281196,0.06004513711697068,0.05864560743224498
EXPD,0.03435445529504866,0.1853495489475188,0.15101026970942297,0.16000310342938964
CBOE,0.1824175373286821,0.4271036611042829,0.3653499264111543,0.3421141577961846
VRSN,0.009216669665093376,0.09600348777567082,0.07835778956200452,0.08941003837268116
GE,0.048968633483015195,0.22128857512988598,0.20321959867108438,0.21539040159838926
EQIX,0.07343453609701597,0.2709880737173058,0.23661654013422143,0.19810882389550397
C,0.026266905148641297,0.1620706794847276,0.12372365696009226,0.12648091729805463
LEN,0.025428577277397276,0.15946340419480978,0.13358445143577408,0.13081999098733868
WELL,0.4556849920171646,0.6750444370685271,0.5896946164901893,0.5579308939485906
WAT,0.11142593376308475,0.3338052332769586,0.3027185160620798,0.3005655118746741
AMCR,0.06393513098873303,0.2528539716688924,0.2060530531741752,0.21033636027639235
FIS,0.003718903985618361,0.06098281713415969,0.05261102884437478,0.05042691089413652
NVR,0.016022237096944208,0.1265789757303487,0.11567854371417693,0.10256570283751851
WM,0.08467189415630719,0.2909843537998344,0.23094478621952794,0.21908969724418545
XYL,0.04417261536325826,0.2101728226085815,0.17590549745686118,0.16469702348086018
STE,0.08328177844734842,0.2885858250977487,0.2355874304212485,0.19622767560860763
LYV,0.08916647266335032,0.2986075562730292,0.26959510207295695,0.223964411559312
LOW,0.03617629541728975,0.1902006714427942,0.12528359023807922,0.11180092536247677
BR,0.00833976275079267,0.09132230149745828,0.08306540531885127,0.08204829385146335
EFX,0.01011243389070167,0.10056059810234658,0.08051520934413524,0.07259067267121459
NOV,0.04391840428146919,0.20956718321690826,0.17281519214624202,0.16898545338017387
CE,0.016982429874578046,0.13031665233030676,0.11230549346030076,0.1065854629293015
DVN,0.08383693250295503,0.28954608010290006,0.2558724076331367,0.2398684982316495
XOM,0.20057955394698615,0.4478610877794432,0.3946589745030529,0.4079317981127408
ADM,0.03964047277497822,0.19909915312471377,0.1858989442521607,0.17281718939903526
PVH,0.08642791391040858,0.2939862478253168,0.27060815076109884,0.30614113818647104
CTAS,0.6076610588048867,0.7795261758304763,0.6615348252861767,0.5696744771224718
ULTA,1.500411154675175,1.2249127130841508,1.0294632894947333,1.2625343726752962
FTI,0.09679613163961617,0.31112076696938146,0.2758735406028763,0.2935108086001511
NWS,0.031807845129465065,0.17834754029552824,0.15629531141446204,0.1743123027815758
SCHW,0.013434715165299472,0.11590821871334005,0.09754149998319565,0.09201967514453514
IFF,0.05821345738440932,0.2412746513507155,0.21716760646567992,0.1930336537357024
PHM,0.054843662683072524,0.23418723851455384,0.20452914891344867,0.21461922795484814
CPRT,0.24474969589557513,0.4947218368897568,0.43308909335569906,0.45923210690742516
KMB,0.007182247208271527,0.08474813985139454,0.06941644750067348,0.06577289456885839
MCO,0.013369341286996444,0.11562586772429621,0.09458540636146301,0.07982428085154522
TTWO,0.2847139714056306,0.5335859550303311,0.4681102950723877,0.36781215021203806
APD,0.06580634586238893,0.25652747584301555,0.2199824146135873,0.18619794686997004
ZION,0.03763458027752912,0.1939963408869588,0.16627023776773242,0.17304242054586597
TJX,0.021130875127742796,0.14536462818630533,0.13001314427898475,0.14244338598473735
GM,0.18890842378244146,0.4346359669682681,0.39522245970571335,0.4791236635202955
KR,0.3315699224656062,0.5758210854645792,0.4859768813221942,0.39584470896046814
CMA,0.003340611013704048,0.057798019115745204,0.04889330422514532,0.047310767759549614
KMI,0.4346593244600888,0.6592869818675997,0.5576009870796652,0.5168935166924472
NTAP,0.009233926216125394,0.09609332035123666,0.08243919101458755,0.08732672284119428
SRE,0.0787636702045042,0.28064865972333486,0.24724156870227287,0.21382167228029209
FDX,0.011958119327075521,0.10935318617706354,0.09764972669813947,0.0963330267107212
BXP,0.2602393332009398,0.5101365828882887,0.4619027572557103,0.397926480288529
GS,0.08369055144531912,0.2892931928776049,0.22974915123563744,0.22275327849029072
UNP,0.01001777834913258,0.10008885227203168,0.07876824674236214,0.06046764096632351
AMT,0.05874575571944521,0.242375237430405,0.20564144736972118,0.17292875840223101
HCA,0.053838291443425446,0.23203079848034278,0.17305218657163618,0.12500552960643466
IP,0.01282937235789257,0.11326681931568737,0.08851247747695838,0.08375183980213381
PNW,0.1279318997573332,0.357675690755373,0.30171526446287344,0.2886514234919435
HPQ,0.1827964514183451,0.42754701661728983,0.37654061594498456,0.30127161623878806
MRK,0.0035743492132381625,0.059785861315516414,0.052524737829826626,0.04532994799450755
VTR,0.3640919446024035,0.6034003186959744,0.5370497915328977,0.5246139708593561
REG,0.23237775495205976,0.4820557591732099,0.4191073636078221,0.3793768377702253
MHK,0.07202497306277945,0.26837468782055335,0.24319965073169716,0.2600046563022367
AMZN,0.1377123881811551,0.3710961980149556,0.33492514761007647,0.4207132950313815
TT,0.008814234125187082,0.09388415268397048,0.08090969306912538,0.08289249123032166
MCHP,0.053987964036730174,0.23235310205962428,0.18621341916740103,0.18095961558875964
ODFL,0.0629816069354545,0.25096136542395225,0.20968484728961523,0.16235347983141907
CDW,0.06906367854280275,0.2627996928133721,0.22809189058555102,0.16947255506070852
URI,0.019451897883850416,0.13947006088709654,0.1191615367710104,0.08987253534404112
AEE,0.08265987930670561,0.2875063117684647,0.2569208351552488,0.2249370772543467
WST,0.03350681287542968,0.18304866258847585,0.16594800643758814,0.18849730146647858
ZTS,0.012614645095904108,0.11231493710056605,0.09442275251979132,0.09162153194965245
