,mse,rmse,mae,mape
CDNS,0.35683374790608013,0.5973556293415841,0.49457337392283324,0.4159738082192557
XRAY,0.04625420917976016,0.21506791759758162,0.19903699536560823,0.20433846596301636
V,0.42292531100141395,0.6503270800154441,0.5740944369591949,0.5693266017031857
WHR,0.09126405731677217,0.3020994162800918,0.28421750042247146,0.2932210116357655
EL,0.21892870303255282,0.46789817592351524,0.41471564500310176,0.4209450456335885
SBUX,0.13595948781406292,0.3687268471566221,0.3386892425552406,0.3607372030415813
INCY,1.1769568014462775,1.0848763991562713,0.9068541198693992,0.846641069060268
PSA,0.033988254353018735,0.1843590365374552,0.16703284364406557,0.16057458343096206
HUM,0.14118857881735905,0.3757506870484192,0.3212084969612614,0.26357126764852423
UDR,0.1405890049959907,0.3749520035897804,0.3283157738902061,0.2788527215507037
HON,0.5661647746851083,0.7524392166049748,0.64782995346309,0.6159555694271546
AON,0.007950076382333587,0.08916320083046361,0.07584493197573638,0.07368294530020944
TGT,0.005615632516069568,0.0749375240855312,0.06519197015255379,0.06912175559582269
VNO,0.004121739984770457,0.06420077869286678,0.05592248469079963,0.04734939783936709
ALL,0.10330660394078213,0.3214134470441181,0.28660844411976666,0.2527641247064669
MSFT,0.002851571788492981,0.05340011037903369,0.04612228700588431,0.04200328717539102
VRSK,0.004213166094754093,0.06490890612815851,0.05329698395969674,0.059041520104948
A,0.48464340968185404,0.6961633498553726,0.6016863915749553,0.605986855513894
COO,0.08329314114137788,0.28860551128032513,0.2580789620533712,0.23254338715305692
BKNG,0.01970096427140537,0.1403601235087992,0.12981549953564564,0.12821238649978958
EXPD,0.07137133630778678,0.26715414334759396,0.24672657644245463,0.26893864113563337
CBOE,0.12345451348801723,0.35136094473919155,0.30454744261697286,0.294826553887332
VRSN,0.013141824306686176,0.11463779615243036,0.09616045820855339,0.1104734466649845
GE,0.4083997751660082,0.6390616364373691,0.5691956976201623,0.6023961078094485
EQIX,0.016671431794960934,0.12911789881716995,0.1067056385712153,0.09295409050077959
C,0.16023205080262556,0.4002899584084337,0.3607640492043824,0.3787458273369146
LEN,0.6826749503212151,0.8262414600594762,0.7305429065537216,0.7052996100619051
WELL,0.13337545879105342,0.36520604977334836,0.32053712666453404,0.303423827837555
WAT,0.22029404666482763,0.4693549261111762,0.3866391298124764,0.38909634148922706
AMCR,1.1201558786506438,1.0583741676036145,0.9151385932178512,0.9418289339795998
FIS,0.33383376330315007,0.5777834917191301,0.5029793565500635,0.47030546122586564
NVR,0.6957993329171857,0.8341458702871972,0.7156093882582306,0.6348896144648207
WM,0.12371191017373748,0.3517270392985695,0.3252422894300712,0.317550393820978
XYL,0.13065608490422007,0.36146380856763527,0.29141834468846406,0.2725091251568231
STE,0.24852569670074376,0.4985235166978021,0.4490769436228921,0.3870205595378504
LYV,0.09353935411704231,0.30584204112097196,0.26275152811511193,0.22189417103880252
LOW,0.06105557191809072,0.24709425715319797,0.2282860713742834,0.23067295052389675
BR,0.004579572210677314,0.06767253660590324,0.054973743555308825,0.05427259106141968
EFX,0.11829382364304518,0.3439386916923497,0.30630155320846075,0.2817082195690945
NOV,0.07045341973419543,0.26543063073841994,0.2123615734032948,0.22066118432592222
CE,0.08891609715873698,0.2981880231644742,0.2556105593934801,0.2426495818941685
DVN,0.07341367770954875,0.27094958518061757,0.1895769729660598,0.19629102504212706
XOM,0.5593373688854744,0.7478886072708116,0.6458971391778343,0.6672369349658522
ADM,0.2199044859781865,0.4689397466393593,0.4312826040996079,0.3952096129932558
PVH,0.5538006660815731,0.7441778457341854,0.6528337743705729,0.73842157441337
CTAS,0.20450578942668596,0.45222316330179946,0.4126544404114686,0.36660631626580875
ULTA,0.7828828593650743,0.8848066790915823,0.7476289176529454,0.9164238101792039
FTI,0.16049037652241094,0.4006125017050903,0.31381055958537046,0.34915809260256225
NWS,0.174311223603601,0.41750595636900917,0.3620610363820947,0.411338597146195
SCHW,0.2518445020084998,0.5018411123139472,0.42962434929079973,0.3976043474343764
IFF,0.16494723572906037,0.4061369667108134,0.32506781461107676,0.2896235583130974
PHM,0.9071565229175741,0.9524476483868151,0.836131722208425,0.870474696587031
CPRT,0.07281317375458145,0.2698391627517797,0.2390146972268304,0.2540672474422035
KMB,0.0013068811133880994,0.03615081068784073,0.027649122914038638,0.026156488222521933
MCO,0.8080670905815467,0.8989255200413139,0.7792557044420837,0.6647807285366049
TTWO,0.007016017432490782,0.08376167042562357,0.06850114124730318,0.055461785662881166
APD,0.512852058016825,0.7161368989354095,0.6244426001688639,0.5331016675465772
ZION,0.2814247325116645,0.5304947997027535,0.44868973163529097,0.4658881429111333
TJX,0.2631302337922824,0.5129622147802725,0.4614230812234417,0.49240182574809754
GM,0.07246675480854467,0.2691964985072144,0.2517899689332279,0.3049451744585648
KR,0.14916595379232395,0.38622008465682356,0.32566574081104244,0.26562810101576134
CMA,0.22044405970993247,0.4695147065960048,0.398419194596442,0.39378599216183846
KMI,1.096083076207437,1.0469398627463933,0.9390033521816007,0.8874239689001399
NTAP,0.05038328255343915,0.22446220740569925,0.20368727540529477,0.21980143048184544
SRE,0.073995534403657,0.27202120212155706,0.23603697654791864,0.20408175195601808
FDX,0.11872068285128526,0.3445586783862587,0.3215000609615629,0.30261836056708663
BXP,0.14225279909636065,0.37716415404484116,0.3058316774907492,0.26100522736816445
GS,0.058219106979421544,0.24128635887555175,0.22719372373879512,0.22936180988765756
UNP,0.0587483098736191,0.2423805063812251,0.20115705168131964,0.15648973751102882
AMT,0.03972943426189691,0.19932243792884158,0.1771133842297661,0.15189271476827487
HCA,0.30360152399609575,0.5510004754953445,0.458433502720171,0.34368319050716767
IP,0.26786669732712104,0.5175583999193918,0.46026224835758883,0.4464621358150492
PNW,0.026201581855946125,0.16186902685796972,0.12676614958750623,0.11961654100820734
HPQ,0.006797128196976125,0.08244469780996304,0.06492304165030299,0.05105959751875752
MRK,0.0836265205068842,0.28918250380492283,0.22162882831122846,0.18565416593032505
VTR,0.00170815320290353,0.04132981010001776,0.03143402053980742,0.03185387327084162
REG,0.07224758105488774,0.26878910144365553,0.23101828605565664,0.20858383917834158
MHK,0.3187096523071841,0.5645437558836198,0.502090194783102,0.533800626384093
AMZN,0.01319628716632898,0.11487509375982671,0.08707645565220003,0.10994618673481682
TT,0.736090422064978,0.8579571213440553,0.7609928409435621,0.768993575109834
MCHP,0.7029557659134964,0.8384245737772101,0.7026127136683835,0.6764028154883267
ODFL,0.056546218218438034,0.23779448735922798,0.20886118873747697,0.16660617578710324
CDW,0.029415725830434867,0.17151013331705758,0.15032097094503147,0.11254489774426503
URI,0.22075574892832497,0.46984651635222857,0.3876587108373629,0.28806325356719453
AEE,0.028737736213718734,0.16952208178794506,0.1372732704534739,0.12151268108874337
WST,0.07044291695637878,0.2654108455892087,0.2435362554526139,0.27324783975246236
ZTS,0.15568460207773677,0.39456888128403733,0.3692138134020691,0.3535033948296656
PWR,0.7956345525801616,0.8919834934460176,0.7514000631859538,0.7183742405617455
TYL,0.045458398195815326,0.2132097516433414,0.19077791195689203,0.22681441151032578
DVA,0.6124573172454498,0.7825965226382301,0.662115076261734,0.5739661265084246
OKE,0.15703590226690728,0.3962775571072721,0.2934398746813857,0.2685151385235058
STX,1.1269372760577336,1.0615730196541986,0.9484817994348061,0.8975947394942626
LHX,0.6988405592660487,0.8359668410086902,0.7126204029212397,0.698896008464227
AME,0.05690003996270393,0.23853729260370155,0.20794619728500588,0.21229755821587123
MO,0.01616362020798598,0.1271362269692867,0.12228970225699003,0.11153105014532172
QCOM,0.015080817386345426,0.12280397952161577,0.08768010341915917,0.08641191969993671
WFC,0.0055728587276956945,0.07465158221830061,0.05612143614538977,0.0487870182036202
FRT,0.020472398176310764,0.14308178841596425,0.13200038405492645,0.1142565906454324
AIZ,0.3302159790017849,0.5746442194974077,0.4883496153148606,0.4852495877837358
PPG,0.050760824716234734,0.22530163052280544,0.1968105266270647,0.1830740508723618
LH,0.07470597712047253,0.2733239417256976,0.21765976416545074,0.22679840268249707
MPC,0.2933830554144502,0.5416484611022635,0.46865320755248047,0.48381181093256354
