,mse,rmse,mae,mape
AAL,0.03511693748804336,0.18739513731162652,0.16129506685156775,0.11337936997275071
REGN,0.20204479545818357,0.44949393261553994,0.38166335716656563,0.33893401172854565
BKR,0.12139333218192293,0.34841545916035777,0.2338861299301863,0.23134646497457279
DHI,1.843918644877126,1.3579096600573715,1.1711962985839852,1.1421807501101309
DXCM,0.03315870986863752,0.1820953318145128,0.15480455021953277,0.14094501354918007
MCO,0.5017959476319089,0.7083755696181997,0.6274543351593083,0.5431277805221283
SJM,0.030706924123311708,0.17523391259488474,0.16091673133648854,0.18016433109003627
CCI,0.006547637784449703,0.08091747514875698,0.06710027604167547,0.06535724266400246
IFF,0.02033377486485827,0.14259654576762465,0.10483652570201689,0.09535965083223866
EXR,0.0026222463359158277,0.051207873768746026,0.04518768112538901,0.04230366199423123
MKC,0.052356467568866104,0.22881535693407054,0.2013775964628974,0.20154159051114107
WAB,0.7541952277084728,0.8684441419622063,0.7588872722317788,0.6997329933379388
YUM,0.15180958124665597,0.3896274903631108,0.3337045667008204,0.35439241736186655
PEG,0.019327916198633076,0.13902487618636125,0.125410589301493,0.11072143326100949
SWK,0.016015406823451588,0.1265519925700563,0.10379166088819895,0.10513992534126283
VTRS,0.0088740929612269,0.0942024042221158,0.07072983879132753,0.06301862739571583
GIS,0.04735290789441905,0.21760723309306393,0.18375650201535126,0.1825722451355473
TXN,0.13363518911374533,0.3655614710465879,0.3204239584237374,0.29192743445199804
AMZN,0.2505443061840843,0.5005440102369464,0.4524982134748726,0.5679196958137791
LIN,0.32613248851062254,0.5710801069120011,0.4940383902486321,0.4980888962883883
PWR,0.8599524952610155,0.9273362363571346,0.7769009600184393,0.7425337340432187
XRX,0.2602427527974292,0.5101399345252527,0.4644843572002825,0.4451568592846167
CAG,0.3756817545850946,0.6129288332140157,0.5581028989755011,0.5769529235109312
ATO,0.04941810575714895,0.22230183480382917,0.1871774043105186,0.17361055927886257
TGT,0.005273730145257796,0.07262045266491939,0.05662043029674557,0.060104844043770325
D,0.0013168572230382231,0.03628852743000497,0.030000595525419813,0.028951627216415834
ES,0.022964483966896453,0.15154037074950177,0.12691942104660828,0.11853278393927391
INTU,0.03100852602998226,0.17609237925016022,0.16191928987900797,0.15070492072361
LUMN,0.01826086149664923,0.13513275508421055,0.11931080196536815,0.11018039870669011
JKHY,0.04508395469125116,0.2123298252513084,0.1918670870091785,0.19521488989603478
FRT,0.04228093453012061,0.2056232830447968,0.18684327424162142,0.16456898023918867
SBUX,0.15652755118575784,0.39563562931788365,0.36096159525951915,0.38763333205483336
DTE,0.004379031446964891,0.06617425063395044,0.0570406215803928,0.05138933717549352
EMR,0.039481461033205476,0.1986994238371251,0.17396305726922004,0.1908625092924462
NOV,0.031454323480640665,0.17735366779584985,0.13451776454225348,0.144817115795081
PGR,0.2959866562924803,0.5440465571001073,0.4981991083317181,0.5584304132370407
NI,0.1674302216981262,0.4091823819498174,0.35211083191684406,0.2942078135597862
CI,0.1105267745107505,0.3324556730013048,0.3053088986547178,0.29471397061626786
RJF,0.5165822458541223,0.7187365622076856,0.6326918999271756,0.621466329691731
CE,0.043425218751150386,0.20838718470949788,0.1799372473221315,0.17273733166222874
TDG,0.11929793349878161,0.34539532929497124,0.28344522630629476,0.2501797800160614
BIO,0.0588332663506127,0.24255569741940242,0.20297568942392913,0.21481945523990795
FCX,1.864556352884971,1.3654875879644497,1.1899332756840897,1.457534351543972
BK,0.22566386029259358,0.47504090380997044,0.4299691940096377,0.4006008624619291
APTV,0.01570298324240591,0.1253115447291506,0.09360684828026387,0.08337170408616464
TRV,0.1653551673565967,0.40663886601823573,0.3728457498889718,0.35999076695262094
RTX,0.47206725966780966,0.6870715098647372,0.5880230502863942,0.605779546212637
MHK,0.326662533916297,0.5715439912345305,0.5085877827669646,0.5406870148171959
KMX,2.201010217700788,1.4835802026519456,1.2681287887600536,1.291478594539037
UNM,0.18822134496957657,0.4338448397406342,0.3823410495256464,0.39262939971872396
TDY,0.220154896292189,0.4692066669306703,0.4078785483837368,0.38847731300750665
UAL,0.24353244713548128,0.4934900679197924,0.4305125322044346,0.34047518917393205
AMT,0.06854151640060756,0.26180434755864457,0.22946105009852485,0.19794634915078851
NOW,0.5767252298003596,0.7594242752245675,0.6475389970104188,0.622801538155246
SPGI,0.7614313085729149,0.8726003143323493,0.7665822479050066,0.7175240112642809
QCOM,0.008338608410670953,0.09131598113512746,0.06539791228930056,0.0654367845208135
GWW,0.06748835202712879,0.25978520363394214,0.22783832422133438,0.25028393592222203
UHS,0.029427503274506196,0.1715444644239685,0.13697179408222482,0.11120674687711153
CMA,0.27065445423855733,0.5202446100043299,0.4452468761380053,0.4441555539503984
NWS,0.16317145198750865,0.4039448625586277,0.3505526104758212,0.39829905759312234
WYNN,0.6502227270421674,0.8063638924469321,0.6501019203515935,0.6881305354896041
CAT,0.26233483868273266,0.5121863319952346,0.42014871805525383,0.38155224040295477
HUM,0.03298264929723445,0.18161125872928266,0.1610098554492341,0.1359723571999526
VZ,0.07516014467340562,0.27415350567411245,0.24426909163737215,0.2554708093501968
JCI,1.070296001589515,1.0345511111537773,0.893278600828045,0.8519875623594996
COO,0.1283709026492118,0.3582888536491357,0.31953508241486,0.28678418004608525
GLW,0.027703727675974562,0.16644436811131388,0.11575196572127694,0.10273105800393659
ED,0.0017134682073642262,0.04139406004929,0.03651444817104203,0.037417513330181826
KMI,1.3492551316570565,1.1615744193365556,1.0361194660039168,1.0174811355529976
AKAM,0.05239293029649722,0.228895020252729,0.19317799829653604,0.172420627266508
PH,1.0422782725130335,1.0209203066415289,0.9008226445564211,0.9618616733877622
TEL,0.3021866984462096,0.5497151066199742,0.46414472444726984,0.4214932243989339
HRL,0.0012713935043356533,0.03565660533948308,0.02611809438533,0.02473164939219066
XRAY,0.03665566569503088,0.19145669404601887,0.17784344068847316,0.18375149441901628
UNH,0.3682741791767831,0.6068559789412832,0.5419286522631418,0.47262473898544766
KO,0.39733529966185793,0.6303453812489292,0.5615479363992157,0.5582215836954832
ESS,0.3779077905820837,0.614742052069064,0.5516027307347597,0.4816243912772806
PCAR,0.14591865992606573,0.38199301031048427,0.31628944786580143,0.2958534064996827
ETR,0.015661312499069973,0.12514516570395348,0.10595739247991816,0.09538325550670293
HCA,0.12432516023708808,0.3525977314690043,0.289331102957271,0.21572675613856857
DVA,0.19904526895336452,0.4461448968142127,0.3814314319975764,0.331262135927094
AAPL,0.01495424790833815,0.1222875623615834,0.1031605704583214,0.08795699021821085
K,0.013376580537396588,0.1156571681193889,0.09039816566862699,0.09122609244905
AVY,0.18706920884150402,0.4325149810601987,0.3748377531535249,0.3939403017898794
FANG,1.1794904009623002,1.0860434618201522,0.8700642596770397,0.7264447123007186
FE,0.10282294772443527,0.32066017483378767,0.28848481255060227,0.3229346420319627
ZBH,0.0035814158351311614,0.05984493157428757,0.046899040460910486,0.0437902349520798
PRU,0.09414548449171448,0.306831361649546,0.28110266419863644,0.3008823457273095
NFLX,0.123375513183728,0.3512485063081806,0.28159931781517444,0.2840444855135222
MLM,0.3327957321937649,0.5768845050733855,0.4462225278581319,0.37674913643410846
HSY,0.08073094527215759,0.2841319152650008,0.23644130180834103,0.2487541478870641
CBRE,0.20383645919089147,0.4514825126080649,0.3919024306195136,0.33688092032368155
SRE,0.048436156368884056,0.2200821582247958,0.18846193575418935,0.16627119043667676
ABT,0.2543093850445094,0.5042909725986668,0.4459880338723472,0.4091862341139022
AVB,0.1137726459937016,0.33730201006472166,0.2973661092661873,0.2684811886704104
GE,0.29682249572960284,0.5448141845892073,0.4865353706875713,0.525025244610789
LOW,0.09068690704907703,0.3011426689279967,0.27710297733440803,0.27978283952690824
SEE,0.6348620650664646,0.7967823197501716,0.7125367339514107,0.6914055661907202
CHD,0.01031073948952851,0.10154181153361659,0.08998225152215002,0.08665328558980871
DE,0.03174969950333062,0.17818445359607168,0.1550597508225798,0.16346144035430696
ACN,1.5861604116394736,1.2594286052172523,1.1014323636506194,1.1167887695559966
KMB,0.013184125407200388,0.1148221468498146,0.09386498848567601,0.0930873975179122
FTI,0.015175821299498017,0.12319018345427535,0.0834058926510596,0.09713880366948878
NTAP,0.03728082922818211,0.19308244153257983,0.17797740250708544,0.19676047324742518
LNT,0.012512921943395362,0.11186117263552783,0.09558639295902928,0.08562719673591963
ALK,0.0414175227164643,0.2035129546649655,0.17808687115513838,0.1408046021376917
CL,0.08045932095464323,0.28365352272560135,0.251448892104316,0.2508147548820036
AON,0.026539297267054108,0.16290886184322234,0.14142970724343149,0.13653957910535608
PFG,0.10620920532131294,0.3258975380718807,0.3017605889338986,0.3066943751627951
HAS,0.972284359592004,0.9860448060772918,0.8653654935687499,0.8747222600479266
MAA,0.004647805570024587,0.06817481624489051,0.060069901838830965,0.05702712843598284
INCY,0.3078843884777601,0.5548733084928127,0.48870108891789404,0.4656842800644501
HON,0.48384916340917733,0.6955926706120309,0.6053115199836646,0.5831398486509332
MET,0.42086297591601735,0.6487395285598199,0.5745688177787477,0.5830393715589592
PM,0.0858023357681396,0.29292035738087513,0.26436269557045255,0.2855226168869715
VFC,0.4652814837378768,0.6821154475144782,0.6114792444619858,0.5829395555682638
TSCO,0.5045665908978455,0.7103285091405563,0.6408709509287956,0.7446099577130899
LKQ,0.009461283940920471,0.09726913149052206,0.07747270231698161,0.09470508235010865
TJX,0.1716744025307597,0.41433609851274084,0.37746881500361473,0.40665107473699985
LEG,0.40169329391591835,0.6337927846827529,0.5657141590498109,0.4939775067881328
UDR,0.06119446581394234,0.2473751519735609,0.22137476485013666,0.19420534203111367
ICE,0.1094227636684074,0.33079111788016224,0.3060206844936671,0.3446795401489029
ROST,0.20374169708723225,0.45137755492185505,0.413797527399294,0.4567677613660125
DUK,0.005374680113789849,0.07331220985477009,0.052497725476159066,0.04932767829150299
GM,0.1453568619626451,0.38125695005159593,0.3492041846567301,0.43170796239935366
JNPR,0.23996597617373797,0.4898632219035615,0.3968584318534001,0.3987328032795416
TSN,0.0682930518092063,0.26132939331274296,0.24394014454266633,0.2079693387656213
HES,0.4083278659107043,0.6390053723645086,0.5382972282278944,0.5366021944064917
STZ,0.054458463426744645,0.23336337207613506,0.21858177235676657,0.1782718480587878
MAS,0.18700625532824458,0.432442198829213,0.38462263379393685,0.38765819120994033
EQR,0.06946758293012223,0.26356703688079475,0.236513977238863,0.20230014244821684
