,mse,rmse,mae,mape
ALK,0.048460694799302324,0.22013789950688256,0.1943891116194808,0.15380967162748238
SBAC,0.06119512629816819,0.2473764869549412,0.21558871296100443,0.18661196203511016
TSCO,0.518169227489309,0.7198397234727388,0.6491890298168462,0.7541796928070547
EA,0.03021738908560444,0.17383149624163177,0.13074200124458382,0.09766280833490924
MSFT,0.0014154035985967004,0.0376218500156053,0.030520844923487334,0.027195023270255286
EBAY,0.2764961980320994,0.5258290578050051,0.45948426645078855,0.4809312336266587
DVN,0.05881577741484843,0.24251964335873585,0.1637825641559824,0.1728667753735558
LHX,0.6020406645255861,0.7759127944077131,0.6632010650875647,0.6604020006489375
SLB,0.34718432498581264,0.5892234932398849,0.4843728359796033,0.4715268277586046
PHM,0.7796567257135727,0.8829817244504966,0.7718572289963869,0.808476364388311
ITW,0.17146879903091755,0.4140879122009209,0.3703331897315579,0.3551820733911615
HAL,0.09418912393900165,0.3069024664922093,0.18053999492530054,0.21190965561347974
FE,0.09904023760994368,0.3147065897148385,0.28314186506689926,0.3169906483669249
LNC,0.04004077894209454,0.20010192138531438,0.18436064913123526,0.18454878887232717
LUMN,0.013542727624494402,0.11637322554820934,0.10131258120990987,0.09425009853560237
EXPE,0.558578102477266,0.7473808282778373,0.6514930957060299,0.5572920156212124
NOW,0.563480734181786,0.7506535380465384,0.6401919612694388,0.615783617031762
AES,0.0013750825870768736,0.03708210602267452,0.02871697912244741,0.030406023315297247
LYB,0.09884332833356403,0.3143935882513574,0.21242236245474388,0.19309261297596464
GLW,0.03557487504817348,0.18861302990030535,0.13296321571009373,0.11761707938406224
BK,0.15148114415705097,0.3892057863869074,0.3546565344957606,0.3312014847690595
PG,0.0018240019688870648,0.042708336058515144,0.03331285068832872,0.03389458872669225
FMC,0.7584198178495087,0.8708730205084486,0.7366191927793494,0.8908830334639396
GD,0.06552447031315707,0.2559774800898647,0.2156164303362662,0.16466245811911212
KMX,2.033975246903545,1.4261750407658749,1.217801271221337,1.2398314395303742
