,mse,rmse,mae,mape
FITB,0.694897007135008,0.8336048267224753,0.7002072491884015,0.7145620988723795
EVRG,0.011808066601739232,0.10866492811270448,0.09456805614262598,0.08040684461582406
C,0.14654489494346315,0.38281182706842165,0.3490376043602437,0.3669985275395839
RSG,0.27032325344749847,0.5199262000010179,0.4425743690820945,0.39909953498190154
LDOS,0.7449420039033652,0.8631002281910052,0.7623445897969479,0.9533899121186974
MSI,0.07680879675940888,0.27714400004223233,0.2499072525091721,0.26065640196394185
SO,0.0014329770367826837,0.037854683155227754,0.028517274539022683,0.026377476504128642
MOS,0.11485482296244306,0.3389023796942758,0.2776771676235872,0.29162191765481954
PSX,0.41507170154011935,0.6442605851207408,0.5381732785317682,0.5198148592159673
GS,0.3428615752709019,0.5855438286506842,0.5319089493593254,0.5303725517376421
HON,0.47466841236844204,0.6889618366560241,0.5933819681893275,0.5644609881260514
ADBE,0.2033255371175343,0.45091633050659663,0.3814660001529985,0.3319391096380364
LLY,0.021149146214265627,0.14542746031704476,0.13059460176272833,0.1033654844862797
FLS,0.29865503241596536,0.5464933964980413,0.4712109026014857,0.5346521437337036
HCA,0.30991685225218063,0.5567017623936362,0.46463471722687355,0.34872765886757634
LVS,0.1261360994675134,0.3551564436519678,0.2923790675511972,0.348587997962112
DUK,0.05009691266050621,0.2238233961419275,0.1839288631960634,0.1686684968484312
EXPD,0.06179177614068337,0.2485795167359599,0.19841165945127226,0.21143711253333075
AEE,0.020315728293185602,0.14253325328913813,0.11611179371884184,0.10299966536871752
ESS,0.9049538098767779,0.9512906022224639,0.8453882109676284,0.7200062201570153
ETN,0.4398137035844534,0.6631845169969315,0.5818184374291159,0.633505072023923
O,0.009023779140383683,0.09499357420575184,0.08581317253928171,0.0796325024790162
MCO,1.2782446904936633,1.130594839230068,0.9737173292085852,0.8297306856813094
NFLX,0.19717729670201817,0.4440465028597998,0.3609032511430285,0.3596385066080335
COST,0.020203997643027667,0.14214076699887218,0.09932164219089294,0.09476659054146601
TYL,0.023905038280166768,0.15461254244131287,0.12554787302918696,0.15284022300478403
TTWO,0.012654556692250506,0.11249247393603941,0.09459413716208238,0.0749945790960406
CSCO,0.03126197405703027,0.17681055980068122,0.15571068109039776,0.14643845617256715
VMC,0.09547589712578554,0.3089917428116576,0.26104310941904646,0.24504916127004528
EOG,0.19192454935095074,0.4380919416640196,0.3381084826601025,0.3228741060221129
