,mse,rmse,mae,mape
LVS,0.20908384531120855,0.45725687016294086,0.3750981077829797,0.4552970341311429
PAYX,0.5345458775715664,0.7311264443114928,0.6601866391532607,0.6954399037039533
KMI,1.341933579728104,1.1584185684492907,1.0332739761076473,1.0146909586555715
WAT,0.09908249449534208,0.31477371951187744,0.26086476817059356,0.2631350849224219
UNP,0.0019995924259704413,0.044716802501637364,0.032305398216448386,0.02618650479183965
LRCX,0.22232414381272073,0.4715126125701419,0.43292876752660264,0.34889172674892016
EW,0.10428176503559067,0.3229268725819991,0.2482106880873425,0.18520952594777507
ROL,0.26452642861119635,0.5143213281706256,0.45615390715189036,0.45580948228373674
MSFT,0.173131658695486,0.4160909259951315,0.3547318307300757,0.30747741359878483
CVX,0.12051110982106945,0.3471471011272735,0.3023209764253732,0.31959181231836836
AJG,0.005354402110518003,0.07317378021202679,0.06545798132140078,0.06831796582556926
DOV,0.6432238454021043,0.8020123723497689,0.6880631829120799,0.6827788571335218
CDW,0.016533427540699783,0.128582376477882,0.11121742296916318,0.0841343644300114
DLTR,0.017871936504616676,0.13368596225713705,0.12170296569053403,0.13339531423464193
BKR,0.03459143575016358,0.18598773010648734,0.13663271904831023,0.13360050043150007
PRGO,0.014784448385663736,0.1215913170652565,0.09840669243134666,0.09987712112064404
GD,0.12662819333897202,0.3558485539368848,0.3034196776721139,0.23154690225839764
TXN,0.011152004118277357,0.10560304975841066,0.08727476359884807,0.08098414959659685
ARE,0.005021895658248067,0.0708653346725186,0.05362215140762382,0.04625439316394905
A,0.2746790632305492,0.5240983335506317,0.4577856231037562,0.46491130853008156
BDX,0.14440829914018596,0.38001091976440093,0.3339920375840811,0.3037660633638273
DVN,0.03998785661574752,0.19996963923492866,0.13144637218483932,0.13932304885933186
ORLY,0.02166958974422776,0.1472059433047041,0.12331770350408257,0.10577197964399233
FFIV,0.2636151110005665,0.5134346219340555,0.4285564305366807,0.3322950931922716
MSCI,0.009280280554924395,0.09633421279547778,0.07770226095722532,0.07492748756877944
UNH,0.03498003139812738,0.18702949339108893,0.17052123994874846,0.15143855212621876
SCHW,0.08816149062942749,0.29692000712216665,0.2598490395988829,0.24324735193671698
HBAN,0.16529406851231407,0.4065637324114315,0.3622235597350276,0.3599251454960498
PNC,0.05971894261540344,0.24437459486493976,0.19971610008512553,0.18164946987446076
GOOG,0.19062141040880054,0.4366021191070888,0.366998390974375,0.3718736841153953
MET,0.4005478957113073,0.6328885334016625,0.5602850774628626,0.5685718940515325
RJF,0.4941894356452017,0.7029860849584447,0.6186127418271317,0.6076672543514776
IT,0.49718487020870594,0.7051133740106664,0.6304771942872343,0.5971032383940033
AAL,0.03501735426589687,0.18712924481731033,0.16096935790273584,0.1132627996544268
HCA,0.1392402820666441,0.37314914185435843,0.30766674420811524,0.2297985032635469
SYY,0.05653108895550055,0.23776267359596323,0.21512476855797596,0.2298344938316986
CTSH,0.45479585184621996,0.6743855365043203,0.5877211452587647,0.6096705246744817
J,0.8997479445845181,0.9485504438797749,0.8106482982607173,1.0297335471510771
AAP,0.15220517260294142,0.39013481336961126,0.3332018035276684,0.27249674057624046
LH,0.2291601948842237,0.4787067942741399,0.42324873311024724,0.440800639850401
HRL,0.05465446256518716,0.2337829389951011,0.20205520107891378,0.1842692729138726
IPG,0.06930234020336397,0.2632533764329794,0.23079568098865566,0.21811706425020874
APA,0.015195169480935326,0.12326868816100595,0.1003232528073946,0.11177079596475548
AMT,0.006855976852546463,0.08280082640014207,0.07118138375582667,0.06234442597433593
CTAS,0.7399842506228226,0.8602233725160126,0.7651772273202779,0.6859992437545168
ABBV,0.010850119135939187,0.10416390514923674,0.0938688191970251,0.09405052355099211
