,mse,rmse,mae,mape
AWK,0.005451666390851863,0.07383540066155166,0.06567358051597777,0.05739924059013827
IBM,0.231237016478814,0.48087110172978165,0.4075594212853755,0.42518035452437297
SEE,0.26075513253734295,0.5106418828664008,0.4652941942532855,0.45011471167809136
UPS,0.1187245411231449,0.34456427720114124,0.31964405154469994,0.3258726852180988
FCX,0.8574255053715812,0.9259727346804447,0.8087126138874617,0.9665361795322744
J,0.6307289090432918,0.7941844301189062,0.6798705042036753,0.8633763771076496
BLK,0.29063740583632147,0.5391079723360818,0.4886530697985194,0.47361239808412864
WELL,0.3229772389649356,0.5683108647254033,0.49796323613258786,0.4714128724792503
MSI,0.13034650607228165,0.3610353252415637,0.3217320416385196,0.3357916870227486
CBOE,0.022122209778434262,0.14873536828351977,0.12874277665306896,0.12868700000226274
LMT,0.3004762132051855,0.548157106316415,0.47899263656333946,0.40113011018610933
ROL,0.16402109183666155,0.404995175078249,0.36460767093435414,0.36100869686845194
CB,0.03072296498304844,0.17527967646891765,0.1682666567735312,0.16354484317228113
SYK,0.016678050099046788,0.12914352519211633,0.11009513368375008,0.09791537133924927
UHS,0.25105367742227697,0.5010525695196832,0.41297390511237525,0.3352867191892084
LYV,0.27080437124532686,0.520388673248493,0.4439256057902219,0.3715100015470104
DXCM,0.023841989348525206,0.15440851449491122,0.13207153239114225,0.1190891552792711
XEL,0.023399695550799758,0.1529695902812051,0.13222557441977145,0.11586881567633234
K,0.026220133650093104,0.16192632167159576,0.14174283880378374,0.13625608279489237
CBRE,0.14622598711601292,0.38239506680397034,0.33636342533058744,0.2898987905669519
CNC,0.24239640147793143,0.49233769049091847,0.4063312596430837,0.3286143207687326
VZ,0.0014872195409769936,0.03856448548829601,0.030478912352005706,0.03177418942180505
YUM,0.014388512275233956,0.11995212493004848,0.09843241842761098,0.10413642336427985
CRM,0.07698797471882031,0.2774670696115492,0.24381304760499714,0.2469458929588423
TROW,0.3112760217848599,0.5579211609043521,0.49669375166446367,0.5063580236511672
IVZ,0.05413402066855659,0.23266718863766886,0.21690301836574538,0.20635685464090306
WU,0.038915385474150625,0.1972698291025534,0.1844822494611851,0.2079109864221931
LIN,0.0976972966965656,0.31256566781488593,0.27234241036247864,0.2713240065873875
WEC,0.021508539030422224,0.14665789794764625,0.12568599027186375,0.110164351029326
ESS,0.6414677126608779,0.8009167950922729,0.7135889160571219,0.6080499106040886
VLO,0.16688693456757708,0.40851797337152385,0.33251321294400976,0.32702235591442314
ADSK,0.24041456522807514,0.49032087986141804,0.4310709071627861,0.39462952978933197
COST,0.02875346066625942,0.16956845421911299,0.11969091906410931,0.1143554115141531
VTRS,0.059913349277038515,0.24477203532478647,0.21992312925584517,0.1893654495983718
TSLA,0.26183945228049854,0.5117025036879325,0.41102076941735965,0.33342950581634356
ROP,0.39059368137559336,0.6249749445982562,0.5573338152057941,0.5243300737083902
ADBE,0.0868278226057548,0.2946656115086299,0.2500671776753371,0.21851309226328233
ODFL,0.018666826218779867,0.13662659411249287,0.12629518095948317,0.1040202774854422
REGN,0.2352413676085296,0.48501687352970474,0.4103287308326881,0.3641609700563069
STT,0.06350645360708759,0.252004868221008,0.23669437025532444,0.24498236962075048
NOV,0.10300727842998644,0.32094746989186007,0.27219457726135954,0.2690375344592083
CMS,0.005648016638901265,0.07515328761206169,0.06072718746364759,0.05274658137437527
AON,0.0016960667909434782,0.04118333146970359,0.03262778759534812,0.032042513485506
GE,0.20401402944888983,0.4516791222194024,0.40849900610270534,0.43242583025580783
ECL,0.003179423916379492,0.05638638059300749,0.045120175329350636,0.0433942885888477
APA,0.03151419743218896,0.17752238572131954,0.13425422158609815,0.13594463141940585
IPG,0.021204445956207033,0.14561746446153714,0.1288116323201482,0.12190163442495952
BA,0.041687795093239007,0.20417589253689822,0.1878211273627743,0.20341988398742597
CSCO,0.07345762981344263,0.27103068057591306,0.2377948766387696,0.2227176318600085
NWS,0.03135786429675221,0.17708151878937625,0.1534389782012689,0.17512696447114096
CDNS,0.004659747383871283,0.06826234235558638,0.053842634803043236,0.04690359479857189
TFC,0.36152567322818874,0.6012700501673011,0.5191107963171266,0.5027140939088468
D,0.012981853345313142,0.11393793637464715,0.10378336590582374,0.09628883591656594
IDXX,0.014323375019514906,0.1196803033899685,0.09129290432564956,0.0791984637261867
KEY,0.07105252683600535,0.2665567985176993,0.23092119200803252,0.22843265056879997
COF,0.18631241521759223,0.43163921881311046,0.3864516292794412,0.36529012371047587
DPZ,0.017750003623151375,0.1332291395421864,0.08637713173350219,0.07017533989531004
