,mse,rmse,mae,mape
LVS,0.19917665884458996,0.446292122767801,0.36559065082872017,0.4439324202814483
PAYX,0.554200532348777,0.7444464603641937,0.6720483526013156,0.7078895546554795
KMI,1.228686530862777,1.1084613348524057,0.9895510395123968,0.9720125996315806
WAT,0.0997580306584794,0.315844947178959,0.261783342108357,0.26405598425091453
UNP,0.0029260081821051104,0.054092588975802505,0.039975826863618,0.03231343152384091
LRCX,0.19195251594114413,0.4381238591324879,0.4032193560351019,0.32557123214824674
EW,0.12600398522549974,0.35497040049206885,0.2774126262527553,0.20841311157388223
ROL,0.2663029349455305,0.5160454775943013,0.4576782636707102,0.4573272882723016
MSFT,0.1913602502053936,0.4374474256472355,0.37345504029420673,0.32381438708131804
CVX,0.11188903077117059,0.33449817753041733,0.2911324728962397,0.3078807815381046
AJG,0.0034005161160249354,0.0583139444389156,0.05184832296040117,0.05419967556078031
DOV,0.5665662009509013,0.7527059193010915,0.6448233698147564,0.6402203492423757
CDW,0.020306689630527962,0.14250154255490696,0.1240387543454742,0.09365956776344522
DLTR,0.015978518330577472,0.1264061641320449,0.11451346886587208,0.12579917025302514
BKR,0.052056474140010106,0.22815887916101382,0.15459725118929696,0.1535661489397873
PRGO,0.008213071620647744,0.0906259985911755,0.07324831240161274,0.07445236491798067
GD,0.12119028757121546,0.34812395431974436,0.29661273003112953,0.2263557203635613
TXN,0.009772492717683672,0.09885591898153429,0.08076406439545647,0.07508644100127351
ARE,0.002296733889470705,0.04792425157966168,0.03640610563415713,0.03238957508371408
A,0.2971449417441393,0.5451100271909693,0.47627078417270036,0.4836478048302209
BDX,0.13616620224191686,0.3690070490409592,0.3242779157571549,0.29498583289974867
DVN,0.03767720333297478,0.19410616510810463,0.12790379639172306,0.13546310694410607
ORLY,0.031991543290077196,0.17886179941529493,0.1511814488430293,0.12895336238433597
FFIV,0.33869983831341,0.5819792421671154,0.48497559429962184,0.3758743003025847
MSCI,0.014382109520621973,0.11992543316837331,0.09728904207064672,0.09385493075350101
UNH,0.059536922300430256,0.24400188995257854,0.22189463105253518,0.1958757787961647
SCHW,0.07152385098583935,0.2674394342385568,0.23382168417665264,0.21905523543997907
HBAN,0.1630669297571828,0.4038154649802095,0.359812172647083,0.3575398942633141
PNC,0.06640243863983127,0.25768670637002455,0.21143577523559884,0.19228355032786532
GOOG,0.19867063887123473,0.44572484659398864,0.3750600637523941,0.37999052781127
MET,0.38093901281891385,0.6172025703275335,0.5466671508981966,0.5548034239772999
RJF,0.46656580793106345,0.6830562260393089,0.601177368187964,0.5906023934736523
IT,0.5367488668432604,0.7326314672761882,0.6547214114884936,0.619925530131898
AAL,0.03491342593909153,0.18685134716959237,0.1604619018628606,0.11312550056761743
HCA,0.14177826413863817,0.37653454574399703,0.3107320497903394,0.23216355888604523
SYY,0.07480105737223862,0.2734978196846158,0.24676259352639884,0.2635080134980377
CTSH,0.45543504110608596,0.6748592750389417,0.5882281264307133,0.6101925537111884
J,1.017554006537938,1.008738819783366,0.8632324127964004,1.096089026893788
AAP,0.1268753193447929,0.3561956194913027,0.3037620197703235,0.24853585331519978
LH,0.26914830605754136,0.518795052075038,0.45848765655498064,0.477553645719352
HRL,0.030178866186991542,0.17372065561409658,0.14945906566817307,0.13615399958710758
IPG,0.09422191228038312,0.306955880022493,0.26970353316104373,0.25443984621267457
APA,0.01509972104472685,0.12288092221629382,0.1002322331539627,0.1120922556846932
AMT,0.008225076023182577,0.09069220486448974,0.07845921639859349,0.06857598158460894
CTAS,0.8084500191671723,0.8991384872015947,0.7993423003084069,0.716495507895304
ABBV,0.006787273006108371,0.08238490763549092,0.07497707770731644,0.07417923722739075
RMD,0.09451797642953404,0.3074377602532487,0.2581905061491786,0.28639796755856045
LNC,0.022495416197878138,0.14998471988132037,0.13837716091816119,0.13931347997218985
PG,0.06919808714135955,0.2630552929354579,0.21325170156339476,0.21436298383750862
JCI,1.0829383447322571,1.0406432360479057,0.8982214591851434,0.8566858813208638
MKTX,0.14725913209144967,0.3837435759611484,0.355965778618582,0.4270467987153793
CSX,0.03231721979002518,0.1797699079101538,0.168221316416195,0.15514124145597288
ALGN,0.019447820333264927,0.13945544210702188,0.12658147846412177,0.1408434973364417
SEE,0.4705712169725851,0.6859819363311144,0.615318346872416,0.5978280581281686
TSCO,0.3645948533368936,0.6038169038184453,0.5468404340289414,0.6364276167032829
WAB,0.7643847618458631,0.8742910052413115,0.7640614916929536,0.7044998764634977
LOW,0.09224668839938271,0.303721399310919,0.27950206385673376,0.28213281908772697
V,0.8003833399538691,0.8946414588838755,0.7906346483277861,0.7861629047926424
TT,0.9547908621060189,0.9771340041703691,0.8593424773819995,0.8760944199479417
TSN,0.05066917625643591,0.22509814805199066,0.20969687887966496,0.17847379020804666
VTRS,0.01559989026286968,0.12489952066709335,0.10395319678487216,0.08856049033773937
MHK,0.2887639777650441,0.5373676374373917,0.4785802353896577,0.5089566547424369
CPRT,0.09172352422789355,0.3028589180260234,0.2631524496469664,0.28016219890102806
FIS,0.22790418584227923,0.4773931145735967,0.42182147209471843,0.3991260358793847
NOV,0.03209910467136318,0.17916223003569468,0.14723015506458154,0.14513308155351923
IBM,0.5433518637652978,0.7371240491025224,0.6287411757849117,0.6653993960008057
APTV,0.014691167959761584,0.12120712833724584,0.0902684282462601,0.08044196354792393
LLY,0.004173177123420543,0.06460013253407877,0.05281146552463839,0.04296931820596315
AWK,0.04762986101908575,0.2182426654416724,0.18977032874856684,0.16793128592035164
GOOGL,0.19589091662970062,0.44259565816860497,0.37189946968463583,0.3720226092051731
EQR,0.21028227865414312,0.4585654573276787,0.4075554691392316,0.3480863181453608
RTX,0.19201371277678553,0.4381936932188613,0.37006266866977927,0.38198312395276296
NTRS,0.45511621747668496,0.6746230187865553,0.5911790844431859,0.5586575364294957
PSX,0.267988494758686,0.5176760519462785,0.43119009448305157,0.4242244927946721
KMB,0.001548586821624747,0.039352087894097144,0.02653347073320374,0.0268937870395269
XOM,0.45458907934567305,0.6742322147047507,0.5893942288212665,0.6206072074694468
CHTR,0.00748353037104252,0.0865074006720958,0.07375866027243269,0.06883131868017799
PNR,1.4479653318350933,1.2033143113231444,1.036939158443748,1.1728249979418834
ADM,0.3369933963081741,0.5805113231524206,0.5239153464775994,0.4836081477202924
FLS,0.8271600839720689,0.9094834159961735,0.7790618289675008,0.8870716014135495
ES,0.026113296110806608,0.16159608940443643,0.13601710361121352,0.12694068117878826
HES,0.18461616647083906,0.42966983425746685,0.3513176784804963,0.35408485200004824
HAL,0.06484214504249859,0.25464120845318533,0.15346686918683908,0.17901014472917398
IVZ,0.09788197065275542,0.31286094459480784,0.28526461848115736,0.2739357018855383
TDY,0.12483253831360917,0.3533164846332664,0.30610443766361656,0.29184117551817473
ALB,1.0113929264597563,1.0056803301545458,0.8925024052511804,0.9847785682759217
ICE,0.21921206215191447,0.4682008779913964,0.42807865000553863,0.480624255113124
LYB,0.11287008989834114,0.3359614410886183,0.23357436760928035,0.21114829488874495
APD,0.22953418621941155,0.47909726175319717,0.4226830794248452,0.36917164753372117
IRM,0.23286815437332836,0.4825641453458062,0.45476823478022427,0.41423457095732596
USB,0.10642750981483806,0.32623229425493433,0.28276822370283783,0.27114279878580166
FRT,0.07758647417784277,0.2785434870497653,0.2512624458063456,0.22106420584533745
GLW,0.04401389316853083,0.20979488356137485,0.15065875673229337,0.13293075426557227
REGN,0.2058883837861959,0.45374925210538464,0.38546680012246354,0.34237970271728274
LUMN,0.011737304789202966,0.10833884247675422,0.09354494925466979,0.08739566110265026
CE,0.059720231448580026,0.2443772318539107,0.21128191618173942,0.20310684321270114
LDOS,1.5422979758932351,1.2418929003312786,1.096463437434466,1.401684051493202
VZ,0.01809602990262169,0.1345214849108561,0.12117097491124677,0.12715650552204558
TFC,0.5348578609013662,0.7313397711743607,0.6288689947035483,0.6199384473355266
AAPL,0.08141791402205509,0.28533824493406956,0.22582389950313916,0.18168547885313846
TER,0.1037280820470421,0.3220684431096007,0.26407536183542474,0.24610588855024115
AMCR,0.7882864638750398,0.8878549790788132,0.7669153348398875,0.8137371696119284
T,0.13734095824330747,0.37059541044555244,0.32685246196388423,0.3440924875209911
SHW,0.04240413948961378,0.20592265414376773,0.17453320598557867,0.1528312693015916
O,0.002020643389322767,0.044951567150909956,0.037325805528087494,0.03688265398161418
BKNG,0.0065368612898948995,0.08085085831266665,0.0674648872239038,0.06530633677111616
HBI,0.05592497550795874,0.23648462002413337,0.19019736943012713,0.13183479645608367
PM,0.009322383332781414,0.09655249003926006,0.08938936470601334,0.09739913824694726
