,mse,rmse,mae,mape
AWK,0.012004573431839444,0.10956538427733206,0.09618580502730988,0.08346697200373945
IBM,0.28136337769956027,0.5304369686395927,0.44959895847152,0.46891117987218395
SEE,0.29084665101629836,0.5393020035344745,0.48952523348277427,0.4729056036327232
UPS,0.09607699171503192,0.3099628876414593,0.28807742000251063,0.29381228843697565
FCX,0.812642343189173,0.9014667732030799,0.7850631082417415,0.9393317978432073
J,0.7108954539068756,0.8431461640231044,0.7213065119589482,0.9161456845855662
BLK,0.352997261383394,0.5941357263987699,0.5361245906165846,0.5190765694198883
WELL,0.3023398304824566,0.5498543720681474,0.4826426415864934,0.4570809799251971
MSI,0.094792340689414,0.30788364797340895,0.27362523875734784,0.2857094651779589
CBOE,0.00923904947103364,0.09611997436034635,0.07969504989482064,0.08100850684964092
LMT,0.2408897785291665,0.49080523482249705,0.4268227720280966,0.3572059390224622
ROL,0.160344681411632,0.400430619972589,0.3594144900111373,0.35573688276938253
CB,0.010783406756481661,0.10384318348587769,0.1015104127678419,0.09964865003952803
SYK,0.016763112808057624,0.12947244034178712,0.10989988636456015,0.09759364997447824
UHS,0.2700274691236722,0.5196416737749892,0.43088614156237526,0.3505436604565053
LYV,0.25159048874628803,0.5015879671067559,0.42568643546941504,0.3560439412686009
DXCM,0.02270717295773705,0.1506889941493308,0.12840578179229398,0.11533128110754391
XEL,0.02654526752017326,0.16292718471812265,0.14236154023504294,0.12495323525108334
K,0.027990573960106957,0.1673038372545799,0.1472950694867131,0.14164232715629063
CBRE,0.129656048492881,0.36007783671434296,0.3148540696890727,0.2712857458469412
CNC,0.3085560593714187,0.5554782258301568,0.46396246324552753,0.37701308941298706
VZ,0.0019303944711126374,0.04393625463228104,0.03498710519742714,0.03636541784576083
YUM,0.010156398081165264,0.10077895653937514,0.08132160490928078,0.08614001168844271
CRM,0.09507773648200919,0.3083467795875436,0.2687133565077898,0.2719766691994683
TROW,0.30737281986194576,0.5544121389922354,0.49234799458482587,0.5018751997115309
IVZ,0.048121056981528014,0.21936512252755225,0.20372051114852807,0.1938482346897208
WU,0.029004614100937666,0.17030741058726032,0.15911152673927567,0.1796067134364764
LIN,0.1019700364351416,0.31932747522745614,0.27661226085018464,0.27559657281129946
WEC,0.02304843811716413,0.1518171206325694,0.13168400299992528,0.11562313057894777
ESS,0.6213871046046684,0.7882811076035429,0.7031852903979428,0.5993320958587767
VLO,0.17828796674738895,0.4222415976042495,0.34278622765192307,0.3371215101435322
ADSK,0.26447479523133777,0.5142711300776447,0.45071345772645405,0.4122411415844921
COST,0.030474545781811677,0.174569601539935,0.12434695580530994,0.11897584142674612
VTRS,0.07278522478740294,0.26978736958464705,0.24391062762879032,0.21038432540056104
TSLA,0.29026776261445103,0.5387650346992193,0.4317737244891549,0.35001217958381
ROP,0.340638417413949,0.5836423711605842,0.5197383498531178,0.488895836283671
ADBE,0.077521037229123,0.278425999556656,0.23484404004241724,0.20523181233384316
ODFL,0.019664677723361168,0.14023080162133128,0.1292636232471605,0.10596303083135893
REGN,0.24470716170529366,0.494678847036432,0.420062472992692,0.3732229309412436
STT,0.05788410525484804,0.24059115788999402,0.22573399426534313,0.23364378000553354
NOV,0.06545314358805014,0.25583811988843674,0.21474792648123553,0.21098025272977589
CMS,0.015701698189400037,0.12530641719161886,0.107421781715137,0.0938303409690395
AON,0.002062752579883374,0.04541753603932488,0.035269582492523745,0.034826262980008744
GE,0.18900112486577506,0.43474259610230864,0.39217990392907004,0.4151666350568692
ECL,0.006155411031986508,0.0784564276014815,0.06459251012291146,0.0620410377101131
APA,0.027830395635822916,0.16682444555826617,0.12620880325300812,0.12835609034110762
IPG,0.016140258239608445,0.12704431604604924,0.1100774138258354,0.10449643456472196
BA,0.03595407549553367,0.18961559929376504,0.17413575034847495,0.18861924857968781
CSCO,0.02916197962267552,0.17076878995494324,0.1484987925144213,0.13958596503437026
NWS,0.030820114719682355,0.17555658552068718,0.15028432292524513,0.17181586456697848
CDNS,0.0034419464596797916,0.05866810427889921,0.04537467675927286,0.039710747673575374
TFC,0.3428459440743186,0.5855304809096779,0.5034854300510281,0.4875901407530873
D,0.008005851878286957,0.08947542611402841,0.08235993468954157,0.07649427083444553
IDXX,0.008044707198821817,0.08969229174696015,0.06514162818550762,0.0574331162423798
KEY,0.07292636343144945,0.2700488167562477,0.23268250717383296,0.2301762221323195
COF,0.18863249668053383,0.43431842774689383,0.38730084975312834,0.36596200950512253
