,mse,rmse,mae,mape
LVS,0.2683128548167968,0.5179892419894421,0.42827644464463377,0.5186702433615693
PAYX,0.5293685749041135,0.727577195151218,0.6573749914464997,0.69256293795346
KMI,1.1473987475383842,1.071167002637023,0.9569906740525658,0.9402785697938318
WAT,0.04221715466554868,0.2054681354019369,0.17268983086375414,0.17454705100886703
UNP,0.0024002399335888444,0.048992243606400025,0.036862290523809994,0.028952854385268626
LRCX,0.1819231306626272,0.42652447838620844,0.3929439282124384,0.3175213728771131
EW,0.05006116286044157,0.223743520264703,0.1582300045607399,0.11470018134880178
ROL,0.24342741677541746,0.4933836405632208,0.4383180017336858,0.43804181767721145
MSFT,0.15687571770834452,0.39607539396981545,0.3365713116223749,0.29154037822412954
CVX,0.13487631052107737,0.36725510278426,0.32112499067233397,0.33919259975628874
AJG,0.003135346325050627,0.0559941633123545,0.050135337023396565,0.05244615930984608
DOV,0.5244969129529788,0.7242215910568939,0.6197328524633053,0.6154261366008633
CDW,0.017585940996281444,0.13261199416448516,0.11505245020286939,0.08693155554631023
DLTR,0.011875608160736902,0.10897526398562613,0.10055168795715623,0.11021205527603427
BKR,0.04096035235721252,0.20238664075776475,0.14301698863631135,0.14107609631657103
PRGO,0.01903969267710227,0.1379843928750722,0.11148023908069037,0.11319955051745066
GD,0.08775658141046837,0.29623737341947315,0.2505337006256489,0.19114180907897474
TXN,0.009189418851283375,0.09586145654684877,0.07913632057297297,0.07366065298884182
ARE,0.001933945500469302,0.043976647217236806,0.03489142285786074,0.03116121080727949
A,0.21992776291043836,0.4689645646639396,0.40964218407572206,0.41609682447269775
BDX,0.089272683829218,0.298785347413855,0.26274665820602144,0.23941804182005524
DVN,0.026813118414795393,0.16374711727171076,0.11024328048080077,0.11602008965639109
ORLY,0.008538878412548261,0.09240605181776927,0.07324228390190889,0.06424527293267761
FFIV,0.21402959838532162,0.46263333038738313,0.38768713294113116,0.30081724999072934
MSCI,0.025113823642760963,0.15847341620209038,0.1293951210484812,0.1250012918950162
UNH,0.0136232406369255,0.11671863877258636,0.10492958271561463,0.09482966844220428
SCHW,0.032323066513517094,0.17978616886044682,0.1563322971020536,0.14705374073549174
HBAN,0.1471217997634068,0.3835645965980265,0.3414154488991475,0.3393150075570366
PNC,0.04337329276955892,0.2082625572914126,0.16912528810754532,0.1539152684589166
GOOG,0.16408733308655774,0.4050769471181466,0.3392340079829487,0.34395941966865123
MET,0.19308529175670675,0.43941471499792395,0.39088800671617596,0.397221293680905
RJF,0.4537521530392975,0.6736112773991373,0.5930442148571206,0.5827060525677156
IT,0.4297507356830966,0.6555537626183657,0.5869592054103593,0.5561792728546529
AAL,0.03706329442849408,0.19251829634737078,0.16575377351968884,0.11536540496412893
HCA,0.06964569910854655,0.2639047159649606,0.20836725573479611,0.15333948129442473
SYY,0.046703926808766456,0.21611091321070866,0.19567599023739574,0.20910039458951626
CTSH,0.33220507916847447,0.5763723442085632,0.5017522575446254,0.5209205359332646
J,0.7984610052032937,0.8935664525950455,0.7624695243445455,0.9689586581989417
AAP,0.1029561963439374,0.32086787988818294,0.27376905620425523,0.22417204110052252
LH,0.2551000590843427,0.5050743104577213,0.4458450844360753,0.4643422823253014
