,mse,rmse,mae,mape
AWK,0.044397146770372174,0.2107063045339939,0.18143781321347974,0.15620993584746365
IBM,0.5699486536820607,0.7549494378314754,0.646016639810702,0.6721647165185161
SEE,0.4647655192930169,0.6817371335735035,0.6118798716787408,0.589456120304367
UPS,0.15797428969091584,0.3974597963202264,0.36266474895864353,0.3690333804321299
FCX,1.214884462253557,1.1022179740203646,0.9589113088844889,1.144623074956596
J,1.053627275217631,1.0264634797291285,0.8776407527871398,1.114540387274573
BLK,0.4428642650243011,0.6654804768167892,0.5967170750272724,0.5771065679057528
WELL,0.20248239535329654,0.4499804388562869,0.3943112180623083,0.37302984867167344
MSI,0.22179845001899567,0.47095482800263944,0.414477559598067,0.43289827546219034
CBOE,0.06996277172153782,0.26450476691647323,0.23452254159234667,0.22853640099140154
LMT,0.4086942692706945,0.6392920062621575,0.552328795237676,0.4614992647952231
ROL,0.28254446673436995,0.5315491197757456,0.47207597397987444,0.46708322431098864
CB,0.11887558227470563,0.34478338456878344,0.314878912633239,0.3039397937002923
SYK,0.12261178745033338,0.3501596599414807,0.2980375638791474,0.2630623702780667
UHS,0.2382628496251103,0.4881217569675729,0.40513914564613535,0.32966719416734086
LYV,0.290216958444374,0.5387178839099125,0.45440761359385984,0.3796873616082604
DXCM,0.04719551756338407,0.21724529353563465,0.187049983670283,0.16815719364598175
XEL,0.0036444540494478604,0.060369313806335916,0.04952749161524042,0.043414806447455816
K,0.007056115201585526,0.08400068572092448,0.07088234852061288,0.06772612062690697
CBRE,0.10904679065375035,0.33022233518305566,0.2844896900170476,0.24472550142276794
CNC,0.019983251133483516,0.14136212764911088,0.12175623821364455,0.10533217885819603
VZ,0.03159934501684516,0.17776204605270823,0.15781977844078343,0.16035766037666432
YUM,0.052996617613078875,0.23020994247225482,0.1885488624472007,0.19927519078431077
CRM,0.2138191715667764,0.4624058515706483,0.39559796625716737,0.3996219311583654
TROW,0.5166322791956091,0.7187713678184524,0.6345465197847074,0.647104337356559
IVZ,0.24702325295683122,0.4970143387839341,0.44923743083208134,0.42310495145121507
WU,0.19463573414226645,0.4411754006540556,0.3995173027540837,0.4465685606639193
LIN,0.2676292697864874,0.517328976364641,0.4484554634942536,0.4468331177139802
WEC,0.00350797991483176,0.05922820202261554,0.04716618404655569,0.04148425005734697
ESS,0.493923322664447,0.7027967861796517,0.6281988824251205,0.5354896266014953
VLO,0.28096779024529395,0.5300639492035786,0.4334052118384042,0.4261696774319219
ADSK,0.40224713501855525,0.6342295601898064,0.5527357144418561,0.5045724782963256
COST,0.0056597494145532315,0.07523130608033621,0.05289444699761263,0.052142288934050825
VTRS,0.010141961132871455,0.10070730426772159,0.08823925009699747,0.07680007820207078
TSLA,0.12872946271492078,0.3587888832097795,0.28691546328413725,0.23534799335790985
ROP,0.5765336107159992,0.7592981039855158,0.6723799493918033,0.6317967234814964
ADBE,0.17501467368115242,0.4183475513029237,0.3526356913760179,0.30688075265772446
ODFL,0.09370190811092098,0.3061076740477458,0.2762493948604583,0.22113543789857978
REGN,0.07598781761522684,0.27565887907924685,0.2269443279808166,0.19968827443352938
STT,0.15335439010037202,0.391604890291697,0.36041120724264414,0.36961927932075167
NOV,0.017931884836705596,0.13390998781534408,0.11042529818116883,0.10728220604387263
