,mse,rmse,mae,mape
LVS,0.21253128195154244,0.4610111516563807,0.378315954509247,0.4591383135447609
PAYX,0.5045678341241921,0.710329384246627,0.642145278130066,0.6765757994799734
KMI,1.1013462898328625,1.049450470404803,0.9379001225720996,0.9216194248922351
WAT,0.04793341721951382,0.2189370165584473,0.18339456601914392,0.18531303412878658
UNP,0.001855643754724455,0.0430771836907249,0.03161007749492358,0.024929136392205595
LRCX,0.21247159177777644,0.46094640879149545,0.4233587522125855,0.3413050271614378
EW,0.027755308067437545,0.16659924389815683,0.10956611996857467,0.07828815083819626
ROL,0.23913494710810523,0.48901426063879283,0.43436123101505175,0.4341097490089677
MSFT,0.14892648026406438,0.385909938021897,0.327799519174745,0.28390928855765085
CVX,0.10160289011449218,0.3187520825257337,0.2779431570864539,0.2940089572701687
AJG,0.0012453801559086702,0.03528994411880912,0.029641678394289234,0.031155126513223278
DOV,0.4336677766275959,0.6585345675267138,0.5619444666545117,0.5585654194785279
CDW,0.016186803953561504,0.12722737108641954,0.11008039929562542,0.08325931125676427
DLTR,0.011880754892930914,0.10899887564984748,0.10059363492129388,0.1102510008814791
BKR,0.03847300820109905,0.196145375171323,0.14053969820638756,0.138247344067794
PRGO,0.029240346482783158,0.17099808912026812,0.13997221244197047,0.142400733866456
GD,0.072582140458788,0.2694107281805756,0.22696697890613265,0.1732098062250131
TXN,0.011652546638604582,0.10794696215551683,0.09054689966336535,0.0839857502867613
ARE,0.002133314939343373,0.046187822413958565,0.038914024452088185,0.034551152492364706
A,0.221800262920699,0.47095675270739984,0.411274663278072,0.4177527876012502
BDX,0.09238801855033885,0.30395397439470806,0.26722329311355875,0.24345196695546062
DVN,0.0432597513344805,0.2079897866109788,0.13620888349501384,0.14453503500422168
ORLY,0.012540552298917275,0.1119846074195792,0.09202476210870829,0.07985439391199625
FFIV,0.22491059602065186,0.4742473995929254,0.39706096942883856,0.3080467258216323
MSCI,0.01934366895005368,0.13908151908162952,0.11251947947963872,0.10857476573798756
UNH,0.04253693401743444,0.20624483997771784,0.18825876314029663,0.16687742197308797
SCHW,0.04602245067712015,0.2145284379216894,0.1872007679795224,0.17577352253692258
HBAN,0.15286858296211847,0.39098412111250563,0.3480510500013491,0.34588109371029657
PNC,0.036389996009857,0.19076162090383117,0.15379898712859108,0.14001645824596282
GOOG,0.16905255543846984,0.4111600119642836,0.3445713735098948,0.34932756623757355
MET,0.22767676516840382,0.4771548649740499,0.4239458231594931,0.43065163380057087
RJF,0.4406639962493739,0.6638252753920824,0.584230993358806,0.5740487472709359
IT,0.41711007990867627,0.6458405994583155,0.5783702572617541,0.548080783671811
AAL,0.036244025879369854,0.1903786381907641,0.16406535628184094,0.11455818289545044
HCA,0.0830960000522635,0.2882637681920215,0.23065403227931933,0.17048029662863057
SYY,0.08513728108863325,0.29178293488247947,0.2624058909148318,0.2800997759964225
CTSH,0.3207409721405557,0.5663399792885504,0.49297871964575707,0.511891785990961
J,0.7767745720320314,0.8813481559701769,0.7513812706372609,0.9550925897531869
AAP,0.12722473834273584,0.3566857697508212,0.30414710693108027,0.24880504241711493
LH,0.3708605930851043,0.6089832453237973,0.5368728364380302,0.5592418439378849
HRL,0.027446670991935186,0.16567036847890207,0.14147905938452604,0.12876170314452542
IPG,0.04354458084736171,0.2086733831789807,0.1828105291434109,0.17337156886597826
APA,0.017066182168295828,0.130637598601229,0.10150822805429406,0.10857527450700291
