,mse,rmse,mae,mape
FITB,0.2852965663115767,0.5341316001806827,0.45271214127022485,0.4618041471029723
EVRG,0.0016940021541742324,0.04115825742392688,0.03390104706650816,0.029267733115774384
C,0.06209880713584447,0.2491963224765656,0.2336932097684366,0.2472967991782096
RSG,0.12701209441795192,0.35638756209771394,0.30284802848241354,0.2729568353601875
LDOS,1.3942276379766119,1.1807741689148743,1.0458923736995014,1.304903206299732
MSI,0.21481627861408278,0.4634827705687481,0.4078161290940136,0.42568934905553374
SO,0.0025524876384777607,0.050522149978774265,0.039208984366958896,0.035113113589928475
MOS,0.28039837459103656,0.5295265570214931,0.4472579607050794,0.4679912714123326
PSX,0.2824012482536014,0.5314143846882594,0.44409780300990553,0.4296229445591456
GS,0.31882431189887084,0.5646452974203104,0.5136372577580149,0.5123546951290453
HON,0.2869262800132116,0.5356550009224329,0.4660486909578697,0.4434230438954562
ADBE,0.19281373173248587,0.4391056043054858,0.3709901111197198,0.32285470150263684
LLY,0.001963503230321141,0.04431143453242223,0.0351291515090951,0.0290075958618508
FLS,0.80931046524455,0.8996168435753913,0.7717485183074547,0.874276230881066
HCA,0.17689193012337473,0.4205852233773492,0.34890677628020317,0.26120031933393717
LVS,0.14732343377085425,0.38382734890944686,0.31378275821843526,0.37471030673491984
DUK,0.0105758572039846,0.10283898678995529,0.07888382171636944,0.07160313385621998
EXPD,0.07361659715228228,0.2713237865582048,0.24572881932794732,0.2675833820765813
AEE,0.021832839306642638,0.14775939667798674,0.12039000898965364,0.10674364639928897
ESS,0.573123030749719,0.7570488958777492,0.6767533969520289,0.5770534327104175
ETN,0.7292929538056591,0.8539865068053821,0.7425660473936465,0.8095746067416739
O,0.0018351112720571172,0.042838198748980066,0.03428330226663827,0.032761072166931714
MCO,0.5022931560082402,0.7087264324182077,0.6285366571444425,0.5396674377226709
NFLX,0.14748483392465603,0.3840375423375377,0.31016015395492036,0.3115897718367188
COST,0.00919824423634562,0.09590747747879526,0.06557134928635616,0.06261863816159649
TYL,0.14835454949648594,0.3851682093533758,0.35856660641141774,0.4126868100163977
TTWO,0.08683610956854658,0.2946796728119308,0.25267950641292236,0.20319051924923776
CSCO,0.1371693623176944,0.37036382425622294,0.32111116790372063,0.2998527668054815
VMC,0.35760125931188236,0.5979977084503605,0.49943367784999537,0.46910482992031455
EOG,0.2610134619155735,0.5108947659896053,0.40559075447196413,0.3856136344078855
WMB,0.5077202907815858,0.7125449394821254,0.5951681234916595,0.44956155548933024
AMD,0.29811268607791974,0.5459969652643866,0.4388695770154675,0.5669895814739633
PCAR,0.2606691371021217,0.5105576726503301,0.43011555418092823,0.3972544064092729
AEP,0.004979811012593955,0.07056777602131128,0.05933720949358419,0.05106500720479822
AMP,0.4546102988409069,0.6742479505648549,0.6046612387302477,0.5672892380322068
WYNN,0.7040153753311076,0.8390562408629755,0.6786071139775158,0.702765926875058
NI,0.16720121971566423,0.40890245745857806,0.35211807177968685,0.2884973538921422
CDW,0.017434237729688388,0.13203877358446037,0.11428920181902341,0.08607190693876712
WDC,0.31567988511700956,0.5618539713457666,0.4899171854751685,0.42343136522821495
SLB,0.055358050193434774,0.23528291521790268,0.16587483697258465,0.16377486545968079
HII,1.0721501066973,1.0354468150017653,0.889272853869094,0.7867926095568087
LRCX,0.20571915133262456,0.45356273141939757,0.41978383770330807,0.3329584144596256
SWK,0.01849109893177283,0.1359819801730098,0.11112720287099798,0.11016599011172376
TSCO,0.5203480941161751,0.7213515745572162,0.6533207578255958,0.74335874826591
BAC,0.034463809396227736,0.18564430881723182,0.162512423385638,0.15898672725647242
GILD,0.016934662429326945,0.13013324874653268,0.10219858545423592,0.0813513305627676
AZO,0.0459945706768411,0.21446344834689454,0.17652764784178246,0.1570001292217105
TSN,0.05837162004425318,0.24160219379023273,0.2252683078455098,0.19108621538622733
WBA,0.01078065129355096,0.10382991521498494,0.0852595013628205,0.07397200477416777
FANG,1.2093119027391164,1.0996871840387685,0.8875878016509837,0.7406374660128225
RF,0.11075543575275996,0.3327993926568376,0.2734287895457003,0.2678282012199667
XRAY,0.040957427444458204,0.20237941457682448,0.1880717986185784,0.19334252078827108
NVDA,0.009584426611120378,0.09790008483714598,0.07795796771472734,0.06658297430545457
CHRW,0.007274972290231671,0.08529344810846652,0.07271603721988534,0.06951362354538801
STT,0.10894454162555739,0.33006748041204753,0.3051258826211047,0.31372280111016243
VTR,0.010347476085860847,0.10172254462930451,0.08157009346080549,0.08026745015355993
ABT,0.21873406235559756,0.4676901349778479,0.41514206997366543,0.3749042712956238
BWA,0.1597574088833227,0.39969664607464833,0.31837840150258495,0.30611456536456927
GWW,0.0019127934658782206,0.04373549434816326,0.03672591601619237,0.04025594441281774
CCI,0.10140385085198293,0.3184397130572488,0.27391017120818545,0.2652112057415871
DE,0.3307718620795199,0.5751276919776337,0.5039941331458239,0.5209759819096483
MAA,0.06003105248973347,0.2450123517085077,0.2273885724059363,0.2084660740989525
T,0.09417716296949748,0.3068829792762992,0.27027891679328997,0.27024748956252953
EQIX,0.11622367281747827,0.3409159321848691,0.2959749141611321,0.2509237534753642
LEN,1.4356808301396586,1.1981989943826772,1.0471754941801965,1.0085905683203675
VRTX,0.09709218715196034,0.31159619245420883,0.2763908534034606,0.24980375665040944
PAYX,0.5632832642178652,0.7505219944930763,0.6785666821895736,0.6985796850461639
DOV,0.5652285868977783,0.751816857284923,0.6456176602622691,0.633466045977047
DLR,0.17937216190727803,0.42352350809285433,0.36743304524550424,0.32477869785260405
MNST,0.3938526193496033,0.6275767836285878,0.5696589934309366,0.4774458257433998
KIM,0.16341618307086372,0.40424767540564005,0.3587036596261707,0.32126259342862945
VLO,0.18907218718319177,0.43482431760791823,0.350311326533532,0.3449425991219742
EBAY,0.30025608203240944,0.5479562774824369,0.47932506300001754,0.5016126266533097
MU,1.1622993853952974,1.0780998958330799,0.9418551852387274,0.7008123021597935
PGR,0.019192282650125375,0.13853621421897372,0.13231340222838323,0.1409113387193728
MSFT,0.220530728078429,0.4696069932171251,0.40107391309410073,0.3414569139937324
ZION,0.034607000237039394,0.18602956817946817,0.1540040293053605,0.16054185402105697
NEE,0.015017641425411567,0.12254648679342696,0.09197290576728152,0.08103988524090792
GE,0.39093777335619173,0.6252501686174836,0.5573999431817431,0.5899073630793497
NUE,0.19006736742669825,0.4359671632436304,0.3917784450924585,0.4035594714992448
ILMN,0.266343971099816,0.5160852362738311,0.4381720494785405,0.2855086425820166
CBRE,0.13126950195062886,0.3623113329039389,0.314205186318192,0.2705012424280932
KEY,0.11583139105225661,0.3403401108483345,0.29449070588566406,0.2910215666359623
GIS,0.0793045274951731,0.2816105954952212,0.24776137994229305,0.23839516508113315
NCLH,0.26314805627135823,0.5129795866029742,0.4637498310498254,0.4678844352522703
PNC,0.038920130189951774,0.19728185469006462,0.15997743340578802,0.14290538516879392
WY,0.24359051095515039,0.4935488941889652,0.4493587575490418,0.427259829886226
HAL,0.06452548825085021,0.2540186769724821,0.14986166565704237,0.1740698920778509
FCX,1.1521804317163231,1.0733966795720598,0.9336801319228424,1.1149660612866759
UDR,0.3241637936660438,0.5693538387207412,0.5043378806085704,0.42953492564602014
TDY,0.10064661777793912,0.31724851107284824,0.2746216885186876,0.2619514815753888
AXP,0.53996203020808,0.7348210872097234,0.6411147865720493,0.6385715392064325
WAB,0.7376166017663279,0.8588460873557776,0.7503609474606778,0.6907963550543046
SBAC,0.0017122625491879178,0.04137949430802554,0.032900649653224194,0.02947904888884677
TROW,0.539813310755382,0.7347198859125714,0.6479789525143331,0.6604638370199052
TDG,0.011433063706347512,0.10692550540608874,0.08879221634127192,0.07072594435008854
ROK,0.7279049953184353,0.8531734848894656,0.7306975285000227,0.7434033323285971
MET,0.2980414326665773,0.5459317106255849,0.4845281829736849,0.48338190215123655
FTNT,0.11369622173890455,0.33718870345683966,0.28261040305510815,0.24471231641765473
