,mse,rmse,mae,mape
FITB,0.24670955174210585,0.49669865284909503,0.41910279558308255,0.42772687306220825
EVRG,0.001918684445175498,0.04380279038115606,0.03627983474981906,0.03133305399883358
C,0.0742087402478351,0.27241281219471875,0.25442602668450365,0.2688649303326376
RSG,0.15007547678180863,0.3873957624727052,0.3295618209700973,0.297105120783444
LDOS,1.054224328903284,1.0267542689968636,0.9081677327122003,1.1342406074437965
MSI,0.2164462313931069,0.46523782240173345,0.40928685966829226,0.42723641059714257
SO,0.0020901164931974034,0.0457177918670336,0.03501319260913508,0.03137149844289809
MOS,0.5235387957787646,0.7235598080178063,0.6197790049405418,0.6472523622738888
PSX,0.2602426451027673,0.510139828971202,0.4265119183882045,0.4127315945291312
GS,0.3027506053108135,0.5502277758445255,0.501119719827222,0.5000378934022689
HON,0.281406256521792,0.5304773854951708,0.4614667495791825,0.4390722278891697
ADBE,0.2017212006996512,0.4491338338398157,0.37994326414296736,0.3306217093372947
LLY,0.013463964555266156,0.11603432490115223,0.1073122250793008,0.08578960395916028
FLS,0.8241773566562468,0.9078421430272153,0.7791333961205005,0.8825647988917248
HCA,0.16877942714713637,0.4108277341503813,0.3396094825539701,0.25390518150497204
LVS,0.13976213557216471,0.3738477438372,0.3056389274410311,0.36499196590037203
DUK,0.014696241378036715,0.12122805524315201,0.09441434684747986,0.08586679650204954
EXPD,0.07822288083511703,0.27968353693972947,0.2533754517205224,0.2758067188621907
AEE,0.016145467567111157,0.12706481640135933,0.10424981414103475,0.09262523935325015
ESS,0.5833930274055757,0.7638016937697741,0.6826686955141742,0.5820793895839672
ETN,0.7343404136606173,0.8569366450681272,0.7454759515486971,0.8126540641386434
O,0.0034001939298328415,0.05831118185933845,0.05185540349027877,0.04868336481330969
MCO,0.4740294137805403,0.688497940287798,0.61144752987856,0.5252385961323864
NFLX,0.1435635581829064,0.3788978202403735,0.3056353745515466,0.3072161782468751
COST,0.008500161955649904,0.09219632289657709,0.0663444845175183,0.06395749208460648
TYL,0.05760034957315844,0.24000072827630844,0.2193096145529824,0.2580056671736296
TTWO,0.06986464625896724,0.2643192128071042,0.22633158399062636,0.18246155707123737
CSCO,0.13361469485871658,0.3655334387695831,0.31725769577698376,0.2962917249761959
VMC,0.3285600801221443,0.5732016051287229,0.478778675830347,0.4496998106033512
EOG,0.2697468499676845,0.519371591413782,0.4137933584635757,0.3932196947427076
WMB,0.5121436792631365,0.7156421446946347,0.5978667705698514,0.4515415482877423
AMD,0.29974413635162633,0.5474889371956536,0.4401520992335876,0.5685885528348833
PCAR,0.2494311099252734,0.4994307859206052,0.4236345878029874,0.39093584708967277
AEP,0.008831799058204259,0.09397765190833542,0.08138642771595889,0.07002878307772044
AMP,0.4119370262453485,0.6418232048199477,0.5762662564011105,0.5408519163529609
WYNN,0.5253475481793226,0.7248086286595398,0.5832102335485974,0.6048639318683003
NI,0.15370346418954847,0.3920503337449778,0.33731319578170343,0.2763449290837846
CDW,0.018815157981383814,0.13716835634133628,0.11902795045105037,0.08958179253182538
WDC,0.31372206928324914,0.5601089798273629,0.4884415925220246,0.4221700738013988
