,mse,rmse,mae,mape
AWK,0.06540780653443051,0.2557494995780647,0.22287584034946045,0.19243853146201478
IBM,0.49557357382124034,0.7039698671258879,0.5995518969900789,0.6241181044644076
SEE,0.5719568240540981,0.7562782715734322,0.6775003099622345,0.6520937586415526
UPS,0.20984645946053124,0.45809001239988983,0.4165058852518462,0.42367014218176635
FCX,1.2486176723767388,1.1174156220389702,0.9714672374384324,1.15960093960827
J,1.1412921070818565,1.0683127384253435,0.9154670140982243,1.1619452074558194
BLK,0.6063395802755834,0.7786780979811769,0.695354985888275,0.6719176687660374
WELL,0.23233102624148186,0.4820072885771354,0.42416355216386414,0.40183312714793534
MSI,0.213611433272313,0.4621811693181722,0.4062353061001612,0.42409923920418113
CBOE,0.06613329650929506,0.2571639486967313,0.22622620657539488,0.22091194539297793
LMT,0.4234436823004653,0.6507255045719856,0.5644601489535114,0.47181521440575963
ROL,0.2612125268889132,0.5110895487964053,0.4534306831503766,0.44841975900450226
CB,0.10518656234362947,0.32432477910827207,0.2974175165131364,0.28628926217224904
SYK,0.1147321055971109,0.33872128010668434,0.2874525859818625,0.2532946544481602
UHS,0.28512483181742626,0.5339708155109474,0.4463570139573749,0.36414270501775
LYV,0.4076642200807929,0.6384858808781858,0.5425805381986646,0.4533383298443533
DXCM,0.025512916031457725,0.15972763077018867,0.13736152251891698,0.12406547299294128
XEL,0.0028753024138810615,0.053621846423645855,0.042853760456112486,0.03754796386408989
K,0.013967726807509654,0.1181851378452877,0.10364873585742122,0.09933706512526554
CBRE,0.15983028493719895,0.3997877998853879,0.34633274167266803,0.2979258894159458
CNC,0.03978017953688153,0.199449691744263,0.15036842866450928,0.11882009690880317
VZ,0.037335286298497694,0.19322341032726262,0.1722411846651593,0.17467833783028022
YUM,0.0865766106568672,0.2942390365958725,0.24958392397830442,0.2615830014000332
CRM,0.15725700881926727,0.39655643837828086,0.34015285212861185,0.3436657617783118
TROW,0.5665793423439395,0.7527146486843068,0.6634035617919017,0.676180366673304
IVZ,0.08786749262666833,0.29642451421343063,0.2710372236568368,0.25631820346505596
WU,0.08843464996656145,0.29737963946202073,0.271602472358263,0.30426467902626464
LIN,0.23237607962885218,0.48205402148395377,0.4165340287482181,0.414902695094896
WEC,0.0036741242798982807,0.060614555016912236,0.04864921729000349,0.0428486231993209
ESS,0.5833245207373604,0.7637568466058817,0.6827299699542293,0.5821488586039305
VLO,0.24398744701111452,0.4939508548541186,0.4020769040404801,0.39531447909075745
ADSK,0.43535359190279066,0.6598133007925732,0.5757558121130154,0.5254636811138528
COST,0.003731297133244089,0.06108434442018748,0.055986030013206727,0.05785061262794673
VTRS,0.007514267111952874,0.08668487245161564,0.064220263333268,0.05717720210626003
TSLA,0.3959428413389807,0.629239891725708,0.5054121039905353,0.4079711756766779
ROP,0.5726584723926749,0.7567420117798898,0.6687659372680202,0.6282238773222005
ADBE,0.2133463956187546,0.46189435547401375,0.3909595673825704,0.34014415145000737
ODFL,0.10748663920789563,0.32785155056503185,0.29518815993192843,0.23572552515769388
REGN,0.19728733918748873,0.4441703943167405,0.3768601651878701,0.3345746079992883
STT,0.10467334473870311,0.3235326022809805,0.29925397859958774,0.30775056201547946
NOV,0.007708654532135677,0.08779894379852002,0.06702989809697223,0.06528671116347622
CMS,0.005483012934156296,0.07404736952894611,0.05786727382710698,0.05180254036545812
AON,0.022167573088568097,0.1488877869019756,0.12879019076302872,0.12361133951519566
GE,0.3772934480177187,0.6142421737537391,0.5474043476168668,0.5793645693316584
ECL,0.0100422095456428,0.10021082549127515,0.08331339068280896,0.08190112936997736
APA,0.015775384508430308,0.12560009756536938,0.10095728431349607,0.1183611422913167
IPG,0.11703188737595896,0.34209923615225885,0.3008790378775651,0.28005330212328167
BA,0.0964842998956801,0.310619220100238,0.27864481302058275,0.3015088873153234
CSCO,0.23554265716806533,0.4853273711301119,0.4220737306954277,0.3938102117050858
NWS,0.10085073338678904,0.3175700448511935,0.27467466497811666,0.3125576339819834
CDNS,0.01668618516385197,0.1291750175686149,0.1038712676851838,0.08848777379452144
