,mse,rmse,mae,mape
LVS,0.20997356012592322,0.4582287203198019,0.3760990223730088,0.4564408324850796
PAYX,0.49344126174794,0.7024537434934346,0.6358417911966926,0.6700204677637775
KMI,1.057350179806674,1.0282753424091593,0.9200618300339838,0.9043324882782716
WAT,0.014802150046831029,0.12166408692309752,0.1050162995298636,0.10646476134983485
UNP,0.006228388216832994,0.07892013822107127,0.0632249072414712,0.049411698607387096
LRCX,0.19496241967614578,0.4415454899284396,0.40684944211801694,0.32864680781625155
EW,0.008782874746754127,0.09371699283883433,0.07276636521160726,0.05923567481946946
ROL,0.24742583593548634,0.49741917527924706,0.4421338830236434,0.4418731909326548
MSFT,0.1687212097606972,0.41075687427077495,0.3491010671224533,0.302409568846706
CVX,0.10706266847395905,0.32720432221160994,0.28598575071400656,0.30242363484944956
AJG,0.0006590980073911234,0.025672904147975222,0.02126576304218364,0.02197473590553078
DOV,0.48923977301840693,0.6994567699425083,0.5983951980693428,0.594446752893717
CDW,0.01494607678760342,0.12225414834517241,0.1052527102494672,0.07958992148443884
DLTR,0.010416231296271849,0.10205993972304632,0.09557293458933762,0.10439805431484314
BKR,0.03965366391919503,0.19913227744189296,0.14144573927182547,0.13938655517167478
PRGO,0.029392443828264482,0.17144224633463154,0.1396885514939409,0.14211209481536832
GD,0.0759447632786393,0.2755807745083813,0.23299842061473125,0.17792674084486845
TXN,0.007697665372498088,0.08773634009062657,0.07125857581927683,0.06660516907547184
ARE,0.0025902790979671817,0.050894784585133884,0.04537635930393241,0.03986680062524281
A,0.2040159573678163,0.45168125638310064,0.39478845488122866,0.40104590160757986
BDX,0.09268787207621577,0.3044468296373207,0.26816957861880886,0.2443728330940228
DVN,0.02608793891494107,0.1615176117794622,0.10963036947030662,0.11524246011168461
ORLY,0.014233857523209038,0.11930573130914138,0.09871681162535953,0.08541494307335279
FFIV,0.24031369479261516,0.4902180074136559,0.4101275795653342,0.31816484382447713
MSCI,0.02141316745775194,0.14633238690649428,0.11840507310283964,0.11427700630416518
UNH,0.006015991318442528,0.0775628217539984,0.06582858886208721,0.060888360787062466
SCHW,0.04583217634570765,0.21408450748643082,0.18723550739493852,0.17583762431962208
HBAN,0.14545341206504045,0.3813835498091658,0.34007683449739967,0.3380173520788327
PNC,0.036416113939445494,0.19083006560666874,0.15421640526107613,0.14041133388670016
GOOG,0.15632978668324804,0.39538561769903574,0.3312090551668445,0.3358450555180735
MET,0.18144562287542043,0.42596434460576676,0.37939904140173736,0.38562199735226343
RJF,0.4042378939749118,0.6357970540785101,0.5603442740582778,0.5507046777529865
IT,0.3964606302232878,0.6296511972697962,0.5646469512604719,0.5352513772762016
AAL,0.036004863663460486,0.189749476055826,0.16341953159283953,0.11402821280153658
HCA,0.07483904039393698,0.27356725022183664,0.21689493395281084,0.15981099788867878
SYY,0.05679786909869157,0.23832303518269393,0.21576390895704822,0.23051855024706663
CTSH,0.33879534571277636,0.5820612903404386,0.5071778269953988,0.5265451148637178
J,0.9194308417231565,0.9588695644993414,0.8200004418787056,1.0414187667242027
AAP,0.12606170646261947,0.35505169547915055,0.3030405783138092,0.24796404155398277
LH,0.39843116284127117,0.631214038849954,0.555820474149328,0.5789385845974588
HRL,0.029869765682006964,0.17282871775838343,0.14733531817588036,0.13407452906334041
IPG,0.047478201774580196,0.2178949328795422,0.19143273454891846,0.18148476268716038
APA,0.020931972895075247,0.1446788612585655,0.11002540325050407,0.11413793915394793
AMT,0.003337255418372453,0.05776898318624323,0.04860227244537789,0.043057688774300926
CTAS,0.6558609661633493,0.8098524348073229,0.7216731633758101,0.6473178424711045
ABBV,0.007218300301867647,0.08496058087058755,0.07719103696949521,0.07671284776419407
RMD,0.10166845337461418,0.31885490959778895,0.26748894385711125,0.296734894201233
LNC,0.0041949118823831925,0.06476813940807002,0.0515928898402362,0.053719116228768515
PG,0.07094675040454496,0.266358312062051,0.21508072018791113,0.21612379220699587
JCI,0.8996935921148922,0.9485217931681339,0.8183850272583867,0.7806317984964645
MKTX,0.06083081202658472,0.2466390318392138,0.23007947982163993,0.27955895312690315
CSX,0.021272288815451384,0.14585022734110284,0.13670368435461583,0.12714818446952178
ALGN,0.019337683566024586,0.139059999877839,0.12668867115383037,0.140989989902291
SEE,0.39072414248659404,0.6250793089573466,0.5625662881684012,0.547137301959167
TSCO,0.41547522214324106,0.6445736747209283,0.5834433817322778,0.678539477076771
WAB,0.6672325470288931,0.8168430369593005,0.7139289143833238,0.658416800589626
LOW,0.0653165866642713,0.2555710990395262,0.23512448395902613,0.2389714484669401
V,0.6730845445013203,0.820417299001746,0.7254206947421398,0.7217253198520395
TT,0.8766845946979205,0.9363143674524708,0.8242088656434935,0.8403419046840533
TSN,0.06702340523726437,0.25888878932326204,0.24143854924581248,0.20581663619057722
VTRS,0.0444662677656342,0.2108702628765711,0.18935003025319555,0.16277860168028155
MHK,0.22686257742034596,0.4763009315761895,0.42554366661143217,0.4528925397783314
CPRT,0.10982708663342877,0.33140169980467626,0.28957197554877934,0.3079967589119091
FIS,0.1763065409820055,0.41988872452354026,0.371677155872181,0.3518648261311028
NOV,0.062310960148541726,0.24962163397538628,0.21074155984245577,0.21020614287719364
IBM,0.2938120011558017,0.5420442797002858,0.45756510047622945,0.48532700823000147
APTV,0.017901514040587357,0.13379653971828778,0.10133878084158907,0.09014432881528274
LLY,0.0014783841046131926,0.03844976078746385,0.029984180466452376,0.025274907366816212
AWK,0.029194813331843008,0.17086489789258358,0.14856688296485926,0.13157727126397561
GOOGL,0.19342130146084902,0.439796886597494,0.36980920305618586,0.36996201208011253
EQR,0.16251841169166234,0.4031357236609804,0.3579549224443792,0.30562718413455053
RTX,0.15624591162255855,0.39527953605335875,0.3339111332588042,0.3447614540676439
NTRS,0.3948317349627566,0.6283563757635922,0.5515451071927806,0.521379393093878
PSX,0.27045078003281686,0.5200488246624704,0.43412153851015445,0.4270273364115072
KMB,0.0024477154418791657,0.0494743917787694,0.038271151675729476,0.03695045803902594
XOM,0.3221703891384245,0.5676005542090533,0.4960688347257309,0.5225295938120805
CHTR,0.004025388392756696,0.06344594859214177,0.04783740266414781,0.04813397489964041
PNR,1.1745424711420753,1.083763106560689,0.9326809963101413,1.0552018046842053
ADM,0.26473006860943665,0.5145192597069974,0.466124776653417,0.43081403438715604
FLS,0.7134332441805584,0.844649776049552,0.7225695660634976,0.8230798079975628
ES,0.012835027356081134,0.11329177973745992,0.09255168797132651,0.08677597758628658
HES,0.12187201580580793,0.349101727016364,0.2793806712648687,0.28381584497902196
HAL,0.03575961359265352,0.18910212477033017,0.1487426403134898,0.157000383860653
IVZ,0.09248014754244142,0.30410548752438094,0.2780621752433459,0.2671778218750227
TDY,0.07786838408382289,0.2790490711036733,0.2416119717212663,0.23065542184944995
ALB,0.8358575993127842,0.9142524811630451,0.811211738953885,0.8948411994810298
ICE,0.19303423704834574,0.43935661716690433,0.40256140720254174,0.45224192976964267
LYB,0.039927813958161695,0.19981945340271975,0.11597345447888731,0.10805810760723836
APD,0.09586623628440204,0.3096227321828971,0.2741717746068285,0.24023920246040198
IRM,0.07186674248559519,0.26807973158296616,0.2587832741022436,0.24239202304726953
USB,0.05787200846921489,0.2405660168627624,0.20776287864833856,0.1994230510799894
FRT,0.10135372197363358,0.3183609931722691,0.28571412155192977,0.2512001240325272
GLW,0.02486707401967349,0.15769297390712592,0.10968779118029678,0.0974161955682982
REGN,0.18795110847080723,0.43353328415567727,0.36646483083141723,0.3249486525825611
LUMN,0.0069754113823875235,0.08351892828806846,0.06903607043401008,0.06577767989373665
CE,0.06104545367012148,0.24707378183474157,0.21333738312254494,0.2051404254696312
LDOS,0.988309668966534,0.994137650914869,0.8799548346634131,1.1259289628787252
VZ,0.008399425318251013,0.09164837869952208,0.08356425216801536,0.08798472645143865
TFC,0.43434267314937797,0.6590467913201444,0.5652283079878195,0.55727571526385
AAPL,0.056604229849081415,0.23791643459223538,0.19141564599559271,0.15533114141728713
TER,0.10419157137162136,0.3227871920811316,0.26512399426059724,0.24709108720199963
AMCR,0.7309424849751112,0.8549517442377149,0.7374977807940128,0.7824140499361987
T,0.0878498951715716,0.2963948298664665,0.26271944929675994,0.2767710899517807
SHW,0.0373212879320225,0.1931871836639856,0.16224202326813233,0.14182228494269666
O,0.008077251437934594,0.0898735302407477,0.08151908438275092,0.0789791509684643
BKNG,0.006117573222255844,0.07821491687814956,0.064609936205264,0.06247983891066583
HBI,0.04677840079437343,0.21628314958492129,0.17242824347469754,0.11928315647194558
PM,0.004460673833707937,0.06678827616960882,0.061751737237891624,0.06767266913465876
DIS,0.41234124681287665,0.6421380278513932,0.5589264729317548,0.489180001662287
INTC,0.06908327382378969,0.26283697194989464,0.24301573960704792,0.20548001405441624
CB,0.05261488068681733,0.22937933796839097,0.21460212714291932,0.21129534357189797
XEL,0.036357374230133105,0.19067609768959795,0.16778648034121416,0.15205839957256342
LNT,0.01649649299616257,0.12843867406728618,0.11017941825692809,0.09872299937021226
NKE,0.0155781167590908,0.12481232615046801,0.08502980074913799,0.07724795581097173
UDR,0.16348595232285412,0.4043339613770455,0.3580858193836315,0.3137470583753809
MRO,0.07722524660991897,0.27789430834387197,0.23736764504260252,0.24777088634162991
EXC,0.14529175389800622,0.38117155441875017,0.34569587475437513,0.302068241211159
ETR,0.001914854001035617,0.04375904479116994,0.038043196949469116,0.03547300720291963
AMZN,0.25985476192753026,0.5097595138175748,0.46101830036081914,0.5785762770138709
WST,0.03639420762213742,0.19077265952472702,0.17203986131884205,0.1964353914731305
KIM,0.16196707051375653,0.40245132688780705,0.35611143359512226,0.3291498324979103
MCD,0.043533408756021755,0.20864661213645852,0.17520299367462427,0.18233947757261837
DHR,0.09961897157673294,0.31562473220065146,0.28233871415686984,0.2798013445327178
CMS,0.0012630885903920132,0.03553995765883822,0.027091955993236428,0.025377044530595888
WY,0.30311738672197425,0.5505609745722759,0.4984489197694772,0.4837293185905084
YUM,0.01651929068357445,0.12852739273623523,0.10286725491422809,0.11068183299334766
PPL,0.0016955598090096853,0.04117717582605302,0.03437774705674736,0.03163950393070121
META,1.1330725031696636,1.0644587841573123,0.921161821853829,0.7490356969436178
ALK,0.18516078224157828,0.4303031283195351,0.38736211606858867,0.3076942697521218
SJM,0.0024465900302855326,0.0494630167932116,0.04458723153313399,0.04967278314373338
AMGN,0.014317966134656973,0.11965770403386893,0.08811538576775786,0.07349130325276926
DVA,0.13925069358634362,0.3731630924761231,0.31800246126758513,0.27614909027604034
TRV,0.11169505457197847,0.33420810069772167,0.3093120963187622,0.2994186913575037
FTI,0.14909161564642298,0.38612383460027816,0.32162533019516953,0.3583576356864499
COST,0.015603998368293421,0.12491596522580059,0.08521851314985515,0.08177424330056991
FCX,1.0741845696811352,1.0364287576486553,0.9030278641838723,1.1085732549830913
OMC,0.25920595429744925,0.5091227300930977,0.44718407183075404,0.4630218592434091
EXPE,0.3724657338959425,0.6102997082548397,0.5313346651544508,0.45497912773676236
LKQ,0.00718228651868667,0.08474837177602099,0.0718880014127834,0.0886908807519016
TEL,0.06087591261324467,0.24673044524996235,0.19851743803148328,0.18105714907801204
ILMN,0.23067281490114763,0.480284098113968,0.40545826810197344,0.26404546671302953
CHD,0.0014569381699128985,0.038169859443190235,0.030407987965627055,0.029356787247982366
IEX,0.2037131023007697,0.45134587879005794,0.39236436042771955,0.38502113818188516
DD,0.8224894080273394,0.906912017798496,0.7703160873676242,0.6932791095649219
GRMN,0.24012813481891515,0.4900287081579151,0.4433030892859477,0.3944572618059878
AVY,0.10546434341682635,0.32475274196968124,0.2812822449017708,0.2959965085604263
MAA,0.03141990124908738,0.177256597194822,0.16507682350329522,0.15593034136847583
INTU,0.0260768186417397,0.16148318377385212,0.14877088753084686,0.13877548022957698
AES,0.014778899385991829,0.12156849668393464,0.10350463176399952,0.1094393874749225
K,0.011907184381558886,0.10912004573660555,0.09563321055030859,0.09395460458554253
BIO,0.1065516537812119,0.32642250807996054,0.2752638458861583,0.29096226293707816
DXC,0.19084973827602475,0.43686352362725905,0.3596734768102702,0.33059509704116335
ROK,0.5481843263338061,0.7403947098229471,0.6316894493526939,0.6523590417900343
MGM,1.726745361846625,1.3140568335679492,1.105922953635998,1.117606905342653
GPC,0.004901842595675932,0.07001316016061504,0.056972516008007616,0.05429216208437277
AMP,0.33788166110064216,0.5812758906927434,0.5231176113273497,0.49773385933903763
TMO,0.8071792930702161,0.8984315739499675,0.7680126508790793,0.7060755211450287
MS,0.003127666800041016,0.05592554693555545,0.046771931914369826,0.04645399058018149
COF,0.2474185532667338,0.4974118547710074,0.4409031363580045,0.4206964105998143
CMG,0.006212890057021567,0.07882188818482824,0.0630788864654811,0.05695882574781003
LHX,0.41499187827685813,0.6441986326257284,0.5479573910388954,0.545964481583685
AIZ,0.0488075781050746,0.22092437191282133,0.19417848392925832,0.19532655449825867
ADI,0.18181548597525576,0.4263982715434665,0.3675743178221567,0.36691255965910324
ED,0.008867439471483182,0.09416708273851952,0.06767792199596175,0.0656637886534929
DRI,0.27593025589568265,0.5252906394518017,0.47947615379935454,0.5203537237626595
ALL,0.0035815526438058914,0.05984607458978317,0.041141767029596404,0.03589943034311279
IDXX,0.021893093630143887,0.147963149568208,0.11240664662535028,0.09681575913702743
DPZ,0.008213439371483045,0.09062802751623278,0.06418493985372482,0.05390508307321007
HII,0.9037234387565617,0.9506436970582415,0.8117160168256679,0.7220643734261185
BEN,0.35578119835078315,0.59647397122656,0.531462316718635,0.5541615847176591
EBAY,0.2020685969107802,0.44952040766886237,0.392335593337521,0.41094406934192756
FAST,0.0019045754519246224,0.04364144190932081,0.03740016695288422,0.041049362692721456
NVR,0.5617334239147116,0.749488775042503,0.6394745370980855,0.5672522268306709
NOC,0.2653626235523509,0.5151335977708607,0.45177937319809364,0.4036428972703708
PFG,0.02688860199057001,0.16397744354200064,0.15597442470794462,0.16086756298290347
COO,0.009494086429414912,0.0974376027487074,0.08277154897953305,0.07745669093706298
AVB,0.1113138181392321,0.3336372553226514,0.2934661514082057,0.26484102440309065
CMI,0.4452266844190958,0.6672530887295284,0.5728626752608409,0.5619147741615146
CAG,0.12788327355392795,0.35760770902474676,0.33286637220896265,0.3464153643217767
MAS,0.0788126652548953,0.2807359350971929,0.2516753664817016,0.25473502828648864
ROST,0.09290670201095846,0.30480600717662776,0.28142257948372573,0.31398115313785835
SRE,0.009136756433876129,0.09558638205244578,0.07955726645591162,0.07020381200469554
QCOM,0.0023204356022209437,0.048170899952366925,0.040454077428362156,0.03948252302338305
AMAT,0.0755434722218053,0.27485172770387545,0.22994067927560402,0.19289542181190594
