,mse,rmse,mae,mape
AWK,0.003554644963191153,0.059620843361958185,0.05253303108147334,0.04606611185742662
IBM,0.19160483807501583,0.4377268989621449,0.3693089363583916,0.3855280038075688
SEE,0.2708258262794053,0.5204092872724365,0.47389672882968353,0.4582059614641566
UPS,0.0886462931371866,0.29773527358575874,0.2782806628360836,0.28390935284158797
FCX,0.7959167771063052,0.8921416799512873,0.7790895913347363,0.9314252852794312
J,0.7742004968153855,0.8798866386162398,0.7552826140278714,0.9582691653320408
BLK,0.2794369854606779,0.5286179957783105,0.47944631847302627,0.4648094399806255
WELL,0.34589055222015297,0.5881246060318791,0.5158872238952973,0.4885774359341462
MSI,0.10641645197248908,0.3262153460100997,0.29104080782921427,0.3036800061292257
CBOE,0.027504672172854114,0.16584532605067323,0.1447963244517439,0.14410971522794983
LMT,0.27988083322010454,0.5290376482067269,0.4611026959702157,0.38609551143408244
ROL,0.14634117515918307,0.38254565107864325,0.3449234370245972,0.34146515812457784
CB,0.07120859204885384,0.2668493808290621,0.24886170471116845,0.24015226388702626
SYK,0.010187384436245703,0.10093257371258153,0.0882674802841177,0.07893545004825746
UHS,0.3262402486848984,0.5711744468066638,0.4757566421257569,0.3878092646745036
LYV,0.21536172975490855,0.46407082407204675,0.3947363848479293,0.3304736227453608
DXCM,0.022709779383189948,0.1506976422615495,0.1251288015616953,0.10994733805077095
XEL,0.05020393092235953,0.22406233713491325,0.19535764875964545,0.1715511144865836
K,0.05105631848212051,0.22595645262333294,0.19818404079962548,0.19097239811047573
CBRE,0.10553720004343047,0.32486489506167093,0.28609648308897984,0.24674906416652484
CNC,0.05411627527975991,0.2326290508078471,0.1790841380013417,0.1419375074199349
VZ,0.0019628373791086492,0.044303920583946624,0.0345225896966952,0.03588951961199478
YUM,0.04910852363607792,0.22160443054252757,0.18810694662249358,0.19734508961387595
CRM,0.0754978010506143,0.2747686318534456,0.24321210910606184,0.24650358208417547
TROW,0.48785730775505287,0.6984678287187269,0.6190133281875869,0.6307384020237986
IVZ,0.03284773246180152,0.18123943406941415,0.16977474968411432,0.16229850393957826
WU,0.10895772377415834,0.3300874486771018,0.30249345359059926,0.3387095837015536
LIN,0.06930029894656765,0.2632494994232043,0.22917220531855748,0.22825954551595917
WEC,0.02263319702374892,0.1504433349263068,0.12963804198886217,0.11379912070598278
ESS,0.7418357731230262,0.8612988872180355,0.7673914548141227,0.6539616797719496
VLO,0.12794226962171593,0.35769018664441427,0.2887052026636521,0.2840704633643634
ADSK,0.2025690424431509,0.45007670728793653,0.39571698020548085,0.36264227979692004
COST,0.08235058091508726,0.28696790920778453,0.2199094797933442,0.21309823421843452
