,mse,rmse,mae,mape
AWK,0.04567326682139018,0.21371304785012585,0.18595969740400364,0.16063251096875603
IBM,0.4068958398408543,0.6378838764546838,0.5413835835077514,0.5639448259346278
SEE,0.45962792935504193,0.6779586487058351,0.608628341845774,0.5863775146269172
UPS,0.17602680955147298,0.4195554904318057,0.38257384000212136,0.3893913611392879
FCX,1.0960761585051808,1.04693655896868,0.9095781192802702,1.0865021397711159
J,1.1481537075476351,1.071519345391223,0.9183636933895081,1.165571245619678
BLK,0.4914099546434965,0.7010063870204726,0.6272572975117039,0.6064150651601374
WELL,0.20078089208940963,0.44808580884626287,0.3943255032342921,0.3735352713254482
MSI,0.2091690830655666,0.45735006621358065,0.4019872395555132,0.4196767426737119
CBOE,0.04795045131688606,0.2189759149241899,0.19222154477301828,0.188556874735709
LMT,0.4405651179001509,0.6637507950278861,0.5758944022660994,0.4813728209919485
ROL,0.25046621363898763,0.5004659964862624,0.44415341989829293,0.43928827561290695
CB,0.08499750533165391,0.2915433163899559,0.26849443020225977,0.2586983215718741
SYK,0.11437209430664509,0.3381894355337628,0.2870283221477917,0.25292684908983265
UHS,0.2732914941767954,0.5227728896727483,0.4364070664997404,0.35583195972650106
LYV,0.32506832427244453,0.5701476337515087,0.4824430378739714,0.40320919164831037
DXCM,0.0257835601844771,0.16057260097686996,0.13799426504405066,0.1247198321011401
XEL,0.0027142649810741343,0.05209860824507824,0.04148451530394895,0.03636075525672633
K,0.015948934433191425,0.12628909071329728,0.11098033075058604,0.10641273654020482
CBRE,0.1596227629378931,0.3995281753992991,0.34622092185978354,0.29784792766369506
CNC,0.2878270029547613,0.536495109907594,0.4486231357254953,0.3646944532456614
VZ,0.0074048159834940765,0.08605124045296544,0.07629481436907737,0.07792087939654521
YUM,0.05301934914977735,0.23025930849756618,0.1927836949023847,0.20253992958750308
CRM,0.19936108826683882,0.4464986990651135,0.38141716377051266,0.3852567217434015
TROW,0.5637448509945956,0.7508294420136944,0.6617651677588745,0.6745135948802777
IVZ,0.08766872586183723,0.2960890505605319,0.2707290410822261,0.25602870080233864
WU,0.06604758728726254,0.25699725151694236,0.23583453743590918,0.2645905212850144
LIN,0.2535700981896188,0.5035574427904117,0.43538216813138364,0.4336542839311027
WEC,0.0032450408699459684,0.05696526020256529,0.04592238813205175,0.040637906755777595
ESS,0.5835913972907122,0.7639315396622345,0.6828917616301915,0.582288152878986
VLO,0.20212757733174305,0.44958600660134324,0.3630652594710749,0.35738777723857695
ADSK,0.42568045582693337,0.6524419175887869,0.5692878466381751,0.5195876793980898
COST,0.007303334933839566,0.08545955144885542,0.059533827412003394,0.05721664764674913
VTRS,0.019790787425231823,0.14067973352701454,0.1201498262637374,0.10254623681687262
TSLA,0.35356651784715026,0.5946145960596244,0.47670549575167204,0.38493391722230313
ROP,0.5900939117182842,0.7681757036761083,0.6788185922410763,0.6376485439784995
