,mse,rmse,mae,mape
LVS,0.08339264609933526,0.28877784904548215,0.23775667056067948,0.2882237218533604
PAYX,0.6109625502911266,0.7816409343753221,0.7047348098944499,0.7421813450261012
KMI,1.059688666433979,1.0294118060494444,0.9212229799409025,0.9057754167062735
WAT,0.2216606711669587,0.4708085291994599,0.3906152670355189,0.39315305399229966
UNP,0.07292981358757375,0.27005520470373046,0.2262373636655842,0.17880227598778264
LRCX,0.24948913127547734,0.49948887002162257,0.45733801760200066,0.3679266022543868
EW,0.49371735931073146,0.7026502396717242,0.6192197869415611,0.5007696542542063
ROL,0.3601859808793142,0.6001549640545467,0.5298320592736931,0.5293257235013004
MSFT,0.21395898840252503,0.46255701097543106,0.3950750147840007,0.3426148466723763
CVX,0.16062318108595058,0.40077821932578944,0.34841012856479514,0.3680885586974027
AJG,0.06370395348757747,0.2523964213050127,0.21763188650599663,0.2261103811099325
DOV,0.5629193982818648,0.7502795467569836,0.6437889668273313,0.6388742385756409
CDW,0.012755489462758141,0.11294020304018468,0.09697397143774227,0.07364107638027687
DLTR,0.022619134589619394,0.15039659101728134,0.1391987917102267,0.1515054551902348
BKR,0.018322057012524144,0.1353589930980729,0.12249392350805538,0.1122928264388782
PRGO,0.00980399450470071,0.09901512260609846,0.0807482113188068,0.08565707294278967
GD,0.20058596132073617,0.44786824102713085,0.3830210779453573,0.2921674435709784
TXN,0.00804422333178044,0.08968959433390497,0.07273124556178544,0.06778905798273357
ARE,0.007512518653724082,0.08667478672442223,0.07906487992375356,0.06809822829359163
A,0.4287246219236928,0.6547706636095518,0.5708251528160909,0.5794619512748779
BDX,0.2011188657008903,0.4484627807308989,0.39299307795652827,0.3570677525747906
DVN,0.0731845335448703,0.2705264008278495,0.18471491631350362,0.1946776798718338
ORLY,0.2286780976469192,0.47820298791090715,0.4020257943163197,0.3382529244011215
FFIV,0.7774497640970681,0.8817311178001308,0.735868992766892,0.5694962510894612
MSCI,0.02071001887196169,0.14390975947433757,0.11966764016203393,0.11583594332414227
UNH,0.4234908185416367,0.6507617217858136,0.5711021738205109,0.4969485557442777
SCHW,0.43232083720103054,0.6575110928349654,0.5718634735740267,0.5328445936066244
HBAN,0.04116555066678035,0.2028929537139729,0.18315514205354375,0.1828694462774482
PNC,0.11514097195695298,0.3393242873078097,0.2799209666992554,0.2546313985723931
GOOG,0.008714178505284602,0.0933497643558065,0.07496223147698332,0.07596381445683496
MET,0.9916591888840084,0.9958208618441413,0.8703484557021804,0.8827167165826411
RJF,0.4309337019786838,0.656455407456351,0.5784994660932945,0.5687629616193496
IT,0.5897866689570129,0.7679756955509809,0.6851080483777565,0.6483854230600843
AAL,0.10414036138203663,0.3227078576391294,0.2963119986033208,0.19590183050879417
HCA,0.12960703895227788,0.3600097761898666,0.29589784515021506,0.22075310953531557
SYY,0.00946155617722189,0.09727053087766042,0.09040800126502528,0.09719251734912157
CTSH,0.7176315958820555,0.8471313923365463,0.7365007088418491,0.7636816558717288
J,0.8705649815443683,0.9330407180527377,0.7978488430358106,1.0133034652520587
AAP,0.08517539460979376,0.2918482390040991,0.24452900240171863,0.19752878990061346
LH,0.09441680213221787,0.30727317183935515,0.2719991425067255,0.2827300447470563
HRL,0.022019771214929287,0.14839060352640018,0.12791242244097725,0.11655597847035304
IPG,0.34832513322371556,0.5901907600290905,0.5139381324329167,0.48281356349921817
APA,0.07066487936822044,0.26582866543738365,0.1849098249166361,0.23507142777065201
AMT,0.0012218608054650564,0.03495512559647092,0.02722417452294093,0.024129025459959833
CTAS,0.7980810715039917,0.893353833318015,0.7943205047125114,0.7120239560921353
ABBV,0.08522657521774801,0.2919359094351841,0.2174610738823736,0.19567842205496236
RMD,0.3884092612985491,0.623224888221378,0.5341023199194465,0.6039221082559602
LNC,0.09828599043201207,0.3135059655445364,0.2828974795852398,0.2812286824826888
PG,0.021397907016207814,0.14628023453702763,0.11773182361678168,0.11815952379794796
JCI,1.1844150247493075,1.0883083316548245,0.9396947959628228,0.8962229735738882
MKTX,0.4846464132244679,0.6961655070631322,0.6294586622848932,0.7437415411052548
CSX,0.02969925278533133,0.17233471149287172,0.161361358415498,0.14903881469564584
ALGN,0.9199467044682659,0.9591385220437483,0.8132527917728981,0.8902363848124826
SEE,0.27473074627172417,0.5241476378576213,0.47417511408079355,0.4619577269628193
TSCO,0.13705675194187447,0.37021176634714686,0.3388615118464572,0.39700705120075086
WAB,1.061590745319164,1.0303352586994021,0.8986040204397688,0.8281375777521838
LOW,0.04168523906784571,0.2041696330697729,0.18508389726512023,0.1905719858169132
V,0.5863079862733949,0.7657075069981977,0.6786730548247734,0.6757007288506953
TT,0.6402794619427594,0.8001746446512532,0.7062802174211169,0.7200585184612323
TSN,0.01636684011669082,0.1279329516453475,0.10905743227434804,0.09303352620247742
VTRS,0.019126828348604637,0.13829977710974314,0.10269436023887588,0.0913239164326889
MHK,0.13117585483647407,0.36218207415121206,0.3251382822991397,0.346809915838221
CPRT,0.06591216246400652,0.2567336410835295,0.22327160994081524,0.2377852320752378
FIS,0.13599520773432558,0.3687752808070595,0.327576743149304,0.31032527447777586
NOV,0.009348919421535484,0.09668981032940072,0.08399833033589515,0.08754743870646961
IBM,0.7292755163189744,0.853976297281707,0.7291762257951339,0.7712858798254671
APTV,0.1346033503220346,0.366883292508714,0.29759647585004056,0.2631037137671265
LLY,0.00377158665070138,0.06141324491265202,0.05036548009303696,0.04108070135243533
AWK,0.007395131916698845,0.08599495285596036,0.07495537336250564,0.06667062550769381
GOOGL,0.007124988423888827,0.0844096465096782,0.06899436033929678,0.06863371040898096
EQR,0.26038842385350736,0.5102826901370527,0.4524455739944056,0.3863594566527707
RTX,0.31001461509283784,0.5567895608691293,0.4713333123592013,0.4866523021825054
NTRS,0.5238615796200228,0.7237828262814908,0.6340116266087933,0.598986777174051
PSX,0.3460875376316913,0.5882920513075893,0.49294963325833685,0.4844883217640992
KMB,0.0185496467127117,0.13619708775415024,0.11528929557874745,0.11283605993688164
XOM,0.4312806493551375,0.6567196124337521,0.5741973135960271,0.6046063362424606
CHTR,0.06621154319605091,0.2573160375803477,0.22350620980533376,0.21018287691689902
PNR,1.4758495539568084,1.2148454856305013,1.04735957514627,1.1844884306427326
ADM,0.07282517002157333,0.2698613903869417,0.249664419388114,0.23307330271452167
FLS,0.44324493390621567,0.6657664259379679,0.5675666940397698,0.6471754146153627
ES,0.019097189597014456,0.13819258155564812,0.11601076670629669,0.10842143992305278
HES,0.4568422754876708,0.6759010841000854,0.5651160960462684,0.5637173215257758
HAL,0.1447345273386962,0.38043991291489937,0.2425861699537665,0.2770692930396353
IVZ,0.2637441560490521,0.5135602749912147,0.45980779350123824,0.4395963237446507
TDY,0.13397098037608587,0.36602046442253183,0.31743982163941287,0.3026102854197046
ALB,0.9281803428145259,0.9634211658535046,0.8552969651865242,0.9436004215011587
ICE,0.5290696039216669,0.727371709596728,0.6543449753679117,0.7320591023554416
LYB,0.23681046692236332,0.4866317570014963,0.3702768324303953,0.3279127608971242
APD,0.39803373199795555,0.6308991456627244,0.5531899657814334,0.48242379811785646
IRM,0.3443452908654806,0.5868094161356655,0.5466302351116662,0.4942419185522676
USB,0.12000167632952033,0.34641258107857503,0.3001989354608269,0.287829755830032
FRT,0.03749111135885778,0.19362621557748264,0.17567698730319786,0.1547120731933893
GLW,0.08903569885764472,0.2983885032263219,0.27476812361010533,0.23831818614120892
REGN,0.11785424002166103,0.34329905333638927,0.2892874781095315,0.25616994707097845
LUMN,0.08465256398051069,0.2909511367575502,0.2581510748887804,0.23292918092409934
CE,0.1740737110666628,0.41722141731539,0.36158427745105004,0.3498201349307416
LDOS,1.4975883836666402,1.2237599371063919,1.0781821564280607,1.3785068133708647
VZ,0.021677831463978246,0.14723393448515273,0.1323345841372861,0.13879109150190544
TFC,0.3591863850181475,0.5993216039975094,0.5149918192567201,0.5076170296728967
AAPL,0.18089711926870883,0.4253200198306081,0.33501599862343356,0.2687394555641545
TER,0.13663888798973486,0.36964697752008585,0.3019390246251719,0.2811979836836052
AMCR,1.1620801567322165,1.07799821740679,0.9307963395990306,0.9878037818935356
T,0.07388616147060686,0.2718200902630394,0.2414718329782112,0.2542279204545048
SHW,0.07531648074412375,0.27443848262246995,0.2340933340885897,0.20531345973217593
O,0.03031167956131002,0.17410249728625382,0.15843532355253143,0.1535984975815356
BKNG,0.07108471851969718,0.2666171759652727,0.24014647110130818,0.2398669569358556
HBI,0.2193801802345152,0.46838037985649567,0.3861910794930474,0.2700385574297382
PM,0.01554404162855825,0.12467574595148108,0.09631020357390963,0.10309134163797876
DIS,0.43891907298579524,0.6625096776544439,0.5754373750173231,0.5034496118391841
INTC,0.09402833855671758,0.3066404059427224,0.2824253276992208,0.23710049943390132
CB,0.20447605575560343,0.45219028710887127,0.40750606437611153,0.3989797691188764
XEL,0.03920925583815601,0.19801327187377116,0.17405421071335425,0.15778273756031175
LNT,0.023086579600065837,0.1519426852469899,0.1314617043298234,0.11796475022527651
NKE,0.011322181495983161,0.10640573995787615,0.09445019004968648,0.09705131747481378
UDR,0.5733079924783099,0.757171045721051,0.6658636299662578,0.5835844610086904
MRO,0.03551943195983434,0.18846599682657436,0.15796465253122485,0.1613598841856325
EXC,0.1672808307903175,0.40899979314214513,0.36951746799706797,0.3224466079461349
ETR,0.005199844439145579,0.07210994688075688,0.061432776980142725,0.05611005110333171
AMZN,0.011078065302474658,0.10525238858322722,0.08361714946510714,0.10461658561941885
WST,0.12189074701385105,0.3491285537074432,0.31756977457337593,0.35488538521126284
KIM,0.23567731444834214,0.4854660796063327,0.42909101816978623,0.39679166571248453
MCD,0.06419562614943157,0.253368557933757,0.21481412224159843,0.2232167515836954
DHR,0.19172139519951392,0.4378600178133577,0.3892603234739717,0.385095818649302
CMS,0.00415905812121382,0.06449075996771801,0.05077012432291482,0.047117570528481416
WY,0.1645119509316131,0.40560072846533834,0.3710399082408006,0.361249600247206
YUM,0.05319737003633531,0.23064555065367143,0.191240796012328,0.20439285707913066
PPL,0.0016105104398347842,0.04013116544326596,0.033511244648946364,0.030797137390483207
META,0.8810647457924562,0.938650491819216,0.8112574151174392,0.6607858008512416
ALK,0.3056115377510005,0.5528214338744478,0.4974955879611719,0.3966853425204557
SJM,0.007449774497291199,0.08631207619615693,0.07182269722648904,0.07948450004331227
AMGN,0.04236025673420864,0.20581607501409757,0.14814553408011466,0.12042650139462263
DVA,0.4824357453182613,0.69457594640058,0.5961084885154573,0.5177299017845652
TRV,0.1698394601962368,0.41211583346947106,0.3767614097371066,0.3637472047613796
FTI,0.7381306274782301,0.8591452889227934,0.7283624022090139,0.8044071902747169
COST,0.005623782246627734,0.07499188120475266,0.06918732833820883,0.0729271038756965
FCX,0.9295238231360688,0.9641181582856267,0.8395872796986,1.0315340524439645
