,mse,rmse,mae,mape
FITB,0.27122869962347346,0.5207962169826826,0.4409108248784435,0.44982992439021136
EVRG,0.0025563701793276717,0.05056055952348304,0.04281709984853804,0.03677027839195874
C,0.08158672993579219,0.2856339089390337,0.26605207561015637,0.28102119726174046
RSG,0.12716372046911734,0.35660022499869143,0.30288076981616324,0.27296268492209974
LDOS,1.4268433196469865,1.1945054707480358,1.0578026025337708,1.31990997574335
MSI,0.19016117783928715,0.4360747388227013,0.3854259973121048,0.40214899886930694
SO,0.0015493478195980096,0.03936175579922737,0.030160364971451203,0.02707886647294301
MOS,0.5140154864728376,0.716948733503894,0.6133819612722344,0.6406579373250596
PSX,0.2655011588083931,0.515268045592188,0.4314494585629599,0.41733788183870907
GS,0.3336891303483768,0.5776583162634956,0.5251715838275485,0.523772026159549
HON,0.2886935776974965,0.5373021288786194,0.46945152081250763,0.4466375959481849
ADBE,0.1992828469041574,0.44641107390403906,0.37758087944361285,0.3285790108583494
LLY,0.0014869020943493654,0.038560369478901076,0.02928064829977359,0.02427880903351501
FLS,0.7591216016941031,0.8712758470737629,0.7482086394001528,0.8475095177671633
HCA,0.1625939543723029,0.40322940663139006,0.3334380094083323,0.24932656410267745
LVS,0.14079134662617318,0.375221729949337,0.30676490058792744,0.36631409731649095
DUK,0.01598140402671474,0.12641757799734474,0.09925816975379091,0.09036643264229421
EXPD,0.07763660937432106,0.27863346779294307,0.25341067982733095,0.2756779961786084
AEE,0.0198454525445917,0.1408738887962979,0.11554848677960186,0.10252055552701221
ESS,0.5829862460981363,0.763535360083694,0.682505703736385,0.5819566569020641
ETN,0.7292474068058555,0.8539598391059474,0.7430779328367784,0.8099702071324554
O,0.002800522908177349,0.05291996700846807,0.04651567900445971,0.04382128861841655
MCO,0.48111359433406997,0.6936235249283793,0.6166090440974319,0.5298474563867089
NFLX,0.15312380632309075,0.39131037083508374,0.316482493959636,0.31769432787611773
COST,0.00782577267056126,0.0884633973491933,0.06443706122228238,0.06229312475846822
TYL,0.13028112020929705,0.36094476060651864,0.3355540566741216,0.3874628276696217
TTWO,0.08907880304636963,0.29846072278671715,0.2558218632290112,0.20572708345885918
CSCO,0.22656733803213605,0.47599090120729837,0.4148343509396342,0.38708019372603125
VMC,0.3314819157759339,0.5757446619604335,0.4826253255431911,0.4532213512268429
EOG,0.26454940998040605,0.5143436691361196,0.40941403618020417,0.3889607316067785
WMB,0.7166580360194362,0.8465565757936301,0.716567019192832,0.5400771257305208
AMD,0.30366691617688846,0.5510598117962228,0.44331069933713774,0.5724609104105918
PCAR,0.2678815278557833,0.5175727271174393,0.43655226454325413,0.4031284952299654
AEP,0.008756893305657137,0.09357827368389063,0.0809330870602334,0.06965360191382472
AMP,0.45520382417982497,0.6746879457792506,0.6051564316966548,0.5677633074477518
WYNN,0.4501454174176303,0.6709287722386261,0.5406265172156552,0.5606864488866696
NI,0.2000566782574239,0.44727695922931676,0.387742900808869,0.31803884797720855
CDW,0.019423603618829458,0.13936858906808758,0.12104806861828825,0.09106857489039517
WDC,0.3127605530209256,0.5592499915251905,0.48763010290524267,0.42146852285004227
SLB,0.05644131759140553,0.23757381503735955,0.1689295330975658,0.16656414058495128
HII,1.1193988042599339,1.058016448010112,0.9087456426472134,0.8040773339817099
LRCX,0.17213244541194228,0.41488847346237795,0.3848655289326759,0.30604077362717347
SWK,0.015175307767286707,0.12318809913009741,0.10007275178261292,0.09913940162647417
TSCO,0.5735592756812071,0.7573369631024272,0.6847660402710051,0.7789714181451021
BAC,0.034513480364972746,0.18577804058868946,0.16298401008676863,0.15957337529103238
GILD,0.017914396828517955,0.1338446742628109,0.10478544092700545,0.08312132655302668
AZO,0.024824450076494198,0.15755776742672573,0.13352607859101173,0.11902715554311506
TSN,0.10086888849421874,0.31759862797911886,0.2953725626974645,0.2512062717979235
WBA,0.009323164071600137,0.09655653303428069,0.08588857176189771,0.07626268882459883
FANG,1.7176707674715388,1.310599392442839,1.0767407151529556,0.8935945478563705
RF,0.09379308649463947,0.30625656971669923,0.25031436766338455,0.24531004233518566
XRAY,0.035862100788408395,0.18937291461137834,0.17618775154584623,0.18136145455686922
NVDA,0.009893283820652209,0.09946498791359806,0.07909859324868108,0.06752505401311139
CHRW,0.0056319531818487855,0.07504634022954608,0.062095876182817936,0.060814173127357235
STT,0.15144923487315362,0.3891647914099548,0.3582790232705783,0.36799603952372684
VTR,0.003289206003226337,0.05735159983144618,0.0478019541800304,0.04769556794642246
ABT,0.2188957455474717,0.4678629559470077,0.4156583805768907,0.37542810928060427
BWA,0.14674879536093954,0.38307805387536825,0.3035714626202738,0.29208457319683717
GWW,0.0012702046645027732,0.03563993075895032,0.028400619504537428,0.0312003338938912
CCI,0.1240067358962529,0.3521459014332737,0.3032855717552087,0.293724601317798
DE,0.3425355541045942,0.5852653706692326,0.5125280417894097,0.5298345289393588
MAA,0.03088370111567965,0.1757375916407177,0.16490149979133187,0.1513989509953133
T,0.09323235988572022,0.3053397450148281,0.2683173078697237,0.26827542059142956
EQIX,0.11407533705536411,0.3377504064473707,0.29355247874949525,0.24891846544981316
LEN,2.0382032376450434,1.4276565545133897,1.250070665010028,1.2036838045385365
VRTX,0.1227817799376483,0.35040231154723894,0.31196243595441736,0.27921219666460706
PAYX,0.5525729473847324,0.743352505467448,0.6718194314835224,0.691630247241722
DOV,0.5216700439435253,0.7222672939733082,0.6210683211177386,0.6093229317013551
DLR,0.32529617574434233,0.5703474167069947,0.49670317106160566,0.43899728961245177
MNST,0.35945439351064534,0.5995451555226223,0.544408801785464,0.4575928958943547
KIM,0.16596249864620236,0.40738495142334646,0.36137441085269767,0.3236475262072115
VLO,0.3412353367258767,0.5841535215385393,0.48457501436441575,0.4748766464661763
EBAY,0.2538680725567428,0.5038532252122069,0.4415728062645626,0.46235305222856565
MU,1.2529166339817233,1.1193375871388056,0.978008177228228,0.7278813664552809
PGR,0.02892367760359084,0.17006962575248655,0.16146116778194888,0.17149162769101275
MSFT,0.23325427651566175,0.4829640530263735,0.4127576358843864,0.3514663633819385
ZION,0.040864984935086925,0.20215089644888276,0.1674906613634357,0.17456169164470076
NEE,0.015620948687339096,0.12498379369877959,0.09601167709974141,0.08455919920933874
GE,0.3543024050723827,0.5952330678586185,0.5314204279700976,0.5624159953027019
NUE,0.2755123721451532,0.5248927244162879,0.4713416231271683,0.48524466533271043
ILMN,0.21259230879924462,0.4610773349441985,0.3911502252067361,0.25498866848068225
CBRE,0.15811612474879622,0.39763818321282507,0.347070162927907,0.2986070798081578
KEY,0.11104415265978587,0.33323288052019395,0.2886788441357197,0.2852463877710064
GIS,0.08695914422250599,0.2948883589131758,0.26012802409823965,0.25027901572003236
NCLH,0.8506530912017767,0.9223085661543954,0.8286114735094693,0.8278436052175484
PNC,0.040706264670221905,0.20175793582960228,0.16252448007606105,0.1451970575026186
WY,0.27426577707131866,0.5237039020967084,0.4758295523810934,0.4521615046378566
HAL,0.07352860660733697,0.2711615876324244,0.15851117332468007,0.1845326634875389
FCX,1.083702127564195,1.041010147675898,0.9076044020844733,1.0837150138066176
UDR,0.3543987223764328,0.5953139695794419,0.5272425972699848,0.44905529521916765
TDY,0.11815407259596152,0.34373546892335904,0.2995466165451491,0.2856910896203787
AXP,0.5704969211628464,0.7553124659125166,0.6592948345864922,0.6566212931988479
WAB,0.7028463041483696,0.8383592929933857,0.7322789124116893,0.674180433513273
SBAC,0.0024074948435817527,0.04906622915592508,0.037856478438471806,0.034627108181288814
TROW,0.5896683459809428,0.767898656061425,0.6772415879065921,0.690217024563669
TDG,0.013493108721558782,0.1161598412600447,0.09694817240150398,0.07714847289607318
ROK,0.6863578091316824,0.8284671442680648,0.7090645845256226,0.721469389494495
MET,0.33446413783812173,0.5783287454710527,0.5148072214273031,0.5134631427137838
FTNT,0.10418751656031883,0.3227809110841576,0.27058557261632926,0.23437499545709178
LUV,0.17839353234281893,0.42236658525837356,0.342668495610514,0.2009486046743793
CAT,0.30550510402225123,0.5527251613797324,0.4576256069584574,0.4069167631150308
K,0.015318393293776846,0.12376749691973594,0.10879203239241539,0.10432208856862477
BEN,0.45004761614508243,0.670855883290206,0.5985611198062076,0.6208320524429397
KO,0.09112241632661426,0.3018648974733801,0.2754483706230182,0.2701578252337598
KMI,1.2870253832750849,1.1344714113961114,1.0152845656623675,0.9585577945675446
VZ,0.018413465400097237,0.13569622470834344,0.12212231495302878,0.12422512290015642
GRMN,0.29431699743426304,0.5425099053789368,0.4903400913512287,0.42453158056548795
AMAT,0.09155406287099055,0.3025790192181053,0.25664837637073135,0.21118707296984002
