,mse,rmse,mae,mape
AWK,0.01715743276435711,0.1309863838891551,0.11473360124922063,0.09936221291325416
IBM,0.30385820125453306,0.5512333455575171,0.46692486367519637,0.4867597278447659
SEE,0.34370057444227053,0.5862598182054357,0.5303690124345916,0.5119074560384367
UPS,0.10535940963979791,0.32459114226946784,0.30035220391159084,0.3062194594984592
FCX,0.8900633977460998,0.9434317133455392,0.8217742847311554,0.98221650758278
J,0.7780984821002775,0.8820989072095473,0.7547339954399828,0.9584647845382794
BLK,0.35273538071005184,0.5939152975888496,0.5350008178397723,0.5179395483678194
WELL,0.3019824302187726,0.5495292805836397,0.4827222517596033,0.4572411872476224
MSI,0.12579203850916026,0.35467173345103253,0.3140961152265127,0.3279008003892114
CBOE,0.010782672644900071,0.10383964871329289,0.0859064303655968,0.08729278191156305
LMT,0.29134724894019937,0.5397659205064723,0.46889092697389084,0.39230203075688685
ROL,0.1805682819972891,0.42493326769892836,0.38007918997475504,0.37613393432541875
CB,0.022285026327416465,0.14928170124772985,0.1433490295640516,0.13947263522047199
SYK,0.05527679076649665,0.23511016729715592,0.20014409916030304,0.17675709898281197
UHS,0.24931684434444476,0.4993163770040442,0.41344588936840276,0.33616754260225595
LYV,0.18333464186984003,0.4281759473275443,0.36019338786294774,0.30146231991555206
DXCM,0.023088393852299938,0.15194865531586627,0.13037925636790693,0.11669031233195769
XEL,0.02351464140624134,0.1533448447331743,0.13412557153649662,0.1177465218227529
K,0.0267214266201466,0.1634668976280721,0.1441861524379511,0.13865085085235115
CBRE,0.1417538156831432,0.3765020792547409,0.3287570917431134,0.2830282130586197
CNC,0.39554000350672225,0.6289197114948157,0.5293909924838467,0.4315844100091383
VZ,0.002975578042435563,0.05454885922212822,0.04676032845935372,0.04822464033285173
YUM,0.00779246271945363,0.08827492690143465,0.07092460107321988,0.07516160213201693
CRM,0.08262327394390868,0.28744264461611935,0.2520984802919907,0.2551756152665531
TROW,0.32376429301401155,0.5690028936780652,0.504244101608764,0.51401861582422
IVZ,0.05564694736775186,0.2358960520393503,0.21839543824069704,0.20740309410725707
WU,0.04494973514516288,0.21201352585427866,0.19653652398478463,0.22108963682110147
LIN,0.13780959550513225,0.37122714812515023,0.32169698833579796,0.32042529802539355
WEC,0.013906815408141229,0.11792716145206425,0.10000184834842546,0.08752199492335963
ESS,0.5915009329376838,0.7690909783229054,0.6867092931048694,0.5854178735040317
VLO,0.17587980952844237,0.4193802684061833,0.3397354777139741,0.3341590771731295
ADSK,0.27526857231606394,0.5246604352493753,0.4591585414731067,0.419864343711647
COST,0.03484538226537786,0.1866691786701218,0.13374430197232054,0.12807179912881564
VTRS,0.05406321124910506,0.23251496994624898,0.2093745146633905,0.1802314849140815
TSLA,0.2259170425739437,0.4753073138233239,0.3806793154384339,0.3089619040323386
ROP,0.407525442709958,0.6383771946975847,0.5669469592346196,0.5330413835703527
ADBE,0.10609010930558235,0.3257147667907956,0.27552153758721176,0.2403796600557777
ODFL,0.027032984041281852,0.1644171038586979,0.1511424848332601,0.12303429967092264
REGN,0.23316992559423272,0.4828767188364259,0.4098700962748463,0.36402558601595897
STT,0.05913869267208158,0.2431844827946092,0.22766479613969454,0.23559015609207848
NOV,0.06994357472962573,0.26446847587118155,0.22306796048452984,0.21951877751673535
CMS,0.002494600187406415,0.04994597268455601,0.03870091855900912,0.03373701850506618
AON,0.0021548996926873017,0.04642089715513156,0.03609542262682287,0.03558868212757126
GE,0.2475824542072153,0.4975765812487715,0.44694280658307617,0.47301748957579604
ECL,0.005003687921706566,0.07073675085630217,0.05788067507909027,0.055570970027232054
APA,0.02595594469136935,0.16110848733499222,0.12178338758056263,0.12404682848025557
IPG,0.015418122502000885,0.12416973263239671,0.10743070877536798,0.10192149449838131
BA,0.032910165988003545,0.18141159276078125,0.16658752283468475,0.18047288661605274
CSCO,0.04006939623419514,0.20017341540323266,0.17428649936649687,0.16347222772207648
NWS,0.04688510855411282,0.21652969439343145,0.18691555019297457,0.21313389712722797
CDNS,0.007429353383443877,0.08619369688929625,0.06923421250466992,0.05968538731999458
TFC,0.3687018988164959,0.6072082828951659,0.5219531438533703,0.5054888288701515
D,0.003570321684908767,0.05975216887200637,0.053122136003822255,0.04935196721060882
IDXX,0.017329802137801973,0.13164270636006375,0.10200015114477091,0.08813159099971457
KEY,0.08001406452087695,0.2828675741771703,0.24327727285569536,0.24058513528268757
COF,0.19469918177508624,0.44124730228646863,0.39273471123232384,0.3709094396656897
DPZ,0.01635565510312641,0.1278892298167692,0.08316281338971424,0.06764250429199405
EFX,0.020193315079998216,0.14210318462299926,0.12724435946938112,0.11791869771666075
PCAR,0.17634321784282425,0.4199323967531253,0.35271147630120414,0.32593457022883526
CMCSA,0.29503950624016234,0.5431753917844239,0.47705734744178946,0.45572833170138644
HAS,0.03782349738500773,0.1944826403178642,0.17319189185715975,0.17247859400614354
BKR,0.021306055446765126,0.14596593933779595,0.12327126886867212,0.1150915767178769
PLD,0.0027906944146236304,0.05282702352606694,0.047784772107743775,0.04641896797937994
EXR,0.004862824337799872,0.06973395398082538,0.06329480642737156,0.05665005970994826
LNC,0.0030415632746829797,0.0551503696695043,0.045238952494790464,0.045922168139580125
XRAY,0.0065744313463228605,0.08108286715652611,0.07251973861688618,0.07616298824641482
SBAC,0.001626380227244159,0.04032840471980213,0.03166074909811461,0.02881977085208162
KMI,0.9393360963723107,0.9691935288539182,0.8704113328549922,0.822831000214169
KMX,1.125221274022262,1.0607644762256427,0.8979648989981263,0.9116008141595021
AXP,0.3726049838992087,0.6104137808890038,0.5326467923735483,0.5307241595362746
PPL,0.02195126861798744,0.14815960521676425,0.13351877643277105,0.11653840651048424
WBA,0.015317734623106405,0.12376483597171857,0.10013349493504684,0.0860145324716204
CDW,0.029049334881483115,0.17043865430553926,0.15088856824897062,0.11313649295233348
CHTR,0.004869282562340958,0.06978024478561935,0.05914734635056379,0.057064596418997825
CAT,0.2553018152177143,0.505274000140235,0.41549061563442474,0.3696284224238821
ACN,1.0188869373233007,1.0093992952857163,0.8856129056909336,0.8840341993560262
ABBV,0.009859943322870266,0.09929724730761809,0.06957792903492492,0.06188326241240446
AAP,0.08208454023574348,0.28650399689313844,0.2464293701440674,0.20202424756591297
F,0.9581390351809104,0.9788457667993004,0.8625996510848324,0.9468176371798064
ROK,0.4232437182785716,0.6505718394447854,0.5551007727612749,0.5650196447276482
MMC,0.0018028075330477592,0.04245948107369848,0.03259681632039556,0.029733055607376588
