,mse,rmse,mae,mape
LVS,0.056052669989762674,0.2367544508341135,0.1862959718083908,0.2285480770680099
PAYX,0.8151864736098208,0.9028767765369873,0.8107070311604839,0.8533609291979125
KMI,1.2038283964835403,1.0971911394481548,0.979754297118882,0.9624970713448627
WAT,0.21162041664716294,0.4600221914725016,0.385128660511351,0.38781798503052667
UNP,0.040102115890738414,0.2002551270023777,0.16967456348475274,0.13446939615183207
LRCX,0.1841139914384014,0.429085063173261,0.3951247771368654,0.31940804413146595
EW,0.05445392019312429,0.2333536376256524,0.20943027575177375,0.1786176311599228
ROL,0.37219067848230236,0.6100743220971543,0.5397427712505037,0.5391401990728975
MSFT,0.12666416196062794,0.3558990895754412,0.3021652630694669,0.2616684317971515
CVX,0.17793907237688816,0.4218282498563701,0.36862283978339916,0.38878117437176296
AJG,0.06211683353698252,0.24923248892747213,0.2194440811876056,0.22794954667818193
DOV,0.5952228209349432,0.7715068508671477,0.6612095582455674,0.6563420547437468
CDW,0.03133321849211947,0.17701191624328425,0.15639132729867522,0.11779665730212341
DLTR,0.023760871786588967,0.15414561877195526,0.14285867775535013,0.1553460271238114
BKR,0.07493108797885545,0.2737354342770688,0.1756274750388729,0.17578423945194624
PRGO,0.030673436455989127,0.17513833519817734,0.15138047572369442,0.16005644494127907
GD,0.17412850640647573,0.41728707912715884,0.3573402158901493,0.27267661098638296
TXN,0.01481216337986834,0.12170523152218371,0.10227585432614322,0.09456873353506848
ARE,0.002882258043364646,0.053686665414836916,0.04905521114121835,0.0430508020485347
A,0.5111518697899441,0.7149488581639557,0.6248643103033226,0.6341686927687276
BDX,0.26593660871036473,0.5156904194479133,0.4527569149434916,0.41117541625249104
DVN,0.04759206040799888,0.2181560460037697,0.14322636529914737,0.15188549690079337
ORLY,0.09876386719328752,0.31426719076812254,0.2674086149810139,0.22609234631730515
FFIV,0.8939813464342351,0.9455058680062409,0.795922277011635,0.6170993766940646
MSCI,0.0017084206176756127,0.04133304510528607,0.031892649875466764,0.03250394392502332
UNH,0.4775047295547723,0.6910171702315162,0.6135176740722109,0.5348938758929229
SCHW,0.31616243569443964,0.5622832344063262,0.4923575062779918,0.4594276269312333
HBAN,0.08759087312407442,0.29595755290932246,0.2650978466262954,0.26379280676290984
PNC,0.10211755616480295,0.3195583767714484,0.26542133716808947,0.24128802259671603
GOOG,0.02607278744090252,0.1614707014938082,0.13181090874888576,0.13451075493611683
MET,1.132481598046468,1.0641811866625288,0.9370712127577322,0.9492512744441975
RJF,0.48377106142258725,0.6955365277414172,0.6123522450386899,0.6014925654261866
IT,0.7228290510514775,0.8501935374086759,0.7573260488623124,0.7165354077721425
AAL,0.05593570244184303,0.23650729891875014,0.21047606072979988,0.1415566144349598
HCA,0.3194609548361868,0.5652087710184501,0.4773973296566696,0.3599295038504764
SYY,0.0029698650737685446,0.05449646845226344,0.04591712749005638,0.04879604431206248
CTSH,0.7976637970623544,0.893120259014627,0.7788174207847814,0.8071492855600445
J,0.9972406782579822,0.9986193860815953,0.8549146876377305,1.0854777445746453
AAP,0.032497823436358084,0.18027152697072849,0.15518556719597895,0.12562355989919693
LH,0.030237510282743928,0.17388936218970938,0.1523070921065137,0.15858043842755096
HRL,0.08200975665973585,0.2863734566256724,0.24821940807761436,0.22655170326928914
IPG,0.2965871468533908,0.5445981517168331,0.4791125638561165,0.4494951119211123
APA,0.08038062891939415,0.28351477725048857,0.21608799209961785,0.26788247279930416
AMT,0.0014898124562243412,0.03859808876387976,0.03209529122965675,0.028566446910037745
CTAS,0.7934383233781929,0.890751549747848,0.7920816567244361,0.7100297743099695
ABBV,0.1784729365449299,0.42246057395327424,0.3398101312653135,0.30987392770702804
RMD,0.4350510347544363,0.6595839861264343,0.5824148164431932,0.6560629682439204
LNC,0.15317310172786894,0.3913733533697318,0.35389629294333547,0.3513270659111627
PG,0.0122062361314792,0.1104818362061348,0.08072290185041615,0.08025457571494843
JCI,1.148542737594919,1.0717008619922441,0.9253654686054351,0.8825279079555904
MKTX,0.5713616902066044,0.7558847069537817,0.6834367990980937,0.8127195026816765
CSX,0.029088494509146853,0.1705534945673845,0.15960319088707153,0.14743601104974183
ALGN,0.3915302731289733,0.6257237993947276,0.5360302353104567,0.5853357452883957
SEE,0.49375756155773814,0.7026788466701828,0.6299930876612327,0.6119840971280784
TSCO,0.2581628321837765,0.5080972664596578,0.4626424287290528,0.5390090688547471
WAB,1.0703175273387047,1.0345615145261806,0.9043253078521967,0.8333959604194598
LOW,0.07563283676217425,0.2750142482893827,0.25390062727967744,0.2570622066110385
V,0.7811747951389761,0.8838409331655647,0.781286230715434,0.7768842865631705
TT,0.653388014783704,0.8083242015328405,0.7113959568801613,0.7256600930943141
TSN,0.020132372804771766,0.1418885929339345,0.12742634792328475,0.11005036536481787
VTRS,0.023409578386674342,0.15300189014085527,0.12777394654666602,0.1130503237837681
MHK,0.24700688782103963,0.49699787506692583,0.44320348010003846,0.4714961506868923
CPRT,0.03666469599759214,0.19148027574032825,0.1649405672592775,0.1761279803503846
FIS,0.19592107286272542,0.4426297243325683,0.39147205432249055,0.3704856465914463
NOV,0.01628955054034102,0.12763052354488333,0.09334293999959511,0.10092100213250342
IBM,0.8259550929317109,0.90882071550538,0.778849793440085,0.8230254809688088
APTV,0.09803409612258232,0.3131039701482278,0.254194886484387,0.22442797076652718
LLY,0.01891050526416753,0.1375154728173071,0.11179901453836406,0.08961648413154372
AWK,0.015535075072856936,0.12463978126126882,0.10669837786892002,0.09463635618227328
GOOGL,0.028061097948947514,0.1675144708643033,0.1349189663376721,0.13609964521412982
EQR,0.4563929150993797,0.6755685865249951,0.5972307591322248,0.5097525808036714
RTX,0.2838083867529862,0.5327366955194528,0.4527014861572933,0.46696439981828325
NTRS,0.4917943852603738,0.7012805324977828,0.6145906308866305,0.580751612256009
PSX,0.36151958461052036,0.6012649870153095,0.5049787972331181,0.4960097056049205
KMB,0.004634926241534929,0.06808029260758894,0.0562388096643539,0.05454388571306084
XOM,0.5053761613716187,0.7108981371276891,0.6215466796473746,0.654338780796584
CHTR,0.04909596104146743,0.22157608409182483,0.1985604923495483,0.1871134676640368
PNR,1.6465654767348497,1.2831856750816888,1.1067882314426358,1.251572552171844
ADM,0.13208039075162462,0.3634286597829409,0.3326094248510541,0.30878686042693804
FLS,0.47380840149401277,0.6883374183451113,0.5845666417993011,0.6676166906781761
ES,0.012531233339205918,0.11194299146979197,0.09150000522753614,0.08573531811071503
HES,0.3894774134188761,0.6240812554618799,0.52651801909581,0.5239808575110967
HAL,0.1676174403334236,0.40941108965613476,0.27798923153110017,0.3108449065794804
IVZ,0.21201337698641992,0.4604491035786908,0.4151664637459814,0.3972454310234362
TDY,0.13213906641786685,0.3635093759696809,0.31519667972500115,0.3004731992090027
ALB,1.1362741634118094,1.0659616144176156,0.9451417704515898,1.043074017051978
ICE,0.6529692274674193,0.808065113383457,0.726307515432702,0.8135548623204448
LYB,0.29294747010388983,0.5412462194823072,0.42688386131241374,0.3750283698998136
APD,0.3427048799523062,0.5854100101230814,0.5156449566997604,0.4498466994435618
IRM,0.5681350102241153,0.7537473119183347,0.6952565602886879,0.6246118913390291
USB,0.1523676839685439,0.39034303371335305,0.33887293263376855,0.3247937564124648
FRT,0.03750936436367747,0.1936733444841532,0.17606967188297679,0.15511827938791115
GLW,0.04073965221017893,0.2018406604482331,0.18376912490870628,0.15707833734809545
REGN,0.19383987707613035,0.44027250320242617,0.37344867461379794,0.3314982638351594
LUMN,0.005386209820510925,0.07339080201572214,0.060216099014190554,0.05778914755239559
CE,0.1445873277900264,0.38024640404614796,0.3293882552004164,0.31771414735825343
LDOS,2.33613179245919,1.5284409679340547,1.345678813414329,1.7201886526880559
VZ,0.02367406260798323,0.15386377938937815,0.13834637061575272,0.14507266916831393
