,mse,rmse,mae,mape
LVS,0.07033914039509334,0.265215271798389,0.21715164427764294,0.26394354294170813
PAYX,0.7716024487914264,0.8784090441197804,0.7867737214670039,0.8278336174971254
KMI,1.2236854280671727,1.1062031585866914,0.9882624626968167,0.970966877838947
WAT,0.18985486253617018,0.4357233784595109,0.35950314313484977,0.36192599911044543
UNP,0.038445520505297176,0.19607529294966558,0.160487702248705,0.1262881979718091
LRCX,0.17935926888803538,0.4235082866816603,0.39138275378588777,0.31698009307831276
EW,0.09601831169691415,0.30986821666139647,0.27694672900223677,0.22905131520827715
ROL,0.3000258501599701,0.5477461548563989,0.484089172172179,0.483605039088743
MSFT,0.14311584695430887,0.37830655156144055,0.3226414137818593,0.27966261178038493
CVX,0.11631280982726926,0.34104663878605995,0.29664701414877254,0.3136570882735545
AJG,0.022395502669295193,0.14965127018938126,0.13066573985368252,0.1358291117796023
DOV,0.6055396465609911,0.7781642799312952,0.6680999227946237,0.6631172379698818
CDW,0.03342463274294967,0.18282404859030355,0.16139835445187115,0.12137349996232968
DLTR,0.013847796903807302,0.11767666252833356,0.1072039527119614,0.11776173114175177
BKR,0.022020117309181537,0.14839176968141304,0.12347884035476425,0.11637648972777183
PRGO,0.015121727037302888,0.12297043155695148,0.10568640873994033,0.11147651822292189
GD,0.19329462959779145,0.4396528512335516,0.37451739778383986,0.28533773241470295
TXN,0.010795684867685009,0.10390228518990816,0.08605325947134446,0.07990534381701522
ARE,0.002492512367493221,0.04992506752617588,0.044780860489639335,0.03907705391986927
A,0.4915698925948363,0.7011204551251063,0.6095183747698415,0.6185414150194034
BDX,0.22410375724737158,0.4733959835564425,0.4130495885961474,0.37491229169051205
DVN,0.046365976712000705,0.21532760322819902,0.14098664611753478,0.14952100715038608
ORLY,0.0816790001826044,0.28579538166773166,0.24069470511705376,0.2033111734707999
FFIV,0.792087942199684,0.8899932259290989,0.7380132598395177,0.5706070442870445
MSCI,0.015417435890404568,0.12416696779097317,0.10072796936294334,0.09717849973099525
UNH,0.36012716441192216,0.6001059609868262,0.5214195277920868,0.45251855915227246
SCHW,0.35180723494962757,0.5931334040075871,0.5127934602688504,0.4777326857883616
HBAN,0.11319686853971704,0.3364474231432261,0.30174705640421146,0.30017532151623455
PNC,0.09043451718312981,0.30072332331086293,0.2474219530615777,0.2249191657950207
GOOG,0.019755644331214555,0.1405547734202384,0.11732182627787881,0.11984717059581249
MET,0.9933510403625448,0.9966699756501872,0.8660587679188732,0.8770926252430118
RJF,0.44734016563122264,0.6688349315273707,0.5904500690948766,0.5802800431177002
IT,0.7486408646507065,0.8652403507989594,0.7667556294114531,0.7246354026917243
AAL,0.04058995535151286,0.20146948987753172,0.17576661200772717,0.12037766066296164
HCA,0.34072251841246604,0.5837144151145027,0.4873071547167716,0.36584510600292225
SYY,0.00196966359547768,0.04438089223390715,0.03544059895963749,0.038882028707979785
CTSH,0.7376117133949243,0.8588432414561602,0.7439108720232163,0.771027553817399
J,0.9065697443759511,0.9521395613963066,0.8161329231146127,1.0359258727119038
AAP,0.01900788105407944,0.13786907214484123,0.11182903913346205,0.0896553536604306
LH,0.05344165356878474,0.2311745089078481,0.20982483114276085,0.21893484519818956
HRL,0.04322228127576663,0.20789969041767867,0.1786115027647032,0.16274460751556996
IPG,0.27219949562726037,0.5217274150619846,0.45325055342291065,0.424860324286458
APA,0.055134656551052805,0.2348077012175129,0.15609609196234295,0.20111148284896976
AMT,0.002481402198339116,0.0498136748126367,0.03880811218174143,0.033443192791445725
CTAS,0.78462300748839,0.8857894826020402,0.7883966787058314,0.7069028853188067
ABBV,0.06520244371165788,0.25534769180796973,0.19254272220350452,0.17345062916792345
RMD,0.2576549909695441,0.5075972724213006,0.43215966695371816,0.48578311089456794
LNC,0.17032905152859917,0.4127094032471264,0.36702906152953707,0.36331520391033784
PG,0.022465500204769107,0.1498849565659246,0.11848755685290228,0.11867389565397551
JCI,1.2048863711630386,1.0976731622678213,0.9476052100299888,0.9037165315322917
MKTX,0.4741047776943629,0.6885526687874812,0.6152665664539648,0.7291886160201357
CSX,0.0332858169323875,0.1824440104042539,0.170634963385852,0.15726938749745628
ALGN,0.30060392723007523,0.5482735879376966,0.44489172840862157,0.4844713027786726
SEE,0.3755620917001305,0.6128312097960829,0.5509975533450411,0.5359049401277927
TSCO,0.3551515747413505,0.595945949513335,0.5427363950729004,0.631602514135825
WAB,1.0371210913891957,1.0183914234660443,0.8868573871939489,0.8169499517901225
LOW,0.04205955117136608,0.20508425383574938,0.18797364433141966,0.19356774315443995
V,0.8045130430000886,0.8969465106683278,0.7927169836197494,0.7882256413528305
TT,0.7102276234777793,0.842750036177857,0.7452815548158932,0.7602778357465261
TSN,0.012993900245436316,0.11399079017813815,0.08906688558003714,0.07565541443640326
VTRS,0.018511777287181338,0.13605799236789193,0.10997050650767573,0.09714532436107295
MHK,0.24067935770820434,0.4905908251365942,0.4382708141266576,0.4663710390210005
CPRT,0.03493114234364464,0.18689874890871966,0.16449855107620703,0.1754093204693795
FIS,0.21370878862603185,0.4622864789565361,0.4092633593280923,0.3873533239542441
NOV,0.006781033763457523,0.08234703251154545,0.06936896045510654,0.06964391512056384
IBM,0.7607306464116597,0.872198742496032,0.7411213254515553,0.7841863000999588
APTV,0.07598224669884489,0.27564877416532235,0.21745224796608043,0.19202208666048645
LLY,0.006318274033364634,0.0794875715654003,0.06514148028680981,0.05264816107503315
AWK,0.022207609994487624,0.14902217953877747,0.13143689336286807,0.11677208644794825
GOOGL,0.014981818263715497,0.12240023800514237,0.0998176276101586,0.10100382313453232
EQR,0.3780591885318004,0.6148651791505195,0.5395969535975804,0.45990458312608984
RTX,0.25623735670364794,0.5061989299708642,0.42690001873135947,0.44064656402858454
NTRS,0.4915784108548942,0.7011265298467133,0.6151306033773857,0.5813446880543093
PSX,0.3453719176754982,0.5876835182949223,0.4918026577035318,0.4833199034552199
KMB,0.01133833604678032,0.10648162304726727,0.08778617527404796,0.0854356620596301
XOM,0.5049782411794114,0.7106182105599401,0.6202468420914122,0.6530663905800723
CHTR,0.024048556325175843,0.15507596952840838,0.13405608211436787,0.12718307893168576
PNR,1.6694306558850258,1.292064493701853,1.1128987701489157,1.2587964866893204
ADM,0.1384216058095309,0.3720505420094572,0.34408903175786865,0.32016785149338245
FLS,0.5531674389995135,0.7437522699121755,0.6390591943830752,0.7279007459706647
ES,0.03532848606089195,0.1879587349949237,0.1596162069857881,0.14874746610779035
HES,0.32579230585799335,0.5707821877546577,0.47237387845198214,0.47201874012341744
HAL,0.14911778696707007,0.3861577229152229,0.24676988507372427,0.2808842676434276
IVZ,0.1771759753645903,0.4209227665078123,0.3784851535479159,0.3621334053329309
TDY,0.1273828514579143,0.3569073429588054,0.31045039123198787,0.29603692354065825
ALB,1.0951376380423314,1.046488240756833,0.9263279381265034,1.022607552252216
ICE,0.5634054664528853,0.7506034015729514,0.6701700165064484,0.7501498847388692
LYB,0.26542379649790326,0.5151929701557497,0.39261411792133905,0.3463268954647969
APD,0.2793419123520738,0.5285280620289464,0.46261098974180426,0.40328282540788574
IRM,0.47184984646231404,0.6869132743384088,0.6320065231981215,0.5670911787737675
USB,0.15488171063478182,0.39355013738376693,0.3395942712869571,0.32539721525373744
FRT,0.049386083620553176,0.22222979912818439,0.20268480644436512,0.17865525861789802
GLW,0.04472792724046907,0.21148978046342823,0.19128085686244276,0.16375304726992548
REGN,0.22530104414683144,0.4746588713453394,0.4036969670770734,0.3587861287074341
LUMN,0.00426513821065839,0.06530802562211163,0.05347524434655373,0.05185766745245133
CE,0.13939310565285273,0.373353861173087,0.32111769322698147,0.3096993617823605
LDOS,1.9451329123040138,1.394680218653729,1.218335262743588,1.5573361532313985
VZ,0.012159232730850433,0.1102689109896821,0.0996978125710147,0.10480723024960942
TFC,0.40034378120000436,0.632727256564789,0.5458278076612215,0.5380859747661335
AAPL,0.25675285855735525,0.5067078631295899,0.4003186318053667,0.32121808254689643
TER,0.09156248736384238,0.30259294004296,0.2487780172669398,0.23196597213724
AMCR,1.084156725388548,1.0412284693517306,0.8972747328992668,0.9520582942882603
T,0.1053049949337126,0.3245073110635762,0.28864928680775526,0.303955208263288
SHW,0.06346307352691061,0.2519187835928687,0.21373282270971128,0.1872106886708177
O,0.012544693396722088,0.11200309547830403,0.10089188587819263,0.09748855559214273
BKNG,0.00622080261447592,0.07887206485490234,0.06004085038132165,0.061127420127137025
HBI,0.11089952657340707,0.33301580529069047,0.2704170977505025,0.18779899685188012
PM,0.00505322772140203,0.07108605855863744,0.062352244432859666,0.06726819047355317
DIS,0.41687023614691326,0.6456548893541451,0.5612158315508595,0.49109494543311366
INTC,0.08482225580759058,0.2912426064427912,0.26858019121204824,0.22597303710690467
CB,0.12032514677764601,0.34687915298796207,0.31552776008821337,0.30919809697102585
XEL,0.03174553980356806,0.17817278075948656,0.15597712951806098,0.14125744732132425
LNT,0.016148863833712442,0.1270781800062955,0.10886276359649565,0.09752122495937059
NKE,0.00682629381206091,0.08262138834503394,0.07479554020857263,0.07603678787451029
UDR,0.5761851339427313,0.7590685963354902,0.6635875049484944,0.5805393390145286
MRO,0.0573934189248777,0.23956923618210602,0.20443457528555145,0.21186533303639377
EXC,0.2408294945175546,0.49074381760502556,0.4431132128625151,0.3875151151052456
ETR,0.0018224761109810878,0.04269046861983466,0.036194217843937296,0.033754445272606334
AMZN,0.010201312141505988,0.10100154524315946,0.07897473264382351,0.09844822252573092
WST,0.0438905201354959,0.20950064471379534,0.1898734082094905,0.2157857954075976
KIM,0.2296897549803164,0.47925959038950533,0.4228747206592755,0.3908537966896305
MCD,0.07755143375331246,0.2784805805676806,0.236542065961832,0.2458162905326634
DHR,0.22666378865949346,0.47609220604783425,0.42160879417625,0.4168218374204032
CMS,0.010388604938843225,0.10192450607603269,0.082616885666003,0.0760055970998222
WY,0.22991900956049496,0.4794987065264045,0.437322224125648,0.4252677911740073
YUM,0.1523523049825223,0.39032333389450635,0.32830583382562456,0.3490221537395916
PPL,0.0042943933181262975,0.06553162075003409,0.04990478901584982,0.0454806472402425
META,0.42399943511196664,0.6511523900838933,0.5646750317770022,0.462517330357969
ALK,0.25572736119544864,0.5056949289793686,0.4536693150554049,0.3605987018525144
SJM,0.016111829787857898,0.12693238273922813,0.10337581384021005,0.11409052766801624
AMGN,0.04993754545426386,0.22346710150325005,0.16250352604684656,0.1323730929628558
DVA,0.5087950721755413,0.7132987257632957,0.6101281844018638,0.5295985523748412
TRV,0.14014944522746192,0.3743653899968077,0.3444944360248022,0.3329508491689272
FTI,0.253160839259672,0.5031509110194197,0.41960109305121013,0.46513449332849083
COST,0.003217158555488338,0.056720001370665865,0.05106072217382151,0.05270827855296969
FCX,1.0398622916108309,1.0197363833907422,0.8907103991540608,1.0936372519203084
OMC,0.2471623594450441,0.4971542612158163,0.4389891555289651,0.45472287275477646
EXPE,0.3834429790683512,0.619227727955032,0.5407731825491836,0.46344237107071923
LKQ,0.10086325080318861,0.317589752358587,0.24629471694363575,0.30112026003308406
TEL,0.06029345850567701,0.24554726328280876,0.19518980593025803,0.17800685043583747
ILMN,0.0322103347654651,0.17947237883714892,0.1384818281396941,0.09445009947140341
CHD,0.007357183038867381,0.08577402310062984,0.06380675444288844,0.05916801297713103
IEX,0.15720461901668595,0.3964903769534463,0.3461761890262092,0.3399785343061004
DD,1.660529104405861,1.2886151886447175,1.0983851503168403,0.9871665390966903
GRMN,0.24333599820970145,0.4932909873590855,0.44833871800834607,0.39898046546601523
AVY,0.043245373400953385,0.20795521970114958,0.18098109435905158,0.19085513506267002
MAA,0.168309267941757,0.4102551254302096,0.36944235786988017,0.34907210653407983
INTU,0.004592907123566093,0.0677709902802526,0.0542117759978835,0.052960098184992026
AES,0.033344833296827615,0.18260567706626105,0.14652703767726258,0.1586094027140819
K,0.010336598145994455,0.10166906189197604,0.08882025531397861,0.08715566391678559
BIO,0.05077216270137605,0.2253267909090618,0.19230996987666651,0.20313467531956986
DXC,0.5464951540051447,0.7392531055093003,0.6163144196040451,0.5656708295875447
ROK,0.7972083731887668,0.8928652603773801,0.762708294962588,0.787368251559978
MGM,1.7488082269539742,1.3224251309446498,1.1154183804544493,1.1269323921575767
GPC,0.047494356161826276,0.21793199893963777,0.18987234948493686,0.1762165244776461
AMP,0.5392328998251804,0.7343247917816614,0.6548092441900406,0.621517519398171
TMO,1.1425504844958423,1.0689015317118047,0.9159976627767347,0.841989809875331
MS,0.04943946842967228,0.22234987841164267,0.20110507061880356,0.1911017038559482
COF,0.4464224424032547,0.6681485182227487,0.5850774625664551,0.5571266854229208
CMG,0.02504785020557214,0.15826512630890022,0.1320300501573932,0.11457457376338093
LHX,0.5939513140770917,0.7706823691230336,0.6578280844205652,0.6551243539378494
AIZ,0.286561208462094,0.5353141212989753,0.46040180128695035,0.46227646306427483
ADI,0.22830210299737144,0.477809693285278,0.41373038140613394,0.41263307608352506
ED,0.01176075429629772,0.10844701146780265,0.07858792885993358,0.07638502284090075
DRI,0.6418265881192933,0.8011408041782002,0.7141455364636273,0.7723404742062228
ALL,0.0230124001953864,0.15169838560573543,0.1352263268863549,0.12193850200325904
IDXX,0.054487689640984695,0.233425983217346,0.18494751970385204,0.15721236589737325
DPZ,0.007032271377728913,0.08385863925517104,0.0641181524974881,0.0546525412590761
HII,1.5316327627403243,1.2375915169151428,1.053044709437975,0.9363328731646667
BEN,0.44096262778037465,0.6640501696260416,0.5907765500855084,0.6158715346143139
EBAY,0.22707553538005168,0.47652443314068554,0.41817249816561136,0.4378663927639256
FAST,0.29267936106396464,0.5409984852695658,0.4682633744412582,0.5195624666970388
NVR,0.5857149927940902,0.7653201897206752,0.6538416884804878,0.5800242120538395
NOC,0.18030913462951267,0.4246282310792732,0.37636099101975745,0.33691164850145144
PFG,0.026166868288914267,0.16176176398925138,0.15330645003098334,0.15820542634522508
COO,0.019698648236175988,0.14035187293433596,0.1239415603398025,0.11381861448210276
AVB,0.30896780057593404,0.5558487209447676,0.48426106395093294,0.4364596175490051
CMI,0.7050932619262545,0.839698316019661,0.7214963290167187,0.7071887983515057
CAG,0.18808700106342394,0.43368998266437275,0.399428933536192,0.4144035420697109
MAS,0.06901334522868106,0.26270391171179974,0.23487121244096318,0.23775198622125465
ROST,0.13979052521389498,0.3738857114331798,0.3444100423715518,0.3819162128084724
SRE,0.023763248989569614,0.15415332947935187,0.13176275972391824,0.11635277844197058
QCOM,0.00751679443516188,0.08669944887461442,0.06550404899215473,0.06524649140455312
AMAT,0.16168536214074392,0.4021011839583961,0.33895623038678746,0.28272529365781757
EOG,0.25162111838390183,0.5016184988453893,0.3924087079059475,0.3750759494556753
GS,0.32471454061742444,0.5698372931086771,0.5183139886918947,0.521046937617514
AIG,0.13243304460188,0.36391351252994164,0.32020614415334475,0.3149262574897167
HD,0.1320588349529328,0.363399002410481,0.3344967885443285,0.3162803243041389
VNO,0.01376878658104576,0.11734047290277025,0.10589927898799163,0.09085096276684647
CRM,0.1370762421365701,0.37023808844656986,0.3195443596786291,0.3231886579297728
IQV,0.19472408198899244,0.4412755170967368,0.37821164440197286,0.32018513527391046
ETN,0.5977686003133784,0.7731549652646476,0.672689631029717,0.7476895173028207
STT,0.11840804398696622,0.34410469916431863,0.31619523137953853,0.32714976038750515
NVDA,0.10489726003867175,0.32387846491959255,0.2553522491056901,0.2177769068622097
TGT,0.025773669342530784,0.16054179936244262,0.11422737019447811,0.1166565529762675
MA,0.6543817162319564,0.8089386356405265,0.7252002627934173,0.7797412447387194
CNC,0.04902651578175339,0.22141932115728608,0.1751062555983041,0.14871776844621817
EXPD,0.006730607011245562,0.08204027676236571,0.07030178371632959,0.07736306886103525
APH,0.25121742905901223,0.501215950523337,0.4333743642347602,0.38800601777531746
FE,0.020599883626438647,0.14352659553698977,0.13113102501457294,0.14833441115807414
FITB,0.4785414782239701,0.6917669247831744,0.5825441940480419,0.602687380497808
CMA,0.36151675423730517,0.6012626333286522,0.514386778445898,0.5128781439782141
MLM,0.014371536961487146,0.11988134534399898,0.10603548928328893,0.08977326311221259
WM,0.09960118055088431,0.31559654711495866,0.2921307403528541,0.29317192181312857
BIIB,0.20887375704645825,0.4570270856814268,0.41270746677149783,0.37563479498735197
UPS,0.07311240768506351,0.27039306145880204,0.2541523946609895,0.26414479017445025
NEM,0.0560542108540593,0.2367577049518332,0.21247296682905553,0.2562717879991475
TXT,1.9193652898140905,1.385411595813349,1.1962920261959569,1.1287352715564134
GWW,0.05449427088287461,0.2334400798553552,0.1931697215113279,0.2111503755898635
HST,0.3216286570097384,0.5671231409577099,0.49532867348614495,0.435858301750104
PCAR,0.1079468340688788,0.32855263515741095,0.26865082269412527,0.25166853251392163
BWA,0.1831120983513947,0.42791599450288687,0.34217084900625183,0.3306997259635181
