,mse,rmse,mae,mape
LVS,0.14122208506202494,0.3757952701432323,0.30491956357972416,0.37134036306430274
PAYX,0.5064993116953167,0.7116876503743175,0.6434342277488834,0.6778378195521713
KMI,1.1478071885854515,1.0713576380394418,0.957033959098897,0.9403320876988772
WAT,0.0410845546849606,0.20269325268730728,0.16980042294185604,0.17156191958042066
UNP,0.001402106035004902,0.03744470636825587,0.026900598643999348,0.021436465629109426
LRCX,0.18329338586078306,0.42812776814962966,0.39419247924287343,0.3186531822674976
EW,0.13514306221946842,0.3676180928891673,0.28830865357377394,0.2167805014038902
ROL,0.19980134163774285,0.44699143351717924,0.3972196764658832,0.3970633355648786
MSFT,0.28605168112279145,0.5348379952123741,0.458544944299878,0.39801185256944915
CVX,0.04546465632645134,0.21322442713359868,0.18204433242402426,0.19386540076575198
AJG,0.0008045997929376745,0.02836546831867358,0.023251743253511554,0.02439434747907887
DOV,0.5396640964102813,0.7346183338375658,0.6286805086204771,0.624540993671051
CDW,0.05006902198609182,0.22376108237602851,0.1995840921487616,0.1501692639793061
DLTR,0.006536994491948738,0.08085168206010768,0.07408113453776508,0.07957324874637603
BKR,0.040618061226416896,0.20153922999360918,0.14305688901351973,0.14080953263532214
PRGO,0.03434451577693778,0.18532273410711858,0.1533656731000687,0.15628163711470675
GD,0.09105505292569892,0.30175329811900803,0.25584555523266245,0.19526242044028327
TXN,0.003750425396111756,0.06124071681578977,0.044421172409050955,0.04207933898109856
ARE,0.00248168540136791,0.04981651735486845,0.044203105136084574,0.039004657506365795
A,0.21570779799561537,0.4644435358529768,0.4058548564282937,0.41230200990802374
BDX,0.09809239263191587,0.3131970508033495,0.27519701336534075,0.2505848031012001
DVN,0.026342748382329872,0.16230449279773457,0.11007976682825013,0.11544863192137181
ORLY,0.006961251407747601,0.08343411417248703,0.06511715567086936,0.0571916441138639
FFIV,0.2107174427631003,0.4590396962824678,0.3840233612473084,0.2978975907731023
MSCI,0.037428072124286595,0.19346336119349988,0.16140336554405738,0.15629849925190867
UNH,0.04330657807148274,0.2081023259636536,0.19000215002338694,0.1682549171540535
SCHW,0.06513401308141131,0.2552136616276866,0.223394207713585,0.20934922510800932
HBAN,0.10027223122697818,0.31665790883377315,0.2831792910611032,0.28168380455556424
PNC,0.031490542604706837,0.17745574829998276,0.14148315611344162,0.12880171238045396
GOOG,0.13519661824041854,0.36769092760145516,0.30632010638765944,0.3108843349242317
MET,0.3183463054126345,0.5642218583258136,0.500109512196948,0.5077684797294104
RJF,0.4178909145199715,0.6464448271275527,0.5691881248020488,0.559233634727886
IT,0.42625690148861073,0.652883528271782,0.5847987795659035,0.5540920344590359
AAL,0.043282201685701155,0.2080437494511699,0.18206341400317808,0.12452130228599595
HCA,0.20934038996125487,0.4575373099117217,0.38264529079038295,0.28732375344555094
SYY,0.03418235671573998,0.1848847119578576,0.16874679267595913,0.1804864169588625
CTSH,0.3388461075525272,0.5821048939431167,0.5067666223891734,0.5260550426465954
J,0.9061026486173795,0.9518942423491066,0.8137388442677613,1.0336201370960572
AAP,0.07376084536310382,0.27158947947795,0.23122096401951153,0.18957957369499398
LH,0.2683045471175091,0.5179812227460655,0.45761825067688816,0.47661436422591946
HRL,0.04717379590944053,0.21719529439985694,0.18757078351892553,0.17103358497642174
IPG,0.05827687815701759,0.24140604416007813,0.21104322388936592,0.19980842181967728
APA,0.02213604300503051,0.14878186383101438,0.11240110683107331,0.11675573134265782
AMT,0.0012390471203908447,0.0352001011417701,0.027285305068373598,0.02399595299422573
CTAS,0.6599432805456403,0.8123689313025457,0.7231945510309753,0.648528214866903
ABBV,0.016746798767370567,0.12940942302386857,0.09314945960326491,0.08383676079819385
RMD,0.22901049581817542,0.4785504109476612,0.4081102749232186,0.45430658478373304
LNC,0.007898510621133148,0.08887356536751043,0.07824517601828974,0.0801619421595363
PG,0.09666877121767302,0.31091601955781084,0.2551715902799063,0.2569341733972945
JCI,0.969998119227606,0.9848848253616288,0.8493663757345328,0.8102216094022399
MKTX,0.07294957023644963,0.27009178113457954,0.25234190475374285,0.30528530745923177
CSX,0.014010734422734492,0.11836694818543939,0.10962055381952172,0.10286459015395163
