,mse,rmse,mae,mape
LVS,0.14816415295715818,0.3849209697550371,0.3146618719821782,0.3824427407599269
PAYX,0.5729629753097448,0.7569431783890682,0.6844848638235235,0.7211133804596105
KMI,1.2972091286083594,1.1389508894629123,1.0178208170260339,1.0000653082845452
WAT,0.06679443562195524,0.2584461948297077,0.2162884922788885,0.21838797265934964
UNP,0.0013023783218648146,0.036088479073865316,0.025171842739454973,0.020266230020932557
LRCX,0.1803403850565185,0.42466502688179836,0.39233382036927517,0.31767186383602364
EW,0.11082831592515999,0.33290887030110805,0.2547549742702583,0.1895967205423846
ROL,0.21210536655738702,0.4605489838848708,0.4106566802360255,0.4105390322145502
MSFT,0.26744481192928304,0.5171506665656374,0.44130393558156394,0.3826702614320266
CVX,0.07711245176082175,0.2776912885936859,0.24210387753619625,0.2565365884565558
AJG,0.0011883966212898561,0.03447312897446149,0.027983864103628374,0.02945502585911207
DOV,0.5669548016090105,0.7529640108325301,0.6468913315430372,0.6422253929587597
CDW,0.04528463896436023,0.21280187725760372,0.18883749344899223,0.14188827257967448
DLTR,0.007986203708529194,0.08936556220675386,0.08293841528165051,0.08981686443869649
BKR,0.03872804879621168,0.19679443283846138,0.13837055937327844,0.13649470151601342
PRGO,0.02438660802637873,0.15616212097169638,0.12662038746719836,0.1287726944919928
GD,0.10367886878448918,0.3219920321754704,0.27541208360651565,0.21051210784436472
TXN,0.003398575161722382,0.05829729978071353,0.042879581524626995,0.040685053260971896
ARE,0.0017962132028564348,0.04238175554240804,0.031936985525877856,0.028511711203799604
A,0.23324788095631624,0.4829574318263632,0.4235713105157544,0.43029646305473856
BDX,0.10929626871695107,0.33059986194333335,0.2920980703292381,0.26608713703889336
DVN,0.020824879542534706,0.14430827953563408,0.10126974546680015,0.10530014017594846
ORLY,0.007853873824386473,0.08862208429272285,0.0705189266315407,0.061965496720538256
FFIV,0.2473660388278087,0.4973590642863651,0.4168486344700266,0.3235004922661076
MSCI,0.037482422186763405,0.19360377627196068,0.15944616727396013,0.15421213724190008
UNH,0.048432729786216606,0.22007437330642704,0.20171689212412677,0.1787457039556677
SCHW,0.0642468530017911,0.2534696293479578,0.2231876866363389,0.20933323223658748
HBAN,0.11015599171545219,0.33189756208121235,0.29802647356404505,0.29651787021882686
PNC,0.041072830401691185,0.20266432937665962,0.1654464585371666,0.1505883062088709
GOOG,0.0941730809168584,0.3068763283748983,0.25504768311053666,0.2591507344485701
MET,0.3533087629496535,0.5943978153977801,0.5281823665822939,0.5362103396573147
RJF,0.4528599455350232,0.6729486945785861,0.5939244255731864,0.5836651679014812
IT,0.44749189282422897,0.6689483483978632,0.6003132872136915,0.5690052278894876
AAL,0.03978547789116941,0.19946297373490002,0.1735209339625831,0.11916192623220705
HCA,0.1950190578312242,0.4416096215337979,0.36628092251734234,0.27419714613139823
SYY,0.04201672442125776,0.20497981466782958,0.1878426116087106,0.20095504927076502
CTSH,0.4243880247145977,0.6514507078164837,0.5694598938626646,0.5907628682899434
J,0.9974321211923313,0.9987152352859804,0.8564601637775827,1.0869302659218723
AAP,0.09974048364291924,0.3158171680623446,0.2705568741201493,0.22183403025890658
LH,0.32361223588102467,0.5688692607981422,0.500727493160657,0.5214871897124401
HRL,0.05267863752908139,0.22951827275640035,0.19666770311312012,0.1791868151286384
IPG,0.06378010446831302,0.25254723215334,0.22264407271892697,0.2107752384336022
APA,0.016713828405445313,0.12928197246888412,0.10038641585731936,0.10826211445235176
AMT,0.0011743345822217797,0.0342685655115848,0.02691968711833351,0.024002570620480338
CTAS,0.6831433666962725,0.8265248736101488,0.7372816417303296,0.66148505092741
ABBV,0.010511512484998452,0.10252566744478404,0.07229201991632285,0.06596001345634091
RMD,0.17494755037246923,0.41826731927377403,0.35291666799669374,0.39217017363958456
LNC,0.014242938734577083,0.11934378381204898,0.10936067843708273,0.11099773465186374
PG,0.09401124792017394,0.30661253712164793,0.2492549201395282,0.2507249896855799
JCI,1.0215224004712575,1.0107039133550724,0.8737559898308908,0.8334490801074518
MKTX,0.08713995801553662,0.2951947797904574,0.2759309607043126,0.3334445174674367
CSX,0.017901079129945353,0.13379491443976993,0.1250097964186708,0.11695112384651607
ALGN,0.01148056532098311,0.10714739997304232,0.0958181515538274,0.10709214971953347
SEE,0.34063243563562123,0.5836372466143857,0.5266676498610013,0.5126718482106667
TSCO,0.4199862521300753,0.6480634630420661,0.5874121304151626,0.6830643671633319
WAB,0.6999434781684842,0.8366262475971479,0.7324632225319211,0.6756640913482611
LOW,0.08030127763441877,0.28337480063410503,0.2618589067296029,0.26535841753762746
V,0.7140454678510673,0.8450121110676859,0.7486856551832886,0.7448847494717147
TT,0.7942971642965478,0.8912335071666392,0.7856990306678352,0.8012609310675785
TSN,0.07965557182073188,0.28223318695846505,0.26289174514927716,0.22438026750960746
VTRS,0.02718122549733155,0.16486729662771676,0.14439839876956378,0.12356353472077732
MHK,0.2238830529170305,0.4731628186121882,0.42355061911879,0.4508374262879089
CPRT,0.05974461409523555,0.2444271140754142,0.21344508797542186,0.22740915792806293
FIS,0.17337531481658902,0.4163836149713255,0.3699822392603773,0.35041589413315444
NOV,0.043886740947198,0.2094916250049104,0.17295061968486686,0.1712890500327417
IBM,0.36978556652713307,0.6080999642551651,0.5171877271120283,0.5478917360769991
APTV,0.0038292971322156145,0.06188131488757826,0.04395679012300518,0.03985402675416255
LLY,0.002304069743477363,0.04800072648905809,0.039109913707539884,0.03224915002912572
AWK,0.037470593399235134,0.19357322490270998,0.16982929242102418,0.15054486832258213
GOOGL,0.1421495941532586,0.37702731221127544,0.3157260185823293,0.3162507135815736
EQR,0.27478300591736265,0.5241974875153091,0.46346568995257853,0.3954927021909311
RTX,0.1587180794762488,0.39839437681303785,0.3372180475488237,0.34803141831500284
NTRS,0.44868853047273527,0.6698421683297755,0.5886204649211367,0.5564693972081285
PSX,0.2560397811625816,0.5060037363128671,0.422858141429982,0.4160390979270361
KMB,0.0014376154140345089,0.037915899224922896,0.029904883467670423,0.029013678654948395
XOM,0.3899158234818957,0.6244324010506627,0.5475197080911139,0.5765290296633744
CHTR,0.005582547162212422,0.07471644505871798,0.05675496942118217,0.057421071842637825
PNR,1.3886766969222746,1.1784212731117316,1.0170281075612684,1.1499970840005824
ADM,0.22772071898309487,0.4772009209788838,0.4343024763711991,0.4019543559556921
FLS,0.7409648472635582,0.8607931501026005,0.7381789704811909,0.8405601297693915
ES,0.011037994728456763,0.10506186143628315,0.08684280516980018,0.08158218275653144
HES,0.1353997977613783,0.36796711505429164,0.2968415868300399,0.30097592478360174
HAL,0.05846321947593278,0.2417916861183047,0.1474425767440329,0.17132099032268622
IVZ,0.054723977182065606,0.2339315651682466,0.2163232105842417,0.20870777567784876
TDY,0.11590832266372546,0.3404531137524306,0.29649097237807226,0.2828163597814259
ALB,1.0866245773460494,1.0424128631909957,0.9229409386528882,1.018819924164165
ICE,0.1653584739390941,0.40664293174613786,0.37473358402253776,0.4212407779862081
LYB,0.07088035075461253,0.2662336394121008,0.16611507602174067,0.15372198818276095
APD,0.17111336439125965,0.4136585118080609,0.3667254369540707,0.32084373332654165
IRM,0.13412859159226453,0.366235704966439,0.3501445222548729,0.32313359676620784
USB,0.07333625634354721,0.27080667706603395,0.2357424087553941,0.22624401904785535
FRT,0.0995471054190282,0.3155108641854163,0.2822652944109897,0.24804763231366195
GLW,0.009118662738634167,0.09549168936946381,0.07705835852377106,0.06836106071862398
REGN,0.3081137081910307,0.5550799115361955,0.47326385911960306,0.42129635312137925
LUMN,0.003790858416545286,0.06156994734889162,0.0502031266784525,0.04890014899280487
CE,0.10922223686663621,0.3304878770342964,0.2850365418907066,0.2746821500878497
LDOS,1.388883567521952,1.178509044310629,1.0424501785752776,1.3328465440348016
VZ,0.004377173233834391,0.06616020884061953,0.05877561584454061,0.06220838255021643
TFC,0.46326070181291723,0.6806325747515448,0.5862355716649174,0.5779145908501003
AAPL,0.11276703036323042,0.33580802605540927,0.2627600019631691,0.21036927280929046
TER,0.06197851872432286,0.2489548527832363,0.20607182867794063,0.19239392855454013
AMCR,0.9409039104745074,0.9700020157064146,0.8370728252137646,0.8881981637006956
T,0.111392212512639,0.33375471908669546,0.2962632046331494,0.3119561834053868
SHW,0.055063447750904035,0.23465602006107586,0.19826554977467442,0.17351464058160473
O,0.006613991011539222,0.08132644718379883,0.07248688706852643,0.07009535806059838
BKNG,0.023059740012012244,0.15185433814024624,0.1364764570406195,0.13493785586897164
HBI,0.07820931658186739,0.27965928660044065,0.22504459869791496,0.15586866292311136
PM,0.0037236887158327613,0.06102203467463832,0.055532919116444646,0.06101257919005029
DIS,0.3772014513776328,0.6141672828941906,0.5346935798995125,0.46804970101300997
INTC,0.056404454626156904,0.2374962202355164,0.21983663609131912,0.18720568371046253
