,mse,rmse,mae,mape
AAL,0.04062285161893596,0.2015511141595004,0.17573406504517652,0.12043677006892756
REGN,0.22182986425040238,0.4709881784614157,0.4003479847862073,0.35573451073020934
BKR,0.05946605222470671,0.24385662226953508,0.15699998615007454,0.15722166742549262
DHI,1.7819636727820263,1.33490212104934,1.1519197809101758,1.1234477501304687
DXCM,0.15024918630345574,0.38761989926144885,0.339546132228351,0.29367803367554346
MCO,0.7767296580290918,0.8813226753176681,0.772087617351005,0.6661531972093282
SJM,0.020998290431645573,0.14490786877062808,0.13505043639999031,0.15172788011966068
CCI,0.012548126509118592,0.112018420400926,0.09121502075357073,0.08876105361571042
IFF,0.10147837399232175,0.31855670451635726,0.25201554993871705,0.22794431498085813
EXR,0.01258741251782271,0.11219363849088196,0.10234729189447976,0.09294870404125885
MKC,0.058131039949201754,0.24110379497055154,0.2121102475544743,0.2122114699026688
WAB,0.5734028170910588,0.7572336608280557,0.6579313252021926,0.6063494548519153
YUM,0.25035573957062907,0.5003556131099451,0.4260598589691448,0.4521319081621793
PEG,0.009439824973049496,0.09715876168956404,0.07988560173288282,0.07059246202778664
SWK,0.028149567977264082,0.1677783298798271,0.14351696326206487,0.14809011559949367
VTRS,0.05581655724172955,0.23625527981767847,0.19275557454298867,0.1691424722611213
GIS,0.008619682164560862,0.09284224342701367,0.0773493716203292,0.07729221041842363
TXN,0.1424790135658368,0.37746392352890734,0.331032549962291,0.3015310285861288
AMZN,0.013966471565692043,0.11817982723668216,0.09666954549723741,0.12066616229207563
LIN,0.413332418076916,0.6429093389249498,0.5550024939002334,0.5595392614665474
PWR,0.7939352951572544,0.8910304681419454,0.7486647252898861,0.7157107519589407
XRX,1.5849968438728546,1.2589665777425763,1.106694063359556,1.0500492729089825
CAG,0.39630224834041244,0.6295254151663874,0.5730288327107288,0.5922773618962388
ATO,0.02308385661553522,0.1519337244180344,0.128188616064567,0.11935634928008292
TGT,0.008729778626324399,0.09343328436014865,0.08618369242210001,0.09566530904261122
D,0.01405463735237903,0.11855225578781295,0.09561259464908516,0.09192769569260126
ES,0.012044666581057522,0.10974819625423245,0.089967020136682,0.08444216290186131
INTU,0.0037367860455898845,0.06112925687091153,0.04744743938795111,0.04489139782231006
LUMN,0.004714196375118751,0.06866000564461636,0.05661183273250037,0.05477827098281083
JKHY,0.07771271313451247,0.27877000042062,0.24801419023330573,0.2517178588313688
FRT,0.029558729352366538,0.1719265231206824,0.15782121751965916,0.13929923158998334
SBUX,0.14371548430326886,0.37909825151702936,0.3479206351475282,0.37400562139076526
DTE,0.03031147486977074,0.17410190943746348,0.15304184299960674,0.13719051593871193
EMR,0.4384320164140239,0.6621419911272989,0.5834664290721436,0.6382815465555295
NOV,0.04775409586807278,0.2185271055683317,0.17007978155152192,0.18096623964875314
PGR,0.3336202716823207,0.577598711634921,0.5241800172305222,0.587077696192746
NI,0.3066189224268734,0.5537318145337807,0.47583068152480007,0.39730655018245925
CI,0.2749577804553954,0.5243641677836076,0.46810203290271635,0.44687333296058146
RJF,0.376202735631318,0.6133536790721305,0.5420771639343883,0.5329430425731391
CE,0.08261553624358971,0.2874291847457208,0.24614653554354582,0.2368763236419473
TDG,0.02479865326921908,0.15747588154768044,0.13144791858172736,0.11675485437061785
BIO,0.03114750879324972,0.17648656830832685,0.15013550479802742,0.1587216409541461
FCX,1.3868183476926723,1.1776325181026008,1.0321948904952398,1.2653055598996843
BK,0.17404997137820016,0.4171929665972332,0.3788536915168642,0.35340407875768076
