,mse,rmse,mae,mape
AAL,0.04335989441080935,0.20823038781793918,0.18268302577769657,0.12444247871141638
REGN,0.21420809400736807,0.46282620280983233,0.3931029482853645,0.34918197876985363
BKR,0.06725684967831169,0.2593392559531081,0.1638243158720555,0.16450900993893364
DHI,1.6889140465483787,1.2995822584770764,1.120749149838531,1.0931289035130174
DXCM,0.16564312248785465,0.40699277940505857,0.3556095979068525,0.3070509559307362
MCO,0.8831614278826193,0.9397666880043255,0.8239327417627881,0.7109719519670614
SJM,0.010933191900257662,0.104561904631934,0.09709920841357314,0.10952560121882476
CCI,0.026255002809180056,0.16203395572897694,0.13523004669620656,0.13190967240691642
IFF,0.1029357199450367,0.3208359704662753,0.25463076868985113,0.23033692866746153
EXR,0.007507160109899428,0.0866438694305571,0.0776917688513943,0.07068056831445353
MKC,0.050748614814733625,0.22527453210412762,0.19808431185979133,0.19825980138144494
WAB,0.7672031058006209,0.8759013105371066,0.7621946817271589,0.7022952629680731
YUM,0.326477764056095,0.5713823273921718,0.4893728968086359,0.5188848994887051
PEG,0.008860889874520503,0.09413229984718584,0.0762167421860054,0.0674324804245481
SWK,0.014793132465123439,0.1216270219364243,0.10334085558115993,0.10705310488634893
VTRS,0.07144907102130188,0.2672995903874562,0.21733908113957473,0.1905892436498225
GIS,0.006507624986793658,0.08066985178363512,0.06604673168116748,0.06610282428467176
TXN,0.13190392707111445,0.3631858024085116,0.31862596349487154,0.2903171952087593
AMZN,0.010292630071841133,0.1014526001236101,0.07212905582195245,0.09045286420658426
LIN,0.39852913017866365,0.6312916363921383,0.544524501599842,0.5489970883207903
PWR,0.7871391418890065,0.8872086236556802,0.7449733298569935,0.7122265292945069
XRX,1.604138987447591,1.2665460857969564,1.113624823870725,1.0566676174765652
CAG,0.3478205244740835,0.5897631087768067,0.5380692389084801,0.5564830144289256
ATO,0.01379517468507621,0.11745286154486066,0.09818775117157574,0.09174665960430256
TGT,0.005849249212677997,0.07648038449614382,0.07015026738266093,0.07665837564423553
D,0.011049776717979952,0.10511791815851355,0.0857294369856707,0.0824827567242841
ES,0.01700141276634128,0.13038946570310533,0.10895270677282924,0.10196695502906714
INTU,0.0045416790744672595,0.06739198078753332,0.055037920744802,0.05369224352755674
LUMN,0.00399701528984938,0.06322195259440648,0.05161841621853363,0.05019344473016045
JKHY,0.06416254897144234,0.2533032746954574,0.22641839805101407,0.2299706060664656
FRT,0.03050514048670591,0.1746572085162989,0.16017018823901052,0.14134201673900282
SBUX,0.13387855787944347,0.3658941894584327,0.3361343814710599,0.3614163376094028
DTE,0.017598051076971148,0.13265764613082484,0.1173334816508327,0.10522081658104317
EMR,0.5457453117120808,0.738745769336164,0.6506188828347041,0.7116607585581998
NOV,0.04522462270518542,0.2126608161020394,0.16464606068804397,0.1753675053471293
PGR,0.43005730417349275,0.655787544997229,0.5930475774764762,0.6638568612911483
NI,0.30551327796018474,0.5527325555457945,0.47581737143311503,0.39741161384265394
CI,0.23434539185103842,0.48409233814535674,0.4319724567784458,0.41253093527537676
RJF,0.4127369758626248,0.642446087903588,0.5674151243637162,0.5577372164940622
CE,0.089467052136763,0.2991104346838522,0.25649932671503156,0.24692965122420063
TDG,0.023421591349344455,0.15304114266871002,0.12856696411060803,0.11423024429554451
BIO,0.03426700658868605,0.18511349650602477,0.1573669689118082,0.16636102742238046
FCX,1.4910670377635573,1.2210925590484767,1.0691313674034384,1.3103290227199362
