,mse,rmse,mae,mape
AAL,0.040728968577027166,0.20181419320014923,0.17605770931749323,0.12060439789190598
REGN,0.22089285565920716,0.46999239957600075,0.3994396864035548,0.35490676130880927
BKR,0.0765624332806898,0.27669917470185884,0.17521619505669134,0.1757203563557805
DHI,1.6229974039750024,1.2739691534629096,1.0983207859027238,1.0713165679939531
DXCM,0.15367572369193083,0.39201495340347775,0.3431689052066762,0.29664879264410215
MCO,0.8088482172178285,0.8993598930449526,0.7883719299051029,0.6802939953539163
SJM,0.0084257273580513,0.09179176083969247,0.0845905340668138,0.09563577700634276
CCI,0.008898507857753942,0.09433190265097986,0.07581040245300034,0.07369331358088843
IFF,0.09976080188006049,0.31584933414534927,0.2500415177267731,0.22618533197118598
EXR,0.015021762641010244,0.12256330054714684,0.11105699820546863,0.10062696974627355
MKC,0.06045817465475636,0.2458824407206752,0.21648778530885116,0.21655938879608064
WAB,0.8311553855041397,0.911677237570479,0.7941634702502951,0.7317856115719857
YUM,0.21912917921710823,0.4681123574710544,0.39710602438040554,0.42161485121128667
PEG,0.009853587250847208,0.09926523686994963,0.08189059311578935,0.07234185799799
SWK,0.015417175723154933,0.12416592013573988,0.10531114790838975,0.10903521968111908
VTRS,0.06245704960635846,0.24991408444975335,0.20405151372624725,0.17902931168511724
GIS,0.007882833454681413,0.08878532229305366,0.0734100622021728,0.07339497349903536
TXN,0.13684422405524307,0.36992461942298877,0.3245734538022566,0.2956997737428091
AMZN,0.011594736955914247,0.10767886030189142,0.08506586033794705,0.10607933329457948
LIN,0.3942072273480863,0.6278592416681356,0.54151204603299,0.5459623483497827
PWR,0.6081402758228956,0.7798334923705801,0.6511012972123326,0.6233002068393206
XRX,1.6039779618231325,1.2664825154036405,1.1136485623645909,1.0566801416142544
CAG,0.3765489276304404,0.6136358265538612,0.5591164195377448,0.5780404743713827
ATO,0.00650463892804409,0.0806513417622056,0.06747702008763352,0.06353207827322611
TGT,0.005829310992083249,0.07634992463705022,0.05335340850673915,0.055576702345608416
D,0.030100506874503778,0.17349497651085977,0.13723077827319,0.13175038836571135
ES,0.014376574711773754,0.11990235490503827,0.09983225823528595,0.09355318161616202
INTU,0.004695875326208574,0.06852645712575964,0.05414072738348882,0.050360224924520955
LUMN,0.0038606935697933086,0.06213447971773248,0.05064860488211879,0.04934288853946888
JKHY,0.08825626493819708,0.29707955994682145,0.26483222821662034,0.2687263861534277
FRT,0.028883571080298272,0.1699516727787587,0.1559636615371125,0.13765377033131754
SBUX,0.13250151686615871,0.3640075780339727,0.3345895112459502,0.3597898103325332
DTE,0.021557722996177968,0.1468254848320889,0.1294445067082443,0.1160486125611725
EMR,0.489148301849172,0.6993913795931231,0.6161638725529955,0.6740068365413847
