,mse,rmse,mae,mape
ALB,0.5523090684321398,0.7431749917967772,0.6628469201452687,0.7300893716314824
VRSK,0.021901580331253116,0.14799182521765558,0.1383227131255307,0.15418647383956338
WMB,0.5271114336160552,0.7260244029067171,0.6052993909848581,0.4672126991470295
AME,0.05860519348344563,0.242085095541724,0.21078330331378417,0.21595228055507326
WELL,0.10055820928110817,0.3171091441146221,0.2803209725165556,0.27838512976917196
LNC,0.04749815472222378,0.2179407137783663,0.20046789182766367,0.20038634971762878
XRX,0.23609909933866577,0.48590029773469556,0.4428000739553384,0.42456926673021633
DFS,0.03518701854639317,0.1875820315125976,0.16248563627738621,0.14625372312955676
MCD,0.06092879877948003,0.24683759596033994,0.20842040970203102,0.2167559661542656
SYY,0.07752733578823286,0.27843731033795177,0.25113794803287015,0.2681651907898715
RMD,0.07505283382773777,0.27395772270140106,0.22923017913003652,0.25404767483311186
RJF,0.5176839904760392,0.7195025993532193,0.6331889342927357,0.6219414511779803
LVS,0.18265785336867363,0.42738490072611784,0.34917966575162984,0.4243191751148555
ED,0.001634832420013607,0.04043306097754172,0.03524591508665831,0.035816555072295295
MKTX,0.275933374564008,0.5252936079603558,0.4824534217789099,0.5753976258645095
K,0.016371344358375214,0.1279505543496206,0.10085449582006617,0.10166736442469934
BMY,0.3598516427586321,0.5998763562257077,0.5347610094997766,0.5505307221662427
EW,0.009101197666915832,0.09540019741549717,0.08607458882057226,0.07526207573472235
HPQ,0.046128503862840044,0.21477547314076634,0.1798977548525878,0.14483994112140205
MU,1.1008582451175615,1.049217920699776,0.9164977514388231,0.6818341554996529
TJX,0.2027254426401862,0.4502504221432626,0.4091511297107587,0.44036347210354454
RL,0.056261938149747864,0.23719599100690522,0.22621405234657463,0.24959878111195768
VRTX,0.08890461016539461,0.2981687612165208,0.264018217462591,0.23958820897971342
MET,0.5510587340024684,0.7423333038483916,0.6562235466813321,0.6656163251215191
EFX,0.17671300523676609,0.42037246013121043,0.3710541302882517,0.3434575463087248
BEN,0.49981934206962253,0.7069790251977937,0.6274067209976741,0.6539100989350939
CE,0.05648902634416144,0.23767420210060966,0.2053934203399215,0.1973925483353515
MKC,0.053908986393555056,0.2321830880868696,0.20426048990081805,0.20440296231512223
DLTR,0.01860199193610049,0.13638911956641003,0.12456806250621506,0.13637662653511246
ISRG,0.2976572925987307,0.545579776566847,0.4677826152139142,0.41851315673510964
MHK,0.32989058253446685,0.574361021078613,0.5110565104539709,0.5432975703253771
EXPD,0.07045035043387063,0.26542484893820817,0.23903223893476797,0.2638276109509982
MTD,0.004060794569788293,0.06372436402027323,0.046087487635772605,0.04391927557165797
PNC,0.19918613073089067,0.44630273439772994,0.37636976145160006,0.3419467462352017
LUMN,0.011630009731729228,0.10784252283644531,0.09301436420674239,0.08690950938337415
BXP,0.008289015405878883,0.09104403003974991,0.08329028699437063,0.07497001785839448
PNR,1.4370009885107315,1.1987497605883939,1.033211309494382,1.1685781346824926
MDLZ,0.025067988105232572,0.15832873430060815,0.13451586509492974,0.13253687290045374
KR,0.12975154580493387,0.3602104187900926,0.30362126765520486,0.2512352262368478
WBA,0.009626708722256804,0.0981157924202664,0.08890393477934236,0.08091063827970187
CHD,0.007516615483253661,0.0866984168439866,0.07592673777329167,0.07335632660804858
FITB,0.2613816125270154,0.5112549388778708,0.4319559160158618,0.4470009408071087
ANSS,0.11204756920976223,0.3347350731694578,0.3093026384230964,0.3511010471071332
LDOS,1.447034847418275,1.2029276152031239,1.0622709706394917,1.3581511814191178
CBOE,0.054877237303606476,0.23425891083074402,0.20697134945882648,0.20731117731375934
TGT,0.005749278132838229,0.0758239944400071,0.05383562250070209,0.05624758760734764
MCO,0.5055113586298983,0.7109932198199208,0.6297732079705675,0.5451266631116362
LRCX,0.13536808958119909,0.3679240269147954,0.34107869330526536,0.27701515992070463
GRMN,0.016958783198270592,0.13022589296399772,0.11071335105231263,0.09708206333915023
PM,0.0776042096545001,0.27857532133069524,0.2518797127942268,0.27210753843907304
BA,0.10163853475821814,0.3188079904240453,0.2858820735572472,0.3140606340726845
MOS,0.831120229291562,0.9116579563035481,0.7809244268853288,0.8308478409278868
GM,0.13337738084041842,0.36520868122269273,0.3350083805856131,0.4141391840827593
IFF,0.01583529806604651,0.1258383807351577,0.08984810941027502,0.08184369652700332
ULTA,3.491837391516889,1.86864587108336,1.6073527285354636,1.9862331246234297
META,1.03066059062652,1.015214553986752,0.878278196895553,0.7142789434361311
NKE,0.05036944189344937,0.22443137457461104,0.21096816705173474,0.20914485472831232
PH,1.0323954526988786,1.0160686259790126,0.8967253178747787,0.9574968083173594
CLX,0.0030728030189534927,0.05543286948150432,0.050463778063353774,0.053491944912326325
KLAC,0.234138620896134,0.4838787254014522,0.42290935323350287,0.3908026610897287
MSCI,0.1257944030851319,0.3546750669065023,0.3139068552951945,0.30832557884009965
LIN,0.30495633901819014,0.5522285206490064,0.47755185191266375,0.48148597228882495
DHR,0.114912392224546,0.3389873039282533,0.3029311276640841,0.3000920977599223
BKNG,0.01286923065425587,0.11344263155558351,0.10119306541946863,0.09925580743960849
OMC,0.5839502517533816,0.7641663770105183,0.6694431276986489,0.6923159130985848
APD,0.2763270438977747,0.5256681880214692,0.4634972044585996,0.40461773272669826
FTNT,0.1872652184566064,0.43274151459804083,0.3626644030640485,0.3134859742126197
EA,0.008077719980719529,0.08987613688137429,0.07371939067275839,0.05703361777154787
NI,0.2503416321295575,0.500341515496723,0.4315467155527258,0.3606024115919963
REGN,0.19997416866015477,0.44718471425145423,0.3796118121517628,0.3370791843126511
DOV,0.7152275991424126,0.8457112977502503,0.7264867742361862,0.7205965783450737
BIIB,0.10720962454194763,0.32742880835679017,0.2983222745898102,0.2710995290832984
HRL,0.0008897455123077179,0.029828602251994945,0.021271340627982405,0.020078004679506406
WAB,0.6932559233596006,0.8326199153032556,0.7274128441783871,0.6707771820271891
ETR,0.015840425543985535,0.12585875235352342,0.10661846445799869,0.09597133299244193
BKR,0.12578344732844957,0.3546596217903154,0.23942841329613054,0.2365543923594949
NOC,0.368040072348383,0.6066630632800905,0.5312276899507393,0.474264429289715
GOOG,0.1606331161207533,0.4007906138131896,0.33528874311737883,0.33994968820180127
PAYX,0.4322743809852674,0.657475764561149,0.5962826870599459,0.6285141977217958
HIG,0.15811519686806558,0.39763701647113486,0.3637579696077732,0.3605242734982178
TSN,0.053526670029200106,0.2313583152367775,0.21568181035347195,0.18362937075092184
CME,0.19173258808819196,0.4378727989818413,0.3456831755238829,0.3645317559036874
ALK,0.038567012654057195,0.1963848585152562,0.17125026271960228,0.13537488640776377
MGM,0.9125542345924399,0.9552770459884609,0.7940074555490714,0.8045160381201791
TXN,0.1503283153810959,0.3877219562793625,0.3399047812196921,0.3095499307965745
APH,0.08789241025030767,0.29646654153598456,0.26044546108547906,0.23394547155418907
KMI,1.529603707365157,1.2367714855077945,1.1017938344834677,1.0815655924430347
AMP,0.3189634429662063,0.5647684861659743,0.5084454962455155,0.48385361124654874
HBI,0.003856775587016625,0.06210294346499709,0.05432528591146468,0.043219956979183884
EMN,0.9977151758695497,0.9988569346355611,0.8495903374530077,0.8561853576703052
HSIC,0.07257616396968723,0.26939963617215085,0.23600979799740374,0.22460665520989284
GOOGL,0.16336715537057594,0.4041870301859969,0.3378817451187049,0.3381982621435003
JPM,0.12056875873289967,0.34723012359658495,0.3094944636551399,0.3085958648377181
UAA,0.0194574186882508,0.13948985156007157,0.12139456684834775,0.09032992871069119
EMR,0.5183769898768656,0.7199840205705024,0.634357333981104,0.6938769623716133
RHI,0.3807314364101536,0.6170343883529942,0.5552772959201795,0.47394482536203575
ALL,0.06132034107355502,0.2476294430667626,0.22560877205801,0.20274561339655056
WY,0.2783832429532915,0.5276203587365554,0.4779232316059608,0.46389852389684694
FAST,0.00791602473148188,0.08897204466281462,0.06972584247939989,0.07919556302222173
TMO,0.6893977779545735,0.8302998120887258,0.7088174218660076,0.6517069176941606
HAL,0.08374475999721707,0.2893868690822323,0.1695296567123482,0.19930694557479192
CNP,0.015793265819060744,0.1256712609113983,0.10002709549985232,0.10424328698955312
HON,0.45441504540584154,0.6741031415190419,0.5864986157330122,0.5650323868598421
IRM,0.16445335750543713,0.40552849160747895,0.38530216323739197,0.3532470477205314
AMT,0.06285004885672545,0.25069912017541157,0.2197949013025054,0.189668408256009
PRU,0.28270804666444316,0.5317029684555495,0.4785614208320556,0.510834267486447
ROST,0.15732915690364785,0.39664739618916933,0.36456031024935254,0.4035923372521843
WST,0.08986348212389972,0.29977238385798605,0.274533614262596,0.30867247203565257
ABT,0.27591323847064747,0.5252744410978393,0.4642512879635708,0.4258763858594567
PEP,0.06792079557189813,0.260616184401311,0.2359433536384232,0.22384652397708257
TSLA,0.37073025731510684,0.6088762249547167,0.488484688641702,0.3943699425433154
O,0.04597540537145351,0.21441876170581134,0.19505453994849256,0.18879193709411426
OKE,0.27411717076678216,0.5235620027912474,0.40267619756183676,0.37425409174621777
BBY,0.041147007622172396,0.20284725194631648,0.170268564419691,0.27457259297619746
MTB,0.07840392910019357,0.2800070161624411,0.24345069568317607,0.23257766621481382
LKQ,0.007668804958408972,0.08757171323212178,0.07276476629762205,0.08932646108855297
KO,0.3816215164181597,0.6177552237077075,0.5505610182165032,0.5473348862547858
MA,0.412263403364431,0.6420774122833095,0.5786163387438982,0.6229089010651482
SNPS,0.515664586245114,0.7180978946112528,0.6347768114387697,0.6424801362861988
IP,0.0765403773232208,0.27665931634994834,0.25377940770399227,0.2526508144954701
EQR,0.041161452315184734,0.2028828536746877,0.18298491462032523,0.15668749919640723
NVR,0.6606059673176838,0.8127767020022681,0.6940674147334864,0.6155602946727899
SO,0.0010639994267960774,0.03261900407425213,0.024455255417300672,0.023412154207294703
PEG,0.022723310840724074,0.150742531625033,0.13669763114056943,0.12070569995738757
LEG,0.4244509145448541,0.651498975091177,0.5812484294491461,0.5074229786723314
WRB,0.045050698011390874,0.21225149707691315,0.20150178411291245,0.1937373277672737
ROK,0.867411144749715,0.9313490992907627,0.7982832350930058,0.8237281972390176
SJM,0.0275958965114032,0.16612012674990106,0.1527777463754188,0.17112263556757223
EIX,0.011084888590023231,0.10528479752567904,0.09481748313113314,0.0810511134529132
DVN,0.10000469990245234,0.3162351971277902,0.23265912623506324,0.24150281425052314
TTWO,0.006186045387950456,0.07865141694814186,0.06198550442774225,0.04947758935662098
NCLH,1.0576811903206644,1.0284362840354595,0.9191215850106542,0.9165148712287705
WEC,0.002639075822315132,0.051371936135551015,0.040518875576212046,0.03720245396870859
IPGP,0.4116692868885028,0.6416145937309272,0.5811479340114301,0.6602774181242803
VMC,0.3745167819880879,0.6119777626581606,0.5112724487979747,0.4813082142261554
AWK,0.04312052840811091,0.20765482996576534,0.180624652222943,0.1598798277185164
GIS,0.05321202481542271,0.2306773175139305,0.1952623305654966,0.19394409901547469
ZBRA,0.45101945758519396,0.6715798221992632,0.5350949974491898,0.40381552215997213
SCHW,0.1097146143909263,0.3312319646273987,0.2900385210747778,0.27130190103063145
PLD,0.028526268953844774,0.16889721416839526,0.13277970318515842,0.13320366809821807
J,1.2644290542885928,1.1244683429463866,0.9646337335636206,1.223953618421406
DLR,0.05866083761850178,0.2421999950836122,0.2064953529507352,0.19183342811649529
SLB,0.3253616765503,0.5704048356652492,0.4676828600939374,0.4555534353778878
CTAS,0.4299852744679959,0.6557326242211805,0.587036448452961,0.5272616598185648
ZION,0.1598996301509667,0.399874518006545,0.3403419415350403,0.35483621858098896
EOG,0.2942957743080896,0.5424903448984965,0.43119669046586234,0.41139587747782075
NDAQ,0.09293695545277615,0.30485563050856734,0.2821383137654314,0.27765243148774127
PSA,0.015421741364686102,0.1241843040190108,0.11434321306991249,0.11307726145789461
TDG,0.10341387672799994,0.3215802803780107,0.26243452871556394,0.2316950248409827
SBAC,0.029288730200977553,0.17113950508569772,0.1484851165470274,0.1289646664219663
BSX,0.5029452117304364,0.709186302554157,0.5966004278260221,0.5795150076732299
PPL,0.030399406651263776,0.17435425618912712,0.13988109230573267,0.1268188991648045
APA,0.028946642637472646,0.17013712892097552,0.11534630260400157,0.14872537376007758
BAC,0.003926555312556819,0.062662231946818,0.05450918235451455,0.051991543787406724
USB,0.016808488251270546,0.12964755397334168,0.11059579495701988,0.10496637405324027
BR,0.014507758954429486,0.12044815878389128,0.11513508019268923,0.11407375613019413
SPGI,0.7325313101840183,0.8558804298405346,0.7519544110951744,0.7038708829196759
AOS,0.18794529901056403,0.43352658397215277,0.4024007604070253,0.4448468442171378
CHRW,0.08437263635857316,0.29046968233978077,0.2707505289159878,0.2591290447703621
LYB,0.14182629247610806,0.37659831714455133,0.27196017851897775,0.24388751317083457
CMCSA,0.48728793956498373,0.6980601260385696,0.6108309263530338,0.5883851073938887
ADI,0.3119529719345794,0.5585275032928811,0.4833234968542031,0.4816536095907752
CAT,0.40088052835085075,0.6331512681428118,0.5265614743958503,0.4774673398477443
PVH,0.34720209910883254,0.5892385757134647,0.5288405368080252,0.5978993978920549
GE,0.30513876990600153,0.5523936729416816,0.4931749026802216,0.5321821531258578
DIS,0.7053300691787189,0.8398393115225786,0.7302747564440075,0.6388253248258655
PNW,0.00988908158677647,0.09944386148363543,0.07178148694280692,0.06974357235933101
NVDA,0.028195795368784977,0.16791603666352115,0.13223337186696493,0.11345156943829916
BIO,0.0548819793909843,0.23426903207847233,0.1959166387257069,0.20737005308593914
DPZ,0.0075899870635380935,0.08712053181390764,0.07335514932683705,0.06815445615810856
ADBE,0.20713401891980696,0.4551197852431895,0.3851671267948399,0.33514515608321804
GS,0.018834861264140343,0.13724015907940482,0.13000609829197385,0.13421044660193823
FTI,0.011507219315904576,0.10727170790056703,0.07572600658339082,0.08748144490510136
RF,0.16358858657422382,0.40446085913747426,0.33434198928081155,0.3315759687196586
DXC,0.39877394513230274,0.631485506668445,0.5302387396906341,0.48680356184820217
DUK,0.0019028343947459694,0.0436214900564615,0.028712989725078804,0.026924973308568675
ES,0.02511653885743326,0.15848198275335043,0.13329280416390443,0.1244313273882495
ILMN,0.20817876079034608,0.4562661074311197,0.3845267612848443,0.2504659447141708
FFIV,0.5129334503402107,0.7161937240301751,0.5985000697984668,0.4637955449349422
ADM,0.3779298418865839,0.6147599872198775,0.5539569202160333,0.511055502019912
RCL,0.5143670209684537,0.7171938517363724,0.6335271850925079,0.4858882893792711
AVB,0.10581145145748791,0.3252867219200438,0.2868394701667855,0.25898069067001916
VZ,0.1208326943543339,0.3476099744747465,0.30874114707118466,0.32267997209091603
WFC,0.003566657259347619,0.059721497464042365,0.04631936040040176,0.04122998057002887
VRSN,0.028849213692036125,0.1698505628251968,0.15775712967338687,0.17725460794548475
JNPR,0.2449318108995602,0.4949058606437796,0.40103000534666516,0.402915990797909
BAX,0.3547599733905724,0.595617304475426,0.5132437920228549,0.49079512573109796
HES,0.30266198395082594,0.5501472384287919,0.45933471446121843,0.4595252491342561
BK,0.2130807367041126,0.46160669048889724,0.4182063202600486,0.38976246599796277
FE,0.07848279149591463,0.28014780294679203,0.2527320348969784,0.28325542407259885
IT,0.25999889708092067,0.5099008698569955,0.46000442235413375,0.4369061711349438
A,0.28695043751842564,0.5356775499481247,0.467974385131031,0.47523862323231986
AES,0.0017420925032978337,0.041738381656430255,0.03132373635831218,0.032606316332455275
PWR,1.012346096426221,1.0061541116679,0.8459966548171102,0.8079818143732956
AEP,0.0012667461992469287,0.03559137815885933,0.02959004441765245,0.026725319080864687
ZBH,0.029771161890324332,0.17254321745674134,0.14949435569754457,0.13578011685003943
FDX,0.057052454579808,0.23885655649323928,0.226469678710267,0.21562171044111925
GPC,0.08713085470821504,0.2951793602341042,0.2616453133843641,0.24201163091368172
FIS,0.23693651696894744,0.48676125253449193,0.43007247962650924,0.4069106049431787
KEY,0.005810652018854863,0.07622763290864319,0.06149795969751418,0.062312733298491955
SNA,0.14861528487826658,0.38550653026669546,0.3444900342335073,0.3058866394960728
CDNS,0.02535949422249226,0.15924664587517146,0.1303041856840598,0.11076923004496995
TROW,0.25016159468967814,0.5001615685852704,0.44248986222144343,0.4569940357601807
CVS,0.2603846506804675,0.5102789929837084,0.4585985407504058,0.40674664190826804
ORLY,0.021723658236118295,0.14738947803733582,0.12346385913683691,0.1058855393575297
ACN,1.3404405788002505,1.1577739756965737,1.0129655939896398,1.027188381386794
NOV,0.02524805037412501,0.15889635104093802,0.11731539225962825,0.12698912855966382
COF,0.4492398136771462,0.6702535443227035,0.5911277205885979,0.5633491415570957
DXCM,0.030615777442829815,0.17497364785255468,0.14912928893424074,0.13565183731020106
HAS,1.1679892895567834,1.080735531736041,0.9479500570310349,0.9580582759518592
TEL,0.26159090881410746,0.511459586687069,0.4306714690845717,0.3911959205137453
FLS,0.8272786604702576,0.9095486025882605,0.7791092868072262,0.8871267335815268
NWL,0.21108207092328246,0.4594366886996319,0.4195371453742027,0.4143161315903887
VTRS,0.01385196230884515,0.11769435971551546,0.09442679460499608,0.08369905475876575
F,0.8456140768701214,0.9195727686649499,0.8105426828815006,0.9148107460503802
L,0.16707375434086005,0.4087465649285142,0.36727146243262554,0.4225190982439811
NWSA,0.07426590534700982,0.272517715657184,0.2320935453326977,0.255906085332877
MRK,0.01818899725132295,0.13486659056757885,0.10241144212817117,0.08825750606310742
ESS,0.3842170686722384,0.6198524571801248,0.5562630550654275,0.4857133258747393
IPG,0.5497924970079109,0.741479937023188,0.65104539791065,0.6102125467902004
SPG,0.016012889445397343,0.126542046156198,0.11070905567478134,0.09799887069020777
AMD,0.3050139976749723,0.5522807236134286,0.44398104514760517,0.5734528853853195
EL,0.13627790856425126,0.36915837869978146,0.33387423611591677,0.34186991880857714
CAH,0.06987362533106269,0.26433619754218807,0.2344747637370442,0.21469803940338575
NFLX,0.11484035841137882,0.33888103873096653,0.2707077463738568,0.2735381948870739
