,mse,rmse,mae,mape
AAL,0.042501130438313724,0.2061580229782817,0.1804996978982784,0.12319956113445997
REGN,0.28956620099063834,0.5381135577093726,0.45806153162158875,0.4075060928688382
BKR,0.09431231324792509,0.30710309872732494,0.19899146913182822,0.198501564862183
DHI,1.57040081195661,1.2531563397902952,1.081702996813964,1.0551561538385597
DXCM,0.020938352046030256,0.14470090547757555,0.12312280250670074,0.10759736278562464
MCO,0.2508169855135456,0.5008163191366128,0.4476453698913006,0.3886977961792052
SJM,0.024145969605697315,0.15538973455700772,0.14402751879867373,0.16153417213394564
CCI,0.020550660986157276,0.14335501730374586,0.11998598177232646,0.11704021816480917
IFF,0.007478818213909633,0.08648016081107639,0.06183377968603583,0.056455471360422026
EXR,0.009406592486237446,0.09698758934130411,0.08869929129075277,0.08085067983166214
MKC,0.03556327528683094,0.1885822772341848,0.16766416340344778,0.16798970279925185
WAB,0.6237034440653594,0.7897489753493571,0.6915100122080892,0.6380068648506253
YUM,0.12418154882300672,0.3523940249536117,0.30285922733344944,0.32173207362320944
PEG,0.03550278997501939,0.18842184049366303,0.17195503149269803,0.15194234811625643
SWK,0.040507430885758915,0.20126457931230451,0.16649212304382263,0.16891870589945826
VTRS,0.006456200388205251,0.08035048467934248,0.06184750193555032,0.05396968745262613
GIS,0.02127946744420719,0.1458748348558009,0.1223863350332251,0.12187495875636703
TXN,0.09992133922935104,0.3161033679500284,0.2786415581273839,0.2542421576219163
AMZN,0.19048896719195793,0.4364504177933135,0.3970444775804555,0.4984787538561535
LIN,0.2659301005109188,0.5156841092286234,0.44748473536741296,0.45115220542486534
PWR,0.7987560695634581,0.8937315422225279,0.7491914338498717,0.7162538106168009
XRX,0.16741801112896004,0.4091674609850593,0.37650029335858376,0.3622171595143012
CAG,0.3729827642452947,0.6107231486076934,0.5576733310429496,0.5767097235520471
ATO,0.06584996066209185,0.2566124717586654,0.21943994984349133,0.2034407146111878
TGT,0.005467356615465195,0.0739415756896294,0.06326421718496912,0.06815854858257762
D,0.004344650145920663,0.06591396017476618,0.059457812546193464,0.05667812876062541
ES,0.010143982024201857,0.1007173372573057,0.08290455936181854,0.07794423021494255
INTU,0.009418378501690226,0.09704833075169415,0.08829003043268116,0.08392704449592361
LUMN,0.006623234462236335,0.08138325664555539,0.06788596502724764,0.06495343536381426
JKHY,0.016376603972171635,0.12797110600511208,0.11715862563317331,0.11992888417132645
FRT,0.06845740359094994,0.2616436576547384,0.2349354386914773,0.20654897258384422
SBUX,0.14050768730665977,0.37484355044026,0.343817742814896,0.3695533822451886
DTE,0.012661543608719532,0.11252352469025992,0.10021171977256464,0.08994711129583773
EMR,0.21820885033119417,0.46712830178784304,0.4153447039445899,0.45430888620114723
NOV,0.019026814943928473,0.13793772125103587,0.10243737752950306,0.11108740243371167
PGR,0.26223237972233976,0.5120863010492858,0.4714496457574963,0.5287529607118325
NI,0.2728818422012576,0.5223809359090907,0.4527418854678752,0.3786114872582604
CI,0.13224735670531051,0.3636582966265317,0.33407270772981357,0.3223097848183847
RJF,0.260936366094646,0.5108193086548765,0.4524968681770022,0.44527419494574294
CE,0.08140485086499667,0.2853153533636013,0.2455343451881634,0.23630973387023327
TDG,0.06908598075973191,0.26284212135754026,0.2137190046870085,0.1888900713002647
BIO,0.04774511458853796,0.21850655502418675,0.1841069421120024,0.1947612874631345
FCX,1.8180414870127197,1.3483476877321812,1.1765910964445694,1.441191842297523
BK,0.07821445326084349,0.2796684702658551,0.258963542287247,0.24332245239498804
APTV,0.003681186509784431,0.06067278228155052,0.04320573894627305,0.03918887385999875
TRV,0.08931767677846757,0.29886063102802213,0.27903172209162574,0.27074261656757137
RTX,0.4044836693898571,0.6359903060502236,0.5452896743300981,0.5616684453613031
MHK,0.26053277722444723,0.5104241150498742,0.4563707493522655,0.4855380603836006
KMX,2.1745759232469113,1.47464433788182,1.258184876590333,1.280815756127658
UNM,0.07812709515663452,0.2795122450924727,0.2516132761978452,0.25877740033219915
TDY,0.10584070823489025,0.325331689564497,0.28334821583507663,0.270342898610739
UAL,0.3118732659173724,0.5584561450260641,0.4871966001346347,0.38583016441511536
AMT,0.05266036568523985,0.22947846453477908,0.20252592612882345,0.17519601472129823
NOW,0.4316501799490773,0.6570008979819413,0.5632234948160871,0.5428195321265543
SPGI,0.6817268014033125,0.8256674884015432,0.7271881854429133,0.6809899945094686
QCOM,0.005089002348745113,0.07133724377031336,0.052317542678081086,0.05223617273171837
GWW,0.06598559030488652,0.2568766052113086,0.22703555329940261,0.24931050798414445
UHS,0.05206109452779264,0.22816900430994705,0.18164759534463912,0.14642345056937872
CMA,0.2899908969418515,0.5385080286698161,0.462834495813812,0.46164217567067467
NWS,0.11476596221811912,0.3387712535297514,0.2949786164055948,0.3353329231578442
WYNN,0.7048034685459568,0.8395257402521716,0.6803663650691253,0.7194103699011801
CAT,0.2834767173658886,0.5324253162330738,0.439754772110906,0.3992246416488937
HUM,0.016153924551109238,0.127098090273258,0.11214908651396545,0.09628198105822819
VZ,0.08378066681073428,0.2894489018993409,0.2591772812427447,0.2711228197656087
JCI,0.8600655904694988,0.9273972128864194,0.8015391009562355,0.7646649226601935
COO,0.06444524160801832,0.2538606736145209,0.227665420054844,0.20592375710195393
GLW,0.018452178116386598,0.135838794592659,0.0951906367703583,0.08468120102622637
ED,0.0029854730598241905,0.05463948260941158,0.03700180846817332,0.03608167499736439
KMI,0.963189137547988,0.9814219976890614,0.8800361954116782,0.8656084273832632
AKAM,0.043816318751917195,0.20932347874024354,0.1777187815300587,0.1589036781909923
PH,0.8899218014135275,0.9433566671273,0.8347838908697327,0.8914343586445281
TEL,0.15680068241944842,0.3959806591482069,0.3310753604243621,0.30107157854204386
HRL,0.007213302347512892,0.08493116240528498,0.06965248706497787,0.06314418292685085
XRAY,0.015701413818006105,0.12530528248244807,0.11538123607677231,0.12065798853930701
UNH,0.29855499759624243,0.5464018645614621,0.49049018424279806,0.42846408259542795
KO,0.30651101285889143,0.5536343674835328,0.49606080794068597,0.4934761956934413
ESS,0.4175448208087946,0.6461770816183399,0.5776310363940413,0.5040079220798727
PCAR,0.10485329390849576,0.3238105833793821,0.26696458276594137,0.25004076001120745
ETR,0.007147718464889792,0.08454418055011115,0.07347934227303267,0.06699581732100511
HCA,0.1862299741802682,0.431543710625318,0.35723821894629226,0.26722885947517233
DVA,0.13869173507923882,0.3724133927227092,0.3187076567489859,0.27692395145842846
AAPL,0.03963350925712205,0.19908166479392836,0.16247846183611078,0.1332274160077102
K,0.004160795686049763,0.06450422998571305,0.05150191315168601,0.05211574896857957
AVY,0.1347373866514892,0.36706591594901483,0.31920172215927894,0.33561229955992467
FANG,1.1135018938336814,1.055225991830035,0.8445670670909234,0.7058407056729786
FE,0.07211009325119128,0.26853322560009457,0.24417033577393793,0.2738633864412508
ZBH,0.02156655334783484,0.14685555266259032,0.12832535167714249,0.11692904913325972
PRU,0.14418818329997155,0.3797211915339616,0.34645667910637584,0.3705052053126418
NFLX,0.06588432100699222,0.25667941290059126,0.19690230410457873,0.20275808435448278
MLM,0.2668807104976043,0.5166049849716942,0.395762089486615,0.3345516676856321
HSY,0.0409488613116259,0.2023582499223244,0.17013423802418506,0.17903980621073934
CBRE,0.15418811553953013,0.39266794564813934,0.34174339215123173,0.29431421849786743
SRE,0.028288867583805558,0.16819294748533767,0.14464985138543646,0.12779432517602887
ABT,0.15024018397799738,0.38760828677673725,0.3451634644080584,0.31719546895266704
AVB,0.11527203868155457,0.33951736138459043,0.2977222332003024,0.2685241296212983
GE,0.24854209545305392,0.4985399637471944,0.44760543939455105,0.4830127708994502
LOW,0.0493788082748684,0.2222134295556153,0.20431826849692802,0.2092093510584103
SEE,0.7367893984616443,0.8583643739471276,0.7682399299622048,0.7452446761871134
CHD,0.003410844997709887,0.0584024399979135,0.05031201289445355,0.04908018824695704
DE,0.0076404367503882,0.08740959186718698,0.07540630912091445,0.0798885133305343
ACN,0.8204369281466065,0.9057797348950828,0.7945984968228542,0.8060507557650517
KMB,0.0032169520461219677,0.05671818091337175,0.04325443814228534,0.043417860171681755
FTI,0.010267650625836885,0.10132941638950106,0.07388614908698624,0.0849113389688862
NTAP,0.035501553973047544,0.18841856058532966,0.17370996630984886,0.19250766885604767
LNT,0.00460586939903271,0.06786655582120482,0.05531436819748672,0.0494281729157338
ALK,0.07842069811143237,0.28003695847411353,0.2509521488255875,0.1988637976219588
CL,0.05324626723764736,0.23075152705377133,0.20676356090609677,0.20644836081912435
AON,0.013749704645902017,0.11725913459471726,0.1014731177454885,0.09852894395543563
PFG,0.03810650549070232,0.19520887656738953,0.18479462735552882,0.18995288351397868
HAS,0.8813040378058226,0.9387779491476259,0.8256350441642223,0.8346092614778116
MAA,0.012219793688602753,0.11054317567630646,0.10239888546382594,0.09667239435339771
INCY,0.18318085999221514,0.4279963317508868,0.38261018171828776,0.36752433666898027
HON,0.39688860930556535,0.629990959701459,0.5496821481081416,0.5296352152499544
MET,0.32103496152196653,0.5665994718687678,0.5041064538387291,0.5118748610553725
PM,0.06997625468429258,0.26453025287156207,0.24086169917374176,0.2603168626378418
VFC,0.43683748060164423,0.6609368204311545,0.5944965367844744,0.5670603922300947
TSCO,0.435821398198764,0.6601677046014626,0.5981527693736491,0.6954038962248582
LKQ,0.019711484788856187,0.14039759538131766,0.11099326411314943,0.13530556587445444
TJX,0.12752275507925678,0.35710328348988446,0.32800208425011806,0.3540434516444561
LEG,0.3118229617196462,0.558411104581245,0.5011740897997305,0.4383692124882017
UDR,0.007725612147560232,0.08789546147304896,0.07662325461565601,0.06725214778542293
ICE,0.14444167452195777,0.38005483094148107,0.35108976269289116,0.39489918580143585
ROST,0.1383116932108839,0.37190280075697724,0.34367102857178256,0.38132892403285085
DUK,0.013860592803966525,0.11773101886914308,0.09133773255333898,0.0865883700632842
GM,0.12209009248573298,0.3494139271490663,0.32221827252977675,0.3981412939326123
JNPR,0.1637167884848868,0.40461931303990767,0.32860293275658986,0.3298774520083529
TSN,0.09322886328034315,0.30533401919920933,0.28408036887398636,0.24263716479710237
HES,0.28931164320755504,0.5378769777630895,0.4501564838584571,0.4506516456494048
STZ,0.06306053233719,0.2511185623110924,0.23327274804055184,0.1899583566940394
MAS,0.24257233709011658,0.4925163318003948,0.43865324395415695,0.44190275445461025
EQR,0.07781366949228273,0.27895101629548286,0.24847192930117404,0.2122181883980037
VNO,0.007038739129243281,0.08389719381030143,0.07370154184478893,0.06314526141462365
MDLZ,0.010224844049915137,0.10111797095430236,0.08321016358520751,0.08279592053308456
CBOE,0.025952901593548725,0.16109904280767381,0.14166992543602727,0.14383875114080286
