,mse,rmse,mae,mape
AAL,0.043050759204001594,0.20748676874442282,0.1818495085849524,0.12398250538319214
REGN,0.31232918557334094,0.5588641924236522,0.47656858664218305,0.42428023936166553
BKR,0.06898984237885156,0.26265917531822786,0.16705450240437653,0.16754899484477978
DHI,1.3178258456062208,1.1479659601252212,0.9889918714620557,0.9649889252325696
DXCM,0.021016638465515203,0.14497116425522422,0.12356511945821184,0.10832877102650834
MCO,0.2796424610219093,0.5288123117155172,0.4721744369054621,0.40982739358213804
SJM,0.019456359899595016,0.1394860562909247,0.12964381832900743,0.1455567606148928
CCI,0.061525701136319,0.2480437484322453,0.21117718306947106,0.20649223262909
IFF,0.00910128669360039,0.09540066401026982,0.0679139030335681,0.06199933140467429
EXR,0.004911473794660999,0.07008190775557555,0.06369798315806603,0.05845656935811115
MKC,0.038040672768489346,0.19504018244579588,0.17339494082926057,0.17368712676492587
WAB,0.030579686775523092,0.174870485718783,0.15127429107546717,0.14131798141638816
YUM,0.11671952682052536,0.3416423961110877,0.2935208044373231,0.31187548538228266
PEG,0.034677593392415634,0.1862192079040603,0.16993877311351654,0.1501566242087562
SWK,0.0445389474014479,0.21104252510204644,0.1749368598293637,0.17753798689614889
VTRS,0.00876453915436192,0.09361911746199021,0.07076264152719496,0.063082315461973
GIS,0.023997073306354342,0.15490988769718458,0.13036896236313095,0.1297629163121176
TXN,0.1444460895571339,0.38006063931579903,0.3350427781514566,0.3052814598743075
AMZN,0.18453896257403776,0.42957998390758123,0.3908685796343367,0.49075492685964933
LIN,0.28156455121069324,0.5306265647427513,0.4605138715340238,0.46427489889779855
PWR,0.8423407784642987,0.9177912499388402,0.7703740351787156,0.7363156010874032
XRX,0.15882719498951564,0.3985312973776534,0.3671282803356934,0.35335866834360324
CAG,0.34428999776184377,0.5867623009037337,0.5365227383193859,0.5550453983250628
ATO,0.037750303492721245,0.1942943732914601,0.1645644982630481,0.15284329057590135
TGT,0.006079990774004536,0.07797429559800163,0.05608658521588007,0.05866620215295201
D,0.003185208061605287,0.056437647555557156,0.05001038606406024,0.04765123020819655
ES,0.00915812196096575,0.0956980771017148,0.07826472615306682,0.0736637299871127
INTU,0.019981017590996766,0.14135422735453215,0.13069916639227927,0.12253846253691496
LUMN,0.003963076609997664,0.06295297141515771,0.05135122998141925,0.04997865574165387
