,mse,rmse,mae,mape
AAL,0.04276173190750427,0.20678910006938053,0.18112629787543102,0.12359088829753527
REGN,0.2853760624017953,0.5342060111996076,0.45465647143419796,0.4044356628609927
BKR,0.0744345421070253,0.27282694534635926,0.17315497306549132,0.17363815693083623
DHI,1.5917287643698028,1.2616373347241285,1.089142325707982,1.0623984555843944
DXCM,0.021357275807081626,0.14614128714049848,0.12490787435095932,0.11020374848601831
MCO,0.2657761748366858,0.5155348434748963,0.4605340501355432,0.3997943784751249
SJM,0.023161177118318853,0.15218796640443966,0.14111185310579918,0.15828998761296031
CCI,0.009820823287595877,0.09910006704132887,0.08125254317573893,0.0790862816709177
IFF,0.005546800368479101,0.07447684451209718,0.05485892541919368,0.0500596019564025
EXR,0.006394149970600338,0.07996342895724481,0.07234519641147533,0.0661490906029193
MKC,0.02837387379533414,0.16844546237680058,0.14965914409654182,0.1500861721894023
WAB,0.6087302061176932,0.7802116418752627,0.683026224681925,0.6301935936513439
YUM,0.14144642632086116,0.3760936403621592,0.3236205544559808,0.34364611464269834
PEG,0.03471054373237355,0.18630765881297942,0.17003796784019773,0.15024588336494302
SWK,0.04475069202427273,0.21154359367343822,0.17550774877165073,0.17813707797568357
VTRS,0.00843428483217366,0.09183836252990174,0.06904358992268313,0.061542786024152814
GIS,0.03157476100748677,0.17769288395286617,0.150460650248213,0.14961788911568458
TXN,0.10929602071853038,0.33059948686973245,0.29135410096684083,0.2657401685135639
AMZN,0.1777182303256376,0.42156640085001745,0.3836695862161482,0.48175165175827855
LIN,0.27978943881152785,0.5289512631722585,0.4589634597381143,0.46271432948300883
PWR,0.8116958855988541,0.9009416660355176,0.7552940724546108,0.722037973096854
XRX,0.20948733142726556,0.45769786041368554,0.4194989439007609,0.40290881515991633
CAG,0.36521161866546353,0.6043274101556734,0.5519469319771312,0.5708362765932824
ATO,0.030996088562830273,0.17605706053103998,0.14825762753419802,0.13779414840981538
TGT,0.0065052513651488834,0.08065513849190815,0.05636585678578974,0.058544883149927236
D,0.002358337088075953,0.0485627129398261,0.041960662054215815,0.03998059620928163
ES,0.010987856227420026,0.1048229756657386,0.08659049293618891,0.08134566403235391
INTU,0.02138661062215316,0.14624161727139495,0.13519904281905187,0.12663326569722233
LUMN,0.009909335884376914,0.09954564723973075,0.08530303884131417,0.08042808998917148
JKHY,0.02701029560632861,0.16434809279796528,0.15008427896773346,0.15314230857986244
