,mse,rmse,mae,mape
CDNS,0.01573628868940304,0.1254443649168947,0.10276819790506289,0.08836763843749192
XRAY,0.03318920088102259,0.1821790352401247,0.16934478164635763,0.17447695795671647
V,0.38918563117073135,0.6238474422250454,0.5445726928488146,0.5396391103760806
WHR,0.12834343064637135,0.3582505138117339,0.3340856676957474,0.3425734859474336
EL,0.21350688082018904,0.46206804782433186,0.41089241793815556,0.4172527946435444
SBUX,0.054768120908500355,0.23402589794401035,0.21865261222851423,0.2338418689282378
INCY,1.0590467670744517,1.0290999791441313,0.8682382813935534,0.8124902653859278
PSA,0.015948049243702134,0.1262855860488525,0.11464160955978807,0.11030658435658654
HUM,0.0972168159403662,0.3117961127730206,0.2700097936805709,0.22291663370693168
UDR,0.014540803403613562,0.12058525367396115,0.10255168949864132,0.0872814878463359
HON,0.4818006907237067,0.6941186431178078,0.5997270687590881,0.5703532911053921
AON,0.01791501647648597,0.13384698904527503,0.1164835002359682,0.11200213368689817
TGT,0.005543373496799295,0.07445383466819755,0.0599220705947582,0.06271962195322878
VNO,0.006126030634802448,0.07826896341975181,0.06849988480531963,0.05772664139422806
ALL,0.046760101491322044,0.21624084140449057,0.19275596882236629,0.17081753882975698
MSFT,0.005499916759769684,0.07416142366331491,0.06697956564391334,0.05978303133954966
VRSK,0.007209851770136159,0.0849108460100131,0.07873782245187043,0.08827685695674352
A,0.382168752525216,0.6181979881277647,0.5370278922828242,0.541009559471372
COO,0.004641383418372937,0.06812769934742356,0.05627666294335355,0.053818171225716034
BKNG,0.23759303332826,0.4874351580756768,0.4367399380094549,0.4388327345694796
EXPD,0.17655702283922045,0.42018689037048795,0.3792515610331838,0.41134368809433336
CBOE,0.011793223140316996,0.10859660740703181,0.08261024164906339,0.07571643827902533
VRSN,0.012408159378683222,0.11139191792353349,0.09511187933385115,0.10896642704610514
GE,0.37404979936288235,0.6115961080344465,0.5431992666133688,0.5749624217516661
EQIX,0.036130552877968486,0.19008038530571345,0.16179337044364595,0.1386774098196401
C,0.024319441801911028,0.1559469198218132,0.11527234752122004,0.11766881393600828
LEN,1.8750719427012226,1.369332663271136,1.1950830242182828,1.1505722295830032
WELL,0.07625934202396002,0.27615094065376644,0.2424232052925914,0.2294967034548615
WAT,0.18147202346219674,0.4259953326765409,0.3515921999666123,0.3539690019644346
AMCR,1.0836979860144211,1.041008158476398,0.9010768913072921,0.9274536252075166
FIS,0.15564312721184023,0.39451632058996017,0.3468705257655514,0.32500139911465536
NVR,0.7911218121940214,0.8894502865219739,0.7624401718287398,0.6762852098740847
WM,0.03175659171361267,0.17820379264654462,0.17158250283119247,0.16967560785298016
XYL,0.10478070282667085,0.3236984751688998,0.2651168139712313,0.24807173129475882
STE,0.32118948493592675,0.5667358158224401,0.5092585865673259,0.43823409070027103
LYV,0.20642949349168835,0.454345125968892,0.3887209098362338,0.3262242305693274
LOW,0.05679570523716234,0.238318495373654,0.21901316691133235,0.22144592310042785
BR,0.01704404290096003,0.13055283566801615,0.10630280465767873,0.09928153418795559
EFX,0.16572050264078725,0.40708783160490963,0.35995280526823414,0.3304055064303558
NOV,0.020769070658742922,0.14411478292924332,0.1034212202369447,0.11027783354525861
CE,0.007222035003207042,0.08498255705265076,0.07120432164976398,0.07082408695846942
DVN,0.0805195782169208,0.2837597191585176,0.20988168276948455,0.21543528725170386
XOM,0.4118398378131429,0.6417474875783643,0.5574830501808804,0.5760812779319525
ADM,0.2749945503235648,0.5243992279967284,0.47775140766857416,0.4364166733869448
PVH,0.48351146237867587,0.695349884862776,0.6130332600551627,0.6935129683647336
