,mse,rmse,mae,mape
CDNS,0.3334004955228093,0.5774084304223565,0.4787246039333119,0.40277057366341384
XRAY,0.048893010043039004,0.2211176384711066,0.20442098068117784,0.2097518875492819
V,0.36434698054908793,0.6036116139945353,0.5340404526825572,0.5300442117578062
WHR,0.07211286241511672,0.26853838164239524,0.25278253936430917,0.26193918924121695
EL,0.2209516815914205,0.4700549772009871,0.4173473879090323,0.4236482911734441
SBUX,0.155704497887229,0.3945940925650421,0.361646013961395,0.3850163128601191
INCY,1.2729083557104979,1.128232403235476,0.9430192312049852,0.8800617543186277
PSA,0.02066363763688009,0.14374852220763903,0.13089840495050017,0.12589588114770364
HUM,0.1944814847750878,0.44100054963127633,0.37987133375507676,0.31140752883182926
UDR,0.08727527208498137,0.2954238854341019,0.25808578734156934,0.21909871786820687
HON,0.5477928750653146,0.7401303095167192,0.6371969826633976,0.6058559628989314
AON,0.008664694639556929,0.09308434153796721,0.07972153860698199,0.07735210832276539
TGT,0.005717676961164381,0.07561532226450127,0.05662015493834586,0.05854134581362312
VNO,0.0026612899561999394,0.05158769190611206,0.04404495264746727,0.03758758767382465
ALL,0.10148410603978622,0.3185657012921922,0.2839235146139275,0.2503962318532084
MSFT,0.010070094517289118,0.1003498605743382,0.09205100290090867,0.08143852138001019
VRSK,0.0028854869193227135,0.05371672848678253,0.04395833485644824,0.04900830480939868
A,0.4857964058673198,0.6969909654129813,0.6022774999396765,0.6065716063725209
COO,0.09614262213328635,0.3100687377554957,0.2772278104270667,0.24949234993701006
BKNG,0.006478061375719771,0.08048640491238114,0.06772964617756828,0.06559507146816385
EXPD,0.08427616832246515,0.29030357958947933,0.2675114915824466,0.29129205176505224
CBOE,0.12010922931457774,0.3465677845884954,0.3001479878549973,0.2906389683420122
VRSN,0.13112841926239777,0.36211658241842193,0.33461170900373705,0.3699484545062227
GE,0.4088811556967666,0.6394381562721814,0.5695014707719994,0.6027189050200731
EQIX,0.021602405152272623,0.14697756683342061,0.1234938685355879,0.10701390244550085
C,0.1925049093474979,0.43875381405464486,0.39456934445280656,0.4140577652593211
LEN,0.8515997021487489,0.9228215982240278,0.8149399175410564,0.7863300160522718
