,mse,rmse,mae,mape
CDNS,0.0037412410382970636,0.061165685137150747,0.04748191246382911,0.04163781095912659
XRAY,0.018134474897170537,0.13466430446547645,0.12479426778015514,0.12977003739148835
V,0.3048139074928897,0.5520995449127718,0.49307238239452483,0.4902095982628382
WHR,0.17956345354699543,0.42374928147077184,0.39329553828254743,0.4015850004511352
EL,0.09071017628604779,0.3011813013552597,0.2761490421831671,0.28138344802520737
SBUX,0.13733677487974735,0.3705897662911745,0.34064992962527224,0.36287770970035027
INCY,0.18206835745143723,0.42669468880153316,0.38213508669397167,0.3672987079004661
PSA,0.03193794429172781,0.17871190304993065,0.1617435779269766,0.15547292102799898
HUM,0.04502997956922544,0.21220268511313764,0.1914297657192551,0.16028982741234055
UDR,0.051712563584091875,0.22740396562965184,0.20254314721568636,0.1725524773817749
HON,0.34797536791324085,0.5898943701318405,0.516240494606522,0.4912315833968576
AON,0.012196947416304227,0.11043979091027031,0.0956954978885896,0.0924102772691575
TGT,0.00872451734197962,0.09340512481646614,0.06260037799970465,0.06274871058791272
VNO,0.008156763958576802,0.09031480475855995,0.07966142534270286,0.06680237401083211
ALL,0.03552854420736496,0.18849017005500568,0.17550177218880395,0.1566381661034615
MSFT,0.0016972992348727445,0.041198291649930635,0.034428597088217036,0.0305623263963488
VRSK,0.007529375044971193,0.08677197154018798,0.07992187276470514,0.08968004053468301
A,0.20844144850870516,0.45655388346689724,0.4014804082757253,0.405007258005883
COO,0.09393157981140386,0.3064825929990215,0.2750045591535016,0.24809762047283737
BKNG,0.027461608302399323,0.16571544376550823,0.14895102099585875,0.14753514920014443
EXPD,0.12648137590226202,0.35564220208274216,0.3217891997631024,0.349581889901001
CBOE,0.019946416337035908,0.14123178231912217,0.12239772038985307,0.12233377758349206
VRSN,0.01500620557635058,0.12249981867884777,0.10369401032285777,0.11894352532017807
GE,0.33421990456585804,0.5781175525495296,0.518536507611411,0.5488320683592613
EQIX,0.0782396732846186,0.27971355577558016,0.2429968671257987,0.20684081714199878
C,0.03819949067114512,0.19544689987601524,0.18554954249951452,0.1970938040013116
LEN,1.2069035467964355,1.0985916196642116,0.9614775448178663,0.9264624194608237
WELL,0.12356713983657859,0.35152117978377717,0.3086237706266466,0.292155567509821
WAT,0.08799704054287051,0.2966429512779134,0.2480783478165689,0.2503168471198496
AMCR,1.0164109459882904,1.008172081535831,0.8715603277264937,0.8969281841915169
FIS,0.15970179691497147,0.39962707229987743,0.35676984082126323,0.33482045092231816
NVR,0.7021457772538451,0.8379413924934399,0.7199352424021678,0.6388055556978646
WM,0.04350769364567827,0.20858497943447,0.20037013659228306,0.19787355073799806
XYL,0.020306333312351203,0.14250029232373948,0.11656676887597393,0.10959869919928741
STE,0.10167555960279243,0.31886605276007735,0.29554853260825836,0.2578677155031672
LYV,0.29363019034125115,0.5418765452953755,0.4611879590258746,0.3858333072251478
LOW,0.051200820211515764,0.22627598240095162,0.20825371073678592,0.21123862178820804
BR,0.004114778259139107,0.06414653739009696,0.05229609143986296,0.05308734219137048
EFX,0.11167569889819777,0.3341791419257009,0.29784662541615,0.27401433931173236
NOV,0.015585194518219584,0.1248406765370149,0.09513080347101864,0.10126292908793467
CE,0.06203603988907325,0.2490703512846787,0.2139069266257827,0.20280182893763574
