,mse,rmse,mae,mape
CDNS,0.3320339554686073,0.5762238761701977,0.47526769618455544,0.39955200076050496
XRAY,0.04488142414662107,0.21185236403359078,0.1961083019288448,0.20138536800948204
V,0.3522929420130681,0.5935427044561058,0.5253046536344544,0.5214671601775317
WHR,0.1257206879467371,0.3545711324216018,0.3330628703099655,0.3419477734311574
EL,0.21147247377352066,0.45986136364508884,0.4082739008607492,0.41446534526654843
SBUX,0.1540052636367448,0.3924350438438759,0.35977272322444176,0.38304206059232104
INCY,1.179289089461856,1.0859507767214203,0.9086790128826269,0.8485101404763851
PSA,0.02900832466895403,0.17031830397509842,0.1546911026057246,0.14874001756751304
HUM,0.20881051093412573,0.45695788748431265,0.39281076882454463,0.3217840646573932
UDR,0.08441482178093004,0.2905422891438182,0.2536800702449408,0.21534529559229845
HON,0.5329264198849161,0.7300180955873053,0.6284839391698578,0.5975765889263104
AON,0.008008899683884402,0.08949245601660735,0.07608671166214544,0.07390534087806763
TGT,0.005508097373015438,0.07421655727002861,0.05894219319793128,0.06155492567978679
VNO,0.0031875848439584437,0.05645870033890652,0.0487226779304339,0.04144265828016031
ALL,0.09445582938987139,0.3073366710789186,0.2743218390453398,0.24203341952337667
MSFT,0.01011552879499311,0.10057598518032577,0.09229855344360237,0.08167839852296463
VRSK,0.002953379451184253,0.05434500392109888,0.04457067679939394,0.04966581530827691
A,0.4899984843888692,0.6999989174197837,0.6047949935010664,0.6091034518484445
COO,0.09338452064780688,0.30558880975553876,0.27334673004800375,0.24612216305774298
BKNG,0.03126901648214752,0.1768304738503732,0.16358896892470304,0.16236768712154329
EXPD,0.03891997037401776,0.19728144964496222,0.18219861378414515,0.19947752242521397
CBOE,0.11893070615854943,0.34486331518233343,0.2947158815904208,0.28516985670989564
VRSN,0.06719675323188422,0.2592233655207111,0.24177953071684752,0.26890193499012804
GE,0.4057494747176659,0.636984673848332,0.5670201489343041,0.6000986239879663
EQIX,0.020972032772772504,0.14481723921126416,0.12149382023412723,0.10535123136923712
C,0.16862302865454587,0.41063734444707517,0.37043974104281646,0.3889250107996528
LEN,0.6323849885253197,0.7952263756474125,0.7032004587205006,0.6790355302550716
WELL,0.12410211267840325,0.3522812976562952,0.309264443220507,0.2927553556893667
WAT,0.22030969778474507,0.4693715988262872,0.38646173032250764,0.38891674878910215
AMCR,1.1290059691739747,1.0625469256338633,0.9187538579159997,0.9455527055830206
FIS,0.24763461949180615,0.49762899784056613,0.43944601255911964,0.4116295246896112
NVR,0.7075282758620279,0.8411470001504064,0.7219458283672175,0.640522245654467
WM,0.0677477680126715,0.2602840141320083,0.24488534291290626,0.2401957821202689
XYL,0.06521770874133509,0.25537758073357786,0.20392045696576375,0.19097611661676897
STE,0.43386513628368684,0.6586843980873441,0.5897123956731614,0.5064888730123851
LYV,0.11753024153252804,0.3428268389909519,0.29451824523275966,0.248179854584299
LOW,0.057962729966948554,0.2407545014469066,0.22226853509278485,0.2248918008973553
BR,0.004181678831537497,0.06466590161389152,0.05219030264649591,0.05234165444052416
EFX,0.11812735484800961,0.34369660290437787,0.30555630519840027,0.2809194694192307
NOV,0.03082447246455415,0.17556899630787365,0.1304028386548597,0.1378585014487001
CE,0.08289161001358625,0.28790903079546887,0.24716010483237794,0.23458370792793645
DVN,0.06975925189589752,0.2641197680899662,0.18291547272491734,0.1897238268885242
XOM,0.5677165487736002,0.7534696734266086,0.651110732892087,0.6726001548193951
ADM,0.1795571813439566,0.4237418805640488,0.3913012265044144,0.35923327327857896
PVH,0.5931657890811859,0.7701725709743148,0.6735579927280123,0.7619757653087729
CTAS,0.22566307068129957,0.4750400727110288,0.4328439108573655,0.38416437849352614
ULTA,0.8096217501041479,0.8997898366308368,0.7598619421685333,0.9313377728623753
FTI,0.19496352212800386,0.4415467383278964,0.3458407514367588,0.38388394918340313
NWS,0.1617720799420589,0.4022090003245314,0.34860319238436477,0.3961366026459418
SCHW,0.24256529916093608,0.49250918687973333,0.42181012668683476,0.39041809773912345
IFF,0.16091916146219032,0.4011473064376605,0.32023497445857235,0.285305867097735
PHM,0.8679051169675592,0.9316142533085028,0.8172511913744622,0.8508652664419342
CPRT,0.061574352935834575,0.2481418000576174,0.22033801042181667,0.2342455575163563
KMB,0.0018638400676716288,0.04317221406960302,0.031705130836660496,0.029804884350726573
MCO,0.9005327477500606,0.9489640392291273,0.823907890362133,0.7031001204071529
TTWO,0.009950825389288796,0.09975382393316456,0.07948466273267192,0.06256280969113741
APD,0.5645361430719682,0.7513562025244539,0.6545212980076788,0.5586101941984877
ZION,0.28057507821557054,0.5296933813212796,0.448018254595445,0.4651926281325754
TJX,0.18234287356897552,0.4270162450879071,0.3885535404112222,0.41554919899912574
GM,0.05373501023062664,0.2318081323651667,0.21789161242916547,0.26384458524578175
KR,0.158048351363341,0.3975529541625128,0.3352366940010641,0.27337890115277685
CMA,0.44764567888368817,0.6690632846627351,0.5734168233346443,0.5661097086501257
KMI,0.7753699546393811,0.880550938128727,0.7940392003528923,0.7518856541067734
NTAP,0.05525967746330695,0.23507377025799145,0.2130444053696266,0.2297484099705521
SRE,0.0787084776216068,0.2805503121039198,0.24397429356645367,0.21100799107315493
FDX,0.13411252343209062,0.36621376739834705,0.3403391232860608,0.31983556052987305
BXP,0.15166732711666672,0.38944489612352956,0.3198031634857575,0.2731519626195763
GS,0.03454500334002983,0.18586286164812438,0.1764343164362592,0.17918743722622116
UNP,0.07099809674475921,0.26645468047073073,0.22146310358607857,0.17220439886518457
AMT,0.02761351080407296,0.16617313502510855,0.1479238148927269,0.1273013688055152
HCA,0.2566355896473073,0.5065921334242245,0.41925374461171716,0.3136537720724124
IP,0.23887912168854233,0.4887526180886833,0.4345217729738296,0.4215763177420337
PNW,0.022861443471760754,0.1512000114806899,0.11719283888301235,0.11039856225360431
HPQ,0.005010032774705131,0.0707815849971243,0.05528006357425629,0.043644070991320234
