,mse,rmse,mae,mape
AAPL,0.01596834838960783,0.12636593049397385,0.10634619865913891,0.09028936603400642
NRG,0.03248484527627008,0.18023552723109304,0.1380122447748518,0.1377425315513464
LVS,0.20680085256317593,0.4547536174272569,0.37289712125888175,0.45267465682802416
BWA,0.1460465763110745,0.38216040651940186,0.3027935782541547,0.29316917804533
MCO,0.5359984248836366,0.7321191329856341,0.6481774235368059,0.5609689952478337
PVH,0.32180276270309505,0.5672766192106766,0.5095873097929408,0.5761963085292361
SPGI,0.757752074942971,0.8704895605020034,0.7647635975708912,0.7158296823346558
XYL,0.018401210266692464,0.13565106069136526,0.10780828764262448,0.1023749524030142
DGX,0.0022934866519418416,0.047890360741404334,0.040650014387626235,0.043888761120203776
NFLX,0.12386718256798969,0.3519476986257897,0.28219325286042374,0.28461908609557623
TMUS,9.303190647553622,3.0501132188090367,2.6513777167517314,3.0009670567445825
META,1.0403846227414086,1.0199924621002885,0.8821050925127331,0.717313717285096
KLAC,0.24559938640027174,0.49557984866242466,0.4332224320514381,0.40024782596170055
BKNG,0.013853256540260957,0.11769985785998621,0.10541696398798164,0.10351290149931178
ECL,0.03335349132522334,0.18262938242578422,0.15677097075569751,0.15452186220875735
CHTR,0.004845017522247701,0.06960616008836934,0.052748364093679355,0.05325907659399402
DVA,0.22603768360163762,0.47543420533406894,0.40715782453051264,0.3536368498132879
WYNN,0.6315266016395998,0.7946864800911111,0.6402148826300754,0.6777996084454732
AIG,0.07745897604315805,0.278314527186703,0.24592976224384847,0.2422471348061001
ORCL,2.224657478279187,1.49152857105695,1.294211190904887,1.21615397433757
TPR,0.07631009477986765,0.2762428185127491,0.252741408484981,0.38784358268619434
MMM,0.8470922598751212,0.9203761512963714,0.8173113523719833,0.7842883496185473
GLW,0.04143089335435791,0.20354580161319444,0.14535948492184667,0.1283456999223458
MRK,0.022356845422552365,0.14952205664233076,0.1138943093466573,0.0980620909813229
AEE,0.02254330972590944,0.15014429634824442,0.12185986479881074,0.11185064405036704
DD,0.26088586291257543,0.5107698727534499,0.4237439160573018,0.38261315814003777
HST,0.45699459953949184,0.6760137569158573,0.5892661096964963,0.5181442108321617
