,mse,rmse,mae,mape
AWK,0.018127727870469533,0.13463925085378903,0.119133254458787,0.10338424565539167
IBM,0.3820599697626865,0.6181099981093062,0.5270688575492833,0.5490684083340369
SEE,0.34947347423090064,0.5911628153316991,0.535392171400814,0.516709273539843
UPS,0.11715505618548146,0.3422792079362716,0.3169936006242644,0.3230903966305645
FCX,1.0382391315909876,1.0189402002036172,0.888308989680886,1.0614612985126017
J,0.7832217969527226,0.8849981903669197,0.7583514793341966,0.9627557446753459
BLK,0.3693578355087952,0.607748167836642,0.5482944761361581,0.5307766670029898
WELL,0.27591185113975775,0.5252731205189903,0.4610686547486901,0.43662530503294666
MSI,0.14999895601616425,0.38729698684106006,0.34356951990241935,0.35854418316774167
CBOE,0.019577773575471174,0.1399205973953484,0.12114510362618909,0.12116778626271323
LMT,0.32566699782580244,0.5706724085022882,0.4976990027303977,0.41653718563673464
ROL,0.1775097234861641,0.42131902815581934,0.37777195200253877,0.3738150887446929
CB,0.02929983792977118,0.17117195427338902,0.1635170209972272,0.15874416373450526
SYK,0.06549326182350217,0.2559165133857176,0.21844913955065837,0.19276764236160115
UHS,0.37547768706964935,0.6127623414258169,0.5140657457982528,0.4201146948308661
LYV,0.2418769483882207,0.4918098701614484,0.4173678065952852,0.3491625897775421
DXCM,0.021803696744582903,0.14766074882846458,0.12572033049874679,0.11230897303263344
XEL,0.014967532729224839,0.12234186825949994,0.1058086254986382,0.09272205794344719
K,0.037424065599712134,0.19345300617905148,0.17014475649662983,0.16368730989603236
CBRE,0.09765563083733901,0.31249900933817215,0.2726757220029507,0.2352470704108556
CNC,0.34297799032217513,0.5856432278462503,0.4907676810557521,0.39932776903885253
VZ,0.001989947530073742,0.04460882793880312,0.035418207750135926,0.036812995244248345
YUM,0.020360080514991996,0.14268875398920547,0.11727005318239242,0.12380179628674
CRM,0.1354378451873652,0.36801881091510147,0.31778049439599965,0.3214615003137026
TROW,0.40766944200258076,0.638489970166001,0.5667007063579041,0.5775493404526869
IVZ,0.050138637231734784,0.22391658543246587,0.20808573870340827,0.19794573875816587
WU,0.07216379930801572,0.2686332058923761,0.24814967699433801,0.2784458725578773
LIN,0.16709123287191546,0.4087679450151583,0.35533458943990004,0.3539224613802693
WEC,0.012403738252293156,0.11137207124002478,0.0941681385841887,0.08237835890914336
ESS,0.667848402407472,0.8172199229139436,0.7285689302814088,0.6208980810843134
VLO,0.14428476856200276,0.3798483494264557,0.3051421533083242,0.30059325213530114
ADSK,0.3393889528041505,0.582570985206224,0.5111137982882981,0.46719781273863664
COST,0.025875309666100917,0.16085804196900108,0.11375272355141902,0.10871805565893462
VTRS,0.03754177826949042,0.19375700831064258,0.17324662143224853,0.14881125564949055
TSLA,0.31058203016012254,0.5572988696921272,0.4474982626883752,0.36255990726595977
ROP,0.4417419299668098,0.6646366902051148,0.5912268948998987,0.5559440791035051
ADBE,0.1299568451492279,0.36049527756855276,0.3054731554051159,0.2664377622171014
ODFL,0.04776842652393396,0.21855989230399517,0.20069746308402917,0.16215640737764508
REGN,0.2978863280463257,0.545789637173816,0.4655718364110225,0.4144593546660072
STT,0.08654132290542893,0.2941790660557425,0.27430633529591764,0.28282391233595744
NOV,0.06809250492924568,0.2609454060320773,0.2194258664636916,0.21567420670186346
CMS,0.0012360867137267265,0.03515802488375487,0.026878092439461047,0.02364749306987059
AON,0.0037800119748278203,0.06148180198097499,0.048864849304106575,0.04799694835506003
GE,0.2851276143470677,0.5339734210118212,0.47984924207782637,0.5078594749693649
ECL,0.0015545678133658963,0.039428007981204126,0.03018257795546655,0.029973401310034193
APA,0.026628832851203252,0.16318343313952938,0.12363146298700516,0.12603142835248352
IPG,0.02914583468038419,0.17072151206097078,0.15046837429535276,0.14172945795036737
BA,0.05371285971540989,0.23176034974820411,0.21138746930960692,0.22885185977768804
CSCO,0.1283267127833296,0.35822718040836826,0.3134899579479341,0.29299458584826027
NWS,0.06595533202153879,0.2568177019240278,0.22316217650995424,0.2541226711816954
CDNS,0.007537139133411568,0.08681669847104051,0.06885458815348332,0.05936517835234691
TFC,0.4075441491769143,0.6383918461077916,0.551256172711348,0.5338096012668874
D,0.0015092171195088555,0.03884864372804867,0.031915398471070534,0.02971645167219495
IDXX,0.012677555167786738,0.11259464981866028,0.08394584747625687,0.07298601604343953
KEY,0.11819298906412934,0.3437920724276948,0.29876522686225576,0.2952523139067255
COF,0.1934897121729458,0.43987465506999357,0.39215968052156186,0.3705403158108532
DPZ,0.0224625746541227,0.1498751969277195,0.10339993859129713,0.08496468975122308
EFX,0.03465341824196217,0.18615428612299575,0.16726819512795715,0.15457113352635996
PCAR,0.2021010179847666,0.4495564680713276,0.3803167044812662,0.3512297808332167
CMCSA,0.29718512836962,0.5451468869668248,0.47964389507292676,0.45827451827625915
HAS,0.26432554314229667,0.5141259992864557,0.4556531882539498,0.45120820289422814
BKR,0.03528020966371477,0.18783026823096102,0.13237648459324522,0.1293946739924867
PLD,0.0021382337037531844,0.04624103917250546,0.04200464630046027,0.04098794880586253
EXR,0.014862472889564833,0.12191174221363926,0.11223289967786018,0.09920522135346116
LNC,0.006474960724543624,0.08046714065097395,0.0686475059226533,0.07035696291732338
XRAY,0.016129792149896294,0.12700311866208755,0.11858777670749339,0.12330476538729332
SBAC,0.00335435747780303,0.057916815155902954,0.04743840408240909,0.04133268596255805
KMI,1.0512031476191308,1.0252819844409298,0.9205482890300788,0.8700847226375534
KMX,1.5327452595413555,1.238040895746726,1.0531151145975466,1.0707477277771045
AXP,0.3848790028721949,0.6203861723734619,0.5417646481066258,0.5397815181670723
PPL,0.004269323378090045,0.06534005952009873,0.058509297978780725,0.0512602007399892
