,mse,rmse,mae,mape
AWK,0.04616192566770824,0.2148532654341289,0.18696344848528493,0.1614979027133559
IBM,0.49331794682443914,0.702365963600486,0.5981519996561228,0.6226691698959141
SEE,0.4626923989520576,0.6802149652514693,0.61059362212761,0.5882495615829939
UPS,0.18316587787221572,0.4279788287663488,0.3900207797925746,0.39691702072940294
FCX,1.1713260789492463,1.08227818926062,0.9406498915140262,1.1231958019068293
J,1.0870850979974709,1.0426337314692398,0.8930025873423516,1.1336074797983948
BLK,0.4821202573626611,0.6943488009370082,0.6213804998654934,0.6007570647081109
WELL,0.2123941817150056,0.4608624325273276,0.40561110766194075,0.3842488166536866
MSI,0.22428757721690237,0.47359009408654484,0.4162605124426749,0.4345373869636333
CBOE,0.04284893195506856,0.20699983564019697,0.18148660008792458,0.17834665937760913
LMT,0.43195047360046523,0.6572293919176662,0.5701855204095513,0.47660325975826234
ROL,0.25494168629649855,0.5049175044465171,0.44807195465322036,0.4431474596634168
CB,0.06498320276508304,0.2549180314632197,0.23612218503422105,0.2278192367042281
SYK,0.10648720597994894,0.32632377476970464,0.2766712266396001,0.24382652991416992
UHS,0.284549529908261,0.5334318418582275,0.44577388963611675,0.363632255857902
LYV,0.337530713733015,0.5809739355022866,0.4919487812495303,0.411129737794043
DXCM,0.029710338785551803,0.17236687264538916,0.14709671033131785,0.13371440359599815
XEL,0.003930676823467265,0.06269511004430302,0.050967665673030065,0.04461353200496487
K,0.015249137736114653,0.12348739909850985,0.10844173718281322,0.10396187910665314
CBRE,0.14149562195473095,0.37615903811384216,0.32544623809618806,0.28006712410797624
CNC,0.18375165037479987,0.42866263001899274,0.35311201669228337,0.28536313003886327
VZ,0.014511704771759806,0.12046453740317026,0.10756593680484448,0.1094580512134025
YUM,0.05133406373132361,0.22657021810318234,0.18953103161843196,0.19915886054442122
CRM,0.2077278585113783,0.45577171754221246,0.3890914247848726,0.39297854474531707
TROW,0.5242480887899332,0.72404978336433,0.638325110865205,0.6506598463608257
IVZ,0.08588865601311711,0.2930676645642045,0.26804084155737645,0.2535165561562052
WU,0.08436741034134133,0.2904606863954937,0.2654750829817714,0.29746694137348256
LIN,0.2510589250244743,0.5010578060707909,0.4331837327183433,0.4314675290438077
WEC,0.0030280085071458405,0.055027343268104816,0.04426962035374377,0.0393127776507893
ESS,0.5877866450041275,0.7666724496185626,0.6853335589636212,0.5843709060441988
VLO,0.21879804254241828,0.46775853016531754,0.3791149042955885,0.3729877934471067
ADSK,0.42745739349248885,0.6538022587086166,0.5705310167992039,0.5207234943488819
COST,0.007810199242564541,0.0883753316404784,0.061106359854625605,0.05859187668572254
VTRS,0.01162425025334703,0.10781581634132828,0.08769481404198774,0.07479788521189362
TSLA,0.3527733947822132,0.5939472996674142,0.47608971039861236,0.38441939364550415
ROP,0.5850939103188925,0.7649143156712995,0.6759407758145819,0.6349493091798367
ADBE,0.20826102766819696,0.4563562508262563,0.386221574116011,0.3360547914157374
ODFL,0.07589012321028,0.27548162045820773,0.2488621654220145,0.19935413273920513
REGN,0.19861790022840092,0.44566568213000307,0.37817507049056626,0.3357608157032787
STT,0.12752679054445035,0.3571089337225412,0.3290315453798392,0.33792427828446886
NOV,0.04170927825017512,0.20422849519637343,0.16973373075634157,0.16571982752636616
CMS,0.0060104505965129906,0.0775270958859739,0.060930476195223474,0.054487223413736005
AON,0.015765192938938764,0.12555951950743824,0.10732445909908478,0.10330090259548765
GE,0.387010422291217,0.6221016173353169,0.5542750957478704,0.5866264353062686
ECL,0.00932808567515852,0.09658201527799323,0.0800752118709229,0.07875707195090878
APA,0.015109737118613825,0.12292167066312525,0.10068281068710008,0.11344345219250768
IPG,0.06004217371360729,0.24503504588855712,0.21468853239448335,0.20064526403207353
BA,0.09901326353883569,0.3146637308919407,0.2821789605884013,0.3053215442945631
CSCO,0.16487991236883137,0.4060540756707552,0.35220744907761353,0.3287868978110823
NWS,0.09524592110193342,0.3086193790122931,0.2668063795774658,0.3036652365335561
CDNS,0.024989764788521704,0.15808151311434776,0.12929033317191257,0.10991516330701323
TFC,0.5239482525275043,0.7238426987457318,0.6225231446891185,0.6028826791267735
D,0.004478254559912158,0.0669197621029256,0.05538901910282099,0.05194945355934215
IDXX,0.04140164195458241,0.20347393433701136,0.15960755175950306,0.1360878628951782
KEY,0.1716457159970821,0.414301479597988,0.35755628981906473,0.35326294557344445
COF,0.29460181724007545,0.5427723438423107,0.479733588996954,0.4525569471667906
DPZ,0.007916498857047432,0.0889747090866131,0.07409977790922678,0.06852279129609401
EFX,0.06860588558098822,0.26192725245951065,0.23224495021132344,0.21364742026813366
PCAR,0.26492041044430664,0.514704197033895,0.43359817862401134,0.40048317524902954
CMCSA,0.4043233825486564,0.6358642799754177,0.5561460521239855,0.5309250581629344
HAS,0.3819287556840162,0.6180038476288122,0.5437503191990889,0.5380745148182431
BKR,0.057639365403420524,0.24008199724973242,0.15955241295382164,0.15754536418766282
PLD,0.002919946387349755,0.05403652826884565,0.04279785596232941,0.042374586988671775
EXR,0.003246445264025846,0.05697758562826128,0.051451850623806965,0.04657723533760733
LNC,0.018599639352488033,0.13638049476552003,0.1254990195553124,0.1255375364265896
XRAY,0.037757494939418,0.19431287898494531,0.18047273596449917,0.18567962311806685
SBAC,0.002504596232478198,0.05004594121882611,0.038409029076052446,0.03461997394526006
KMI,1.2104853559211044,1.1002205942087724,0.9829261147127354,0.9275681400521971
KMX,1.3187525731798284,1.1483695281484216,0.9743921064414621,0.9900868576998624
AXP,0.34534808619665075,0.5876632421690595,0.5095855907704022,0.5079259239860461
PPL,0.0016024241081777468,0.04003028988375861,0.034301939139126075,0.03048657848795195
WBA,0.009647047529477863,0.09821938469303228,0.0889881743053128,0.07987082555712005
CDW,0.01727355713729953,0.13142890525793605,0.11372294244646633,0.08565894553905112
CHTR,0.004893397461055206,0.06995282310997324,0.05308556277903885,0.05359147317234671
CAT,0.3269888394030652,0.5718293796256583,0.4718190011913273,0.41965613415359426
ACN,1.4494915815124514,1.2039483300841658,1.0533362661779926,1.0513030912984318
ABBV,0.010444704700851312,0.10219933806464361,0.06948144642140715,0.06135310006153166
AAP,0.15184595181238908,0.38967416107870056,0.3327724874787493,0.27185489572250626
F,0.9160003869679848,0.9570790912813761,0.8435934375817045,0.9259366194109908
ROK,0.6321605133066914,0.7950852239267759,0.678973185722069,0.6911061850935655
MMC,0.011796246381852678,0.10861052610982362,0.09992981450362058,0.09247710617331409
BIO,0.14424357772581742,0.3797941254493247,0.3212574385394588,0.3394062165970544
OMC,0.4130562261177969,0.6426945045025645,0.5636325157712457,0.5748119793274433
XYL,0.013980196186019356,0.11823787965799859,0.09291219256706662,0.08751369108736741
TEL,0.04972801074449091,0.2229977819272894,0.17617229665077516,0.15885103505134154
WAT,0.08717460219969907,0.29525345417064824,0.24465976906473255,0.24687333910201673
XRX,0.2448986132159248,0.49487232011492094,0.4507507115999179,0.42736370981066885
