,mse,rmse,mae,mape
ULTA,3.784341697712347,1.9453384532549463,1.6771298922373816,2.0746035802168867
LHX,0.46955698970194,0.6852422854012586,0.5895822685249281,0.5778005020643331
EMN,0.5781570121368483,0.7603663670473914,0.6339998210676906,0.6308380330290791
LNT,0.05883024726875722,0.24254947385792702,0.2085120139148332,0.18245383883026706
PEP,0.003729884773699537,0.06107278259339046,0.0502873782242517,0.04644487759246674
HON,0.4814643166558197,0.6938762978051777,0.5934534485267068,0.564376002200559
AJG,0.0007418162066477706,0.02723630310170179,0.022887374331089907,0.023459694696522936
JBHT,0.00917170881722801,0.09576903892818393,0.07536892153200407,0.07488121104653982
SO,0.0025295987952589295,0.0502951170120811,0.03893026388669816,0.035784628174413725
C,0.3805234421436826,0.6168658218313627,0.5393625083834883,0.5636488047741997
AFL,0.1025419610384688,0.32022173729849884,0.28104413402856815,0.30765816935785295
CB,0.03314149701225946,0.18204806236886859,0.1738725464173117,0.16877382414214792
GPC,0.0245301787813386,0.15662113133718134,0.1344021298040047,0.12378270908408463
MCD,0.035970119467229146,0.1896579011463249,0.1625002687754105,0.16392532892608375
MTB,0.08825774265465773,0.29708204700832685,0.24932159967823342,0.23455671137699122
LIN,0.28766756058791204,0.5363464930321742,0.46223621840929774,0.4604258594013599
CRM,0.06636846940607703,0.2576207860520518,0.2283210677329829,0.2318576313807571
ETR,0.004580591463010628,0.06768006695483264,0.05608473898996051,0.046040884998835144
KMB,0.09802961098157455,0.3130968076834616,0.26413588895161494,0.25187319173244965
WMB,0.19660235642222412,0.443398642783471,0.3604699944127646,0.2787238958137904
AME,0.5691286530693249,0.7544061592201676,0.664772185186013,0.6765332929876637
AAPL,0.3047092946836036,0.5520047958882274,0.4396408026344263,0.3482958891725968
BEN,0.2489889176621122,0.4989878933021444,0.4547055022872514,0.4721794903470387
VRSK,0.04777302408058501,0.21857040989252183,0.1988657471235044,0.22104393799383404
L,0.24783660684859776,0.49783190621795,0.4389054756276179,0.5029256194898509
NWS,0.07283739232222669,0.2698840349524712,0.234448379675617,0.266864982535184
ADI,0.15988146507166925,0.39985180388697666,0.34940326803351857,0.3424448450045261
GOOG,0.014872679218755526,0.12195359452986831,0.10268252993479471,0.10213417320826344
CCL,1.152401170603852,1.0734994972536558,0.9632118205746092,0.9683280646004151
EFX,0.009776140321012074,0.0988743663494845,0.08802808070558961,0.08286164277269224
DD,4.259901958971994,2.0639529934017378,1.657934134610873,1.4593753441649315
BK,0.18262610854132488,0.42734776066024366,0.38948656978030033,0.3589600626140744
LLY,0.018281073071387176,0.13520751854607485,0.12029060452400792,0.09505983561815438
MAR,0.036610366039979296,0.19133835485855755,0.17556709886173935,0.13220120791086248
HBI,0.36694082822444346,0.60575640997388,0.4967293817611266,0.3428746084581524
HES,0.2557850281293239,0.5057519432778523,0.4165714417440825,0.41366387230212126
COP,0.008904150374733681,0.09436180569877667,0.07861572201537127,0.07487561526919852
APTV,0.12112295120342732,0.3480272276754038,0.2672449420357394,0.23353821723391832
RJF,0.38424927195585223,0.6198784332075542,0.5500988050558209,0.5372792744291899
ILMN,0.08242839333328635,0.2871034540601808,0.2523520376100304,0.1650234168333636
MDLZ,0.008403000929108721,0.09166788384766347,0.07614253204797865,0.07252564744071502
VLO,0.16279636936869724,0.4034803209187497,0.3252504295342724,0.32029488326829936
IPGP,13.308712259036072,3.6481107794358536,2.784338505314136,3.1398455707071165
AEE,0.022625563099043497,0.15041796135782287,0.12194081707258622,0.10808486483733787
MO,0.09405404547893474,0.3066823201277419,0.29006669137297775,0.25333438363902205
NVDA,0.10303776180327225,0.32099495604023476,0.2396756900670038,0.2007574565830231
UAA,0.03002409124798381,0.17327461224306293,0.1458868077165753,0.10722030468666706
GS,0.3352323263536374,0.578992509756074,0.5255209805147641,0.5238958708277209
MMM,1.166388296494959,1.0799945816970375,0.9550881990654347,0.9016403528980419
RHI,0.5450559259588544,0.738279029878849,0.6508026568066718,0.5471219844111015
APH,0.6755647765095073,0.8219274764293425,0.6797053762518023,0.6029862376391375
PM,0.007127001381057666,0.08442156940650693,0.07214857324116705,0.0754723469851484
ZBH,0.14786060109885088,0.38452646345713437,0.3240813852751658,0.2905875183220125
WST,0.05851897626096273,0.241906957859758,0.21988014649823276,0.24714301584084364
CDNS,0.9832252192416495,0.9915771373129019,0.7754971085065118,0.6492847238697627
CI,0.28901475550250993,0.537600925875793,0.4620359202369451,0.43941023154137254
TJX,0.06183343156648025,0.24866328954327024,0.23138279129388375,0.2503642125846148
MKTX,0.8352688669472605,0.9139304497319588,0.7875672999425823,0.918213516697299
SPG,0.0005932738924026515,0.024357214381013514,0.019078543195134794,0.01700069369689994
AMCR,1.2240118853191118,1.1063507062948492,0.9569133939927107,0.9848941701472852
OKE,0.02478063759658496,0.15741866978406646,0.09540251359055704,0.0913192043924882
YUM,0.02233863110576099,0.14946113577034328,0.12492875694671346,0.1316774141637315
DOV,0.44317014278638844,0.6657102543797778,0.5745028411296362,0.5640088051404204
AEP,0.0595825678110463,0.24409540718957884,0.20903443442410188,0.17953150704902351
EXPD,0.03373837446409049,0.18368008728245555,0.15153636713117305,0.16249284234520986
LUMN,0.04738421267679629,0.21767915076275976,0.18772455493857237,0.16077258716780643
WU,0.1345462492153439,0.36680546508380146,0.3265257210334658,0.3646338867147632
ZION,0.16793327918875084,0.40979663150000495,0.33728328800995044,0.3508930379219159
DVN,0.033678670871127636,0.18351749472768975,0.12101551822735183,0.12651791258562534
MAA,0.2654020280624367,0.5151718432352808,0.46010351144097283,0.42107033109703523
NEM,0.23850722345713596,0.48837201338440345,0.4359605639591204,0.5291922115647977
VRTX,0.12175856466078223,0.3489391990888703,0.310648936330758,0.27507389916891767
TGT,0.021956302519031887,0.14817659234518754,0.10186318232854101,0.1010535457763039
DAL,1.179784866540628,1.0861790214051403,0.9650252647480104,0.7139523470363806
BBY,0.06699618132839323,0.25883620559804466,0.22364441659183354,0.3207260964218821
KIM,0.3209649509129858,0.5665376871073855,0.49686946009397337,0.4445956343097735
SPGI,0.3461180185580481,0.5883179570249816,0.5227404853556127,0.48599663878553656
ALK,0.6489044826264636,0.8055460772832698,0.7127225286122523,0.5628320066662131
NTAP,0.0068783683511754795,0.08293592919341701,0.06957902680494649,0.07788709360674799
BA,0.00502366080526962,0.07087778781303505,0.05761759942511199,0.06262885572253073
AIZ,0.49977919757276423,0.7069506330520995,0.5875644823897082,0.5841679548347047
EXR,0.009156396656222025,0.09568906236462987,0.08755181577008227,0.07755040421240693
NOC,0.0780786281861448,0.2794255324521093,0.2542548723058375,0.22642880134729998
EXC,0.06369152433315461,0.2523717978165441,0.22539886138002546,0.19003700375310917
MRO,0.09455395433074228,0.3074962671818022,0.2643805694030821,0.27283848166229224
TER,0.025931964074903995,0.161034046322211,0.1377886780823321,0.12841218271311233
CL,0.0010100223470468194,0.031780848746482834,0.025994065976158165,0.02569901669686319
IT,0.9948319123018515,0.9974126088544557,0.8670004904277612,0.8170073125455838
CDW,0.04620373064559149,0.2149505306939052,0.19065669168431998,0.14256225372376832
MA,1.0653138860254627,1.0321404390999622,0.9045144309091309,0.9669436842085127
DGX,1.324596449007309,1.1509111386233557,1.0004234710263027,1.0204576586715697
PNC,0.006587392302667016,0.08116275194118923,0.06710989918498506,0.06027874069190222
BKR,0.0657314360030744,0.25638142679038667,0.2289029333447312,0.20178620640715897
HBAN,0.17502611175657942,0.41836122162143496,0.3751617989694132,0.36865267606666224
CE,0.25271179250618175,0.5027044783032888,0.4305170287927087,0.4104289056962811
TRV,0.05937859334769853,0.2436772319025693,0.2325069271710831,0.2227632332243434
AMD,1.7694805854749054,1.330218247309405,1.0454325411228536,1.3409293574266825
CF,0.040269324149528614,0.20067218080623087,0.16253712608504542,0.1470199254765501
CINF,0.1545092467279398,0.3930766423077563,0.3591663968658915,0.3829865877253679
PH,0.34662238311313703,0.5887464506161689,0.5391010320947179,0.5684815453632992
ESS,0.7887671020856661,0.8881256116595592,0.7896224484235971,0.6725829422872897
ICE,1.0482756499939505,1.0238533342202634,0.8777856639965017,0.9725090471164093
ABT,0.7254815330149574,0.85175203728254,0.7214116301669442,0.6471980205114833
MPC,0.33087145128741413,0.5752142655458174,0.49158455584108357,0.5073518951975006
SYK,0.07185262066749358,0.26805339144934087,0.22936368123059866,0.20245976577517394
ROST,0.13356197724654922,0.3654613211361077,0.339078094167395,0.37396195348716704
MGM,3.061550840627025,1.7497287905921377,1.4477473763740896,1.46581791434091
FLS,0.31990240248052887,0.5655991535359021,0.49460821141799616,0.5591559964275766
ADP,0.26931005857292395,0.5189509211601073,0.47068754907091404,0.4484691399022022
DUK,0.044718269239456016,0.211466945973729,0.17071551704037913,0.15613962786640231
FTI,1.9350894741672762,1.3910749347778775,1.0887258437547687,1.200074705824912
GM,0.06453617129783283,0.25403970417600635,0.24105734452435745,0.29101556039571924
CSX,0.00821734073179931,0.09064954898839436,0.08151329496859357,0.07740939438291154
LOW,0.03560464689614439,0.18869193648946525,0.17102833107223567,0.17635860030805783
ACN,2.269115187390927,1.506358253335151,1.2932778555767663,1.2904406654461984
PLD,0.02406574210117364,0.15513137046121148,0.1400315918082926,0.13571781866350355
NEE,0.0030695875327643872,0.055403858464590595,0.049349799650911276,0.04367895660391597
CBRE,0.026757727429208115,0.16357789407254306,0.1468702299666761,0.12860403147556884
MHK,0.12429357378673082,0.3525529375664466,0.3221263929272036,0.3436998666696791
HII,7.158648057102788,2.6755649977346443,2.1157851507535983,1.8646533276233612
SLB,0.03543130354175367,0.18823204706360092,0.12743055824873145,0.1267562493350624
TROW,1.038845740548284,1.0192378233505093,0.8767358966770518,0.8940124735152627
UNP,0.030668013884603117,0.1751228536902112,0.13661260227289665,0.10568685947531975
