,mse,rmse,mae,mape
AWK,0.022069862948278535,0.1485592910197088,0.132425767514462,0.11496556287542177
IBM,0.3796570732391939,0.6161631871827413,0.526850211817874,0.5485963216907622
SEE,0.3084295043680809,0.5553642987878146,0.5044594914350023,0.48742064917635697
UPS,0.11800158250256995,0.34351358416017547,0.31878248670416276,0.3250125892395356
FCX,0.9455968624609745,0.9724180492262443,0.8488470191810162,1.0141907540834554
J,0.9445028935090243,0.9718553871379344,0.8360622954514954,1.060193543396399
BLK,0.34401316968785156,0.5865263589028643,0.5303769829701186,0.5137351332811957
WELL,0.310685751338458,0.5573919189748431,0.48878588780165816,0.4628075706483922
MSI,0.1509884725253644,0.38857235172534393,0.34565392673629197,0.3607003769135373
CBOE,0.020037701321057023,0.14155458777820315,0.12181325943201281,0.12206221029982978
LMT,0.3157548045353113,0.5619206390010171,0.4911055539708406,0.4112602227742589
ROL,0.17607794014094136,0.41961642024704104,0.3771317919508196,0.3732979784843571
CB,0.04554643020833787,0.2134160964134099,0.2020542236903383,0.19565853193564425
SYK,0.06526233592493615,0.2554649406962453,0.2190637565809769,0.19344699672012183
UHS,0.35909832682296855,0.5992481346011588,0.5014685243448991,0.4094585486584933
LYV,0.26453793782508694,0.5143325167876196,0.4385283948608235,0.36698441265611154
DXCM,0.02186787262161242,0.14787789767782208,0.12568313842512494,0.11170738040752799
XEL,0.012919598973054728,0.11366441383764193,0.09700937196837804,0.08486086698001247
K,0.03464102285732351,0.1861209898354388,0.1632565710765512,0.15704561564270966
CBRE,0.10865874271336588,0.32963425597678087,0.2891801377134725,0.24947080934372526
CNC,0.24594078158035057,0.4959241691835059,0.41036307658457083,0.33221468138904536
VZ,0.001843175873996747,0.04293222419112184,0.033907445912087844,0.035304804053254604
YUM,0.02322214869974146,0.15238815144144724,0.12735862978936122,0.1342243392348648
CRM,0.12635703386006872,0.3554673457014986,0.30820605994053063,0.3119428287626644
TROW,0.4236375981439808,0.6508744872431096,0.5786933525552743,0.5897909406229701
