,mse,rmse,mae,mape
ULTA,0.03182800931320435,0.17840406193022723,0.125940994454019,0.1458070639096415
LHX,0.5578549930081277,0.7468969092238418,0.6385381966401216,0.6261839750880487
EMN,0.38189136029458,0.6179735919071138,0.5164562755857159,0.5139398857297901
LNT,0.017780523599595408,0.13334362976758735,0.11459786154836027,0.10016672447648059
PEP,0.0014545906322396317,0.03813909584979214,0.03315653822382347,0.0324881644809282
HON,0.28165521886560824,0.5307119923891,0.46178027941977146,0.43937888983834394
AJG,0.0059550654163482535,0.07716907033487092,0.07058259940120427,0.0719243484456304
JBHT,0.0465175756859412,0.21567933532432168,0.19719203720154244,0.19864620897267163
SO,0.004686079309196876,0.06845494364322328,0.05631564966098017,0.05055313722359969
C,0.07277672821526557,0.2697716223313074,0.25258465227323795,0.267044593335712
AFL,0.04313793677773634,0.20769674233780447,0.18836002240784078,0.20587195471381758
CB,0.07658171190002268,0.2767340092941644,0.2559915104931127,0.24683305599484243
GPC,0.014471078152426813,0.12029579440872741,0.10279823102811825,0.09562178722991235
MCD,0.05305647959088284,0.23033992183484572,0.19723392810913495,0.19886929344441787
MTB,0.020950324504755567,0.14474226924003772,0.12578779746601224,0.11882408306683302
LIN,0.2007895223200406,0.4480954388520827,0.3896846161032982,0.3881048318069681
CRM,0.23820557240970242,0.48806308240810675,0.4174969479125293,0.4218723740057898
ETR,0.0023375840436335236,0.04834856816528824,0.0395666750451528,0.03386534419961082
KMB,0.0009996751987652486,0.03161764062616388,0.026190076667805727,0.025194246850208612
WMB,0.5001431093702468,0.7072079675528598,0.5910475185475502,0.4465880923974451
AME,0.7425973301081801,0.8617408717869776,0.7528097189617694,0.7663903722279538
AAPL,0.07549775272115783,0.2747685439077003,0.21819466077047694,0.1732601224469777
BEN,0.3853473895365272,0.6207635536470607,0.5557704392420952,0.576696962032473
VRSK,0.0033647887785344757,0.05800679941640011,0.04725673195501153,0.053479784004358134
