,mse,rmse,mae,mape
AWK,0.060014829600431974,0.24497924320323952,0.21341258207284092,0.18428386516715223
IBM,0.6148337015759835,0.7841133218967673,0.6699087284845352,0.696909086916349
SEE,0.39213935031547836,0.626210308375292,0.5630560446588888,0.5428901803887555
UPS,0.20319454543390933,0.4507710565618752,0.4100864841416756,0.4171873995304367
FCX,1.2418199222651531,1.114369742170503,0.9688632914200992,1.1565128867430168
J,1.187133729747485,1.089556666606875,0.9342415257902449,1.1855709702990223
BLK,0.5852315903171295,0.7650043073846902,0.6833023429774664,0.6603156039397866
WELL,0.2169653624667497,0.4657954083787749,0.4098861871398995,0.3882883644907054
MSI,0.2080007228919084,0.4560709625616483,0.4008398212419631,0.418481944270028
CBOE,0.0551314371582152,0.2348008457357324,0.2063792760538456,0.20203684424958307
LMT,0.4333241175933708,0.6582735887101736,0.5711060084533411,0.47737324718909085
ROL,0.2536262870723347,0.5036132316295261,0.4468981902942395,0.4419897794728643
CB,0.13707989880549865,0.3702430266804476,0.3378735015929466,0.32488539589824406
SYK,0.12297511177115367,0.3506780742663471,0.2978338217632075,0.2624082242791214
UHS,0.2792858563905671,0.5284750291078729,0.44138806564956856,0.35997305057771267
LYV,0.3675922397069657,0.606293855904021,0.5142651611639263,0.4297373767205585
DXCM,0.03009480870242557,0.1734785540129545,0.14796188646719913,0.13454176340558813
XEL,0.0016859275261014819,0.04106004780929367,0.03210665482769068,0.028287693495009952
K,0.013765755608490601,0.11732755690156768,0.10287007028033891,0.0985859501387043
CBRE,0.21397240135253445,0.46257150944749553,0.4016363727041047,0.3451971259850584
CNC,0.04978478934116827,0.2231250531454688,0.17147061614188963,0.13593531313792742
VZ,0.03687288295707162,0.19202313130732876,0.171167131221807,0.17359457114004628
YUM,0.07498228561463102,0.2738289349477718,0.23152066356336984,0.24280651511633575
CRM,0.2930803470520691,0.5413689564909213,0.4608658122483373,0.4652263394574718
TROW,0.6295642156827033,0.7934508275140327,0.6990689959508318,0.7124750426241019
IVZ,0.08720156681079622,0.295299114138184,0.2700403223701962,0.2553874633691904
WU,0.15237164834294326,0.39034811174507206,0.35386421049948974,0.3955477701822016
LIN,0.24699781136315388,0.49698874369864143,0.42962596308196316,0.4279279106491177
WEC,0.0036776452414222847,0.0606435919238157,0.04867217191096382,0.042869002246573605
ESS,0.5663947550384121,0.7525920242989638,0.6728817114085088,0.5737683961837003
VLO,0.18810119959353455,0.4337063518021549,0.34904916345059944,0.3437627850101962
ADSK,0.42435749378550025,0.6514272743641459,0.5683738842095826,0.5187554237712569
COST,0.005049069269213113,0.07105680311703527,0.05470703290684091,0.053747633076539056
