,mse,rmse,mae,mape
AWK,0.024173738688342314,0.15547906189690724,0.13306990458992246,0.11457456837362856
IBM,0.5971920569992508,0.7727820242469741,0.6612559896290187,0.6879344656535912
SEE,0.43388377948531964,0.658698549782311,0.5915106568977956,0.5699837599724855
UPS,0.1516406757128004,0.3894106774509405,0.35568217463994095,0.3619874192462489
FCX,1.353867110193909,1.1635579530878164,1.0133024462471978,1.2087052258252475
J,1.0549728969778096,1.0271187355791975,0.8779277138723178,1.1149746394837008
BLK,0.4940933341862535,0.7029177293156387,0.6292634522668469,0.6083800764616532
WELL,0.1675845860512044,0.40937096385943694,0.3586259458770125,0.3392140065544752
MSI,0.2321412202125311,0.48181035710384135,0.4238400463028231,0.44264193601012175
CBOE,0.07343481410302276,0.2709885866656062,0.23959275193525356,0.23341220482762695
LMT,0.35708112054026814,0.5975626498872466,0.5158597856447288,0.4310385464427057
ROL,0.30138800251463554,0.5489881624540146,0.4872201230703888,0.48196563827264927
CB,0.15943956321376537,0.3992988394846213,0.363240167591846,0.35000677207687103
SYK,0.14468059315644108,0.3803690223407278,0.3245345440647551,0.2862209908905964
UHS,0.24615935769767838,0.49614449276161315,0.4125369658548251,0.3358765268690135
LYV,0.2754229560628268,0.5248075419263969,0.4423637486714917,0.3696558046936742
DXCM,0.032131615998334494,0.1792529386044605,0.15252459260600318,0.1387945956727386
XEL,0.005466751405842245,0.07393748309106989,0.06270494664142305,0.055008345944870925
K,0.006326702176387426,0.07954056937429746,0.06666430630898612,0.06367851407292852
CBRE,0.09735533984297373,0.31201817229605994,0.2684941192459411,0.2310674215621917
CNC,0.03294726643887941,0.18151381886478893,0.14184081491551417,0.12828314182158398
VZ,0.04581388177751236,0.21404177577639455,0.1907667128261952,0.1935281915653236
YUM,0.10544214178152767,0.32471855780279585,0.27454878014522494,0.28862404131217656
CRM,0.16712888037281892,0.4088139923887377,0.3522487475307855,0.3559926370261867
TROW,0.55630839948581,0.7458608445855098,0.6581128079473038,0.671067929343695
IVZ,0.2614454107380102,0.5113173288066915,0.46161324538619,0.4346169373830026
WU,0.17533635386886112,0.41873184004665936,0.37945598184907936,0.42419722824259076
LIN,0.30072483338510414,0.5483838376403011,0.47547537816176827,0.4737103781104981
WEC,0.0037538889119919185,0.06126898817502961,0.04895469237720958,0.04303851454493328
ESS,0.4938470805878033,0.7027425421787152,0.6284776202750798,0.535820482563068
VLO,0.3171470762678385,0.5631581272323418,0.46266085338762014,0.45460671011498516
ADSK,0.3667305229362677,0.6055827961032807,0.5278735413405302,0.48199264868844754
COST,0.005727255046693838,0.07567863005296699,0.052289575845037246,0.050929609692384664
VTRS,0.010463025563818645,0.10228893177572364,0.07999273951438664,0.0715647167078835
TSLA,0.20600735189746358,0.45388032772688397,0.36393467372162186,0.29564515243702066
ROP,0.5882263244227052,0.7669591412993949,0.6780421436761613,0.6369570639702999
ADBE,0.14683643175606442,0.3831924213186691,0.3225296595980251,0.2808136798784305
ODFL,0.09803823086819298,0.3131105729102628,0.2823861625099853,0.22613746338620772
REGN,0.09099378054331478,0.30165175375474745,0.25037556773664943,0.2208134014015193
STT,0.15539062649243993,0.3941961776735537,0.36257570209384404,0.3717998457176645
NOV,0.008857460906005477,0.09411408452514149,0.0843888810506154,0.0851005809283697
CMS,0.00249683405054872,0.04996833047589963,0.0395399240534174,0.035653086095060786
AON,0.008851635510958536,0.09408313085223374,0.08055640189254877,0.07765046421415481
GE,0.3458122236193052,0.5880580104201499,0.5240091259015298,0.5545341830209343
ECL,0.019660781976558458,0.14021691045148035,0.1200510962334612,0.11755877003454082
APA,0.02273871709764932,0.15079362419429185,0.12233435367463438,0.14786962869219544
IPG,0.27464154917239136,0.52406254318773,0.4607427490673503,0.4290230233670128
BA,0.036062713420998156,0.18990185207363872,0.17419863806301372,0.18823555683023505
CSCO,0.19426052779573091,0.44074996063043603,0.38295197491659716,0.3574915839240888
NWS,0.13544311202210235,0.3680259665052214,0.3196993794887683,0.36352660867128056
CDNS,0.2873394386717899,0.5360405196174911,0.46253528800952104,0.3931726449936723
TFC,0.42824821191284307,0.6544067633458895,0.5602397043405177,0.5424473592211453
D,0.0025475294264219383,0.05047305644026264,0.04485049885796814,0.04230983556472515
IDXX,0.04717534367300866,0.21719885743946413,0.17056627671802113,0.14523616521027038
KEY,0.10180720129284532,0.3190724076018566,0.2736631596119854,0.27031018513855304
COF,0.4279476817260092,0.654177102722198,0.5787232735352481,0.546224385452582
DPZ,0.0060038508699747735,0.07748452019580926,0.06794461171639761,0.06064107068442035
EFX,0.08574846119802718,0.292828381817793,0.2601289797126034,0.23923871708006997
PCAR,0.32340256238219395,0.568684941230374,0.48140339466239224,0.44476265614052535
CMCSA,0.3998396160739546,0.6323287246946437,0.553422747248716,0.528347769813057
HAS,0.45867840278638655,0.6772580031172659,0.596696509693695,0.5904082098282578
BKR,0.07389518970957548,0.27183669676770184,0.1772452587039949,0.1754925052448778
PLD,0.006658605546787603,0.0816002790852311,0.06089009556063809,0.0600050582837101
EXR,0.002712398608770748,0.05208069324395316,0.04596653948311567,0.04177519995925242
LNC,0.056742371696658675,0.23820657357986297,0.2190659509098314,0.21687505666980672
XRAY,0.02626376770990547,0.16206099996577053,0.1505279265478739,0.15538601863327764
SBAC,0.0034281470557880967,0.058550380492257234,0.04871004054247529,0.042796419031814026
KMI,1.1929792359588203,1.0922358884228354,0.974869114129076,0.9199525578615032
KMX,1.4143876232870116,1.1892802963502807,1.0110283074437216,1.0278251155720832
AXP,0.5230688319979122,0.7232349770288438,0.6288432897916921,0.6266548451918602
PPL,0.004203956553428102,0.06483792527084825,0.051314472567646124,0.04522778026508786
WBA,0.01126993572282176,0.10615995347974565,0.09336790047538836,0.08488627571132848
CDW,0.008481529207385275,0.0920952181569992,0.07823499598843003,0.059709593030328315
CHTR,0.07264400082557258,0.26952551052835905,0.23960579924047531,0.22601854508990096
CAT,0.375051186887815,0.6124142281885807,0.5081572268391692,0.45214397264547607
ACN,1.4706367411771297,1.212698124504664,1.0626137021175344,1.060770261612258
ABBV,0.03894644954473198,0.1973485483724975,0.14384514089271958,0.12562416791622022
AAP,0.023337542888447884,0.15276630154732385,0.12845829076645165,0.1045252122012579
F,0.8858621477243896,0.9412025009127365,0.8286357726893073,0.9091168566801867
ROK,0.7132119644217015,0.8445187768319314,0.7228014589553291,0.7357690955070345
MMC,0.01641979878315729,0.12813976269354213,0.1176746031768732,0.10864304975621905
BIO,0.11794074143703437,0.34342501574147793,0.29026115994550633,0.3065954542319859
OMC,0.4393294125467589,0.662819291018871,0.5813782834639,0.5928565281354499
XYL,0.007978560596373092,0.08932278878524277,0.07700806028955472,0.07106318936950726
TEL,0.09899789189340212,0.3146393044319195,0.25713225274707646,0.2317798942670766
WAT,0.14416237393967174,0.3796872053936921,0.31600592303091624,0.31856897964974
XRX,1.4508678196242262,1.204519746465049,1.077358979446258,1.0154003195306815
CSX,0.02495735646743143,0.15797897476383188,0.14799260002558826,0.13571815050153666
NOC,0.21673488471495234,0.4655479402971861,0.40630635832916145,0.35809662608118636
JPM,0.2654118110164734,0.5151813379932093,0.4581758236329457,0.44688109550386695
NDAQ,0.08599072514529234,0.2932417520498954,0.27217472902232054,0.2661643535075508
NEM,0.0858427636826461,0.29298935762693856,0.2668636108063767,0.3187960855920564
MMM,1.0486163138881373,1.0240196843264964,0.9078161175451341,0.8572144269429272
CLX,0.04781771298887739,0.21867261600135804,0.16814359715441307,0.1645698912919605
SLG,0.002310000896417393,0.04806246868833719,0.04022956057459024,0.03556899931716509
COP,0.017496626170954,0.1322748130633871,0.1071219338785222,0.1088803479000864
TJX,0.2031841295789275,0.4507595030378478,0.41059389263089197,0.4386290667649791
TFX,0.10930942994900157,0.3306197664220964,0.29063418908169497,0.2606101160815565
STE,0.2743690660550414,0.5238025067284819,0.47444993881745146,0.4096857343332368
MA,0.5513911163445756,0.7425571468544193,0.6650805854920528,0.7122577690590812
FMC,0.17821928999752557,0.42216026577299476,0.34265978715852685,0.41786438897296896
ADM,0.16997428057257352,0.4122793719949781,0.37383955245603134,0.3413529122552013
AMD,0.7292518074863837,0.8539624157340788,0.7086359827122977,0.9013627796973235
EL,0.15836106079227144,0.3979460526155165,0.359655367087455,0.3662321292115016
EIX,0.005155567842175461,0.07180228298721052,0.061766998894869335,0.052181063036108005
AIZ,0.19454294201472871,0.441070223450562,0.38723263347103015,0.38536722010620245
HCA,0.10152179031987608,0.3186248425968636,0.25875753632375964,0.1922115440555187
ROST,0.10342322845079549,0.32159482031089287,0.2952827653226217,0.32635480858569144
NWL,0.14346537125131162,0.3787682289359967,0.34714509012388134,0.33981063414800805
SRE,0.06629300882730924,0.25747428770133385,0.22148874037724242,0.19133252122428343
PNC,0.10873169006319042,0.32974488633364796,0.2732991623030281,0.24455325421614604
REG,0.13364996574153165,0.36558168135388247,0.3202963602784198,0.29034414897122923
KLAC,0.07796807805976183,0.27922764558646734,0.25320886967348366,0.22332842591370514
PWR,0.5323150556771364,0.7295992431993995,0.6004418578626588,0.5756365844134975
BXP,0.07953690670525705,0.2820228833007298,0.22995306440625887,0.19669513352777168
HD,0.12701770226734538,0.35639542963868853,0.33105111962264316,0.309638910958092
CMI,0.7209378266402576,0.8490805772364939,0.7328317977675506,0.710276025658601
NWSA,0.058989770264865994,0.24287809754044515,0.20608856348824778,0.22756211871079382
BEN,0.5477340042012665,0.7400905378406526,0.6576132004458888,0.6822697053925528
DAL,0.8505315799597465,0.9222426903802201,0.8271502853736615,0.6134413199249701
NUE,0.21852487634685233,0.4674664440864738,0.4192601856580735,0.4316822230985689
TER,0.14225119511932943,0.37716202767422047,0.3068320484910574,0.2842415988172352
DHI,1.549862722675356,1.244934826677829,1.0742955414992783,1.0427797895786646
QCOM,0.006703839495558644,0.08187697781158415,0.0639916673094024,0.06276450029585223
OXY,0.2206320132356311,0.4697148211794377,0.39685631617412903,0.41694582316707673
BAC,0.08062434533690874,0.28394426449024945,0.24359984175213859,0.23645721702559033
CPRT,0.09687231876488148,0.3112431826801697,0.2703999686488917,0.287979882114601
VRSK,0.033455215776026566,0.18290767008528255,0.17049175884833198,0.18969446022719527
AMCR,1.063639716098295,1.0313291017411925,0.8935616687471438,0.9198437433318639
DVA,0.36016437148248104,0.6001369606035618,0.5178428724950239,0.45007713834212104
LHX,0.5288536934123981,0.7272232761761673,0.6206432744860347,0.6085801801826383
ILMN,0.09434607920796138,0.30715806876584145,0.2632353137570908,0.1738516795439902
ALL,0.023880136034382892,0.15453199032686693,0.13828149185883115,0.12463444911454793
GPN,0.03317828077357776,0.18214906196183872,0.15303751486971803,0.13522743025609935
MET,0.5593162373042099,0.7478744796449535,0.6630486076578173,0.6615098593466434
XOM,0.4180881191153357,0.6465973392423879,0.5649439674934299,0.5835103808554155
CMA,0.354148434069101,0.5951037170687988,0.5110591108858829,0.5047754466589145
WYNN,0.5728352463142642,0.7568588020986902,0.6106560200959931,0.632925459721992
EMR,0.5432613228112405,0.7370626315390304,0.649276360700028,0.6975995927173367
MRK,0.059951069039948894,0.24484907400263717,0.18875667949145805,0.1584883321893188
AZO,0.06362203158792917,0.2522340809405604,0.20609960441833874,0.1831749676346098
TSCO,0.3144048327389234,0.5607181401907052,0.5077338155731549,0.5848246545624775
LEG,0.3655493353379886,0.6046067609099228,0.5397935021713327,0.46189400709974354
HUM,0.010123180146640747,0.10061401565706811,0.08365740917330357,0.07383983777613205
MNST,0.38893180038718195,0.6236439692542388,0.5655480884462637,0.4738215133830066
UNP,0.01452702873550586,0.1205281242511716,0.0981384052932968,0.07782027212637084
PVH,0.3652224367603159,0.6043363606141169,0.5429091801483192,0.6135250441030914
DXC,0.5390349773016062,0.7341900144387733,0.621846702091013,0.56692752848566
DRI,0.7738882057665978,0.8797091597605414,0.7924895805574613,0.8296258955917579
ADP,0.2426116133070149,0.492556203196158,0.4504850761432129,0.43001430537508345
CAG,0.15429080487095226,0.3927986823691651,0.3639794762995135,0.3705306292636961
