,mse,rmse,mae,mape
ULTA,2.904615903367188,1.7042933736206298,1.4601158703678072,1.801319569226413
LHX,0.4901746826789949,0.7001247622238446,0.5995814923928451,0.5877255825551639
EMN,0.5224422775608044,0.722801686191174,0.601311901843717,0.598711704687103
LNT,0.032661785670671815,0.1807257194498664,0.15646694803742917,0.13695572972892925
PEP,0.0014202513000256998,0.03768622162045036,0.03256403015567584,0.031953876820952604
HON,0.3947822855000604,0.6283170262694306,0.5403317077831966,0.5141043459658743
AJG,0.013826465716308765,0.11758599285760514,0.10256401848670733,0.10405954801147575
JBHT,0.006025881343089285,0.07762655050360852,0.07128161745763799,0.07294089723306876
SO,0.0010174316343475303,0.03189720417760043,0.0242502505303196,0.022190287935227412
C,0.27073043897370114,0.5203176327722338,0.4631253630011172,0.4848866510167029
AFL,0.1151707327117486,0.33936813744332067,0.29721492128622445,0.3254813437248399
CB,0.09903455000480892,0.31469755322342263,0.28782149313152955,0.27708829689392145
GPC,0.03327581341281299,0.18241659303038468,0.1581523302196052,0.14520441683748495
MCD,0.04296172422812343,0.20727210190501622,0.1760685843462086,0.17755226893391896
MTB,0.0918081578080442,0.3029986102411102,0.25707034272545337,0.24215206326753602
LIN,0.3371000027396586,0.5806031370391126,0.49896250615305165,0.49712905292604453
CRM,0.12482758968844052,0.35330948145845237,0.30930999282680377,0.3134805918373044
ETR,0.0033469383170292672,0.057852729555564336,0.04700794438922328,0.038850318341485404
KMB,0.04872511677311062,0.22073766505313638,0.18897952116769418,0.18028571967047177
WMB,0.33586693346830726,0.5795402776928513,0.48025601547489283,0.36587413511841665
AME,0.5512348196310224,0.7424518971832602,0.651892841016795,0.6633576133357385
AAPL,0.2400652641333227,0.48996455395602106,0.3901454116554671,0.3091153827361246
BEN,0.3015972755200464,0.5491787282115417,0.4939772441863428,0.5124837370751961
VRSK,0.019660009662406868,0.14021415642654228,0.13125810177786948,0.14637325423874473
L,0.22883878615327738,0.47837097126945044,0.4252593766757299,0.48709034852291344
NWS,0.105503533300389,0.3248130743987825,0.280620219348342,0.3193452655222441
ADI,0.1679276409831305,0.40978975216948815,0.356423235911317,0.3491404875291935
GOOG,0.013396152953546164,0.11574175112527961,0.09386609553984675,0.09569442138420738
CCL,1.3662677726421935,1.168874575239873,1.0375905920542692,1.0423731219352135
EFX,0.03539392183813964,0.18813272399595887,0.16880179893059846,0.15609371110192394
DD,2.4275352614158474,1.5580549609740497,1.3017889667501559,1.1484269582684434
BK,0.19373073784963551,0.4401485406651208,0.3998718562153684,0.368198539113588
LLY,0.005865871968354202,0.0765889807240846,0.0684032520450589,0.054866999381551894
MAR,0.08220075311412611,0.2867067371272013,0.2565809784347226,0.1896965334498612
HBI,0.2453921023349054,0.49537067165397003,0.4072351450098712,0.2815525993789117
HES,0.335605231307498,0.5793144494206044,0.4752837516071157,0.4709714338186172
COP,0.013189041149672797,0.11484355075350465,0.09067698713393228,0.09174560443749907
APTV,0.10656019460041999,0.32643559027841923,0.2564435986857952,0.22444900795972839
RJF,0.437123463855262,0.6611531319257756,0.5844687992545302,0.5706743739997945
ILMN,0.0376407416516798,0.19401222036686194,0.1370021543600345,0.09334957933604673
MDLZ,0.0012478508333299838,0.03532493217728781,0.030246573959230978,0.029798244100447673
VLO,0.203981315931147,0.45164290753995795,0.36434903299915206,0.35871693513760167
IPGP,3.094765082746539,1.759194441426683,1.486245329684408,1.6798913619719869
AEE,0.02462387078417325,0.15691995024270575,0.1266342807442971,0.11220059998287767
MO,0.09172731311289523,0.3028651731594361,0.2860702723928349,0.24971753038491443
NVDA,0.11288972827241575,0.3359906669424253,0.2519075939087821,0.21161425533528344
UAA,0.02496111892220973,0.15799088240214917,0.135271695128301,0.10001996147799011
GS,0.3137482285349214,0.5601323312708537,0.5099052426196765,0.5087660846557492
MMM,1.0622979282171516,1.0306783825312102,0.913393436235454,0.8625170477321391
RHI,0.5208553988388436,0.7217031237557751,0.6368516211441736,0.5362547414451053
APH,0.4272576512010841,0.6536494864995184,0.5532928610679893,0.4927312860271361
PM,0.004442101784066979,0.06664909439795097,0.058148451001419556,0.061862258643408774
ZBH,0.11907967869063982,0.3450792353802816,0.2938530010726778,0.2640998832140311
WST,0.08464776655346742,0.2909428922545925,0.2649706254458131,0.29600797934436784
CDNS,0.7701049743408231,0.877556251382681,0.7171854785162045,0.6049460211166746
CI,0.1659920393943105,0.4074212063630347,0.35524554630607535,0.3406665726654028
TJX,0.048416216361472315,0.22003685228041306,0.20013807197409392,0.2174229186543611
MKTX,0.4937200437445037,0.7026521498896191,0.6234689817289151,0.7293733214310602
SPG,0.001568225515786538,0.039600827210887125,0.03347442957837135,0.0289682211703177
AMCR,1.094493597156805,1.0461804802025343,0.9067203559993221,0.9334022876458957
OKE,0.046757020088574776,0.21623371635472294,0.13049646700649356,0.12488575851100656
YUM,0.041737015137081716,0.2042963904161836,0.1708738133802804,0.17962099744314045
DOV,0.49513551803016115,0.7036586658530976,0.6054052909120478,0.5939388993731239
AEP,0.013704863084706006,0.11706777133227576,0.10210794704859512,0.08788991589233203
EXPD,0.0037390155708430903,0.06114749030698717,0.04220633194255204,0.04715185952683911
LUMN,0.025549180299927685,0.15984110954296984,0.139859857366667,0.12214125034047142
WU,0.16329073228186697,0.4040924798630469,0.36302809941161446,0.40555760837386756
ZION,0.17419050344107087,0.4173613583467819,0.3470528723686252,0.3607848512081115
DVN,0.0376703507566014,0.1940885126858398,0.12764845955874604,0.1334555276639462
MAA,0.17492347278170958,0.41823853574450737,0.38005490778377277,0.3484200318446224
NEM,0.1265622777206063,0.35575592436473397,0.32150170716076487,0.3869586827902591
VRTX,0.14060252524300373,0.3749700324599337,0.3344221573499343,0.2940496948481991
