,mse,rmse,mae,mape
AWK,0.011408084906277406,0.1068086368524447,0.09446322814800784,0.08208043551855036
IBM,0.4567722476053449,0.6758492787636493,0.5779190129483562,0.6014572070396461
SEE,0.3257905629433565,0.5707806609752616,0.5178519413311481,0.5000673695066145
UPS,0.12004490049261128,0.34647496373130815,0.3207619330594045,0.326796873361052
FCX,1.1003959717767993,1.0489976033227146,0.9146382081325422,1.0919860379293789
J,0.9676012415438214,0.9836672412680121,0.8454655105214698,1.0722589316020354
BLK,0.5271246675034005,0.726033516790651,0.6517059551309481,0.6302910548238615
WELL,0.2962261094713503,0.5442665794179818,0.4781329247026299,0.4529487572052728
MSI,0.13484391893213496,0.36721100055980754,0.32607689303551857,0.3401970543779461
CBOE,0.028102667562012042,0.16763850262398564,0.14635157726389408,0.14535815656059842
LMT,0.3250318814863087,0.5701156737770929,0.4972579288977076,0.41638225414477265
ROL,0.20386476010159915,0.45151385372056874,0.40343550834484676,0.39909330822825045
CB,0.06627325173015154,0.2574359177157522,0.24028183556882554,0.23190715155531846
SYK,0.13877134680526249,0.3725202636169776,0.3196138809371294,0.28162992294615125
UHS,0.39286189384150205,0.6267869604909646,0.5267404375860673,0.4307708079375101
LYV,0.3052744836892897,0.5525165008298755,0.47135263546019945,0.39421484735257833
DXCM,0.02344153123771889,0.15310627432511997,0.12386003322804878,0.10651865343878379
XEL,0.015873189114240887,0.1259888451976638,0.10860382245186471,0.09522068558074762
K,0.04384968547021772,0.2094031649001937,0.18455060244940924,0.1778352082642122
CBRE,0.0771399352172424,0.2777407698146644,0.24288965572808185,0.20959301992178173
CNC,0.04555763582045473,0.2134423477673883,0.16253524580817139,0.12861670416786353
VZ,0.005174935429235298,0.07193702405045192,0.06321117289234625,0.06483113380893325
YUM,0.07056236043479228,0.26563576648258846,0.22671701130450636,0.23748878150179645
CRM,0.17957892507166012,0.42376753659484123,0.36598209107449203,0.3703238243833935
TROW,0.4632124470268315,0.6805971253442314,0.6040928637839644,0.6154706900821225
IVZ,0.08947079496773432,0.29911669122222906,0.2752662197620022,0.2606118097192683
WU,0.14530241376955444,0.3811855371988219,0.3474867706712043,0.38859709383753954
LIN,0.18558998402247145,0.4308015599118363,0.3741909194830775,0.37260865370641777
WEC,0.010153863468949724,0.10076638064825849,0.08346784762794088,0.07288222295425108
ESS,0.7775093420788564,0.8817649018184248,0.7860702435578625,0.6699828865599795
VLO,0.23466654526325909,0.48442393134862677,0.3981741854094751,0.3907118677767306
ADSK,0.3455329427777344,0.5878205021753957,0.5163651589825231,0.47218748753468676
COST,0.015829925949732808,0.1258170336231657,0.08615103883519995,0.08200547455148877
VTRS,0.023642081843754378,0.1537598186905616,0.13329824999052223,0.1139740747130553
TSLA,0.14235271797610807,0.37729659152463607,0.299369262516681,0.2441816426682158
ROP,0.42881329356207654,0.6548383720904545,0.5828472436031382,0.5481263890979471
ADBE,0.10179573527153413,0.3190544393540609,0.27253286279878597,0.23794943845105798
ODFL,0.037127747717706806,0.19268561886582716,0.17758036285643425,0.1441439873306845
REGN,0.379767386407981,0.6162526968768421,0.5280430829380588,0.4708507946396524
STT,0.11829969343723538,0.34394722478490125,0.31827833006561596,0.3275539816162468
NOV,0.053061311660902555,0.23035041059416966,0.19189053935775666,0.18804628970588697
CMS,0.001793260886655909,0.042346911181996606,0.031449445603308895,0.02741049361119362
AON,0.0022811607290438808,0.04776149839613369,0.037577699994255635,0.037117285646893296
GE,0.2778409091576959,0.5271061649778874,0.47402804359453754,0.5015634758105137
ECL,0.004465157676904411,0.0668218353302602,0.05336150011900908,0.05296963444245339
APA,0.015038528267128969,0.12263167725807622,0.09730438430689832,0.10800323011362482
IPG,0.0245297713840947,0.15661983074979585,0.1388553984455182,0.130803754463736
BA,0.0464109390581919,0.2154319824403793,0.19772046448321867,0.2139584766546622
CSCO,0.07045592688068981,0.2654353534868515,0.23339509286082222,0.2183589819934415
NWS,0.06498356183818912,0.25491873575355173,0.22158683285280428,0.25215402475553794
CDNS,0.0031611122907532203,0.05622376980204387,0.04445681465767577,0.039015055661918624
TFC,0.4247613889565887,0.6517372085101393,0.562445103920532,0.5446204539926344
