,mse,rmse,mae,mape
AWK,0.0435185882437397,0.20861109329021718,0.17946852169773972,0.1545209441743075
IBM,0.5088463154317074,0.7133346447717981,0.6103431125768713,0.635191415923441
SEE,0.4185299223191921,0.6469388860774966,0.5814978035369339,0.5605465043789398
UPS,0.18515761347175907,0.4302994462833517,0.391085442390366,0.3976564742015976
FCX,1.224261591434865,1.106463551787796,0.964830280673968,1.1512108461940849
J,1.116341042182388,1.0565704151557471,0.9031448567593022,1.1469596215165199
BLK,0.45651428182760156,0.6756584061695685,0.6054613426951692,0.585498948969827
WELL,0.21913504865233846,0.46811862668808474,0.4094319660381224,0.38716629234286537
MSI,0.2168722616512682,0.46569546020040625,0.4103334777178115,0.42855740234204465
CBOE,0.05221057902572764,0.22849634357189974,0.2021802499888626,0.19791677350281006
LMT,0.434406384574278,0.659095125588316,0.5690652846483153,0.4753822120156735
ROL,0.2665081195144576,0.516244244049711,0.4590802310501758,0.4542833578363911
CB,0.09570099116857216,0.3093557679574961,0.28468948934428234,0.27530804867916636
SYK,0.09237339721795623,0.30392992155751336,0.2582539814562487,0.22814866904610942
UHS,0.22891762630596516,0.4784533689984481,0.39572582890267394,0.3216503547018276
LYV,0.32111256482771133,0.5666679493563328,0.47864530636812785,0.39988664424767606
DXCM,0.04489119006891254,0.2118754116666503,0.18180485009665123,0.16389552289001913
XEL,0.0019583805116672555,0.04425359320628389,0.03533734609716779,0.03113443017179485
K,0.00831899653910287,0.091208533258149,0.07711684068519764,0.07375110929659069
CBRE,0.13565841825709182,0.36831836535406676,0.3182124868413181,0.2737047578901784
CNC,0.025101736852258822,0.15843527653985023,0.12535220589976542,0.10571806988320581
VZ,0.016679654108374794,0.12914973522378895,0.11468022417653988,0.11692578241433299
YUM,0.07101156544536606,0.26647995317728135,0.2240684223558704,0.23611132973306426
CRM,0.18004159539015374,0.4243130865176724,0.3649558160602722,0.3687449131869319
TROW,0.5096176081959918,0.7138750648369726,0.6306261422987015,0.6430541241122063
IVZ,0.2348385015058264,0.4846013841352771,0.43917285634235514,0.41384560584188557
WU,0.18690075188409738,0.4323201960169076,0.3928116575077886,0.43925057494418096
LIN,0.24648968735466895,0.4964772777828497,0.4309030619808377,0.42936936318219054
WEC,0.0031729161520099264,0.05632864415206464,0.04538930105411335,0.0401929475144295
ESS,0.4744456169598378,0.6888001284551548,0.6152077488126849,0.5242881865794082
VLO,0.29133189353055855,0.5397516961812705,0.44258952883555475,0.4350695318690072
ADSK,0.410289569432119,0.6405384995705714,0.5580672797037485,0.5093662307952238
COST,0.012362411090652595,0.11118637996918775,0.0805109182378432,0.07771014483388566
VTRS,0.016791501109949654,0.1295820246405714,0.10582679346620313,0.09023888184489401
TSLA,0.11200781091038861,0.3346756801896257,0.2655091697921169,0.21810843508864622
ROP,0.5619415882857721,0.7496276330857689,0.6639452874232369,0.6238841377026891
ADBE,0.1803814815341938,0.42471341105996857,0.35789318975817713,0.3113977794821954
ODFL,0.0057834956958879545,0.07604929780009777,0.06366257991796649,0.05326947995066294
REGN,0.08076834316314807,0.28419771843410013,0.23397112273144804,0.20597904695948074
STT,0.12379895105323621,0.3518507511051187,0.3258659815418484,0.33468937562803863
NOV,0.017700509306187974,0.13304326103259786,0.11025213335284183,0.10728378255178568
CMS,0.003273536659446528,0.05721482901701733,0.044770096912615236,0.040224137471407344
AON,0.01854871530629808,0.13619366837815214,0.11735950393671776,0.1124815016777159
GE,0.3929660711362379,0.6268700592118257,0.5580735939566792,0.5905862406898308
ECL,0.011997116693591992,0.10953135027740685,0.09331613636147983,0.09163717482522171
APA,0.01955665145442222,0.1398450980707662,0.12109885833231802,0.12953291661931898
IPG,0.15143327961796102,0.389144291514036,0.3429631703138385,0.32084395165172175
BA,0.06448520451101378,0.25393937172288544,0.2295433056436312,0.2481977272062608
CSCO,0.15646655407423304,0.3955585343210699,0.3432821361529214,0.32064300661468076
NWS,0.10194355780781741,0.3192860125464588,0.2773571655679356,0.31558737790862473
CDNS,0.1929668431826384,0.43927991438562086,0.37986706717216895,0.3234498719124251
TFC,0.511174915423191,0.714964974962544,0.6120196908326607,0.592551524173898
D,0.00519858387787598,0.07210120580043013,0.061484011481785304,0.05763518210467218
IDXX,0.03655387587154615,0.19119067935322095,0.14840426943494442,0.12675679049511948
KEY,0.1364732409346558,0.3694228484198775,0.3169023845066463,0.3129600665247264
COF,0.3324210951323535,0.5765597064765743,0.5120961931627696,0.48375372630246216
DPZ,0.005955581081692155,0.07717241140260006,0.0657432778397611,0.05737992404418698
EFX,0.06691715928887115,0.25868351182259597,0.2311525943429896,0.21297893480480248
PCAR,0.25553257356819875,0.5055022982818167,0.4264433946159174,0.3944479250860206
CMCSA,0.4243190962679095,0.6513978018598999,0.5702055992677052,0.5443470195970453
HAS,0.3914576338309141,0.6256657524836357,0.554287170962365,0.5487674901457709
BKR,0.06124093809508236,0.24746906492546167,0.16948763099754044,0.1666915348954279
PLD,0.005263332429421191,0.07254882789832784,0.054432355240111086,0.05384271714145574
EXR,0.0025834342906424024,0.05082749541972733,0.04308416716117794,0.0392227202978041
LNC,0.0376825464232706,0.1941199279395874,0.17984428610933342,0.1787373450297195
XRAY,0.03024852605327688,0.1739210339587391,0.16144005798338362,0.16637449847221658
SBAC,0.0015027539131532953,0.038765370024717874,0.030691195206470286,0.027898282150744434
KMI,1.2829847046013474,1.1326891473839358,1.0094889846427861,0.9522445664216502
KMX,1.4311513042812936,1.1963073619606683,1.0178500809197346,1.0349342052363057
AXP,0.4735734103677738,0.6881667024549893,0.5992855257437594,0.597382376505301
PPL,0.0021542972126444254,0.04641440738223882,0.0388602730095557,0.03467344679365457
WBA,0.009669659952145708,0.09833442912909857,0.08909105929745273,0.0798866413846378
CDW,0.013244659331683577,0.11508544361335875,0.09843916144401092,0.07434894030447571
CHTR,0.038639730804878945,0.1965699132748421,0.17274913994388488,0.16505919822716258
CAT,0.3424367737416643,0.5851809752048202,0.48500171890652005,0.4317797826532127
ACN,1.336022672146177,1.1558644696270306,1.0144632447779676,1.012828160507798
ABBV,0.006672847020092724,0.08168749610615277,0.06522614099061334,0.0601671691534512
AAP,0.0053122994142322895,0.07288552266556295,0.05935206799039124,0.05109390309449115
F,0.9146746818163202,0.9563862618295602,0.8412656221458552,0.9230022560720633
ROK,0.6844352774580729,0.827306036154743,0.708383365942027,0.7211330963093768
MMC,0.014859334876615303,0.12189887151493775,0.11214931793744798,0.10365464762186194
BIO,0.14746136341388313,0.38400698354832447,0.32450921033285623,0.3427274947655946
OMC,0.4119728164960971,0.6418510859195434,0.5638165452214842,0.5750065173162571
XYL,0.032695749706594564,0.18081966073022746,0.1547333466898707,0.14451376685811337
TEL,0.08108966568493636,0.2847624723957431,0.23138608093776297,0.2088904965062419
WAT,0.08810331668864761,0.2968220286445189,0.2441163179110676,0.24665816275050662
XRX,1.0957564447196302,1.0467838576896522,0.9418633380655848,0.8891613022530738
CSX,0.034941994263757874,0.18692777820259318,0.17542564621378087,0.16001849256721937
NOC,0.29180905570212706,0.5401935354131212,0.47173491527738953,0.41556457768565197
JPM,0.1658285930107862,0.4072205704661617,0.3649569044625253,0.3563160899666204
NDAQ,0.08249465929362847,0.28721883519997166,0.26696928510635826,0.26121460955686837
NEM,0.07014881906295596,0.264856223379697,0.24160024279135978,0.28747865597579836
MMM,1.0708301481373157,1.034809232727132,0.9172836184129298,0.8661516490605166
CLX,0.04207790548756261,0.20512899718850722,0.1568597369065513,0.15339201971739916
SLG,0.0044313363857732945,0.06656828363247241,0.05571586258664911,0.04881031613965212
COP,0.011018528400304574,0.10496917833490255,0.09369732415769824,0.09262243687802535
TJX,0.18387925820207562,0.4288114483104149,0.39075393560379074,0.4178005455605716
TFX,0.12288221248723366,0.35054559259422113,0.3070234803514354,0.2751734513689565
STE,0.25268861073003274,0.5026814207129927,0.4571796547711836,0.395590204526806
MA,0.6057051567459791,0.778270619223146,0.6956152571969455,0.7447512564511279
FMC,0.14214303741248138,0.3770186167982708,0.3034179277970888,0.370915607675788
ADM,0.2546486315794254,0.5046272204106963,0.4546485014630883,0.41404935672351123
AMD,0.7082766468014002,0.8415917340381857,0.6993496640353024,0.8895298951027435
EL,0.09021990565227737,0.30036628581163594,0.274200656054675,0.27989287350004266
EIX,0.003869172317998072,0.06220267130918151,0.05205675563630123,0.04419722028536195
AIZ,0.11582658333052784,0.3403330476614457,0.29986634945183294,0.29864463142950065
HCA,0.11069875394640039,0.3327142226391898,0.2710810169245812,0.20159672370808768
ROST,0.13596721872841966,0.36873733026155575,0.33703342809565134,0.37094418125263284
NWL,0.19539952727228876,0.4420401873950928,0.404483631538842,0.3949592162649207
SRE,0.06578544318967319,0.25648673102067715,0.22078159178334747,0.19072260256166448
PNC,0.056302560840576485,0.23728160662085987,0.19211502374951334,0.1723270212386295
REG,0.12623667786555032,0.35529801275204215,0.31089532728435604,0.28170022630466207
KLAC,0.06653687718241487,0.2579474310444182,0.23487419531495307,0.2078951272193502
PWR,0.6516284256786345,0.8072350498328442,0.6687831128509778,0.6403176659888747
BXP,0.05744753016032022,0.2396821440164457,0.19308647688113595,0.16527093072507543
HD,0.070973097720591,0.2664077658789079,0.25108138623500176,0.23656625574779655
CMI,0.6243710146975767,0.7901715096721577,0.6827212846946682,0.6621756851558072
NWSA,0.046413055305108225,0.21543689402028665,0.1819316389953106,0.20119763303623917
BEN,0.48787861517108144,0.6984830815210068,0.6227784218795928,0.6464296638011405
DAL,0.7054596413772506,0.839916449045529,0.7540485925152587,0.558932161224666
NUE,0.19400368330301934,0.44045849214542265,0.39591518380020807,0.40777515312722806
