,mse,rmse,mae,mape
ULTA,0.12040516875432924,0.3469944794291823,0.32303117919060936,0.41913336790561895
LHX,0.5786965929637704,0.7607211006431794,0.6505081554437675,0.6378819009151039
EMN,0.4518132991545669,0.6721705878380628,0.56396066278162,0.5609404461617761
LNT,0.015010134315048907,0.12251585332131065,0.10533014092816637,0.09209909797300067
PEP,0.0017562058330904406,0.041907109576901636,0.03756811943238552,0.0365569915318969
HON,0.27294307252245387,0.5224395395856384,0.45603660689732306,0.4338948055609436
AJG,0.0011320822309100385,0.033646429690385254,0.028093977667875476,0.028921299942419116
JBHT,0.07701384526887783,0.2775136848317175,0.25363963989701616,0.25485795879958056
SO,0.0009523255553181423,0.030859772444367477,0.02386832005423683,0.021544918617506195
C,0.06620002213565179,0.2572936496216955,0.24075053344735928,0.25472949490321
AFL,0.028472857016159394,0.1687390204314325,0.15467947845795157,0.16892890384401346
CB,0.09833928099271648,0.31359094532960685,0.28969025438739576,0.2790101807613652
GPC,0.014430671729351353,0.12012773089237702,0.10233077931556729,0.09516644404495574
MCD,0.06486202932719216,0.25468024918943394,0.2157604580436279,0.21763681405712645
MTB,0.01602977981538612,0.12660876673985147,0.11042630174188107,0.10434279340245015
LIN,0.2363870120434558,0.48619647473367783,0.4209231497395218,0.41922512284786334
CRM,0.28448757271443725,0.5333737645539357,0.4562224500903936,0.4610547100584638
ETR,0.0020093090420861396,0.0448253169769734,0.03708304535531278,0.032202261813259095
KMB,0.0024026185642651763,0.0490165131793886,0.036835434581541336,0.03463159540143297
WMB,0.7648531488569706,0.8745588309867842,0.7408094233731336,0.5578361378209379
AME,0.7258821113958628,0.8519871544782015,0.7440300012761408,0.7574383239400457
AAPL,0.08567734833438528,0.2927069325014105,0.22925011816566154,0.18099730918341694
BEN,0.4437524612511727,0.6661474771033609,0.5943455504494929,0.6164770751219744
VRSK,0.007789661355847836,0.08825905820847986,0.08126158484462202,0.09114520743436703
L,0.15224816107582742,0.390189903861988,0.3510836499328825,0.4018947198798183
NWS,0.07003409092853834,0.2646395490635108,0.22939883555645874,0.2611533803190684
ADI,0.22161384408703197,0.47075879608036214,0.40713226866985147,0.3989770819329062
GOOG,0.17977941420249394,0.4240040261630707,0.35729031170127024,0.36224637488044653
CCL,1.9701326154825487,1.4036141262763597,1.2345557272044825,1.2398357865182945
EFX,0.051621708446244065,0.22720411186033598,0.2024874397586215,0.18657864607095256
DD,0.9563708445696688,0.9779421478644168,0.8350013800359815,0.7374324906942549
BK,0.20641422849214108,0.4543283267551574,0.41203939462687206,0.3792292399051216
LLY,0.001680487298544119,0.040993747066401715,0.0315429745365159,0.026202594420268892
MAR,0.0960946005673204,0.30999129111528345,0.27626044294036967,0.20384639049427034
HBI,0.019262092342457262,0.138787940190988,0.10900063439302755,0.07547580045673635
HES,0.23475853114188341,0.4845188656201979,0.4033529077366385,0.4007089640258669
COP,0.00806138764794694,0.08978523067825209,0.07640712005607748,0.07359387910538126
APTV,0.009311790599011098,0.09649761965463759,0.0739481624404881,0.06537273402092712
RJF,0.5078517149164877,0.712637155161368,0.6285858621958137,0.6133088345195702
ILMN,0.2592783348968563,0.5091938087770278,0.43340932301886237,0.28247989824024217
MDLZ,0.06566353978705727,0.25624898007027713,0.22499627309864703,0.21811751120251524
VLO,0.24001809735928856,0.48991641874843156,0.3992504943154018,0.392442356212518
IPGP,0.6328117754206313,0.7954946734080821,0.7184580776008622,0.8156415281504273
AEE,0.015407257671292777,0.12412597500641345,0.10246176596989609,0.0910764821866207
MO,0.11095894124368523,0.3331050003282527,0.3126001414879509,0.27196172071035046
NVDA,0.006787806935979604,0.08238814803100993,0.06601850441357017,0.05676792106172862
UAA,0.02042957632732269,0.14293206892549584,0.12427574810237173,0.09240325376137412
GS,0.31248034779969247,0.5589994166362721,0.5088976439103802,0.5077663619296354
MMM,1.0718418029880734,1.035297929577797,0.9183717441413212,0.8672144813179226
RHI,0.3345786120083832,0.5784277068125135,0.5221339606885919,0.44178643870065293
APH,0.09737617980524789,0.31205156593942596,0.2764170767391711,0.24702234874598755
PM,0.03880615454001972,0.19699277788797162,0.18072649323780873,0.189069088370902
ZBH,0.03757313282859146,0.19383790348791813,0.16837101549823025,0.1520155511229123
WST,0.07543536518426282,0.2746549930080697,0.2517985664472938,0.28243578988945195
CDNS,0.0016880860422725603,0.04108632427307851,0.03247101666328078,0.029029076584564252
CI,0.025126618381907165,0.1585137797855668,0.14879882313065743,0.14684678610079688
TJX,0.16421442009018708,0.40523378448765485,0.3694455352159505,0.39544333496317663
MKTX,0.14969524891662572,0.3869047026292466,0.35908666971806025,0.4283427896923368
SPG,0.0008005349489058809,0.02829372631708098,0.02430756436906856,0.021339694306253473
AMCR,1.1788849739502771,1.0857646954797697,0.940548862996308,0.9681938493874028
OKE,0.07130300411134106,0.26702622363981604,0.177064595089204,0.16588301524891222
