,mse,rmse,mae,mape
AWK,0.023182073546009558,0.15225660427715298,0.13364620552352452,0.11568835249332206
IBM,0.4245110997241336,0.6515451632267203,0.5554909067758709,0.5783781392497688
SEE,0.35943965559324703,0.5995328644813785,0.5415135042132879,0.5224625811214642
UPS,0.13301808856116593,0.3647164495346569,0.3358939911123789,0.3421245427966219
FCX,1.0441762701861126,1.0218494361627415,0.8899625592628164,1.0630286114847531
J,0.9640344018090071,0.9818525356737676,0.8422452811678348,1.0687972266436434
BLK,0.42127633227034295,0.6490580345934738,0.5834552231909828,0.5645345961305716
WELL,0.2808089738939857,0.5299141193570763,0.4658973423839959,0.44138419948349344
MSI,0.1632987908298494,0.4041024509079961,0.3572019923351221,0.3727794729483153
CBOE,0.023403323212171003,0.15298144728093993,0.13286923175708873,0.13239771270996614
LMT,0.39086739863073333,0.6251938888302838,0.5442993954269948,0.4553923049195097
ROL,0.1940392330853671,0.4404988457253516,0.3934455162462418,0.38925276491719596
CB,0.052940532994359156,0.23008809833270202,0.21547609085268754,0.2081839931334927
SYK,0.08140241013718465,0.285311076085708,0.24320244606825958,0.21449819387884
UHS,0.3453625661517502,0.5876755619827578,0.49309926545712307,0.40293988398472164
LYV,0.2719621985055814,0.5214999506285513,0.4423486933128219,0.3699263682580751
DXCM,0.02250390299399039,0.1500130094158183,0.12849133997628404,0.11443129697940528
XEL,0.009024242933832636,0.09499601535765927,0.0814344221859199,0.07134908620571762
K,0.02724088606284422,0.16504813256394094,0.1459315499173196,0.1403563880844307
CBRE,0.10346762055005555,0.3216638315851746,0.2798145667236143,0.241107554980704
CNC,0.22511934003761336,0.4744674277941673,0.39311126286004916,0.31841918257074964
VZ,0.0030083890870555856,0.05484878382476302,0.046642269473025515,0.048067611849433874
YUM,0.018304832672344954,0.13529535347655128,0.10990925030661333,0.11610738101912987
CRM,0.1403066591708429,0.3745753050734163,0.32386342721835676,0.32757726096543877
TROW,0.4682788124221524,0.6843090036103225,0.6057400526735505,0.6172887127827082
IVZ,0.05058184958077511,0.22490408973777046,0.2082946457744507,0.19792285444416524
WU,0.0577789138664015,0.24037244822650017,0.22201571545385995,0.2493502030929296
LIN,0.19443498545853732,0.44094782623178597,0.38246430356729033,0.38087741585867135
WEC,0.010035443500643185,0.10017706075066879,0.08294730562961197,0.07242051926669602
ESS,0.683056748710214,0.8264724730505028,0.7376101151865517,0.6287869576139782
VLO,0.17329829878029768,0.4162911226297021,0.33672709998265954,0.3312649080901808
ADSK,0.3281349305629924,0.5728306299099171,0.5014037439375919,0.4582631258264202
COST,0.018740158195207874,0.13689469746928795,0.09361496787628429,0.08901547115564701
VTRS,0.023724325403846124,0.15402702816014507,0.1340181830582968,0.11462121391568907
TSLA,0.2673758313904229,0.5170839693806248,0.4153680145855931,0.33668822786185476
ROP,0.49572351185155933,0.7040763537085728,0.6247367250141683,0.587201003299298
ADBE,0.13738400802707615,0.3706534878118323,0.3139474293491438,0.27365011824909613
ODFL,0.04619730938363116,0.21493559357079775,0.19667123282263826,0.15873272905955782
REGN,0.27742595847776086,0.5267124058513915,0.44925787403411094,0.39976465699988184
STT,0.09284769680925738,0.3047092004013948,0.2829334410989967,0.29152253357622393
NOV,0.056816213908973096,0.2383615193544736,0.2000068801978682,0.19624098644822738
CMS,0.0010614885037007098,0.0325804926865864,0.026018636163451275,0.023178867006133037
AON,0.0076953305139076085,0.08772303297257573,0.07477479533676058,0.07241974891032274
GE,0.29775514948570403,0.5456694507535712,0.4891155306380142,0.5175991561103266
ECL,0.0015843997936681338,0.0398045197643199,0.030901437498475202,0.030690974259288642
APA,0.017419615162288588,0.13198338972116372,0.10052749145543553,0.10656427502105449
IPG,0.04360081521325392,0.20880808225079298,0.18457236004119326,0.17291427552195276
BA,0.06198585779504067,0.24896959210923866,0.22614646628538643,0.24473177675059615
CSCO,0.12855108607886723,0.3585402154275964,0.31285262225708504,0.2921881124328298
NWS,0.07133611838872657,0.26708822210783945,0.2315510698640565,0.26358092223817736
CDNS,0.0059452278784061265,0.07710530382798661,0.06144462258529256,0.05314444600324688
TFC,0.42942637255658184,0.655306319637299,0.564799992325545,0.5469369731724737
D,0.0013225427281893932,0.03636678055849037,0.03125256839958919,0.029550540277615518
IDXX,0.019682136855039375,0.14029303922518527,0.10966901279531735,0.09451399201299947
KEY,0.13039567057324586,0.3611034070363306,0.31293038853853733,0.3091466656450633
COF,0.23539192822899546,0.485172060437321,0.4310923951494532,0.40693030693259497
DPZ,0.018340251923849377,0.13542618625601688,0.08947629193085843,0.07294709817364572
EFX,0.037538283593674955,0.19374798990873415,0.17294664986843258,0.1596188978880188
PCAR,0.21930895530633004,0.46830434047351094,0.39539281182211206,0.3650962112478133
CMCSA,0.35162664994777026,0.5929811547998556,0.5205129506702075,0.4971247926019736
HAS,0.3131057861913336,0.5595585636833142,0.4942603572970884,0.4893474620974347
BKR,0.045749299745259396,0.21389085942428535,0.1442727877891877,0.14229353030735295
PLD,0.0023151052266620763,0.048115540386262694,0.043373246252888006,0.042311165042665924
EXR,0.007599606169589002,0.08717572006923144,0.08009570893409257,0.07130390960960745
LNC,0.007576996036062525,0.08704594209991942,0.07570522239618424,0.07716934755824782
XRAY,0.019613568486861886,0.14004845049789694,0.13054396704762675,0.13532704552928618
SBAC,0.0022569501964020515,0.04750736991669873,0.03846161541658318,0.033991332927333785
KMI,1.086055458701996,1.0421398460389066,0.934255906448938,0.882627080416752
KMX,1.453726769423367,1.2057059216174428,1.0254114916247263,1.0424152120411148
AXP,0.39821916118048806,0.6310460848309639,0.5499426430153778,0.5478929876917773
PPL,0.0029900753521841313,0.05468158147113278,0.04789114566882306,0.04205354079193915
WBA,0.012361327453479362,0.11118150679622651,0.09011425521665034,0.07773292968501366
CDW,0.04129373559655124,0.20320860118742817,0.1814266662045866,0.1360451850227776
CHTR,0.017459922045301435,0.13213599829456557,0.1115504045599202,0.10142977778665253
CAT,0.2924342788504193,0.5407719286819715,0.4473995662417406,0.39784469686898916
ACN,1.3241274925004918,1.1507073878708225,1.0096345256863508,1.0076794878945066
ABBV,0.017634575672015703,0.13279523964365478,0.09285615851542259,0.08105734590100483
AAP,0.07929139995813152,0.2815872865704905,0.24237274791488914,0.1988012385074379
F,1.0174988422823772,1.0087114762321172,0.8893128330036084,0.9762660762855085
ROK,0.5602922925917959,0.7485267480803849,0.6408727148613397,0.6519437120395903
MMC,0.00347934746370107,0.058985993792603594,0.052311793843820904,0.04947783330628539
BIO,0.10529253039705214,0.32448810517036236,0.2747808405755463,0.2902894336166369
OMC,0.33800283651580715,0.5813801136225827,0.5116993300170734,0.5220386370717918
XYL,0.0068338747950570915,0.08266725346264439,0.06665334930159503,0.06279817810996013
TEL,0.026839051507965478,0.16382628454544612,0.12707205560379345,0.114838406754106
WAT,0.04933503728617948,0.22211491909860417,0.18841586550909348,0.19025679509532414
XRX,0.1960554364851503,0.44278147712517324,0.40642582071121564,0.38615386435851173
CSX,0.011747229276066879,0.108384635793395,0.0990098223629773,0.09281443547516983
NOC,0.207522669790773,0.4555465616056969,0.40123245605612085,0.3541374821605717
JPM,0.13253440469295474,0.36405274987693026,0.324437247026613,0.3172318178131539
NDAQ,0.07012367928798578,0.2648087598399754,0.24647235748794458,0.24211654641980762
NEM,0.06442492966032032,0.2538206643682116,0.23024518235291205,0.2737358780941181
MMM,0.9668358378020837,0.9832781080661176,0.8750763160146083,0.8264817464638543
CLX,0.0544057421784351,0.2332503851624582,0.18013947307483436,0.17643577557648332
SLG,0.008550217004145082,0.09246738346111608,0.0796512225683799,0.069518333968848
COP,0.008558846131828408,0.09251403208069794,0.0768736418871237,0.07320938304225866
TJX,0.1484773949594053,0.3853276462433046,0.3522578206216355,0.37750680708013157
TFX,0.1528600154196112,0.390973164577329,0.34387743087474126,0.30856351188212483
STE,0.2266605118345289,0.476088764658996,0.4338524727283095,0.37489137020161745
MA,0.5871337294480964,0.766246520023482,0.6893194304615986,0.7382106995974662
FMC,0.06863042292252171,0.26197408826546514,0.20511829654470978,0.25229628880512756
ADM,0.2800823237751981,0.5292280451518023,0.4809002130369775,0.43877125545294515
AMD,0.23932965955674673,0.48921330680670033,0.39005171432925767,0.5059164029654925
EL,0.053597353225367766,0.23151102182265051,0.21380431285440646,0.21812280894185967
EIX,0.013569880039272494,0.11648982805066069,0.10582313092424248,0.08858286552599379
AIZ,0.06162183534885917,0.24823745758619745,0.219313410397919,0.21816314856983787
HCA,0.18750879000958176,0.4330228516020624,0.35933253902778417,0.26905653214741587
ROST,0.12486846681793395,0.35336732562297546,0.32639965230835466,0.36002768608263663
NWL,0.15127250594011266,0.3889376633088041,0.3582372108349428,0.35091261778487415
SRE,0.035391932336051486,0.18812743642555566,0.1620113730796342,0.1400014243866669
PNC,0.03237984821077303,0.17994401410097816,0.14602699648533374,0.1304432868412596
REG,0.15539532617275245,0.39420213872168736,0.34448729243063736,0.3121284549069785
KLAC,0.0581049969063027,0.24104978097128132,0.21932322469146123,0.19434570644000101
PWR,0.6217840381649765,0.7885328389895861,0.6572574597381953,0.6292973496442852
BXP,0.041972041673753395,0.2048707926322183,0.1650761304801535,0.14073421713765935
HD,0.049913322283318386,0.22341289641226708,0.20906985427892982,0.1985844790121383
CMI,0.40275957450919836,0.6346334174223718,0.5469369241523891,0.5295425180502918
NWSA,0.028183211580467618,0.1678785620038116,0.14050215368801142,0.15564793447933792
BEN,0.3813066759249271,0.6175003448783872,0.5512110570918026,0.5718551448056813
DAL,0.7267880058588306,0.8525186249336906,0.7636969395508098,0.565643221409792
NUE,0.12435043318396992,0.3526335678632565,0.3190381881245228,0.329080080238076
TER,0.056800414551459934,0.2383283754643159,0.1996283447899349,0.18535699591873428
DHI,0.8582702513742592,0.9264287621691477,0.7967873208065653,0.7734295926841954
QCOM,0.012075223161720964,0.10988732029547797,0.10181439479706611,0.09723929717976583
OXY,0.10979197113447815,0.33134871530530813,0.2748700507851296,0.2898211900503062
BAC,0.02311365267457674,0.15203174890323645,0.13510030065969253,0.1325788125822088
CPRT,0.05359931492425402,0.23151525851281168,0.20222680662693365,0.21534254191879937
VRSK,0.006362325094051759,0.07976418428124091,0.07246338542101946,0.08140407288793308
AMCR,0.9435951950346694,0.971388282323124,0.8400124523589574,0.8644638149099831
DVA,0.12048877518775825,0.34711493080499756,0.29634358444224035,0.25746646756124814
LHX,0.481294176101963,0.693753685469103,0.5944353427102447,0.5826115138556773
ILMN,0.2070931528357812,0.4550748870634164,0.3882608472486662,0.2533466042224363
ALL,0.003066339871099226,0.05537454172360459,0.03861908068347794,0.033307013133556704
GPN,0.002798193474436144,0.0528979534049867,0.045374314001416664,0.040795976813054996
MET,0.2989408355416877,0.546754822147631,0.48688386028054836,0.4857100118062298
XOM,0.3659220232310746,0.604914889245648,0.5308832740389404,0.5481893158589614
CMA,0.28967600497059925,0.5382155748123602,0.4627191422643731,0.45712610908568196
WYNN,0.5251779577750164,0.7246916294362841,0.5851843179747777,0.6065142552537541
EMR,0.453843462830117,0.6736790503126225,0.5957147584766591,0.639724001120872
MRK,0.014262786939135167,0.11942691044791859,0.09244364408655328,0.07808117434361848
AZO,0.025397558903000206,0.15936611591866134,0.13515646868272518,0.1204587594933328
TSCO,0.360636776406673,0.6005304125576597,0.5460908727098502,0.6284316890633816
LEG,0.26353262468108996,0.5133542876816068,0.46300886712787653,0.3975984168441612
HUM,0.012818843304597122,0.11322033079176691,0.0992675392346384,0.08167581426396629
MNST,0.3289689347034443,0.5735581354173649,0.5209986375580009,0.43945973232534724
